Orthogroup	Prbi	Prae
OG0000000	Prbi.g_01432	Prae.g_01361
OG0000000	Prbi.g_00681	Prae.g_00652
OG0000001	Prbi.g_01708, Prbi.g_01268	Prae.g_01222
OG0000001	Prbi.g_01370	Prae.g_01300
OG0000002	Prbi.g_01424	Prae.g_01353
OG0000002	Prbi.g_01270	Prae.g_01223, Prae.g_01224
OG0000003	Prbi.g_01371	Prae.g_01308
OG0000003	Prbi.g_01710	Prae.g_01581
OG0000004	Prbi.g_00775	Prae.g_00735
OG0000004	Prbi.g_00782	Prae.g_00742
OG0000005	Prbi.g_01709	Prae.g_01580
OG0000006	Prbi.g_00500	Prae.g_00471
OG0000006	Prbi.g_01787	Prae.g_01623
OG0000007	Prbi.g_00675	Prae.g_00646
OG0000008	Prbi.g_00408	Prae.g_00383
OG0000008	Prbi.g_01042	Prae.g_00997
OG0000008	Prbi.g_01331	Prae.g_01264
OG0000009	Prbi.g_00827	Prae.g_00786
OG0000009	Prbi.g_00273	Prae.g_00252
OG0000010	Prbi.g_01156	Prae.g_01110
OG0000010	Prbi.g_01352	Prae.g_01283
OG0000011	Prbi.g_00354	Prae.g_00331
OG0000012	Prbi.g_00600	Prae.g_00572
OG0000013	Prbi.g_00810	Prae.g_00769
OG0000013	Prbi.g_01304	Prae.g_01235
OG0000014	Prbi.g_01374	Prae.g_01311
OG0000014	Prbi.g_00472	Prae.g_00444
OG0000015	Prbi.g_00406	Prae.g_00381
OG0000016	Prbi.g_01435	Prae.g_01364
OG0000017	Prbi.g_01611	Prae.g_01479
OG0000018	Prbi.g_00265	Prae.g_00244
OG0000019	Prbi.g_01742	Prae.g_01600
OG0000019	Prbi.g_00389	Prae.g_00364
OG0000020	Prbi.g_00398	Prae.g_00374
OG0000021	Prbi.g_00829	Prae.g_00788
OG0000022	Prbi.g_01373	Prae.g_01310
OG0000023	Prbi.g_01338	Prae.g_01270
OG0000023	Prbi.g_01701	Prae.g_01572
OG0000024	Prbi.g_00330	Prae.g_00307
OG0000025	Prbi.g_01122	Prae.g_01077
OG0000026	Prbi.g_00033	Prae.g_00033
OG0000027	Prbi.g_01677	Prae.g_01546
OG0000027	Prbi.g_00778	Prae.g_00738
OG0000028	Prbi.g_01589, Prbi.g_01591	Prae.g_01459
OG0000029	Prbi.g_01702	Prae.g_01573
OG0000030	Prbi.g_01743, Prbi.g_00047	Prae.g_00040
OG0000031	Prbi.g_01281	Prae.g_01602
OG0000031	Prbi.g_01364	Prae.g_01294
OG0000032	Prbi.g_01467	Prae.g_01402
OG0000033	Prbi.g_00013	Prae.g_00013
