Orthogroup	Prbi	Prap
OG0000000	Prbi.g_01432	Prap.g_00720, Prap.g_00715
OG0000000	Prbi.g_00681	Prap.g_00823, Prap.g_00224, Prap.g_00486, Prap.g_01946, Prap.g_00484, Prap.g_00491
OG0000002	Prbi.g_01424	Prap.g_01925
OG0000002	Prbi.g_01270	Prap.g_00653
OG0000003	Prbi.g_01371, Prbi.g_01710	Prap.g_00494
OG0000004	Prbi.g_00782	Prap.g_00535
OG0000005	Prbi.g_01709	Prap.g_01862
OG0000006	Prbi.g_00500	Prap.g_01270
OG0000006	Prbi.g_01787	Prap.g_01779
OG0000007	Prbi.g_01764	Prap.g_01888
OG0000007	Prbi.g_01539, Prbi.g_01765	Prap.g_01887
OG0000009	Prbi.g_00827	Prap.g_00480
OG0000009	Prbi.g_00273	Prap.g_01462
OG0000010	Prbi.g_01156, Prbi.g_01352	Prap.g_00010
OG0000012	Prbi.g_00600	Prap.g_01163, Prap.g_01170
OG0000013	Prbi.g_00810, Prbi.g_01304	Prap.g_01840, Prap.g_01794
OG0000014	Prbi.g_01374, Prbi.g_00472	Prap.g_01860, Prap.g_01912
OG0000015	Prbi.g_00406	Prap.g_01851, Prap.g_01818
OG0000016	Prbi.g_01435	Prap.g_00510, Prap.g_00218
OG0000018	Prbi.g_00265	Prap.g_01470
OG0000019	Prbi.g_01742, Prbi.g_00389	Prap.g_00797
OG0000020	Prbi.g_00398	Prap.g_01439
OG0000021	Prbi.g_00829	Prap.g_01797
OG0000023	Prbi.g_01338	Prap.g_00216
OG0000024	Prbi.g_00330	Prap.g_01403
OG0000028	Prbi.g_01589, Prbi.g_01591	Prap.g_00121
OG0000029	Prbi.g_01702	Prap.g_01312
OG0000031	Prbi.g_01281	Prap.g_00611
OG0000032	Prbi.g_01467	Prap.g_00080
OG0000034	Prbi.g_01478	Prap.g_00099, Prap.g_00897
OG0000035	Prbi.g_00936	Prap.g_00017
OG0000036	Prbi.g_00587	Prap.g_01183, Prap.g_01790
OG0000037	Prbi.g_00625	Prap.g_01145, Prap.g_00236
OG0000038	Prbi.g_00805	Prap.g_00212
OG0000039	Prbi.g_00190	Prap.g_01004
OG0000040	Prbi.g_00384	Prap.g_00029
OG0000042	Prbi.g_00745	Prap.g_00791
OG0000043	Prbi.g_00832	Prap.g_00691
OG0000044	Prbi.g_01207	Prap.g_00456
OG0000045	Prbi.g_01461	Prap.g_00081
OG0000046	Prbi.g_01780	Prap.g_01917, Prap.g_01787
OG0000047	Prbi.g_01994	Prap.g_01580
OG0000048	Prbi.g_02001	Prap.g_01572
OG0000050	Prbi.g_00031	Prap.g_00923
OG0000051	Prbi.g_00181	Prap.g_01013
OG0000052	Prbi.g_00394	Prap.g_00591
OG0000053	Prbi.g_00542	Prap.g_01867, Prap.g_01230
OG0000055	Prbi.g_00869	Prap.g_00760
OG0000057	Prbi.g_00261, Prbi.g_01748	Prap.g_01475
OG0000058	Prbi.g_00478	Prap.g_01292
OG0000059	Prbi.g_00702	Prap.g_00799
OG0000062	Prbi.g_01174	Prap.g_01883
OG0000063	Prbi.g_01330	Prap.g_00429
OG0000065	Prbi.g_01391	Prap.g_00561
OG0000066	Prbi.g_01460	Prap.g_00079
OG0000068	Prbi.g_01938	Prap.g_01642
OG0000071	Prbi.g_00011	Prap.g_00043
OG0000072	Prbi.g_00346	Prap.g_01389
OG0000073	Prbi.g_00672	Prap.g_00356
OG0000074	Prbi.g_00694	Prap.g_00809
OG0000075	Prbi.g_00854	Prap.g_00776
OG0000076	Prbi.g_01086	Prap.g_00708
OG0000078	Prbi.g_01462	Prap.g_00082
OG0000079	Prbi.g_01482, Prbi.g_01668	Prap.g_00206
OG0000080	Prbi.g_01725	Prap.g_00618
OG0000081	Prbi.g_01968	Prap.g_01608
OG0000083	Prbi.g_00003	Prap.g_00051
OG0000084	Prbi.g_00006	Prap.g_00048
OG0000085	Prbi.g_00023	Prap.g_00932
OG0000087	Prbi.g_00060	Prap.g_00903
OG0000088	Prbi.g_00120	Prap.g_01061
OG0000089	Prbi.g_00129	Prap.g_01052
OG0000090	Prbi.g_00147	Prap.g_01035
OG0000091	Prbi.g_00193	Prap.g_01001
OG0000092	Prbi.g_00194	Prap.g_01000
OG0000093	Prbi.g_00208	Prap.g_00986
OG0000094	Prbi.g_00226	Prap.g_00967
OG0000095	Prbi.g_00231	Prap.g_00962
OG0000096	Prbi.g_00275	Prap.g_01460
OG0000097	Prbi.g_00298	Prap.g_01436
OG0000099	Prbi.g_00318	Prap.g_01415
OG0000100	Prbi.g_00321	Prap.g_01412
OG0000101	Prbi.g_00381	Prap.g_01347
OG0000102	Prbi.g_00407	Prap.g_00543
OG0000103	Prbi.g_00479	Prap.g_01291
OG0000104	Prbi.g_00483	Prap.g_01287
OG0000105	Prbi.g_00502	Prap.g_01267
OG0000106	Prbi.g_00535	Prap.g_01237
OG0000107	Prbi.g_00536	Prap.g_01236
OG0000108	Prbi.g_00546	Prap.g_01226
OG0000109	Prbi.g_00555	Prap.g_01217
OG0000110	Prbi.g_00571	Prap.g_01200
OG0000111	Prbi.g_00654	Prap.g_00375
OG0000112	Prbi.g_00655	Prap.g_00374
OG0000113	Prbi.g_00767	Prap.g_00324
OG0000114	Prbi.g_00845	Prap.g_00785
OG0000115	Prbi.g_01009	Prap.g_00257
OG0000116	Prbi.g_01013	Prap.g_00261
OG0000117	Prbi.g_01083	Prap.g_00705
OG0000118	Prbi.g_01136	Prap.g_00501
OG0000119	Prbi.g_01177	Prap.g_01880
OG0000120	Prbi.g_01213	Prap.g_00450
OG0000121	Prbi.g_01232	Prap.g_00427
OG0000122	Prbi.g_01251	Prap.g_00407
OG0000123	Prbi.g_01264	Prap.g_01135
OG0000124	Prbi.g_01277	Prap.g_00217
OG0000125	Prbi.g_01403	Prap.g_00574
OG0000126	Prbi.g_01439	Prap.g_00059
OG0000127	Prbi.g_01576	Prap.g_00109
OG0000128	Prbi.g_01592	Prap.g_00122
OG0000129	Prbi.g_01627	Prap.g_00158
OG0000130	Prbi.g_01785	Prap.g_01782
OG0000131	Prbi.g_01823	Prap.g_01742
OG0000132	Prbi.g_01826	Prap.g_01739
OG0000133	Prbi.g_01897	Prap.g_01685
OG0000134	Prbi.g_01933	Prap.g_01648, Prap.g_01649
OG0000135	Prbi.g_01935	Prap.g_01646
OG0000136	Prbi.g_01979	Prap.g_01596
OG0000137	Prbi.g_02011	Prap.g_01562
OG0000138	Prbi.g_02059	Prap.g_01528
OG0000139	Prbi.g_02086	Prap.g_01497
OG0000140	Prbi.g_00001	Prap.g_00053
OG0000141	Prbi.g_00002	Prap.g_00052
OG0000142	Prbi.g_00004	Prap.g_00050
OG0000143	Prbi.g_00005	Prap.g_00049
OG0000144	Prbi.g_00007	Prap.g_00047
OG0000145	Prbi.g_00008	Prap.g_00046
OG0000146	Prbi.g_00009	Prap.g_00045
OG0000147	Prbi.g_00010	Prap.g_00044
OG0000148	Prbi.g_00012	Prap.g_00042
OG0000149	Prbi.g_00014	Prap.g_00941
OG0000150	Prbi.g_00015	Prap.g_00940
OG0000151	Prbi.g_00016	Prap.g_00939
OG0000152	Prbi.g_00017	Prap.g_00938
OG0000153	Prbi.g_00018	Prap.g_00937
OG0000154	Prbi.g_00019	Prap.g_00936
OG0000155	Prbi.g_00020	Prap.g_00935
OG0000156	Prbi.g_00021	Prap.g_00934
OG0000157	Prbi.g_00022	Prap.g_00933
OG0000158	Prbi.g_00024	Prap.g_00931
OG0000159	Prbi.g_00025	Prap.g_00930
OG0000160	Prbi.g_00026	Prap.g_00929
OG0000161	Prbi.g_00027	Prap.g_00928
OG0000162	Prbi.g_00028	Prap.g_00927
OG0000163	Prbi.g_00029	Prap.g_00925
OG0000164	Prbi.g_00032	Prap.g_00922
OG0000165	Prbi.g_00035	Prap.g_00919
OG0000166	Prbi.g_00036	Prap.g_00918
OG0000167	Prbi.g_00037	Prap.g_00917
OG0000168	Prbi.g_00049	Prap.g_00915
OG0000169	Prbi.g_00051	Prap.g_00913
OG0000170	Prbi.g_00052	Prap.g_00911
OG0000171	Prbi.g_00053	Prap.g_00910
OG0000172	Prbi.g_00056	Prap.g_00909
OG0000173	Prbi.g_00057	Prap.g_00906
OG0000174	Prbi.g_00058	Prap.g_00905
OG0000175	Prbi.g_00059	Prap.g_00904
OG0000176	Prbi.g_00061	Prap.g_00902
OG0000177	Prbi.g_00062	Prap.g_00901
OG0000178	Prbi.g_00063	Prap.g_00899
OG0000179	Prbi.g_00071	Prap.g_00887
OG0000180	Prbi.g_00072	Prap.g_00886
OG0000181	Prbi.g_00073	Prap.g_00885
OG0000182	Prbi.g_00076	Prap.g_00881
OG0000183	Prbi.g_00077	Prap.g_00880
OG0000184	Prbi.g_00080	Prap.g_00877
OG0000185	Prbi.g_00084	Prap.g_01100
OG0000186	Prbi.g_00085	Prap.g_01099
OG0000187	Prbi.g_00086	Prap.g_00025
OG0000188	Prbi.g_00087	Prap.g_01098
OG0000189	Prbi.g_00088	Prap.g_01097
OG0000190	Prbi.g_00089	Prap.g_01096
OG0000191	Prbi.g_00090	Prap.g_01095
OG0000192	Prbi.g_00091	Prap.g_01094
OG0000193	Prbi.g_00092	Prap.g_01093
OG0000194	Prbi.g_00093	Prap.g_01092
OG0000195	Prbi.g_00095	Prap.g_01090
OG0000196	Prbi.g_00096	Prap.g_01089
OG0000197	Prbi.g_00097	Prap.g_01088
OG0000198	Prbi.g_00098	Prap.g_01087
OG0000199	Prbi.g_00101	Prap.g_01084
OG0000200	Prbi.g_00102	Prap.g_01083
OG0000201	Prbi.g_00103	Prap.g_01082
OG0000202	Prbi.g_00104	Prap.g_01080
OG0000203	Prbi.g_00105	Prap.g_01079
OG0000204	Prbi.g_00106	Prap.g_01078
OG0000205	Prbi.g_00107	Prap.g_01076
OG0000206	Prbi.g_00108	Prap.g_01075
OG0000207	Prbi.g_00109	Prap.g_01074
OG0000208	Prbi.g_00110	Prap.g_01073
OG0000209	Prbi.g_00111	Prap.g_01072
OG0000210	Prbi.g_00113	Prap.g_01071
OG0000211	Prbi.g_00114	Prap.g_01069
OG0000212	Prbi.g_00115	Prap.g_01068
OG0000213	Prbi.g_00116	Prap.g_01067
OG0000214	Prbi.g_00118	Prap.g_01063
OG0000215	Prbi.g_00119	Prap.g_01062
OG0000216	Prbi.g_00121	Prap.g_01060
OG0000217	Prbi.g_00123	Prap.g_01059
OG0000218	Prbi.g_00124	Prap.g_01058
OG0000219	Prbi.g_00125	Prap.g_01057
OG0000220	Prbi.g_00128	Prap.g_01054
OG0000221	Prbi.g_00130	Prap.g_01051
OG0000222	Prbi.g_00131	Prap.g_01050
OG0000223	Prbi.g_00132	Prap.g_01049
OG0000224	Prbi.g_00135	Prap.g_01047
OG0000225	Prbi.g_00137	Prap.g_01045
OG0000226	Prbi.g_00138	Prap.g_01043
OG0000227	Prbi.g_00139	Prap.g_01042
OG0000228	Prbi.g_00140	Prap.g_01041
OG0000229	Prbi.g_00141	Prap.g_01040
OG0000230	Prbi.g_00142	Prap.g_01039
OG0000231	Prbi.g_00144	Prap.g_00319
OG0000232	Prbi.g_00145	Prap.g_01037
OG0000233	Prbi.g_00148	Prap.g_01034
OG0000234	Prbi.g_00150	Prap.g_01032
OG0000235	Prbi.g_00169	Prap.g_01026
OG0000236	Prbi.g_00170	Prap.g_01025
OG0000237	Prbi.g_00171	Prap.g_01024
OG0000238	Prbi.g_00172	Prap.g_01023
OG0000239	Prbi.g_00173	Prap.g_01022
OG0000240	Prbi.g_00175	Prap.g_01020
OG0000241	Prbi.g_00176	Prap.g_01019
OG0000242	Prbi.g_00177	Prap.g_01018
OG0000243	Prbi.g_00178	Prap.g_01017
OG0000244	Prbi.g_00179	Prap.g_01016
OG0000245	Prbi.g_00180	Prap.g_01014
OG0000246	Prbi.g_00182	Prap.g_01012
OG0000247	Prbi.g_00183	Prap.g_01011
OG0000248	Prbi.g_00184	Prap.g_01010
OG0000249	Prbi.g_00185	Prap.g_01009
OG0000250	Prbi.g_00186	Prap.g_01008
OG0000251	Prbi.g_00187	Prap.g_01007
OG0000252	Prbi.g_00188	Prap.g_01006
OG0000253	Prbi.g_00189	Prap.g_01005
OG0000254	Prbi.g_00191	Prap.g_01003
OG0000255	Prbi.g_00192	Prap.g_01002
OG0000256	Prbi.g_00195	Prap.g_00999
OG0000257	Prbi.g_00197	Prap.g_00997
OG0000258	Prbi.g_00198	Prap.g_00996
OG0000259	Prbi.g_00199	Prap.g_00995
OG0000260	Prbi.g_00200	Prap.g_00994
OG0000261	Prbi.g_00201	Prap.g_00993
OG0000262	Prbi.g_00202	Prap.g_00992
OG0000263	Prbi.g_00203	Prap.g_00991
OG0000264	Prbi.g_00205	Prap.g_00989
OG0000265	Prbi.g_00206	Prap.g_00988
OG0000266	Prbi.g_00207	Prap.g_00987
OG0000267	Prbi.g_00209	Prap.g_00985
OG0000268	Prbi.g_00210	Prap.g_00983
OG0000269	Prbi.g_00211	Prap.g_00982
OG0000270	Prbi.g_00212	Prap.g_00981
OG0000271	Prbi.g_00213	Prap.g_00980
OG0000272	Prbi.g_00214	Prap.g_00979
OG0000273	Prbi.g_00215	Prap.g_00978
OG0000274	Prbi.g_00216	Prap.g_00977
OG0000275	Prbi.g_00217	Prap.g_00976
OG0000276	Prbi.g_00218	Prap.g_00975
OG0000277	Prbi.g_00219	Prap.g_00974
OG0000278	Prbi.g_00220	Prap.g_00973
OG0000279	Prbi.g_00221	Prap.g_00972
OG0000280	Prbi.g_00222	Prap.g_00971
OG0000281	Prbi.g_00224	Prap.g_00969
OG0000282	Prbi.g_00225	Prap.g_00968
OG0000283	Prbi.g_00228	Prap.g_00965
OG0000284	Prbi.g_00229	Prap.g_00964
OG0000285	Prbi.g_00230	Prap.g_00963
OG0000286	Prbi.g_00232	Prap.g_00961
OG0000287	Prbi.g_00233	Prap.g_00959
OG0000288	Prbi.g_00234	Prap.g_00958
OG0000289	Prbi.g_00235	Prap.g_00957
OG0000290	Prbi.g_00236	Prap.g_00956
OG0000291	Prbi.g_00237	Prap.g_00955
OG0000292	Prbi.g_00238	Prap.g_00954
OG0000293	Prbi.g_00239	Prap.g_00953
OG0000294	Prbi.g_00240	Prap.g_00952
OG0000295	Prbi.g_00241	Prap.g_00951
OG0000296	Prbi.g_00242	Prap.g_00950
OG0000297	Prbi.g_00243	Prap.g_00949
OG0000298	Prbi.g_00244	Prap.g_00948
OG0000299	Prbi.g_00245	Prap.g_00947
OG0000300	Prbi.g_00246	Prap.g_00946
OG0000301	Prbi.g_00247	Prap.g_00945
OG0000302	Prbi.g_00248	Prap.g_00944
OG0000303	Prbi.g_00249	Prap.g_00943
OG0000304	Prbi.g_00250	Prap.g_01487
OG0000305	Prbi.g_00251	Prap.g_01486
OG0000306	Prbi.g_00252	Prap.g_01485
OG0000307	Prbi.g_00253	Prap.g_01483
OG0000308	Prbi.g_00254	Prap.g_01482
OG0000309	Prbi.g_00255	Prap.g_01481
OG0000310	Prbi.g_00256	Prap.g_01480
OG0000311	Prbi.g_00257	Prap.g_01479
OG0000312	Prbi.g_00259	Prap.g_01477
OG0000313	Prbi.g_00260	Prap.g_01476
OG0000314	Prbi.g_00263	Prap.g_01472
OG0000315	Prbi.g_00264	Prap.g_01471
OG0000316	Prbi.g_00266	Prap.g_01469
OG0000317	Prbi.g_00268	Prap.g_01467
OG0000318	Prbi.g_00269	Prap.g_01466
OG0000319	Prbi.g_00270	Prap.g_01465
OG0000320	Prbi.g_00271	Prap.g_01464
OG0000321	Prbi.g_00274	Prap.g_01461
OG0000322	Prbi.g_00277	Prap.g_01457
OG0000323	Prbi.g_00278	Prap.g_01456
OG0000324	Prbi.g_00281	Prap.g_01453
OG0000325	Prbi.g_00283	Prap.g_01452
OG0000326	Prbi.g_00284	Prap.g_01451
OG0000327	Prbi.g_00286	Prap.g_01449
OG0000328	Prbi.g_00287	Prap.g_01448
OG0000329	Prbi.g_00288	Prap.g_01447
OG0000330	Prbi.g_00289	Prap.g_01446
OG0000331	Prbi.g_00290	Prap.g_01444
