Orthogroup	Prbi	Prad
OG0000000	Prbi.g_01432	Prad.g_00601
OG0000000	Prbi.g_00681	Prad.g_01252
OG0000001	Prbi.g_01708, Prbi.g_01268	Prad.g_01435
OG0000001	Prbi.g_01370	Prad.g_00372, Prad.g_00349
OG0000002	Prbi.g_01424	Prad.g_00609
OG0000002	Prbi.g_01270	Prad.g_01434, Prad.g_01994
OG0000003	Prbi.g_01371	Prad.g_00350
OG0000003	Prbi.g_01710	Prad.g_00389
OG0000004	Prbi.g_00775	Prad.g_01075
OG0000004	Prbi.g_00782	Prad.g_01082
OG0000005	Prbi.g_01709	Prad.g_00392
OG0000006	Prbi.g_00500	Prad.g_00132
OG0000006	Prbi.g_01787	Prad.g_00941
OG0000007	Prbi.g_00675	Prad.g_01246
OG0000008	Prbi.g_00408	Prad.g_00726
OG0000008	Prbi.g_01042	Prad.g_00377
OG0000008	Prbi.g_01331	Prad.g_01215
OG0000009	Prbi.g_00827	Prad.g_01125
OG0000009	Prbi.g_00273	Prad.g_01742
OG0000010	Prbi.g_01156	Prad.g_00650
OG0000010	Prbi.g_01352	Prad.g_00330
OG0000011	Prbi.g_00354	Prad.g_01661
OG0000012	Prbi.g_00600	Prad.g_01387
OG0000013	Prbi.g_00810, Prbi.g_01304	Prad.g_01108
OG0000014	Prbi.g_01374	Prad.g_00353
OG0000015	Prbi.g_00406	Prad.g_00728
OG0000016	Prbi.g_01435	Prad.g_00598
OG0000017	Prbi.g_01611	Prad.g_00494
OG0000018	Prbi.g_00265	Prad.g_01750
OG0000019	Prbi.g_01742	Prad.g_01981
OG0000019	Prbi.g_00389	Prad.g_00745
OG0000020	Prbi.g_00398	Prad.g_00735
OG0000021	Prbi.g_00829	Prad.g_01127
OG0000022	Prbi.g_01373	Prad.g_00352
OG0000023	Prbi.g_01338	Prad.g_00317
OG0000023	Prbi.g_01701	Prad.g_00401
OG0000024	Prbi.g_00330	Prad.g_01685
OG0000025	Prbi.g_01122	Prad.g_00985
OG0000026	Prbi.g_00033	Prad.g_01953
OG0000027	Prbi.g_01677	Prad.g_00427
OG0000027	Prbi.g_00778	Prad.g_01078
OG0000028	Prbi.g_01589, Prbi.g_01591	Prad.g_00515
OG0000029	Prbi.g_01702	Prad.g_00400
OG0000031	Prbi.g_01364	Prad.g_00342
OG0000033	Prbi.g_00013	Prad.g_01973
OG0000034	Prbi.g_01478	Prad.g_00571
OG0000035	Prbi.g_00936	Prad.g_00258
OG0000036	Prbi.g_00587	Prad.g_01374
OG0000037	Prbi.g_00625	Prad.g_01412
OG0000038	Prbi.g_00805	Prad.g_01105
OG0000039	Prbi.g_00190	Prad.g_01825
OG0000040	Prbi.g_00384	Prad.g_00751
OG0000042	Prbi.g_00745	Prad.g_01049
OG0000043	Prbi.g_00832	Prad.g_01130
OG0000044	Prbi.g_01207	Prad.g_01496
OG0000045	Prbi.g_01461	Prad.g_00565
OG0000046	Prbi.g_01780	Prad.g_00948
OG0000047	Prbi.g_01994	Prad.g_01631
OG0000048	Prbi.g_02001	Prad.g_01624
OG0000050	Prbi.g_00031	Prad.g_01955
OG0000051	Prbi.g_00181	Prad.g_01834
OG0000052	Prbi.g_00394	Prad.g_00739
OG0000053	Prbi.g_00542	Prad.g_00090
OG0000054	Prbi.g_00799	Prad.g_01099
OG0000055	Prbi.g_00869	Prad.g_01168
OG0000056	Prbi.g_01163	Prad.g_00657
OG0000057	Prbi.g_00261	Prad.g_01754
OG0000057	Prbi.g_01748	Prad.g_00965
OG0000058	Prbi.g_00478	Prad.g_00032
OG0000059	Prbi.g_00702	Prad.g_01272
OG0000060	Prbi.g_00780	Prad.g_01080
OG0000061	Prbi.g_01172	Prad.g_01991
OG0000061	Prbi.g_01029	Prad.g_00166
OG0000062	Prbi.g_01174	Prad.g_01989
OG0000063	Prbi.g_01330	Prad.g_01214
OG0000064	Prbi.g_01749	Prad.g_00964
OG0000064	Prbi.g_01341	Prad.g_00320
OG0000065	Prbi.g_01391	Prad.g_00628
OG0000066	Prbi.g_01460	Prad.g_00564
OG0000068	Prbi.g_01938	Prad.g_00807
OG0000069	Prbi.g_01497	Prad.g_00561
OG0000071	Prbi.g_00011	Prad.g_01975
OG0000072	Prbi.g_00346	Prad.g_01669
OG0000073	Prbi.g_00672	Prad.g_01243
OG0000074	Prbi.g_00694	Prad.g_01265
OG0000075	Prbi.g_00854	Prad.g_01153
OG0000076	Prbi.g_01086	Prad.g_01018
OG0000078	Prbi.g_01462	Prad.g_00566
OG0000079	Prbi.g_01668	Prad.g_00436
OG0000080	Prbi.g_01725	Prad.g_00383
OG0000081	Prbi.g_01968	Prad.g_00777
OG0000082	Prbi.g_02069	Prad.g_01570
OG0000083	Prbi.g_00003	Prad.g_01533
OG0000084	Prbi.g_00006	Prad.g_01530
OG0000085	Prbi.g_00023	Prad.g_01963
OG0000086	Prbi.g_00048	Prad.g_01948
OG0000087	Prbi.g_00060	Prad.g_01937
OG0000088	Prbi.g_00120	Prad.g_01880
OG0000089	Prbi.g_00129	Prad.g_01872
OG0000090	Prbi.g_00147	Prad.g_01854
OG0000091	Prbi.g_00193	Prad.g_01822
OG0000092	Prbi.g_00194	Prad.g_01821
OG0000093	Prbi.g_00208	Prad.g_01807
OG0000094	Prbi.g_00226	Prad.g_01789
OG0000095	Prbi.g_00231	Prad.g_01784
OG0000096	Prbi.g_00275	Prad.g_01740
OG0000097	Prbi.g_00298	Prad.g_01717
OG0000098	Prbi.g_00308	Prad.g_01707
OG0000099	Prbi.g_00318	Prad.g_01697
OG0000100	Prbi.g_00321	Prad.g_01694
OG0000101	Prbi.g_00381	Prad.g_00754
OG0000102	Prbi.g_00407	Prad.g_00727
OG0000103	Prbi.g_00479	Prad.g_00031
OG0000104	Prbi.g_00483	Prad.g_00027
OG0000105	Prbi.g_00502	Prad.g_00130
OG0000106	Prbi.g_00535	Prad.g_00097
OG0000107	Prbi.g_00536	Prad.g_00096
OG0000108	Prbi.g_00546	Prad.g_01333
OG0000109	Prbi.g_00555	Prad.g_01342
OG0000110	Prbi.g_00571	Prad.g_01358
OG0000111	Prbi.g_00654	Prad.g_01225
OG0000112	Prbi.g_00655	Prad.g_01226
OG0000113	Prbi.g_00767	Prad.g_01071
OG0000114	Prbi.g_00845	Prad.g_01144
OG0000115	Prbi.g_01009	Prad.g_00186
OG0000116	Prbi.g_01013	Prad.g_00182
OG0000117	Prbi.g_01083	Prad.g_01021
OG0000118	Prbi.g_01136	Prad.g_00972
OG0000119	Prbi.g_01177	Prad.g_01526
OG0000120	Prbi.g_01213	Prad.g_01490
OG0000121	Prbi.g_01232	Prad.g_01470
OG0000122	Prbi.g_01251	Prad.g_01451
OG0000123	Prbi.g_01264	Prad.g_01438
OG0000124	Prbi.g_01277	Prad.g_00076
OG0000125	Prbi.g_01403	Prad.g_00616
OG0000126	Prbi.g_01439	Prad.g_00594
OG0000127	Prbi.g_01576	Prad.g_00528
OG0000128	Prbi.g_01592	Prad.g_00514
OG0000129	Prbi.g_01627	Prad.g_00477
OG0000130	Prbi.g_01785	Prad.g_00943
OG0000131	Prbi.g_01823	Prad.g_00905
OG0000132	Prbi.g_01826	Prad.g_00902
OG0000133	Prbi.g_01897	Prad.g_00848
OG0000134	Prbi.g_01933	Prad.g_00812
OG0000135	Prbi.g_01935	Prad.g_00810
OG0000136	Prbi.g_01979	Prad.g_00766, Prad.g_01294
OG0000137	Prbi.g_02011	Prad.g_01615
OG0000138	Prbi.g_02059	Prad.g_01580
OG0000139	Prbi.g_02086	Prad.g_01553
OG0000140	Prbi.g_00001	Prad.g_01535
OG0000141	Prbi.g_00002	Prad.g_01534
OG0000142	Prbi.g_00004	Prad.g_01532
OG0000143	Prbi.g_00005	Prad.g_01531
OG0000144	Prbi.g_00007	Prad.g_01529
OG0000145	Prbi.g_00008	Prad.g_01528
OG0000146	Prbi.g_00009	Prad.g_01527
OG0000147	Prbi.g_00010	Prad.g_01976
OG0000148	Prbi.g_00012	Prad.g_01974
OG0000149	Prbi.g_00014	Prad.g_01972
OG0000150	Prbi.g_00015	Prad.g_01971
OG0000151	Prbi.g_00016	Prad.g_01970
OG0000152	Prbi.g_00017	Prad.g_01969
OG0000153	Prbi.g_00018	Prad.g_01968
OG0000154	Prbi.g_00019	Prad.g_01967
OG0000155	Prbi.g_00020	Prad.g_01966
OG0000156	Prbi.g_00021	Prad.g_01965
OG0000157	Prbi.g_00022	Prad.g_01964
OG0000158	Prbi.g_00024	Prad.g_01962
OG0000159	Prbi.g_00025	Prad.g_01961
OG0000160	Prbi.g_00026	Prad.g_01960
OG0000161	Prbi.g_00027	Prad.g_01959
OG0000162	Prbi.g_00028	Prad.g_01958
OG0000163	Prbi.g_00029	Prad.g_01957
OG0000164	Prbi.g_00032	Prad.g_01954
OG0000165	Prbi.g_00035	Prad.g_01951
OG0000166	Prbi.g_00036	Prad.g_01950
OG0000167	Prbi.g_00037	Prad.g_01949
OG0000168	Prbi.g_00049	Prad.g_01947
OG0000169	Prbi.g_00051	Prad.g_01945
OG0000170	Prbi.g_00052	Prad.g_01944
OG0000171	Prbi.g_00053	Prad.g_01943
OG0000172	Prbi.g_00056	Prad.g_01941
OG0000173	Prbi.g_00057	Prad.g_01940
OG0000174	Prbi.g_00058	Prad.g_01939
OG0000175	Prbi.g_00059	Prad.g_01938
OG0000176	Prbi.g_00061	Prad.g_01936
OG0000177	Prbi.g_00062	Prad.g_01935
OG0000178	Prbi.g_00063	Prad.g_01934
OG0000179	Prbi.g_00071	Prad.g_01929
OG0000180	Prbi.g_00072	Prad.g_01928
OG0000181	Prbi.g_00073	Prad.g_01927
OG0000182	Prbi.g_00076	Prad.g_01924
OG0000183	Prbi.g_00077	Prad.g_01923
OG0000184	Prbi.g_00080	Prad.g_01920
OG0000185	Prbi.g_00084	Prad.g_01916
OG0000186	Prbi.g_00085	Prad.g_01915
OG0000187	Prbi.g_00086	Prad.g_01914
OG0000188	Prbi.g_00087	Prad.g_01913
OG0000189	Prbi.g_00088	Prad.g_01912
OG0000190	Prbi.g_00089	Prad.g_01911
OG0000191	Prbi.g_00090	Prad.g_01910
OG0000192	Prbi.g_00091	Prad.g_01909
