Orthogroup	Syai	Prai
OG0000001	Syai.g_01716	Prai.g_01235, Prai.g_01356, Prai.g_01236
OG0000002	Syai.g_01728	Prai.g_01363, Prai.g_00707
OG0000004	Syai.g_01994	Prai.g_00724
OG0000004	Syai.g_01062, Syai.g_00530	Prai.g_00243
OG0000005	Syai.g_02393	Prai.g_01651
OG0000005	Syai.g_02356	Prai.g_01538
OG0000006	Syai.g_00317, Syai.g_00547	Prai.g_00252, Prai.g_00254
OG0000007	Syai.g_00657	Prai.g_00527
OG0000007	Syai.g_02378	Prai.g_01638
OG0000008	Syai.g_01956, Syai.g_01955	Prai.g_00701
OG0000009	Syai.g_01626	Prai.g_01578
OG0000009	Syai.g_02541	Prai.g_00105
OG0000010	Syai.g_00864	Prai.g_01292, Prai.g_01067, Prai.g_00504
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Prai.g_00652
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prai.g_00340
OG0000014	Syai.g_00220	Prai.g_00319
OG0000015	Syai.g_01246, Syai.g_01245	Prai.g_01243
OG0000016	Syai.g_00014	Prai.g_00013
OG0000016	Syai.g_01632	Prai.g_01573
OG0000017	Syai.g_00801	Prai.g_00626
OG0000018	Syai.g_00915	Prai.g_01153, Prai.g_00820
OG0000019	Syai.g_00304	Prai.g_00262, Prai.g_00867
OG0000020	Syai.g_00476	Prai.g_01125, Prai.g_01248, Prai.g_00400
OG0000022	Syai.g_01159	Prai.g_00885, Prai.g_01139
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prai.g_00373
OG0000024	Syai.g_01951	Prai.g_00899, Prai.g_00704
OG0000025	Syai.g_02044	Prai.g_00812, Prai.g_00344
OG0000026	Syai.g_00038	Prai.g_00031, Prai.g_01074
OG0000027	Syai.g_01128, Syai.g_01654	Prai.g_00904
OG0000028	Syai.g_00205	Prai.g_00333, Prai.g_01297
OG0000029	Syai.g_01035, Syai.g_01584	Prai.g_00890
OG0000030	Syai.g_00096, Syai.g_00095	Prai.g_01848
OG0000033	Syai.g_02634	Prai.g_00180
OG0000034	Syai.g_02192, Syai.g_02604	Prai.g_01345
OG0000035	Syai.g_00955	Prai.g_01463
OG0000037	Syai.g_02544, Syai.g_02815	Prai.g_00109
OG0000038	Syai.g_02780	Prai.g_01890
OG0000039	Syai.g_02034	Prai.g_00715
OG0000041	Syai.g_02265	Prai.g_01684
OG0000042	Syai.g_00099	Prai.g_01845
OG0000043	Syai.g_01599	Prai.g_00910
OG0000045	Syai.g_02432	Prai.g_00384
OG0000047	Syai.g_00462	Prai.g_00424, Prai.g_00343
OG0000048	Syai.g_00272	Prai.g_00387
OG0000050	Syai.g_01893	Prai.g_01233
OG0000051	Syai.g_01773	Prai.g_00434
OG0000052	Syai.g_00176	Prai.g_00154
OG0000053	Syai.g_00930	Prai.g_01483
OG0000054	Syai.g_01040	Prai.g_00634
OG0000055	Syai.g_02029	Prai.g_00866
OG0000057	Syai.g_01997	Prai.g_00727
OG0000058	Syai.g_00195	Prai.g_01859
OG0000059	Syai.g_00351	Prai.g_01725, Prai.g_01425
OG0000061	Syai.g_02144	Prai.g_01171
OG0000063	Syai.g_00042	Prai.g_00033, Prai.g_01261
OG0000066	Syai.g_01709, Syai.g_00719	Prai.g_00567
OG0000067	Syai.g_01321	Prai.g_00848
OG0000068	Syai.g_00628	Prai.g_01370
OG0000070	Syai.g_02196	Prai.g_00481
OG0000071	Syai.g_02179	Prai.g_01335
OG0000072	Syai.g_02636	Prai.g_00182
OG0000073	Syai.g_00659	Prai.g_00529
OG0000075	Syai.g_00161	Prai.g_01814
OG0000076	Syai.g_00111	Prai.g_01838
OG0000077	Syai.g_02486	Prai.g_00078
OG0000078	Syai.g_00543	Prai.g_00250
OG0000079	Syai.g_00300	Prai.g_00265
OG0000081	Syai.g_00553	Prai.g_00559
OG0000082	Syai.g_00781	Prai.g_00613
OG0000084	Syai.g_00958	Prai.g_01459
OG0000085	Syai.g_02365	Prai.g_01631
OG0000086	Syai.g_02507	Prai.g_00088
OG0000087	Syai.g_02592	Prai.g_00139
OG0000088	Syai.g_02630	Prai.g_00177
OG0000089	Syai.g_00517	Prai.g_00368
OG0000090	Syai.g_00707	Prai.g_00561
OG0000091	Syai.g_01112	Prai.g_00671
OG0000092	Syai.g_01358	Prai.g_01041
OG0000094	Syai.g_01424	Prai.g_00937
OG0000097	Syai.g_01787	Prai.g_01214
OG0000098	Syai.g_01718	Prai.g_01353
OG0000099	Syai.g_00199	Prai.g_01393
OG0000100	Syai.g_01372	Prai.g_01536
OG0000101	Syai.g_00404	Prai.g_01782
OG0000102	Syai.g_00106	Prai.g_01843
OG0000103	Syai.g_02912	Prai.g_01923
OG0000104	Syai.g_02929	Prai.g_01932
OG0000105	Syai.g_00267	Prai.g_00286, Prai.g_00287
OG0000106	Syai.g_01601	Prai.g_00383
OG0000107	Syai.g_00319	Prai.g_00397
OG0000108	Syai.g_00638	Prai.g_00510
OG0000109	Syai.g_00653	Prai.g_00524
OG0000110	Syai.g_00766	Prai.g_00603
OG0000111	Syai.g_00884	Prai.g_00728
OG0000112	Syai.g_01512	Prai.g_00882
OG0000113	Syai.g_01367	Prai.g_00825
OG0000114	Syai.g_01261	Prai.g_01046
OG0000115	Syai.g_00932	Prai.g_01119
OG0000116	Syai.g_02156	Prai.g_01162
OG0000117	Syai.g_01756	Prai.g_01273
OG0000118	Syai.g_00818	Prai.g_01347
OG0000119	Syai.g_02127	Prai.g_01366
OG0000120	Syai.g_00198	Prai.g_01443
OG0000121	Syai.g_00951	Prai.g_01465
OG0000123	Syai.g_00411	Prai.g_01789
OG0000124	Syai.g_00089	Prai.g_01854
OG0000125	Syai.g_02782	Prai.g_01892
OG0000126	Syai.g_02927	Prai.g_01931
OG0000128	Syai.g_00012	Prai.g_00011
OG0000129	Syai.g_02771	Prai.g_00051
OG0000130	Syai.g_02474	Prai.g_00069
OG0000131	Syai.g_02608	Prai.g_00156
OG0000132	Syai.g_02628	Prai.g_00175
OG0000133	Syai.g_01507	Prai.g_00335
OG0000134	Syai.g_00520	Prai.g_00369
OG0000135	Syai.g_02826	Prai.g_00393
OG0000136	Syai.g_02217	Prai.g_00472
OG0000137	Syai.g_00865	Prai.g_00505
OG0000138	Syai.g_00654	Prai.g_00525
OG0000139	Syai.g_00714	Prai.g_00565
OG0000140	Syai.g_00716	Prai.g_00566
OG0000141	Syai.g_01041	Prai.g_00635
OG0000142	Syai.g_01104	Prai.g_00664
OG0000143	Syai.g_01108	Prai.g_00668
OG0000144	Syai.g_01608	Prai.g_00681
OG0000145	Syai.g_00660	Prai.g_00883
OG0000146	Syai.g_01513	Prai.g_00881
OG0000147	Syai.g_01514	Prai.g_00880
OG0000148	Syai.g_01361	Prai.g_00831
OG0000149	Syai.g_02059	Prai.g_00800
OG0000150	Syai.g_00717	Prai.g_00792
OG0000151	Syai.g_01280	Prai.g_01036
OG0000152	Syai.g_01503	Prai.g_00989
OG0000153	Syai.g_01461	Prai.g_00970
OG0000154	Syai.g_01434	Prai.g_00943
OG0000155	Syai.g_02109	Prai.g_01191
OG0000156	Syai.g_02162	Prai.g_01323
OG0000157	Syai.g_02163	Prai.g_01324
OG0000158	Syai.g_00135	Prai.g_01392
OG0000160	Syai.g_00952	Prai.g_01464
OG0000161	Syai.g_00946	Prai.g_01470
OG0000162	Syai.g_00939	Prai.g_01476
OG0000163	Syai.g_02300	Prai.g_01509
OG0000164	Syai.g_02411	Prai.g_01662
OG0000165	Syai.g_02244	Prai.g_01669
OG0000166	Syai.g_00364	Prai.g_01740
OG0000167	Syai.g_00164	Prai.g_01812
OG0000168	Syai.g_00134	Prai.g_01822
OG0000169	Syai.g_00123	Prai.g_01832
OG0000170	Syai.g_00116	Prai.g_01834
OG0000171	Syai.g_00090	Prai.g_01853
OG0000172	Syai.g_00083	Prai.g_01863
