Orthogroup	Syai	Praa
OG0000001	Syai.g_01716	Praa.g_01351, Praa.g_01220, Praa.g_01222
OG0000002	Syai.g_01728	Praa.g_01359, Praa.g_00678
OG0000004	Syai.g_01994	Praa.g_00695
OG0000004	Syai.g_01062, Syai.g_00530	Praa.g_00232
OG0000005	Syai.g_02393	Praa.g_01648
OG0000005	Syai.g_02356	Praa.g_01553
OG0000006	Syai.g_00317, Syai.g_00547	Praa.g_00241, Praa.g_01245
OG0000007	Syai.g_00657	Praa.g_00497
OG0000007	Syai.g_02378	Praa.g_01635
OG0000008	Syai.g_01956	Praa.g_01241
OG0000009	Syai.g_01626	Praa.g_01264, Praa.g_01589
OG0000009	Syai.g_02541	Praa.g_00105
OG0000010	Syai.g_00864	Praa.g_01047, Praa.g_00474
OG0000011	Syai.g_01894, Syai.g_00582	Praa.g_01288
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Praa.g_00623
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Praa.g_00327
OG0000014	Syai.g_00220	Praa.g_00306
OG0000015	Syai.g_01246, Syai.g_01245	Praa.g_00765
OG0000016	Syai.g_00014	Praa.g_00013
OG0000017	Syai.g_00801	Praa.g_00598
OG0000018	Syai.g_00915	Praa.g_01141, Praa.g_00831
OG0000019	Syai.g_00304	Praa.g_00249, Praa.g_00782
OG0000020	Syai.g_00476	Praa.g_01107
OG0000022	Syai.g_01159	Praa.g_00763, Praa.g_01124
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Praa.g_00359
OG0000024	Syai.g_01951	Praa.g_00747, Praa.g_00675
OG0000025	Syai.g_02044	Praa.g_00839, Praa.g_00331
OG0000026	Syai.g_00038	Praa.g_00031, Praa.g_01054
OG0000027	Syai.g_01128, Syai.g_01654	Praa.g_00470, Praa.g_01301
OG0000028	Syai.g_00205	Praa.g_00320, Praa.g_01248
OG0000029	Syai.g_01035, Syai.g_01584	Praa.g_00374, Praa.g_00754
OG0000030	Syai.g_00096, Syai.g_00095	Praa.g_01842
OG0000033	Syai.g_02634	Praa.g_00169
OG0000034	Syai.g_02192, Syai.g_02604	Praa.g_01328
OG0000035	Syai.g_00955	Praa.g_01476
OG0000037	Syai.g_02544, Syai.g_02815	Praa.g_00109
OG0000038	Syai.g_02780	Praa.g_01883
OG0000039	Syai.g_02034	Praa.g_00686
OG0000041	Syai.g_02265	Praa.g_01683
OG0000042	Syai.g_00099	Praa.g_01839
OG0000043	Syai.g_01599	Praa.g_01259
OG0000045	Syai.g_02432	Praa.g_00370
OG0000047	Syai.g_00462	Praa.g_00330
OG0000048	Syai.g_00272	Praa.g_00373
OG0000051	Syai.g_01773	Praa.g_01291
OG0000052	Syai.g_00176	Praa.g_01447, Praa.g_01407
OG0000053	Syai.g_00930	Praa.g_01496
OG0000054	Syai.g_01040	Praa.g_00606
OG0000055	Syai.g_02029	Praa.g_00783
OG0000057	Syai.g_01997	Praa.g_00698
OG0000058	Syai.g_00195	Praa.g_01425
OG0000059	Syai.g_00351	Praa.g_01723
OG0000061	Syai.g_02144	Praa.g_01415, Praa.g_01159
OG0000063	Syai.g_00042	Praa.g_00033
OG0000066	Syai.g_01709, Syai.g_00719	Praa.g_00539
OG0000067	Syai.g_01321	Praa.g_00803
OG0000068	Syai.g_00628	Praa.g_01366
OG0000070	Syai.g_02196	Praa.g_00449
OG0000071	Syai.g_02179	Praa.g_01318
OG0000072	Syai.g_02636	Praa.g_00171
OG0000073	Syai.g_00659	Praa.g_00499
OG0000075	Syai.g_00161	Praa.g_01808
OG0000076	Syai.g_00111	Praa.g_01832
OG0000077	Syai.g_02486	Praa.g_00078
OG0000078	Syai.g_00543	Praa.g_00239
OG0000079	Syai.g_00300	Praa.g_00252
OG0000081	Syai.g_00553	Praa.g_00531
OG0000082	Syai.g_00781	Praa.g_00585
OG0000084	Syai.g_00958	Praa.g_01472
OG0000085	Syai.g_02365	Praa.g_01628
OG0000086	Syai.g_02507	Praa.g_00088
OG0000087	Syai.g_02592	Praa.g_00139
OG0000088	Syai.g_02630	Praa.g_00166
OG0000089	Syai.g_00517	Praa.g_00355
OG0000090	Syai.g_00707	Praa.g_00533
OG0000091	Syai.g_01112	Praa.g_00642
OG0000092	Syai.g_01358	Praa.g_00912
OG0000094	Syai.g_01424	Praa.g_01020
OG0000097	Syai.g_01787	Praa.g_01200
OG0000098	Syai.g_01718	Praa.g_01348
OG0000099	Syai.g_00199	Praa.g_01394
OG0000100	Syai.g_01372	Praa.g_01551
OG0000101	Syai.g_00404	Praa.g_01775
OG0000102	Syai.g_00106	Praa.g_01837
OG0000103	Syai.g_02912	Praa.g_01916
OG0000104	Syai.g_02929	Praa.g_01924
OG0000105	Syai.g_00267	Praa.g_00274
OG0000106	Syai.g_01601	Praa.g_00369
OG0000107	Syai.g_00319	Praa.g_00383
OG0000108	Syai.g_00638	Praa.g_00480
OG0000109	Syai.g_00653	Praa.g_00494
OG0000110	Syai.g_00766	Praa.g_00575
OG0000111	Syai.g_00884	Praa.g_00699
OG0000112	Syai.g_01512	Praa.g_00766
OG0000113	Syai.g_01367	Praa.g_00826
OG0000114	Syai.g_01261	Praa.g_00907
OG0000115	Syai.g_00932	Praa.g_01101
OG0000116	Syai.g_02156	Praa.g_01150
OG0000117	Syai.g_01756	Praa.g_01255
OG0000118	Syai.g_00818	Praa.g_01330
OG0000119	Syai.g_02127	Praa.g_01362
OG0000120	Syai.g_00198	Praa.g_01387
OG0000121	Syai.g_00951	Praa.g_01478
OG0000122	Syai.g_01143	Praa.g_01516
OG0000123	Syai.g_00411	Praa.g_01782
OG0000124	Syai.g_00089	Praa.g_01848
OG0000125	Syai.g_02782	Praa.g_01885
OG0000126	Syai.g_02927	Praa.g_01923
OG0000128	Syai.g_00012	Praa.g_00011
OG0000129	Syai.g_02771	Praa.g_00044
OG0000130	Syai.g_02474	Praa.g_00069
OG0000131	Syai.g_02608	Praa.g_00145
OG0000132	Syai.g_02628	Praa.g_00164
OG0000133	Syai.g_01507	Praa.g_00322
OG0000134	Syai.g_00520	Praa.g_00356
OG0000135	Syai.g_02826	Praa.g_00381
OG0000136	Syai.g_02217	Praa.g_00440
OG0000137	Syai.g_00865	Praa.g_01414, Praa.g_00475
OG0000138	Syai.g_00654	Praa.g_00495
OG0000139	Syai.g_00714	Praa.g_00537
OG0000140	Syai.g_00716	Praa.g_00538
OG0000141	Syai.g_01041	Praa.g_00607
OG0000142	Syai.g_01104	Praa.g_00635
OG0000143	Syai.g_01108	Praa.g_00639
OG0000144	Syai.g_01608	Praa.g_00652
OG0000145	Syai.g_00660	Praa.g_00764
OG0000146	Syai.g_01513	Praa.g_00767
OG0000147	Syai.g_01514	Praa.g_00768
OG0000148	Syai.g_01361	Praa.g_00820
OG0000149	Syai.g_02059	Praa.g_00851
OG0000150	Syai.g_00717	Praa.g_00859
OG0000151	Syai.g_01280	Praa.g_00917
OG0000152	Syai.g_01503	Praa.g_00964
OG0000153	Syai.g_01461	Praa.g_00983
OG0000154	Syai.g_01434	Praa.g_01013
OG0000155	Syai.g_02109	Praa.g_01179
OG0000156	Syai.g_02162	Praa.g_01307
OG0000157	Syai.g_02163	Praa.g_01308
OG0000158	Syai.g_00135	Praa.g_01395
OG0000160	Syai.g_00952	Praa.g_01477
OG0000161	Syai.g_00946	Praa.g_01483
OG0000162	Syai.g_00939	Praa.g_01489
OG0000163	Syai.g_02300	Praa.g_01523
OG0000164	Syai.g_02411	Praa.g_01659
OG0000165	Syai.g_02244	Praa.g_01667
OG0000166	Syai.g_00364	Praa.g_01739
OG0000167	Syai.g_00164	Praa.g_01806
OG0000168	Syai.g_00134	Praa.g_01816
OG0000169	Syai.g_00123	Praa.g_01826
OG0000170	Syai.g_00116	Praa.g_01828
OG0000171	Syai.g_00090	Praa.g_01847
OG0000172	Syai.g_00083	Praa.g_01856
OG0000173	Syai.g_00064	Praa.g_01871
OG0000174	Syai.g_02828	Praa.g_01898
OG0000175	Syai.g_02901	Praa.g_01908
OG0000176	Syai.g_00004	Praa.g_00004
OG0000177	Syai.g_00005	Praa.g_00005
OG0000178	Syai.g_00006	Praa.g_00006
OG0000179	Syai.g_00023	Praa.g_00016
OG0000180	Syai.g_00024	Praa.g_00017
OG0000181	Syai.g_00025	Praa.g_00018
OG0000182	Syai.g_00026	Praa.g_00019
OG0000183	Syai.g_00030	Praa.g_00023
OG0000184	Syai.g_02756	Praa.g_00046
OG0000185	Syai.g_02734	Praa.g_00049
OG0000186	Syai.g_02469	Praa.g_00064
OG0000187	Syai.g_02471	Praa.g_00065
OG0000188	Syai.g_02494	Praa.g_00082
OG0000189	Syai.g_02530	Praa.g_00096
OG0000190	Syai.g_02532	Praa.g_00097
OG0000191	Syai.g_02562	Praa.g_00117
OG0000192	Syai.g_02569	Praa.g_00121
OG0000193	Syai.g_02609	Praa.g_00146
OG0000194	Syai.g_02612	Praa.g_00149
OG0000195	Syai.g_02614	Praa.g_00151
OG0000196	Syai.g_02625	Praa.g_00161
OG0000197	Syai.g_02626	Praa.g_00162
OG0000198	Syai.g_02627	Praa.g_00163
OG0000199	Syai.g_02635	Praa.g_00170
OG0000200	Syai.g_02651	Praa.g_00184
OG0000202	Syai.g_02668	Praa.g_00193
OG0000203	Syai.g_02669	Praa.g_00194
OG0000204	Syai.g_02670	Praa.g_00195
OG0000205	Syai.g_02677	Praa.g_00202
OG0000206	Syai.g_02684	Praa.g_00207
OG0000207	Syai.g_02686	Praa.g_00209
OG0000208	Syai.g_02687	Praa.g_00210
OG0000209	Syai.g_02699	Praa.g_00219
OG0000210	Syai.g_02700	Praa.g_00220
OG0000212	Syai.g_00544	Praa.g_00240
OG0000213	Syai.g_00292	Praa.g_00257
OG0000214	Syai.g_00276	Praa.g_00267
OG0000215	Syai.g_00245	Praa.g_00292
OG0000216	Syai.g_00241	Praa.g_00294
OG0000217	Syai.g_00237	Praa.g_00297
OG0000218	Syai.g_00235	Praa.g_00299
OG0000219	Syai.g_00234	Praa.g_00300
OG0000220	Syai.g_00233	Praa.g_00301
OG0000221	Syai.g_00227	Praa.g_00302
OG0000222	Syai.g_00215	Praa.g_00310
OG0000223	Syai.g_00194	Praa.g_00323
OG0000224	Syai.g_00186	Praa.g_00325
OG0000225	Syai.g_00502	Praa.g_00345
OG0000226	Syai.g_00506	Praa.g_00349
OG0000227	Syai.g_00508	Praa.g_00351
OG0000228	Syai.g_00516	Praa.g_00354
OG0000229	Syai.g_02228	Praa.g_00436
OG0000230	Syai.g_02226	Praa.g_00437
OG0000231	Syai.g_02208	Praa.g_00448
OG0000232	Syai.g_00846	Praa.g_00457
OG0000233	Syai.g_00855	Praa.g_00463
OG0000234	Syai.g_00866	Praa.g_00476
OG0000235	Syai.g_00637	Praa.g_00479
OG0000236	Syai.g_00652	Praa.g_00493
OG0000237	Syai.g_00669	Praa.g_00506
OG0000238	Syai.g_00674	Praa.g_00512
OG0000239	Syai.g_00691	Praa.g_00525
OG0000240	Syai.g_00692	Praa.g_00526
OG0000241	Syai.g_01089, Syai.g_01085	Praa.g_00530
OG0000242	Syai.g_00705	Praa.g_00532
OG0000243	Syai.g_00726	Praa.g_00544
OG0000244	Syai.g_00731	Praa.g_00547
OG0000245	Syai.g_00733	Praa.g_00549
OG0000246	Syai.g_00737	Praa.g_00553
OG0000247	Syai.g_00748	Praa.g_00563
OG0000248	Syai.g_00751	Praa.g_00565
OG0000249	Syai.g_00753	Praa.g_00567
OG0000250	Syai.g_00762	Praa.g_00572
OG0000251	Syai.g_00789	Praa.g_00591
OG0000252	Syai.g_00797	Praa.g_00594
OG0000253	Syai.g_00798	Praa.g_00595
OG0000254	Syai.g_01045	Praa.g_00611
OG0000255	Syai.g_01061	Praa.g_00617
OG0000256	Syai.g_01077	Praa.g_00627
OG0000257	Syai.g_01084	Praa.g_00630
OG0000258	Syai.g_01113	Praa.g_00643
OG0000259	Syai.g_01229	Praa.g_00660
OG0000260	Syai.g_01232	Praa.g_00663
OG0000261	Syai.g_01235	Praa.g_00665
OG0000262	Syai.g_01240	Praa.g_00669
OG0000263	Syai.g_01776	Praa.g_00681
OG0000264	Syai.g_01962	Praa.g_00691
OG0000265	Syai.g_02245	Praa.g_00711
OG0000266	Syai.g_01401	Praa.g_00721
OG0000267	Syai.g_01569	Praa.g_00732
OG0000268	Syai.g_01568	Praa.g_00733
OG0000269	Syai.g_01316	Praa.g_00798
OG0000270	Syai.g_01319	Praa.g_00801
OG0000271	Syai.g_01327	Praa.g_00809
OG0000272	Syai.g_01328	Praa.g_00810, Praa.g_00811
OG0000273	Syai.g_02037	Praa.g_00834
OG0000274	Syai.g_02038	Praa.g_00835
OG0000275	Syai.g_02043	Praa.g_00838
OG0000276	Syai.g_02051	Praa.g_00843
OG0000277	Syai.g_02052	Praa.g_00844
OG0000278	Syai.g_02055	Praa.g_00847
OG0000279	Syai.g_02063	Praa.g_00854
OG0000280	Syai.g_02084	Praa.g_00855
OG0000281	Syai.g_01719	Praa.g_00860
OG0000282	Syai.g_01263	Praa.g_00909
OG0000283	Syai.g_01554	Praa.g_00941
OG0000284	Syai.g_01548	Praa.g_00946
OG0000285	Syai.g_01522	Praa.g_00951
OG0000286	Syai.g_01504	Praa.g_00963
OG0000288	Syai.g_01435	Praa.g_01012
OG0000289	Syai.g_01421	Praa.g_01023
OG0000290	Syai.g_02010	Praa.g_01036
OG0000291	Syai.g_02008	Praa.g_01038
OG0000292	Syai.g_02926	Praa.g_01089
OG0000293	Syai.g_02155	Praa.g_01151
OG0000294	Syai.g_02154	Praa.g_01152
OG0000295	Syai.g_02117	Praa.g_01171
OG0000296	Syai.g_02115	Praa.g_01173
OG0000297	Syai.g_01754	Praa.g_01181
OG0000298	Syai.g_01755	Praa.g_01182
OG0000299	Syai.g_01783	Praa.g_01199
OG0000300	Syai.g_01790	Praa.g_01202
OG0000301	Syai.g_01791	Praa.g_01203
OG0000302	Syai.g_01793	Praa.g_01205
OG0000303	Syai.g_01802	Praa.g_01212
OG0000304	Syai.g_01826	Praa.g_01216
OG0000305	Syai.g_02005	Praa.g_01358
OG0000306	Syai.g_02090	Praa.g_01361
OG0000307	Syai.g_00619	Praa.g_01375
OG0000308	Syai.g_00617	Praa.g_01376
OG0000309	Syai.g_00612	Praa.g_01380
OG0000310	Syai.g_00989	Praa.g_01461
OG0000311	Syai.g_00985	Praa.g_01463
OG0000312	Syai.g_00966	Praa.g_01466
OG0000313	Syai.g_00949	Praa.g_01480
OG0000314	Syai.g_00908	Praa.g_01503
OG0000315	Syai.g_00897	Praa.g_01513
OG0000316	Syai.g_02320, Syai.g_02322	Praa.g_01533
OG0000317	Syai.g_02373	Praa.g_01633
OG0000318	Syai.g_02379	Praa.g_01636
OG0000319	Syai.g_02395	Praa.g_01649
OG0000320	Syai.g_02397	Praa.g_01651
OG0000321	Syai.g_02398	Praa.g_01652
OG0000322	Syai.g_02399	Praa.g_01653
OG0000323	Syai.g_02413	Praa.g_01662
OG0000324	Syai.g_02272	Praa.g_01690
OG0000325	Syai.g_00320	Praa.g_01700
OG0000326	Syai.g_00327	Praa.g_01706
OG0000327	Syai.g_00359	Praa.g_01734
OG0000328	Syai.g_00360	Praa.g_01735
OG0000329	Syai.g_00378	Praa.g_01752
OG0000330	Syai.g_00379	Praa.g_01753
OG0000331	Syai.g_00380	Praa.g_01754
OG0000332	Syai.g_00395	Praa.g_01768
OG0000333	Syai.g_00398	Praa.g_01770
OG0000334	Syai.g_00407	Praa.g_01778
OG0000335	Syai.g_00412	Praa.g_01783
OG0000336	Syai.g_00416	Praa.g_01787
OG0000337	Syai.g_00169	Praa.g_01804
OG0000338	Syai.g_00166	Praa.g_01805
OG0000339	Syai.g_00160	Praa.g_01809
OG0000340	Syai.g_00133	Praa.g_01817
OG0000341	Syai.g_00131	Praa.g_01819
OG0000342	Syai.g_00130	Praa.g_01820
OG0000343	Syai.g_00129	Praa.g_01821
OG0000344	Syai.g_00125	Praa.g_01824
OG0000345	Syai.g_00115	Praa.g_01829
OG0000346	Syai.g_00110	Praa.g_01833
OG0000347	Syai.g_00087	Praa.g_01849
OG0000348	Syai.g_00076	Praa.g_01859
OG0000349	Syai.g_00057	Praa.g_01876
OG0000350	Syai.g_00334	Praa.g_01894
OG0000351	Syai.g_02904	Praa.g_01911
OG0000352	Syai.g_02905	Praa.g_01912
OG0000353	Syai.g_02932	Praa.g_01927
OG0000355	Syai.g_00001	Praa.g_00001
OG0000356	Syai.g_00002	Praa.g_00002
OG0000357	Syai.g_00003	Praa.g_00003
OG0000358	Syai.g_00007	Praa.g_00007
OG0000359	Syai.g_00009	Praa.g_00008
OG0000360	Syai.g_00010	Praa.g_00009
OG0000361	Syai.g_00011	Praa.g_00010
OG0000362	Syai.g_00013	Praa.g_00012
OG0000363	Syai.g_00015	Praa.g_00014
OG0000364	Syai.g_00016	Praa.g_00015
OG0000365	Syai.g_00027	Praa.g_00020
OG0000366	Syai.g_00028	Praa.g_00021
OG0000367	Syai.g_00029	Praa.g_00022
OG0000368	Syai.g_00031	Praa.g_00024
OG0000369	Syai.g_00032	Praa.g_00025
OG0000370	Syai.g_00033	Praa.g_00026
OG0000371	Syai.g_00041	Praa.g_00032
OG0000372	Syai.g_00047	Praa.g_00035
OG0000373	Syai.g_00048	Praa.g_00036
OG0000374	Syai.g_00049	Praa.g_00037
OG0000375	Syai.g_00053	Praa.g_00040
OG0000376	Syai.g_00055	Praa.g_00042
OG0000377	Syai.g_02769	Praa.g_00045
OG0000378	Syai.g_02751	Praa.g_00047
OG0000379	Syai.g_02733	Praa.g_00050
OG0000380	Syai.g_02472	Praa.g_00066
OG0000381	Syai.g_02475	Praa.g_00070
OG0000382	Syai.g_02493	Praa.g_00081
OG0000383	Syai.g_02498	Praa.g_00083
OG0000384	Syai.g_02499	Praa.g_00084
OG0000385	Syai.g_02500	Praa.g_00085
OG0000386	Syai.g_02501	Praa.g_00086
OG0000387	Syai.g_02534	Praa.g_00099
OG0000388	Syai.g_02538	Praa.g_00102
OG0000389	Syai.g_02542	Praa.g_00106
OG0000390	Syai.g_02556	Praa.g_00113
OG0000391	Syai.g_02561	Praa.g_00116
OG0000392	Syai.g_02568	Praa.g_00120
OG0000393	Syai.g_02570	Praa.g_00122
OG0000394	Syai.g_02571	Praa.g_00123
OG0000395	Syai.g_02572	Praa.g_00124
OG0000396	Syai.g_02575	Praa.g_00127
OG0000397	Syai.g_02577	Praa.g_00129
OG0000398	Syai.g_02582	Praa.g_00131
OG0000399	Syai.g_02583	Praa.g_00132
OG0000400	Syai.g_02584	Praa.g_00133
OG0000401	Syai.g_02585	Praa.g_00134
OG0000402	Syai.g_02588	Praa.g_00136
OG0000403	Syai.g_02589	Praa.g_00137
OG0000404	Syai.g_02590	Praa.g_00138
OG0000405	Syai.g_02606	Praa.g_00142
OG0000406	Syai.g_02610	Praa.g_00147
OG0000407	Syai.g_02611	Praa.g_00148
OG0000408	Syai.g_02613	Praa.g_00150
OG0000409	Syai.g_02615	Praa.g_00152
OG0000410	Syai.g_02616	Praa.g_00153
OG0000411	Syai.g_02617	Praa.g_00154
OG0000412	Syai.g_02618	Praa.g_00155
OG0000413	Syai.g_02620	Praa.g_00156
OG0000414	Syai.g_02621	Praa.g_00157
OG0000415	Syai.g_02622	Praa.g_00158
OG0000416	Syai.g_02623	Praa.g_00159
OG0000417	Syai.g_02624	Praa.g_00160
OG0000418	Syai.g_02629	Praa.g_00165
OG0000419	Syai.g_02631	Praa.g_00167
OG0000420	Syai.g_02633	Praa.g_00168
OG0000421	Syai.g_02638	Praa.g_00173
OG0000422	Syai.g_02639	Praa.g_00174
OG0000423	Syai.g_02640	Praa.g_00175
OG0000424	Syai.g_02641	Praa.g_00176
OG0000425	Syai.g_02642	Praa.g_00177
OG0000426	Syai.g_02643	Praa.g_00178
OG0000427	Syai.g_02644	Praa.g_00179
OG0000428	Syai.g_02647	Praa.g_00181
OG0000429	Syai.g_02649	Praa.g_00182
OG0000430	Syai.g_02650	Praa.g_00183
OG0000431	Syai.g_02654	Praa.g_00185
OG0000432	Syai.g_02660	Praa.g_00188
OG0000433	Syai.g_02662	Praa.g_00189
OG0000434	Syai.g_02663	Praa.g_00190
