Orthogroup	Syai	Prbe
OG0000001	Syai.g_01716	Prbe.g_00400, Prbe.g_00112
OG0000002	Syai.g_01728	Prbe.g_01285, Prbe.g_01290, Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Syai.g_01994	Prbe.g_01203
OG0000004	Syai.g_01062, Syai.g_00530	Prbe.g_01784
OG0000005	Syai.g_02356	Prbe.g_00228
OG0000006	Syai.g_00317, Syai.g_00547	Prbe.g_01794
OG0000007	Syai.g_00657	Prbe.g_00636
OG0000007	Syai.g_02378	Prbe.g_00985
OG0000008	Syai.g_01956	Prbe.g_00036
OG0000008	Syai.g_01955	Prbe.g_00037
OG0000009	Syai.g_01626	Prbe.g_00216
OG0000010	Syai.g_00864	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000012	Syai.g_01068	Prbe.g_00511
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prbe.g_01879
OG0000014	Syai.g_00220	Prbe.g_01861
OG0000015	Syai.g_01246, Syai.g_01245	Prbe.g_01046, Prbe.g_01000
OG0000016	Syai.g_01785, Syai.g_01632	Prbe.g_01607
OG0000017	Syai.g_00808	Prbe.g_00529
OG0000017	Syai.g_00801	Prbe.g_00536
OG0000018	Syai.g_00915	Prbe.g_01571, Prbe.g_01250
OG0000019	Syai.g_00304	Prbe.g_01802, Prbe.g_01573
OG0000020	Syai.g_00476	Prbe.g_00204, Prbe.g_00018
OG0000021	Syai.g_00556	Prbe.g_01208
OG0000022	Syai.g_01159	Prbe.g_00220
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbe.g_00062
OG0000024	Syai.g_01951	Prbe.g_01415, Prbe.g_00449
OG0000025	Syai.g_02044	Prbe.g_01258
OG0000026	Syai.g_00038	Prbe.g_00132
OG0000027	Syai.g_01128, Syai.g_01654	Prbe.g_01121, Prbe.g_00012
OG0000028	Syai.g_00205	Prbe.g_00034
OG0000029	Syai.g_01035, Syai.g_01584	Prbe.g_01091, Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Syai.g_00096, Syai.g_00095	Prbe.g_00763
OG0000032	Syai.g_00895	Prbe.g_00272
OG0000033	Syai.g_02634	Prbe.g_01717
OG0000034	Syai.g_02192, Syai.g_02604	Prbe.g_00882
OG0000035	Syai.g_00955	Prbe.g_00311
OG0000037	Syai.g_02544, Syai.g_02815	Prbe.g_01651
OG0000038	Syai.g_02780	Prbe.g_01156
OG0000039	Syai.g_02034	Prbe.g_00461
OG0000041	Syai.g_02265	Prbe.g_00938
OG0000042	Syai.g_00099	Prbe.g_00766
OG0000045	Syai.g_02432	Prbe.g_01593
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prbe.g_01880
OG0000047	Syai.g_00462	Prbe.g_01921
OG0000048	Syai.g_00272	Prbe.g_00906, Prbe.g_01825
OG0000052	Syai.g_00176	Prbe.g_00333
OG0000053	Syai.g_00930	Prbe.g_01040, Prbe.g_00290
OG0000054	Syai.g_01040	Prbe.g_00527
OG0000055	Syai.g_02029	Prbe.g_01598
OG0000057	Syai.g_01997	Prbe.g_01206
OG0000058	Syai.g_00195	Prbe.g_00351
OG0000059	Syai.g_00351	Prbe.g_01094
OG0000061	Syai.g_02144	Prbe.g_01549
OG0000062	Syai.g_02358	Prbe.g_00226
OG0000063	Syai.g_00042	Prbe.g_00021
OG0000064	Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668, Syai.g_02350	Prbe.g_00172
OG0000066	Syai.g_01709, Syai.g_00719	Prbe.g_00596, Prbe.g_01114
OG0000067	Syai.g_01321	Prbe.g_01222
OG0000068	Syai.g_00628	Prbe.g_00373
OG0000070	Syai.g_02196	Prbe.g_01948
OG0000071	Syai.g_02179	Prbe.g_00893
OG0000072	Syai.g_02636	Prbe.g_01719
OG0000073	Syai.g_00659	Prbe.g_00633
OG0000075	Syai.g_00161	Prbe.g_00800
OG0000076	Syai.g_00111	Prbe.g_00774
OG0000077	Syai.g_02486	Prbe.g_00183
OG0000078	Syai.g_00543	Prbe.g_01792
OG0000079	Syai.g_00300	Prbe.g_01805
OG0000081	Syai.g_00553	Prbe.g_00604
OG0000082	Syai.g_00781	Prbe.g_00549, Prbe.g_00996
OG0000084	Syai.g_00958	Prbe.g_00314
OG0000085	Syai.g_02365	Prbe.g_00993, Prbe.g_00007
OG0000086	Syai.g_02507	Prbe.g_00192
OG0000087	Syai.g_02592	Prbe.g_01683
OG0000088	Syai.g_02630	Prbe.g_01714
OG0000089	Syai.g_00517	Prbe.g_01915
OG0000090	Syai.g_00707	Prbe.g_00602
OG0000091	Syai.g_01112	Prbe.g_01477
OG0000092	Syai.g_01358	Prbe.g_00422
OG0000097	Syai.g_01787	Prbe.g_01503
OG0000098	Syai.g_01718	Prbe.g_00397
OG0000099	Syai.g_00199	Prbe.g_00350
OG0000100	Syai.g_01372	Prbe.g_00232
OG0000101	Syai.g_00404	Prbe.g_00836
OG0000102	Syai.g_00106	Prbe.g_00769
OG0000103	Syai.g_02912	Prbe.g_01195
OG0000104	Syai.g_02929	Prbe.g_01061
OG0000105	Syai.g_00267	Prbe.g_01828
OG0000106	Syai.g_01601	Prbe.g_00740
OG0000107	Syai.g_00319	Prbe.g_00921
OG0000108	Syai.g_00638	Prbe.g_00653
OG0000109	Syai.g_00653	Prbe.g_00639
OG0000110	Syai.g_00766	Prbe.g_00560
OG0000111	Syai.g_00884	Prbe.g_01207
OG0000112	Syai.g_01512	Prbe.g_00487
OG0000113	Syai.g_01367	Prbe.g_01245
OG0000114	Syai.g_01261	Prbe.g_00417
OG0000115	Syai.g_00932	Prbe.g_01618
OG0000116	Syai.g_02156	Prbe.g_01560
OG0000117	Syai.g_01756	Prbe.g_01522
OG0000118	Syai.g_00818	Prbe.g_00880
OG0000119	Syai.g_02127	Prbe.g_01603, Prbe.g_00214
OG0000120	Syai.g_00198	Prbe.g_00353
OG0000121	Syai.g_00951	Prbe.g_00309
OG0000122	Syai.g_01143	Prbe.g_01625, Prbe.g_00268
OG0000123	Syai.g_00411	Prbe.g_00829
OG0000124	Syai.g_00089	Prbe.g_00745
OG0000125	Syai.g_02782	Prbe.g_01158
OG0000126	Syai.g_02927	Prbe.g_01060
OG0000128	Syai.g_00012	Prbe.g_01076
OG0000129	Syai.g_02771	Prbe.g_00145
OG0000130	Syai.g_02474	Prbe.g_00174
OG0000131	Syai.g_02608	Prbe.g_01692
OG0000132	Syai.g_02628	Prbe.g_01712
OG0000133	Syai.g_01507	Prbe.g_01875
OG0000134	Syai.g_00520	Prbe.g_01917
OG0000135	Syai.g_02826	Prbe.g_00911
OG0000136	Syai.g_02217	Prbe.g_01939
OG0000137	Syai.g_00865	Prbe.g_00658
OG0000138	Syai.g_00654	Prbe.g_00638
OG0000139	Syai.g_00714	Prbe.g_00598
OG0000140	Syai.g_00716	Prbe.g_00597
OG0000141	Syai.g_01041	Prbe.g_00526
OG0000142	Syai.g_01104	Prbe.g_01485
OG0000143	Syai.g_01108	Prbe.g_01481
OG0000144	Syai.g_01608	Prbe.g_01467
OG0000145	Syai.g_00660	Prbe.g_00909
OG0000146	Syai.g_01513	Prbe.g_00488
OG0000147	Syai.g_01514	Prbe.g_00489
OG0000148	Syai.g_01361	Prbe.g_01239
OG0000149	Syai.g_02059	Prbe.g_01271
OG0000150	Syai.g_00717	Prbe.g_01281
OG0000151	Syai.g_01280	Prbe.g_00427
OG0000152	Syai.g_01503	Prbe.g_01350
OG0000153	Syai.g_01461	Prbe.g_01369
OG0000154	Syai.g_01434	Prbe.g_01389
OG0000155	Syai.g_02109	Prbe.g_01528
OG0000156	Syai.g_02162	Prbe.g_00904
OG0000157	Syai.g_02163	Prbe.g_00903
OG0000158	Syai.g_00135	Prbe.g_00792
OG0000160	Syai.g_00952	Prbe.g_00310
OG0000161	Syai.g_00946	Prbe.g_00304
OG0000162	Syai.g_00939	Prbe.g_00298
OG0000163	Syai.g_02300	Prbe.g_00259
OG0000164	Syai.g_02411	Prbe.g_00961
OG0000165	Syai.g_02244	Prbe.g_00954
OG0000166	Syai.g_00364	Prbe.g_01083
OG0000167	Syai.g_00164	Prbe.g_00802
OG0000168	Syai.g_00134	Prbe.g_00791
OG0000169	Syai.g_00123	Prbe.g_00781
OG0000170	Syai.g_00116	Prbe.g_00778
OG0000171	Syai.g_00090	Prbe.g_00758
OG0000172	Syai.g_00083	Prbe.g_00751
OG0000173	Syai.g_00064	Prbe.g_01143
OG0000174	Syai.g_02828	Prbe.g_01173
OG0000175	Syai.g_02901	Prbe.g_01186
OG0000176	Syai.g_00004	Prbe.g_01069
OG0000177	Syai.g_00005	Prbe.g_01070
OG0000178	Syai.g_00006	Prbe.g_01071
OG0000179	Syai.g_00023	Prbe.g_00116
OG0000180	Syai.g_00024	Prbe.g_00117
OG0000181	Syai.g_00025	Prbe.g_00118
OG0000182	Syai.g_00026	Prbe.g_00119
OG0000183	Syai.g_00030	Prbe.g_00123
OG0000184	Syai.g_02756	Prbe.g_00149
OG0000185	Syai.g_02734	Prbe.g_00152
OG0000186	Syai.g_02469	Prbe.g_00168
OG0000187	Syai.g_02471	Prbe.g_00169
OG0000188	Syai.g_02494	Prbe.g_00186
OG0000189	Syai.g_02530	Prbe.g_01636
OG0000190	Syai.g_02532	Prbe.g_01638
OG0000191	Syai.g_02562	Prbe.g_01661
OG0000192	Syai.g_02569	Prbe.g_01666
OG0000193	Syai.g_02609	Prbe.g_01693
OG0000194	Syai.g_02612	Prbe.g_01696
OG0000195	Syai.g_02614	Prbe.g_01698
OG0000196	Syai.g_02625	Prbe.g_01709
OG0000197	Syai.g_02626	Prbe.g_01710
OG0000198	Syai.g_02627	Prbe.g_01711
OG0000199	Syai.g_02635	Prbe.g_01718
OG0000200	Syai.g_02651	Prbe.g_01732
OG0000202	Syai.g_02668	Prbe.g_01742
OG0000203	Syai.g_02669	Prbe.g_01743
OG0000204	Syai.g_02670	Prbe.g_01744
OG0000205	Syai.g_02677	Prbe.g_01751
OG0000206	Syai.g_02684	Prbe.g_01756
OG0000207	Syai.g_02686	Prbe.g_01759
OG0000208	Syai.g_02687	Prbe.g_01760
OG0000209	Syai.g_02699	Prbe.g_01769
OG0000210	Syai.g_02700	Prbe.g_01770
OG0000211	Syai.g_00533	Prbe.g_01785
OG0000212	Syai.g_00544	Prbe.g_01793
OG0000213	Syai.g_00292	Prbe.g_01811
OG0000214	Syai.g_00276	Prbe.g_01821
OG0000215	Syai.g_00245	Prbe.g_01848
OG0000216	Syai.g_00241	Prbe.g_01849
OG0000217	Syai.g_00237	Prbe.g_01852
OG0000218	Syai.g_00235	Prbe.g_01854
OG0000219	Syai.g_00234	Prbe.g_01855
OG0000220	Syai.g_00233	Prbe.g_01856
OG0000221	Syai.g_00227	Prbe.g_01857
OG0000222	Syai.g_00215	Prbe.g_01864
OG0000223	Syai.g_00194	Prbe.g_01876
OG0000224	Syai.g_00186	Prbe.g_01878
OG0000225	Syai.g_00502	Prbe.g_01904
OG0000226	Syai.g_00506	Prbe.g_01908
OG0000227	Syai.g_00508	Prbe.g_01910
OG0000228	Syai.g_00516	Prbe.g_01914
OG0000229	Syai.g_02228	Prbe.g_01934
OG0000230	Syai.g_02226	Prbe.g_01936
OG0000231	Syai.g_02208	Prbe.g_01947
OG0000232	Syai.g_00846	Prbe.g_00672
OG0000233	Syai.g_00855	Prbe.g_00666
OG0000234	Syai.g_00866	Prbe.g_00657
OG0000235	Syai.g_00637	Prbe.g_00654
OG0000236	Syai.g_00652	Prbe.g_00640
OG0000237	Syai.g_00669	Prbe.g_00627
OG0000238	Syai.g_00674	Prbe.g_00621
OG0000239	Syai.g_00691	Prbe.g_00610
OG0000240	Syai.g_00692	Prbe.g_00609
OG0000241	Syai.g_01089, Syai.g_01085	Prbe.g_00605
OG0000242	Syai.g_00705	Prbe.g_00603
OG0000243	Syai.g_00726	Prbe.g_00592
OG0000244	Syai.g_00731	Prbe.g_00589
OG0000245	Syai.g_00733	Prbe.g_00587
OG0000246	Syai.g_00737	Prbe.g_00583
OG0000247	Syai.g_00748	Prbe.g_00573
OG0000248	Syai.g_00751	Prbe.g_00570
OG0000249	Syai.g_00753	Prbe.g_00568
OG0000250	Syai.g_00762	Prbe.g_00563
OG0000251	Syai.g_00789	Prbe.g_00543
OG0000252	Syai.g_00797	Prbe.g_00540
OG0000253	Syai.g_00798	Prbe.g_00539
OG0000254	Syai.g_01045	Prbe.g_00522
OG0000255	Syai.g_01061	Prbe.g_00516
OG0000256	Syai.g_01077	Prbe.g_00506
OG0000257	Syai.g_01084	Prbe.g_01490
OG0000258	Syai.g_01113	Prbe.g_01476
OG0000259	Syai.g_01229	Prbe.g_01459
OG0000260	Syai.g_01232	Prbe.g_01456
OG0000261	Syai.g_01235	Prbe.g_01453
OG0000262	Syai.g_01240	Prbe.g_01449
OG0000263	Syai.g_01776	Prbe.g_00455
OG0000264	Syai.g_01962	Prbe.g_00466
OG0000265	Syai.g_02245	Prbe.g_01214
OG0000266	Syai.g_01401	Prbe.g_01430
OG0000267	Syai.g_01569	Prbe.g_01418
OG0000268	Syai.g_01568	Prbe.g_01417
OG0000269	Syai.g_01316	Prbe.g_01217
OG0000270	Syai.g_01319	Prbe.g_01220
OG0000271	Syai.g_01327	Prbe.g_01228
OG0000272	Syai.g_01328	Prbe.g_01229
OG0000273	Syai.g_02037	Prbe.g_01253
OG0000274	Syai.g_02038	Prbe.g_01254
OG0000275	Syai.g_02043	Prbe.g_01257
OG0000276	Syai.g_02051	Prbe.g_01263
OG0000277	Syai.g_02052	Prbe.g_01264
OG0000278	Syai.g_02055	Prbe.g_01267
OG0000279	Syai.g_02063	Prbe.g_01274
OG0000280	Syai.g_02084	Prbe.g_01275
OG0000281	Syai.g_01719	Prbe.g_01282
OG0000282	Syai.g_01263	Prbe.g_00419
OG0000283	Syai.g_01554	Prbe.g_01326
OG0000284	Syai.g_01548	Prbe.g_01331
OG0000285	Syai.g_01522	Prbe.g_01336
OG0000286	Syai.g_01504	Prbe.g_01349
OG0000287	Syai.g_01469	Prbe.g_01615
OG0000288	Syai.g_01435	Prbe.g_01388
OG0000289	Syai.g_01421	Prbe.g_01404
OG0000290	Syai.g_02010	Prbe.g_01300
OG0000291	Syai.g_02008	Prbe.g_01298
OG0000292	Syai.g_02926	Prbe.g_01594
OG0000293	Syai.g_02155	Prbe.g_01559
OG0000294	Syai.g_02154	Prbe.g_01558
OG0000295	Syai.g_02117	Prbe.g_01535
OG0000296	Syai.g_02115	Prbe.g_01533
OG0000297	Syai.g_01754	Prbe.g_01524
OG0000298	Syai.g_01755	Prbe.g_01523
OG0000299	Syai.g_01783	Prbe.g_01504
OG0000300	Syai.g_01790	Prbe.g_01501
OG0000301	Syai.g_01791	Prbe.g_01500
OG0000302	Syai.g_01793	Prbe.g_01498
OG0000303	Syai.g_01802	Prbe.g_01492
OG0000304	Syai.g_01826	Prbe.g_00501
OG0000305	Syai.g_02005	Prbe.g_01592
OG0000306	Syai.g_02090	Prbe.g_01286
OG0000307	Syai.g_00619	Prbe.g_00364
OG0000308	Syai.g_00617	Prbe.g_00363
OG0000309	Syai.g_00612	Prbe.g_00359
OG0000310	Syai.g_00989	Prbe.g_00325
OG0000311	Syai.g_00985	Prbe.g_00323
OG0000312	Syai.g_00966	Prbe.g_00320
OG0000313	Syai.g_00949	Prbe.g_00307
OG0000314	Syai.g_00908	Prbe.g_00284
OG0000315	Syai.g_00897	Prbe.g_00274
OG0000316	Syai.g_02320, Syai.g_02322	Prbe.g_00249
OG0000317	Syai.g_02373	Prbe.g_00988
OG0000318	Syai.g_02379	Prbe.g_00984
OG0000319	Syai.g_02395	Prbe.g_00971
OG0000320	Syai.g_02397	Prbe.g_00969
OG0000321	Syai.g_02398	Prbe.g_00968
OG0000322	Syai.g_02399	Prbe.g_00967
OG0000323	Syai.g_02413	Prbe.g_00958
OG0000324	Syai.g_02272	Prbe.g_00931
OG0000325	Syai.g_00320	Prbe.g_00920
OG0000326	Syai.g_00327	Prbe.g_01109
OG0000327	Syai.g_00359	Prbe.g_01088
OG0000328	Syai.g_00360	Prbe.g_01087
OG0000329	Syai.g_00378	Prbe.g_00860
OG0000330	Syai.g_00379	Prbe.g_00859
OG0000331	Syai.g_00380	Prbe.g_00858
OG0000332	Syai.g_00395	Prbe.g_00844
OG0000333	Syai.g_00398	Prbe.g_00842
OG0000334	Syai.g_00407	Prbe.g_00833
OG0000335	Syai.g_00412	Prbe.g_00828
OG0000336	Syai.g_00416	Prbe.g_00824
OG0000337	Syai.g_00169	Prbe.g_00806
OG0000338	Syai.g_00166	Prbe.g_00805
OG0000339	Syai.g_00160	Prbe.g_00799
OG0000340	Syai.g_00133	Prbe.g_00790
OG0000341	Syai.g_00131	Prbe.g_00788
OG0000342	Syai.g_00130	Prbe.g_00787
OG0000343	Syai.g_00129	Prbe.g_00786
OG0000344	Syai.g_00125	Prbe.g_00783
OG0000345	Syai.g_00115	Prbe.g_00777
OG0000346	Syai.g_00110	Prbe.g_00773
OG0000347	Syai.g_00087	Prbe.g_00746
OG0000348	Syai.g_00076	Prbe.g_00754
OG0000349	Syai.g_00057	Prbe.g_01149
OG0000350	Syai.g_00334	Prbe.g_00709
OG0000351	Syai.g_02904	Prbe.g_01189
OG0000352	Syai.g_02905	Prbe.g_01190
OG0000353	Syai.g_02932	Prbe.g_01064
OG0000355	Syai.g_00001	Prbe.g_01066
OG0000356	Syai.g_00002	Prbe.g_01067
OG0000357	Syai.g_00003	Prbe.g_01068
OG0000358	Syai.g_00007	Prbe.g_01072
OG0000359	Syai.g_00009	Prbe.g_01073
OG0000360	Syai.g_00010	Prbe.g_01074
OG0000361	Syai.g_00011	Prbe.g_01075
OG0000362	Syai.g_00013	Prbe.g_01077
OG0000363	Syai.g_00015	Prbe.g_00114
OG0000364	Syai.g_00016	Prbe.g_00115
OG0000365	Syai.g_00027	Prbe.g_00120
OG0000366	Syai.g_00028	Prbe.g_00121
OG0000367	Syai.g_00029	Prbe.g_00122
OG0000368	Syai.g_00031	Prbe.g_00124
