Orthogroup	Syai	Syal
OG0000001	Syai.g_01716	Syal.g_02193
OG0000001	Syai.g_01197, Syai.g_02594	Syal.g_02215
OG0000001	Syai.g_02595	Syal.g_00874, Syal.g_01184
OG0000004	Syai.g_01994	Syal.g_01809
OG0000004	Syai.g_01062	Syal.g_02718
OG0000004	Syai.g_00530	Syal.g_00691
OG0000005	Syai.g_02393	Syal.g_00606
OG0000005	Syai.g_02356	Syal.g_00565
OG0000005	Syai.g_02068, Syai.g_01611	Syal.g_01664
OG0000006	Syai.g_00317, Syai.g_00547	Syal.g_00674
OG0000006	Syai.g_01126	Syal.g_02611
OG0000007	Syai.g_00657	Syal.g_02918
OG0000007	Syai.g_02378	Syal.g_00587
OG0000008	Syai.g_01956	Syal.g_02512
OG0000008	Syai.g_01955	Syal.g_01783
OG0000009	Syai.g_01626	Syal.g_02089
OG0000009	Syai.g_02541	Syal.g_00818
OG0000010	Syai.g_00864	Syal.g_00464
OG0000012	Syai.g_01529, Syai.g_01650	Syal.g_02535, Syal.g_01639
OG0000013	Syai.g_00450	Syal.g_00322
OG0000013	Syai.g_00436	Syal.g_00310
OG0000013	Syai.g_00442	Syal.g_00315
OG0000014	Syai.g_00220	Syal.g_01305
OG0000016	Syai.g_00014	Syal.g_00111
OG0000016	Syai.g_01785	Syal.g_01734
OG0000017	Syai.g_00808	Syal.g_02745
OG0000017	Syai.g_00801	Syal.g_02752
OG0000018	Syai.g_00915	Syal.g_00410
OG0000019	Syai.g_00304	Syal.g_01209
OG0000022	Syai.g_01159	Syal.g_02587
OG0000023	Syai.g_02318	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Syai.g_01951	Syal.g_02597
OG0000025	Syai.g_02044	Syal.g_02459
OG0000026	Syai.g_00038	Syal.g_00132
OG0000027	Syai.g_01654	Syal.g_02543
OG0000028	Syai.g_00205	Syal.g_01319
OG0000029	Syai.g_01584	Syal.g_03014
OG0000030	Syai.g_00096	Syal.g_01511
OG0000030	Syai.g_00095	Syal.g_01512
OG0000031	Syai.g_00197	Syal.g_01404, Syal.g_01432
OG0000032	Syai.g_00895	Syal.g_00428
OG0000033	Syai.g_02634	Syal.g_00912
OG0000034	Syai.g_02192, Syai.g_02604	Syal.g_00881, Syal.g_01586
OG0000035	Syai.g_00955	Syal.g_00370
OG0000037	Syai.g_02544, Syai.g_02815	Syal.g_00824
OG0000038	Syai.g_02780	Syal.g_01071
OG0000040	Syai.g_02876	Syal.g_01149
OG0000041	Syai.g_02265	Syal.g_00649
OG0000042	Syai.g_00099	Syal.g_01705, Syal.g_01508
OG0000043	Syai.g_01599	Syal.g_02547
OG0000044	Syai.g_00833	Syal.g_01853
OG0000046	Syai.g_00435	Syal.g_00309
OG0000046	Syai.g_00443	Syal.g_00316
OG0000046	Syai.g_00449	Syal.g_00321
OG0000047	Syai.g_00462	Syal.g_01568
OG0000048	Syai.g_00272	Syal.g_01250
OG0000050	Syai.g_01332	Syal.g_01549
OG0000051	Syai.g_01773	Syal.g_01550
OG0000052	Syai.g_00176	Syal.g_01338
OG0000053	Syai.g_00930	Syal.g_00406
OG0000054	Syai.g_01040	Syal.g_02739
OG0000055	Syai.g_02029	Syal.g_01845
OG0000057	Syai.g_01997	Syal.g_01812
OG0000058	Syai.g_00195	Syal.g_01326
OG0000059	Syai.g_00351	Syal.g_00225
OG0000060	Syai.g_00635	Syal.g_02895
OG0000060	Syai.g_01758	Syal.g_02214
OG0000061	Syai.g_02144	Syal.g_01653
OG0000062	Syai.g_02358	Syal.g_00567
OG0000063	Syai.g_00042	Syal.g_00136
OG0000064	Syai.g_02844, Syai.g_01162	Syal.g_02544
OG0000064	Syai.g_01163, Syai.g_01668	Syal.g_01681
OG0000064	Syai.g_02350	Syal.g_01545
OG0000066	Syai.g_01709, Syai.g_00719	Syal.g_02828
OG0000067	Syai.g_01321	Syal.g_02414
OG0000068	Syai.g_00628	Syal.g_02888
OG0000070	Syai.g_02196	Syal.g_00509
OG0000071	Syai.g_02179	Syal.g_01601
OG0000072	Syai.g_02636	Syal.g_00914
OG0000073	Syai.g_00659	Syal.g_02920
OG0000075	Syai.g_00161	Syal.g_01350
