Orthogroup	Syai	Syap
OG0000001	Syai.g_00891, Syai.g_02595	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615
OG0000004	Syai.g_00530	Syap.g_01987
OG0000005	Syai.g_02393	Syap.g_01773
OG0000005	Syai.g_02356	Syap.g_01218
OG0000006	Syai.g_01126	Syap.g_02770
OG0000007	Syai.g_00657	Syap.g_00275
OG0000007	Syai.g_02378	Syap.g_00621
OG0000009	Syai.g_02541	Syap.g_02081
OG0000010	Syai.g_00864	Syap.g_02757
OG0000013	Syai.g_00436	Syap.g_00972
OG0000014	Syai.g_00220	Syap.g_01675
OG0000016	Syai.g_00014	Syap.g_00071
OG0000017	Syai.g_00801	Syap.g_00449
OG0000018	Syai.g_00915	Syap.g_02708, Syap.g_02010
OG0000019	Syai.g_00304	Syap.g_01586
OG0000025	Syai.g_02044	Syap.g_01846
OG0000027	Syai.g_01128	Syap.g_01440
OG0000028	Syai.g_00205	Syap.g_01658
OG0000030	Syai.g_00096	Syap.g_00787
OG0000030	Syai.g_00095	Syap.g_00788
OG0000031	Syai.g_00197	Syap.g_02479, Syap.g_01083, Syap.g_02076
OG0000033	Syai.g_02634	Syap.g_01198
OG0000034	Syai.g_02192, Syai.g_02604	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Syai.g_00955	Syap.g_02465
OG0000037	Syai.g_02815	Syap.g_02492
OG0000040	Syai.g_02876	Syap.g_01819
OG0000042	Syai.g_00099	Syap.g_01891, Syap.g_01120
OG0000043	Syai.g_01599	Syap.g_01998
OG0000044	Syai.g_00833	Syap.g_00378
OG0000045	Syai.g_02432	Syap.g_02525
OG0000048	Syai.g_00272	Syap.g_02340
OG0000051	Syai.g_01773	Syap.g_01574
OG0000053	Syai.g_00930	Syap.g_02006
OG0000054	Syai.g_01040	Syap.g_00678
OG0000059	Syai.g_00351	Syap.g_01082, Syap.g_02478
OG0000060	Syai.g_01758	Syap.g_00795
OG0000061	Syai.g_02144	Syap.g_00228
OG0000062	Syai.g_02358	Syap.g_01220
OG0000063	Syai.g_00042	Syap.g_01796
OG0000066	Syai.g_01709, Syai.g_00719	Syap.g_01972
OG0000067	Syai.g_01321	Syap.g_00194
OG0000068	Syai.g_00628	Syap.g_00108, Syap.g_00144
OG0000070	Syai.g_02196	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953
OG0000073	Syai.g_00659	Syap.g_00273
OG0000075	Syai.g_00161	Syap.g_01064, Syap.g_00664
OG0000076	Syai.g_00111	Syap.g_01111
OG0000077	Syai.g_02486	Syap.g_00416
OG0000078	Syai.g_00543	Syap.g_01149
OG0000079	Syai.g_00300	Syap.g_01589
OG0000085	Syai.g_02365	Syap.g_00611
OG0000087	Syai.g_02592	Syap.g_02617, Syap.g_02202, Syap.g_02203
OG0000088	Syai.g_02630	Syap.g_01202
OG0000089	Syai.g_00517	Syap.g_00115, Syap.g_02042
OG0000090	Syai.g_00707	Syap.g_01451
OG0000091	Syai.g_01112	Syap.g_01861
OG0000094	Syai.g_01424	Syap.g_02781
OG0000095	Syai.g_02007	Syap.g_01556
OG0000098	Syai.g_01718	Syap.g_01975
OG0000099	Syai.g_00199	Syap.g_01385
OG0000102	Syai.g_00106	Syap.g_01116
OG0000104	Syai.g_02929	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318
OG0000105	Syai.g_00267	Syap.g_01369, Syap.g_01368
OG0000107	Syai.g_00319	Syap.g_02496
OG0000108	Syai.g_00638	Syap.g_00733, Syap.g_02255, Syap.g_02256
OG0000110	Syai.g_00766	Syap.g_01313
OG0000111	Syai.g_00884	Syap.g_01566, Syap.g_01568
OG0000112	Syai.g_01512	Syap.g_02023
OG0000113	Syai.g_01367	Syap.g_02714
OG0000114	Syai.g_01261	Syap.g_01255
OG0000115	Syai.g_00932	Syap.g_02004
OG0000116	Syai.g_02156	Syap.g_00241
OG0000117	Syai.g_01756	Syap.g_01889
OG0000118	Syai.g_00818	Syap.g_02286
OG0000120	Syai.g_00198	Syap.g_02075
OG0000121	Syai.g_00951	Syap.g_02471
OG0000123	Syai.g_00411	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464
OG0000124	Syai.g_00089	Syap.g_02456, Syap.g_02457, Syap.g_01130
OG0000125	Syai.g_02782	Syap.g_01046, Syap.g_01047
OG0000126	Syai.g_02927	Syap.g_02317, Syap.g_02576, Syap.g_02316
OG0000127	Syai.g_02459	Syap.g_00736, Syap.g_00737, Syap.g_00735
OG0000128	Syai.g_00012	Syap.g_00069
OG0000129	Syai.g_02771	Syap.g_00130, Syap.g_00129
OG0000130	Syai.g_02474	Syap.g_01688, Syap.g_01689
OG0000131	Syai.g_02608	Syap.g_02189
OG0000132	Syai.g_02628	Syap.g_01205
OG0000133	Syai.g_01507	Syap.g_02017
OG0000134	Syai.g_00520	Syap.g_02047
OG0000135	Syai.g_02826	Syap.g_02090
OG0000136	Syai.g_02217	Syap.g_00089
OG0000137	Syai.g_00865	Syap.g_02756
OG0000138	Syai.g_00654	Syap.g_00278
OG0000139	Syai.g_00714	Syap.g_00410
OG0000140	Syai.g_00716	Syap.g_01976
OG0000141	Syai.g_01041	Syap.g_01541, Syap.g_01542, Syap.g_01544
OG0000142	Syai.g_01104	Syap.g_00895, Syap.g_00894
OG0000143	Syai.g_01108	Syap.g_00900, Syap.g_00899, Syap.g_00901
OG0000144	Syai.g_01608	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772
OG0000145	Syai.g_00660	Syap.g_01860, Syap.g_01859
OG0000146	Syai.g_01513	Syap.g_02024
OG0000147	Syai.g_01514	Syap.g_02025
OG0000148	Syai.g_01361	Syap.g_02720
OG0000149	Syai.g_02059	Syap.g_00824
OG0000150	Syai.g_00717	Syap.g_01540
OG0000151	Syai.g_01280	Syap.g_00142
OG0000152	Syai.g_01503	Syap.g_02012
OG0000153	Syai.g_01461	Syap.g_02682
OG0000154	Syai.g_01434	Syap.g_02761, Syap.g_02760, Syap.g_01876
OG0000155	Syai.g_02109	Syap.g_02777, Syap.g_01878, Syap.g_01879
OG0000156	Syai.g_02162	Syap.g_00248, Syap.g_00284, Syap.g_00283
OG0000157	Syai.g_02163	Syap.g_00249, Syap.g_00286
OG0000158	Syai.g_00135	Syap.g_01075
OG0000160	Syai.g_00952	Syap.g_02470, Syap.g_02469
OG0000161	Syai.g_00946	Syap.g_02476
OG0000162	Syai.g_00939	Syap.g_02531
OG0000165	Syai.g_02244	Syap.g_01381, Syap.g_01382
OG0000166	Syai.g_00364	Syap.g_00512, Syap.g_01238
OG0000167	Syai.g_00164	Syap.g_02080
OG0000168	Syai.g_00134	Syap.g_01076
OG0000169	Syai.g_00123	Syap.g_01049, Syap.g_01093
OG0000170	Syai.g_00116	Syap.g_01467, Syap.g_01106, Syap.g_01468
OG0000171	Syai.g_00090	Syap.g_01128, Syap.g_02454, Syap.g_02453
OG0000172	Syai.g_00083	Syap.g_01143, Syap.g_00635
OG0000173	Syai.g_00064	Syap.g_00982, Syap.g_00983, Syap.g_01213
OG0000174	Syai.g_02828	Syap.g_02092
OG0000175	Syai.g_02901	Syap.g_02654
OG0000176	Syai.g_00004	Syap.g_00059
OG0000177	Syai.g_00005	Syap.g_00061, Syap.g_00060
OG0000178	Syai.g_00006	Syap.g_00062
OG0000179	Syai.g_00023	Syap.g_00077, Syap.g_02638
OG0000180	Syai.g_00024	Syap.g_00078, Syap.g_02640
OG0000181	Syai.g_00025	Syap.g_00079, Syap.g_02641
OG0000182	Syai.g_00026	Syap.g_00080, Syap.g_02642
OG0000183	Syai.g_00030	Syap.g_00084
OG0000184	Syai.g_02756	Syap.g_01337
OG0000185	Syai.g_02734	Syap.g_01322
OG0000186	Syai.g_02469	Syap.g_01684
OG0000187	Syai.g_02471	Syap.g_01686
OG0000188	Syai.g_02494, Syai.g_00696	Syap.g_02547
OG0000191	Syai.g_02562	Syap.g_02233
OG0000192	Syai.g_02569	Syap.g_02224
OG0000193	Syai.g_02609	Syap.g_02187, Syap.g_02188
OG0000194	Syai.g_02612	Syap.g_02183
OG0000196	Syai.g_02625	Syap.g_01208, Syap.g_02167
OG0000197	Syai.g_02626	Syap.g_01207, Syap.g_02166
OG0000198	Syai.g_02627	Syap.g_01206
OG0000199	Syai.g_02635	Syap.g_01197
OG0000200	Syai.g_02651	Syap.g_01181
OG0000201	Syai.g_02667	Syap.g_02265
OG0000202	Syai.g_02668	Syap.g_02264
OG0000203	Syai.g_02669	Syap.g_01601
OG0000204	Syai.g_02670	Syap.g_01602
OG0000205	Syai.g_02677	Syap.g_01616
OG0000206	Syai.g_02684	Syap.g_01628
OG0000207	Syai.g_02686	Syap.g_01426, Syap.g_00424
OG0000208	Syai.g_02687	Syap.g_00426, Syap.g_01425
OG0000209	Syai.g_02699	Syap.g_01906
OG0000210	Syai.g_02700	Syap.g_01905
OG0000211	Syai.g_00533	Syap.g_01160
OG0000212	Syai.g_00544	Syap.g_02664
OG0000213	Syai.g_00292	Syap.g_00107, Syap.g_01599
OG0000214	Syai.g_00276	Syap.g_02344, Syap.g_02345
OG0000215	Syai.g_00245	Syap.g_01347, Syap.g_01629
OG0000216	Syai.g_00241	Syap.g_01634
OG0000217	Syai.g_00237	Syap.g_01638
OG0000218	Syai.g_00235	Syap.g_01641, Syap.g_01640
OG0000219	Syai.g_00234	Syap.g_01642, Syap.g_01643
OG0000220	Syai.g_00233	Syap.g_01645
OG0000221	Syai.g_00227	Syap.g_01646
OG0000222	Syai.g_00215	Syap.g_01669
OG0000223	Syai.g_00194	Syap.g_02072, Syap.g_02073
OG0000224	Syai.g_00186	Syap.g_02064
OG0000225	Syai.g_00502	Syap.g_00553, Syap.g_00552
OG0000226	Syai.g_00506	Syap.g_02029, Syap.g_02144
OG0000227	Syai.g_00508	Syap.g_02147, Syap.g_02034, Syap.g_02033
OG0000228	Syai.g_00516	Syap.g_00116, Syap.g_02041
OG0000229	Syai.g_02228	Syap.g_02059
OG0000230	Syai.g_02226	Syap.g_02061
OG0000231	Syai.g_02208	Syap.g_02533
OG0000232	Syai.g_00846	Syap.g_02510, Syap.g_02511
OG0000233	Syai.g_00855	Syap.g_02133
OG0000234	Syai.g_00866	Syap.g_02755
OG0000235	Syai.g_00637	Syap.g_00732, Syap.g_02258
OG0000236	Syai.g_00652	Syap.g_02238
OG0000237	Syai.g_00669	Syap.g_00262, Syap.g_00263
OG0000238	Syai.g_00674	Syap.g_00257, Syap.g_00258
OG0000239	Syai.g_00691	Syap.g_02744
OG0000240	Syai.g_00692	Syap.g_02742
OG0000241	Syai.g_01089, Syai.g_01085	Syap.g_00888
OG0000242	Syai.g_00705	Syap.g_01455
OG0000243	Syai.g_00726	Syap.g_01938
OG0000244	Syai.g_00731	Syap.g_01146, Syap.g_01145
OG0000245	Syai.g_00733	Syap.g_01148
OG0000246	Syai.g_00737	Syap.g_00308
OG0000247	Syai.g_00748	Syap.g_00288, Syap.g_00293
OG0000249	Syai.g_00753	Syap.g_01296, Syap.g_01295
OG0000250	Syai.g_00762	Syap.g_01306
OG0000251	Syai.g_00789	Syap.g_00442
OG0000252	Syai.g_00797	Syap.g_01857
OG0000253	Syai.g_00798	Syap.g_00443
OG0000254	Syai.g_01045	Syap.g_01527, Syap.g_01528
OG0000256	Syai.g_01077	Syap.g_01287
OG0000257	Syai.g_01084	Syap.g_00886
OG0000258	Syai.g_01113	Syap.g_00907
OG0000260	Syai.g_01232	Syap.g_01970
OG0000261	Syai.g_01235	Syap.g_01962, Syap.g_01961
OG0000262	Syai.g_01240	Syap.g_01954
OG0000263	Syai.g_01776	Syap.g_00432, Syap.g_00433
OG0000266	Syai.g_01401	Syap.g_00519
OG0000267	Syai.g_01569	Syap.g_02333, Syap.g_02332
OG0000268	Syai.g_01568	Syap.g_00646
OG0000269	Syai.g_01316	Syap.g_00188
OG0000270	Syai.g_01319	Syap.g_00192
OG0000271	Syai.g_01327	Syap.g_00200, Syap.g_00201
OG0000272	Syai.g_01328	Syap.g_00202
OG0000273	Syai.g_02037	Syap.g_02703
OG0000274	Syai.g_02038	Syap.g_02702
OG0000275	Syai.g_02043	Syap.g_01847
OG0000276	Syai.g_02051	Syap.g_01838, Syap.g_01839
OG0000278	Syai.g_02055	Syap.g_01834
OG0000279	Syai.g_02063	Syap.g_00829, Syap.g_00830
OG0000280	Syai.g_02084	Syap.g_00365
OG0000281	Syai.g_01719	Syap.g_01977
OG0000282	Syai.g_01263	Syap.g_01252
OG0000283	Syai.g_01554	Syap.g_01728
OG0000284	Syai.g_01548	Syap.g_01736
OG0000285	Syai.g_01522	Syap.g_01746, Syap.g_01744
OG0000286	Syai.g_01504	Syap.g_02014, Syap.g_02013
OG0000288	Syai.g_01435	Syap.g_02764, Syap.g_02763
OG0000289	Syai.g_01421	Syap.g_02784
OG0000290	Syai.g_02010	Syap.g_01552
OG0000292	Syai.g_02926	Syap.g_02314
OG0000293	Syai.g_02155	Syap.g_00240
OG0000295	Syai.g_02117	Syap.g_00206
OG0000296	Syai.g_02115	Syap.g_00204
OG0000299	Syai.g_01783	Syap.g_02620
OG0000302	Syai.g_01793	Syap.g_02444, Syap.g_02445
OG0000303	Syai.g_01802	Syap.g_02435
OG0000304	Syai.g_01826	Syap.g_02430
OG0000305	Syai.g_02005	Syap.g_01557
OG0000306	Syai.g_02090	Syap.g_01966
OG0000307	Syai.g_00619	Syap.g_02517
OG0000308	Syai.g_00617	Syap.g_02514, Syap.g_02515
OG0000309	Syai.g_00612	Syap.g_02198, Syap.g_02446
OG0000310	Syai.g_00989	Syap.g_02660, Syap.g_02661
OG0000311	Syai.g_00985	Syap.g_02657
OG0000312	Syai.g_00966	Syap.g_02114
OG0000313	Syai.g_00949	Syap.g_02473
OG0000315	Syai.g_00897	Syap.g_00017
OG0000316	Syai.g_02320, Syai.g_02322	Syap.g_00030
OG0000317	Syai.g_02373	Syap.g_00618
OG0000318	Syai.g_02379	Syap.g_00622, Syap.g_02786
OG0000319	Syai.g_02395	Syap.g_01764, Syap.g_01771
OG0000320	Syai.g_02397	Syap.g_01761, Syap.g_01769
OG0000321	Syai.g_02398	Syap.g_01760, Syap.g_01768
OG0000322	Syai.g_02399	Syap.g_01759, Syap.g_01767
OG0000323	Syai.g_02413	Syap.g_01389
OG0000324	Syai.g_02272	Syap.g_01503
OG0000325	Syai.g_00320	Syap.g_02680
OG0000327	Syai.g_00359	Syap.g_01233, Syap.g_01913
OG0000328	Syai.g_00360	Syap.g_01234, Syap.g_01912
OG0000329	Syai.g_00378	Syap.g_00498
OG0000330	Syai.g_00379	Syap.g_00497
OG0000331	Syai.g_00380	Syap.g_00496
OG0000333	Syai.g_00398	Syap.g_00478
OG0000334	Syai.g_00407	Syap.g_00468
OG0000335	Syai.g_00412	Syap.g_00101, Syap.g_00463
OG0000336	Syai.g_00416	Syap.g_00417, Syap.g_00607
OG0000337	Syai.g_00169	Syap.g_01054
OG0000338	Syai.g_00166	Syap.g_01059
OG0000339	Syai.g_00160	Syap.g_01068
OG0000340	Syai.g_00133	Syap.g_01077
OG0000341	Syai.g_00131	Syap.g_01079
OG0000342	Syai.g_00130	Syap.g_01080, Syap.g_02477
OG0000343	Syai.g_00129	Syap.g_01086, Syap.g_02078
OG0000344	Syai.g_00125	Syap.g_01091
OG0000345	Syai.g_00115	Syap.g_01107, Syap.g_01470
OG0000346	Syai.g_00110	Syap.g_01113
OG0000347	Syai.g_00087	Syap.g_01131, Syap.g_02459
OG0000348	Syai.g_00076	Syap.g_00632
OG0000349	Syai.g_00057	Syap.g_00110, Syap.g_01813
OG0000351	Syai.g_02904	Syap.g_02594
OG0000352	Syai.g_02905	Syap.g_02596, Syap.g_02597
OG0000353	Syai.g_02932	Syap.g_00054
OG0000354	Syai.g_00019	Syap.g_00075, Syap.g_02635
