Orthogroup	Syai	Syar
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594	Syar.g_00069
OG0000001	Syai.g_00891, Syai.g_02595	Syar.g_00070
OG0000004	Syai.g_01994	Syar.g_02051
OG0000004	Syai.g_01062	Syar.g_02225
OG0000004	Syai.g_00530	Syar.g_00842
OG0000005	Syai.g_02393	Syar.g_02952
OG0000005	Syai.g_02356	Syar.g_02909
OG0000005	Syai.g_02068, Syai.g_01611	Syar.g_01752
OG0000006	Syai.g_00317, Syai.g_00547	Syar.g_00151, Syar.g_02056, Syar.g_03013
OG0000006	Syai.g_01126	Syar.g_02439
OG0000007	Syai.g_00657	Syar.g_01491
OG0000007	Syai.g_02378	Syar.g_02929
OG0000008	Syai.g_01956	Syar.g_02097
OG0000008	Syai.g_01955	Syar.g_02098
OG0000009	Syai.g_02541	Syar.g_03116
OG0000010	Syai.g_00864	Syar.g_01272
OG0000013	Syai.g_00436	Syar.g_02032, Syar.g_01103, Syar.g_01106
OG0000014	Syai.g_00220	Syar.g_00825
OG0000016	Syai.g_00014, Syai.g_01785, Syai.g_01632	Syar.g_02859
OG0000017	Syai.g_00808	Syar.g_02180
OG0000017	Syai.g_00801	Syar.g_02188
OG0000018	Syai.g_00915	Syar.g_01409
OG0000019	Syai.g_00304	Syar.g_00163
OG0000022	Syai.g_01159	Syar.g_00835
OG0000025	Syai.g_02044	Syar.g_01811
OG0000026	Syai.g_00038	Syar.g_00505
OG0000027	Syai.g_01128, Syai.g_01654	Syar.g_02055
OG0000028	Syai.g_00205	Syar.g_00718
OG0000031	Syai.g_00197	Syar.g_00714
OG0000032	Syai.g_00895	Syar.g_01390
OG0000033	Syai.g_02634	Syar.g_00105
OG0000034	Syai.g_02192, Syai.g_02604	Syar.g_00074, Syar.g_02790
OG0000035	Syai.g_00955	Syar.g_02809
OG0000037	Syai.g_02815	Syar.g_02154, Syar.g_02562, Syar.g_01310, Syar.g_02856
OG0000038	Syai.g_02780	Syar.g_00334
OG0000039	Syai.g_02034	Syar.g_00007
OG0000040	Syai.g_02876	Syar.g_00858
OG0000042	Syai.g_00099	Syar.g_00595, Syar.g_01970
OG0000044	Syai.g_00833	Syar.g_02052, Syar.g_02167, Syar.g_01631
OG0000045	Syai.g_02432	Syar.g_02592
OG0000046	Syai.g_00449	Syar.g_03233
OG0000048	Syai.g_00272	Syar.g_00213
OG0000051	Syai.g_01773	Syar.g_01597
OG0000052	Syai.g_00176	Syar.g_02742, Syar.g_02751
OG0000053	Syai.g_00930	Syar.g_01413
OG0000055	Syai.g_02029	Syar.g_01386
OG0000057	Syai.g_01997	Syar.g_00006
OG0000060	Syai.g_00635	Syar.g_01260
OG0000061	Syai.g_02144	Syar.g_01539
OG0000062	Syai.g_02358	Syar.g_02911
OG0000063	Syai.g_00042	Syar.g_00509
OG0000064	Syai.g_02844	Syar.g_03117
OG0000064	Syai.g_01163, Syai.g_01668	Syar.g_00860
OG0000066	Syai.g_01709, Syai.g_00719	Syar.g_02228
OG0000067	Syai.g_01321	Syar.g_02639
OG0000068	Syai.g_00628	Syar.g_02329, Syar.g_01461
OG0000070	Syai.g_02196	Syar.g_02223
OG0000071	Syai.g_02179	Syar.g_02777
OG0000072	Syai.g_02636	Syar.g_00107
OG0000073	Syai.g_00659	Syar.g_01493
OG0000075	Syai.g_00161	Syar.g_03065, Syar.g_00659
OG0000076	Syai.g_00111	Syar.g_00608
OG0000077	Syai.g_02486	Syar.g_03051
OG0000078	Syai.g_00543	Syar.g_01366, Syar.g_03265, Syar.g_03018
OG0000079	Syai.g_00300	Syar.g_00166
OG0000081	Syai.g_02292, Syai.g_00553	Syar.g_01898
OG0000082	Syai.g_00781	Syar.g_02202
OG0000085	Syai.g_02365	Syar.g_02919
OG0000086	Syai.g_02507	Syar.g_03085
OG0000087	Syai.g_02592	Syar.g_00068
OG0000088	Syai.g_02630	Syar.g_00101
OG0000089	Syai.g_00517	Syar.g_01162
OG0000090	Syai.g_00707	Syar.g_02363, Syar.g_02353, Syar.g_02356
OG0000091	Syai.g_01112	Syar.g_01891, Syar.g_02426
OG0000092	Syai.g_01358	Syar.g_01960
OG0000093	Syai.g_01306	Syar.g_02623
OG0000094	Syai.g_01424	Syar.g_01789
OG0000095	Syai.g_02007	Syar.g_01932
OG0000097	Syai.g_01787	Syar.g_01706
OG0000098	Syai.g_01718	Syar.g_02343
OG0000099	Syai.g_00199	Syar.g_00715
OG0000100	Syai.g_01372	Syar.g_02477
OG0000101	Syai.g_00404	Syar.g_03154
OG0000102	Syai.g_00106	Syar.g_00602, Syar.g_02164, Syar.g_01644, Syar.g_02138
OG0000103	Syai.g_02912	Syar.g_00014
OG0000104	Syai.g_02929	Syar.g_00466
OG0000105	Syai.g_00267	Syar.g_00218
OG0000106	Syai.g_01601	Syar.g_01748
OG0000107	Syai.g_00319	Syar.g_00149, Syar.g_03290
OG0000108	Syai.g_00638	Syar.g_01469
