Orthogroup	Syai	Prbk
OG0000001	Syai.g_01716	Prbk.g_01196, Prbk.g_00170
OG0000001	Syai.g_02595	Prbk.g_00561, Prbk.g_02701
OG0000002	Syai.g_01728	Prbk.g_02574, Prbk.g_01649
OG0000004	Syai.g_01994	Prbk.g_01760
OG0000004	Syai.g_01062, Syai.g_00530	Prbk.g_01134
OG0000005	Syai.g_02356	Prbk.g_00933
OG0000006	Syai.g_00317, Syai.g_00547	Prbk.g_02695
OG0000007	Syai.g_02378	Prbk.g_00907
OG0000008	Syai.g_01956	Prbk.g_01819
OG0000008	Syai.g_01955	Prbk.g_01820
OG0000009	Syai.g_02541	Prbk.g_01932, Prbk.g_00013
OG0000010	Syai.g_00864	Prbk.g_02112
OG0000011	Syai.g_01894, Syai.g_00582	Prbk.g_01851
OG0000012	Syai.g_01068	Prbk.g_02610
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prbk.g_00853
OG0000014	Syai.g_00220	Prbk.g_00454
OG0000015	Syai.g_01246, Syai.g_01245	Prbk.g_02558
OG0000017	Syai.g_00808	Prbk.g_01150
OG0000017	Syai.g_00801	Prbk.g_01142
OG0000018	Syai.g_00915	Prbk.g_01227
OG0000019	Syai.g_00304	Prbk.g_01644
OG0000020	Syai.g_00476	Prbk.g_01664, Prbk.g_01331, Prbk.g_02697
OG0000021	Syai.g_00556	Prbk.g_01137
OG0000022	Syai.g_01159	Prbk.g_00212, Prbk.g_01667
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbk.g_02448
OG0000024	Syai.g_01951	Prbk.g_01780
OG0000025	Syai.g_02044	Prbk.g_02531
OG0000026	Syai.g_00038	Prbk.g_01617
OG0000028	Syai.g_00205	Prbk.g_00469
OG0000029	Syai.g_01035, Syai.g_01584	Prbk.g_00833
OG0000030	Syai.g_00096	Prbk.g_01532
OG0000030	Syai.g_00095	Prbk.g_01533
OG0000032	Syai.g_00895	Prbk.g_01209
OG0000033	Syai.g_02634	Prbk.g_00776
OG0000034	Syai.g_02192, Syai.g_02604	Prbk.g_01171
OG0000035	Syai.g_00955	Prbk.g_00259
OG0000037	Syai.g_02544, Syai.g_02815	Prbk.g_00007
OG0000038	Syai.g_02780	Prbk.g_02164
OG0000041	Syai.g_02265	Prbk.g_01406
OG0000042	Syai.g_00099	Prbk.g_01495, Prbk.g_00140
OG0000045	Syai.g_02432	Prbk.g_01321
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prbk.g_00854
OG0000047	Syai.g_00462	Prbk.g_02565, Prbk.g_01202
OG0000048	Syai.g_00272	Prbk.g_00405
OG0000051	Syai.g_01773	Prbk.g_01709
OG0000052	Syai.g_00176	Prbk.g_00499
OG0000053	Syai.g_00930	Prbk.g_01230
OG0000054	Syai.g_01040	Prbk.g_01153
OG0000057	Syai.g_01997	Prbk.g_01765
OG0000059	Syai.g_00351	Prbk.g_00533
OG0000060	Syai.g_00635	Prbk.g_02058
OG0000061	Syai.g_02144	Prbk.g_01019
OG0000062	Syai.g_02358	Prbk.g_00931
OG0000063	Syai.g_00042	Prbk.g_01613
OG0000066	Syai.g_01709, Syai.g_00719	Prbk.g_01094
OG0000067	Syai.g_01321	Prbk.g_02468
OG0000068	Syai.g_00628	Prbk.g_02052
OG0000070	Syai.g_02196	Prbk.g_00310
OG0000071	Syai.g_02179	Prbk.g_01183
OG0000072	Syai.g_02636	Prbk.g_00778
OG0000073	Syai.g_00659	Prbk.g_01862
OG0000075	Syai.g_00161	Prbk.g_00514
OG0000076	Syai.g_00111	Prbk.g_00237
OG0000077	Syai.g_02486	Prbk.g_01308, Prbk.g_00307
OG0000078	Syai.g_00543	Prbk.g_01515
OG0000079	Syai.g_00300	Prbk.g_01000
OG0000081	Syai.g_02292	Prbk.g_00733
OG0000081	Syai.g_00553	Prbk.g_01772
OG0000082	Syai.g_00781	Prbk.g_01122
OG0000084	Syai.g_00958	Prbk.g_00255
OG0000085	Syai.g_02365	Prbk.g_00919
OG0000086	Syai.g_02507	Prbk.g_01295
OG0000087	Syai.g_02592	Prbk.g_00559
OG0000088	Syai.g_02630	Prbk.g_01836, Prbk.g_00773
OG0000089	Syai.g_00517	Prbk.g_00364
OG0000090	Syai.g_00707	Prbk.g_01080
OG0000091	Syai.g_01112	Prbk.g_02639
OG0000093	Syai.g_01306	Prbk.g_02444
OG0000095	Syai.g_02007	Prbk.g_00056
OG0000097	Syai.g_01787	Prbk.g_00189
OG0000098	Syai.g_01718	Prbk.g_01199
OG0000099	Syai.g_00199	Prbk.g_00476
OG0000100	Syai.g_01372	Prbk.g_01360, Prbk.g_02498
OG0000101	Syai.g_00404	Prbk.g_00944
OG0000102	Syai.g_00106	Prbk.g_01484
OG0000103	Syai.g_02912	Prbk.g_02260
OG0000104	Syai.g_02929	Prbk.g_02274
OG0000105	Syai.g_00267	Prbk.g_00409
OG0000106	Syai.g_01601	Prbk.g_00925
OG0000107	Syai.g_00319	Prbk.g_01902
OG0000108	Syai.g_00638	Prbk.g_02061
OG0000109	Syai.g_00653	Prbk.g_02077
OG0000110	Syai.g_00766	Prbk.g_01110
OG0000111	Syai.g_00884	Prbk.g_01766
OG0000112	Syai.g_01512	Prbk.g_02332
OG0000113	Syai.g_01367	Prbk.g_02493
OG0000114	Syai.g_01261	Prbk.g_02396
OG0000115	Syai.g_00932	Prbk.g_01234
OG0000116	Syai.g_02156	Prbk.g_01034
OG0000117	Syai.g_01756	Prbk.g_01496
OG0000118	Syai.g_00818	Prbk.g_01169
OG0000119	Syai.g_02127	Prbk.g_01746, Prbk.g_01786
OG0000120	Syai.g_00198	Prbk.g_00477
OG0000121	Syai.g_00951	Prbk.g_00267, Prbk.g_00261
OG0000122	Syai.g_01143	Prbk.g_02664
OG0000123	Syai.g_00411	Prbk.g_00805
OG0000124	Syai.g_00089	Prbk.g_01539
OG0000125	Syai.g_02782	Prbk.g_02168
OG0000126	Syai.g_02927	Prbk.g_02272
OG0000127	Syai.g_01872, Syai.g_01906, Syai.g_01855	Prbk.g_01101, Prbk.g_01852
OG0000128	Syai.g_00012	Prbk.g_02290
OG0000129	Syai.g_02771	Prbk.g_02156
OG0000130	Syai.g_02474	Prbk.g_01320
OG0000131	Syai.g_02608	Prbk.g_00751
OG0000132	Syai.g_02628	Prbk.g_00771
OG0000133	Syai.g_01507	Prbk.g_00472
OG0000134	Syai.g_00520	Prbk.g_00361
OG0000135	Syai.g_02826	Prbk.g_02209
OG0000136	Syai.g_02217	Prbk.g_00323
OG0000137	Syai.g_00865	Prbk.g_02113
OG0000138	Syai.g_00654	Prbk.g_02078
OG0000139	Syai.g_00714	Prbk.g_01086
OG0000140	Syai.g_00716	Prbk.g_01092
OG0000141	Syai.g_01041	Prbk.g_01154
OG0000142	Syai.g_01104	Prbk.g_02631
OG0000143	Syai.g_01108	Prbk.g_02635
OG0000144	Syai.g_01608	Prbk.g_00739
OG0000145	Syai.g_00660	Prbk.g_01863
OG0000146	Syai.g_01513	Prbk.g_02333
OG0000147	Syai.g_01514	Prbk.g_02334
OG0000148	Syai.g_01361	Prbk.g_02487
OG0000149	Syai.g_02059	Prbk.g_02544
OG0000150	Syai.g_00717	Prbk.g_02567
OG0000151	Syai.g_01280	Prbk.g_02417
OG0000152	Syai.g_01503	Prbk.g_02324
OG0000153	Syai.g_01461	Prbk.g_02297
OG0000154	Syai.g_01434	Prbk.g_00584
OG0000155	Syai.g_02109	Prbk.g_00099
OG0000156	Syai.g_02162	Prbk.g_00164
OG0000157	Syai.g_02163	Prbk.g_00163
OG0000158	Syai.g_00135	Prbk.g_00526
OG0000160	Syai.g_00952	Prbk.g_00260
OG0000161	Syai.g_00946	Prbk.g_00274
OG0000162	Syai.g_00939	Prbk.g_00280
OG0000163	Syai.g_02300	Prbk.g_02002
OG0000164	Syai.g_02411	Prbk.g_01432
OG0000165	Syai.g_02244	Prbk.g_01423
OG0000166	Syai.g_00364	Prbk.g_00982
OG0000167	Syai.g_00164	Prbk.g_00512
OG0000168	Syai.g_00134	Prbk.g_00527
OG0000169	Syai.g_00123	Prbk.g_00220
OG0000170	Syai.g_00116	Prbk.g_00232
OG0000171	Syai.g_00090	Prbk.g_01538
OG0000172	Syai.g_00083	Prbk.g_01573
OG0000173	Syai.g_00064	Prbk.g_01594
OG0000174	Syai.g_02828	Prbk.g_02211
OG0000175	Syai.g_02901	Prbk.g_02249
OG0000176	Syai.g_00004	Prbk.g_02282
OG0000177	Syai.g_00005	Prbk.g_02283
OG0000178	Syai.g_00006	Prbk.g_02284
OG0000179	Syai.g_00023	Prbk.g_01633
OG0000180	Syai.g_00024	Prbk.g_01632
OG0000181	Syai.g_00025	Prbk.g_01631
OG0000182	Syai.g_00026	Prbk.g_01630
OG0000183	Syai.g_00030	Prbk.g_01626
OG0000184	Syai.g_02756	Prbk.g_02148
OG0000185	Syai.g_02734	Prbk.g_02126
OG0000186	Syai.g_02469	Prbk.g_01326
OG0000187	Syai.g_02471	Prbk.g_01324
OG0000188	Syai.g_02494	Prbk.g_01303
OG0000189	Syai.g_02530	Prbk.g_00024
OG0000190	Syai.g_02532	Prbk.g_00022
OG0000191	Syai.g_02562	Prbk.g_00197
OG0000192	Syai.g_02569	Prbk.g_00206
OG0000193	Syai.g_02609	Prbk.g_00752
OG0000194	Syai.g_02612	Prbk.g_00755
OG0000195	Syai.g_02614	Prbk.g_00757
OG0000196	Syai.g_02625	Prbk.g_00768
OG0000197	Syai.g_02626	Prbk.g_00769
OG0000198	Syai.g_02627	Prbk.g_00770
OG0000199	Syai.g_02635	Prbk.g_00777
OG0000200	Syai.g_02651	Prbk.g_01280
OG0000202	Syai.g_02668	Prbk.g_01260
OG0000203	Syai.g_02669	Prbk.g_01259
OG0000204	Syai.g_02670	Prbk.g_01258
OG0000205	Syai.g_02677	Prbk.g_01251
OG0000206	Syai.g_02684	Prbk.g_00632
OG0000207	Syai.g_02686	Prbk.g_00686
OG0000208	Syai.g_02687	Prbk.g_00685
OG0000209	Syai.g_02699	Prbk.g_00658
OG0000210	Syai.g_02700	Prbk.g_00657
OG0000211	Syai.g_00533	Prbk.g_01368
OG0000212	Syai.g_00544	Prbk.g_01514
OG0000213	Syai.g_00292	Prbk.g_00374
OG0000214	Syai.g_00276	Prbk.g_00401
OG0000215	Syai.g_00245	Prbk.g_00431
OG0000216	Syai.g_00241	Prbk.g_00434
OG0000217	Syai.g_00237	Prbk.g_00438
OG0000218	Syai.g_00235	Prbk.g_00442
OG0000219	Syai.g_00234	Prbk.g_00443
OG0000220	Syai.g_00233	Prbk.g_00444
OG0000221	Syai.g_00227	Prbk.g_00449
OG0000222	Syai.g_00215	Prbk.g_00458
OG0000223	Syai.g_00194	Prbk.g_00481
OG0000224	Syai.g_00186	Prbk.g_00492
OG0000225	Syai.g_00502	Prbk.g_00889
OG0000226	Syai.g_00506	Prbk.g_00893
OG0000227	Syai.g_00508	Prbk.g_00895
OG0000228	Syai.g_00516	Prbk.g_00365
OG0000229	Syai.g_02228	Prbk.g_00328
OG0000230	Syai.g_02226	Prbk.g_00326
OG0000231	Syai.g_02208	Prbk.g_00311
OG0000232	Syai.g_00846	Prbk.g_00295
OG0000233	Syai.g_00855	Prbk.g_02092
OG0000234	Syai.g_00866	Prbk.g_02114
OG0000235	Syai.g_00637	Prbk.g_02060
OG0000236	Syai.g_00652	Prbk.g_02076
OG0000237	Syai.g_00669	Prbk.g_01047
OG0000238	Syai.g_00674	Prbk.g_01051
OG0000239	Syai.g_00691	Prbk.g_01067
OG0000240	Syai.g_00692	Prbk.g_01068
OG0000241	Syai.g_01085	Prbk.g_01965
OG0000242	Syai.g_00705	Prbk.g_01078
OG0000243	Syai.g_00726	Prbk.g_02684
OG0000244	Syai.g_00731	Prbk.g_01897
OG0000245	Syai.g_00733	Prbk.g_01894
OG0000246	Syai.g_00737	Prbk.g_01890
