Orthogroup	Syai	Prag
OG0000001	Syai.g_01716	Prag.g_01374, Prag.g_01654, Prag.g_00764, Prag.g_01216, Prag.g_01215, Prag.g_01651
OG0000002	Syai.g_01728	Prag.g_01382, Prag.g_00656
OG0000004	Syai.g_01994	Prag.g_00673
OG0000004	Syai.g_01062, Syai.g_00530	Prag.g_00225
OG0000005	Syai.g_02393	Prag.g_01682
OG0000005	Syai.g_02356	Prag.g_01566
OG0000006	Syai.g_00317, Syai.g_00547	Prag.g_00234, Prag.g_01231
OG0000007	Syai.g_00657	Prag.g_00476
OG0000007	Syai.g_02378	Prag.g_01669
OG0000008	Syai.g_01956	Prag.g_01655
OG0000008	Syai.g_01955	Prag.g_01656
OG0000009	Syai.g_01626	Prag.g_01600
OG0000009	Syai.g_02541	Prag.g_00098
OG0000010	Syai.g_00864	Prag.g_01043, Prag.g_00453
OG0000011	Syai.g_01894, Syai.g_00582	Prag.g_01326
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Prag.g_00601
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prag.g_00318
OG0000014	Syai.g_00220	Prag.g_00297
OG0000015	Syai.g_01246, Syai.g_01245	Prag.g_00765
OG0000016	Syai.g_00014	Prag.g_00013
OG0000016	Syai.g_01632	Prag.g_01638
OG0000017	Syai.g_00801	Prag.g_00576
OG0000018	Syai.g_00915	Prag.g_01134, Prag.g_00833
OG0000019	Syai.g_00304	Prag.g_00242, Prag.g_00786
OG0000020	Syai.g_00476	Prag.g_01100, Prag.g_01637
OG0000022	Syai.g_01159	Prag.g_00757, Prag.g_01116
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prag.g_00354
OG0000024	Syai.g_01951	Prag.g_00740, Prag.g_00653
OG0000025	Syai.g_02044	Prag.g_00839, Prag.g_00322
OG0000026	Syai.g_00038	Prag.g_00031, Prag.g_01050
OG0000027	Syai.g_01128, Syai.g_01654	Prag.g_00449, Prag.g_01646, Prag.g_01336
OG0000028	Syai.g_00205	Prag.g_00311, Prag.g_01270
OG0000029	Syai.g_01035, Syai.g_01584	Prag.g_00748
OG0000030	Syai.g_00096, Syai.g_00095	Prag.g_01871
OG0000033	Syai.g_02634	Prag.g_00162
OG0000034	Syai.g_02192, Syai.g_02604	Prag.g_01365
OG0000035	Syai.g_00955	Prag.g_01490, Prag.g_01488
OG0000037	Syai.g_02544, Syai.g_02815	Prag.g_00102
OG0000038	Syai.g_02780	Prag.g_01911
OG0000039	Syai.g_02034	Prag.g_00664
OG0000041	Syai.g_02265	Prag.g_01716
OG0000042	Syai.g_00099	Prag.g_01868
OG0000045	Syai.g_02432	Prag.g_00365
