Orthogroup	Syai	Syaq
OG0000001	Syai.g_01197, Syai.g_02594	Syaq.g_00118, Syaq.g_01435, Syaq.g_00115
OG0000001	Syai.g_02595	Syaq.g_01434
OG0000001	Syai.g_01729	Syaq.g_02178, Syaq.g_02413
OG0000004	Syai.g_01994	Syaq.g_02603
OG0000004	Syai.g_01062	Syaq.g_02042
OG0000004	Syai.g_00530	Syaq.g_01567
OG0000005	Syai.g_02393	Syaq.g_01658
OG0000005	Syai.g_02356	Syaq.g_01692
OG0000005	Syai.g_02068, Syai.g_01611	Syaq.g_00236
OG0000006	Syai.g_00317, Syai.g_00547	Syaq.g_00696, Syaq.g_01590
OG0000006	Syai.g_01126	Syaq.g_02108
OG0000007	Syai.g_00657	Syaq.g_01793
OG0000007	Syai.g_02378	Syaq.g_01673
OG0000008	Syai.g_01956	Syaq.g_02162
OG0000008	Syai.g_01955	Syaq.g_02575
OG0000009	Syai.g_02541	Syaq.g_01489
OG0000010	Syai.g_00864	Syaq.g_00443
OG0000011	Syai.g_01894, Syai.g_00582, Syai.g_01952	Syaq.g_01038
OG0000012	Syai.g_01068	Syaq.g_02059
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Syai.g_00220	Syaq.g_00862
OG0000015	Syai.g_01246, Syai.g_01245	Syaq.g_02255
OG0000016	Syai.g_00014	Syaq.g_01136
OG0000016	Syai.g_01785	Syaq.g_00169
OG0000017	Syai.g_00808	Syaq.g_01999
OG0000017	Syai.g_00801	Syaq.g_01992
OG0000018	Syai.g_00915	Syaq.g_00401
OG0000019	Syai.g_00304	Syaq.g_00717
OG0000022	Syai.g_01159	Syaq.g_02126
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Syaq.g_02540
OG0000025	Syai.g_02044	Syaq.g_02381
OG0000026	Syai.g_00038	Syaq.g_01114
OG0000028	Syai.g_00205	Syaq.g_00878
OG0000030	Syai.g_00096	Syaq.g_01047
OG0000030	Syai.g_00095	Syaq.g_01048
OG0000031	Syai.g_00197	Syaq.g_01009
OG0000032	Syai.g_00895	Syaq.g_00421
OG0000033	Syai.g_02634	Syaq.g_01399
OG0000034	Syai.g_02192, Syai.g_02604	Syaq.g_00312, Syaq.g_01431
OG0000035	Syai.g_00955	Syaq.g_00372
OG0000037	Syai.g_02544, Syai.g_02815	Syaq.g_01483
OG0000038	Syai.g_02780	Syaq.g_01260
OG0000041	Syai.g_02016	Syaq.g_02688
OG0000042	Syai.g_00099	Syaq.g_00200, Syaq.g_01044
OG0000043	Syai.g_01599	Syaq.g_01920
OG0000045	Syai.g_02432	Syaq.g_02047
OG0000048	Syai.g_00272	Syaq.g_00749
OG0000052	Syai.g_00176	Syaq.g_00969
OG0000053	Syai.g_00930	Syaq.g_00397
OG0000054	Syai.g_01040	Syaq.g_02005
OG0000055	Syai.g_02029	Syaq.g_02700
OG0000057	Syai.g_01997	Syaq.g_02605
OG0000058	Syai.g_00195	Syaq.g_00944
OG0000059	Syai.g_00351	Syaq.g_00657
OG0000060	Syai.g_00635	Syaq.g_01770
OG0000060	Syai.g_01758	Syaq.g_00201
OG0000061	Syai.g_02144	Syaq.g_00249
OG0000062	Syai.g_02358	Syaq.g_01690
OG0000063	Syai.g_00042	Syaq.g_01110
OG0000064	Syai.g_02844	Syaq.g_02138
OG0000066	Syai.g_01709, Syai.g_00719	Syaq.g_01851
OG0000067	Syai.g_01321	Syaq.g_02340
OG0000068	Syai.g_00628	Syaq.g_01763
OG0000070	Syai.g_02196	Syaq.g_00484
OG0000071	Syai.g_02179	Syaq.g_00297
OG0000072	Syai.g_02636	Syaq.g_01397
OG0000073	Syai.g_00659	Syaq.g_01795
OG0000075	Syai.g_00161	Syaq.g_00986
OG0000076	Syai.g_00111	Syaq.g_01028
OG0000077	Syai.g_02486	Syaq.g_01547
OG0000078	Syai.g_00543	Syaq.g_01585
OG0000079	Syai.g_00300	Syaq.g_00721
OG0000081	Syai.g_02292, Syai.g_00553	Syaq.g_01893
OG0000082	Syai.g_00781	Syaq.g_01975
OG0000084	Syai.g_00958	Syaq.g_00367
OG0000085	Syai.g_02365	Syaq.g_01683
OG0000086	Syai.g_02507	Syaq.g_01525
OG0000087	Syai.g_02592	Syaq.g_01438
OG0000088	Syai.g_02630	Syaq.g_01402
OG0000089	Syai.g_00517	Syaq.g_00529
OG0000090	Syai.g_00707	Syaq.g_01838
OG0000091	Syai.g_01112	Syaq.g_02090
OG0000093	Syai.g_01306	Syaq.g_02323
OG0000094	Syai.g_01424	Syaq.g_00056
OG0000095	Syai.g_02007	Syaq.g_02679
OG0000097	Syai.g_01787	Syaq.g_00167
OG0000098	Syai.g_01718	Syaq.g_02221
OG0000099	Syai.g_00199	Syaq.g_00882
OG0000100	Syai.g_01372	Syaq.g_02371
OG0000101	Syai.g_00404	Syaq.g_00607
OG0000102	Syai.g_00106	Syaq.g_01033
OG0000103	Syai.g_02912	Syaq.g_01170
OG0000104	Syai.g_02929	Syaq.g_01154
OG0000105	Syai.g_00267	Syaq.g_00754
OG0000106	Syai.g_01601	Syaq.g_01863
OG0000107	Syai.g_00319	Syaq.g_00694
OG0000108	Syai.g_00638	Syaq.g_01772
OG0000109	Syai.g_00653	Syaq.g_01788
OG0000110	Syai.g_00766	Syaq.g_01962
OG0000111	Syai.g_00884	Syaq.g_02606
OG0000112	Syai.g_01512	Syaq.g_02476
OG0000114	Syai.g_01261	Syaq.g_02269
OG0000115	Syai.g_00932	Syaq.g_00395
OG0000116	Syai.g_02156	Syaq.g_00263
OG0000117	Syai.g_01756	Syaq.g_00203
OG0000118	Syai.g_00818	Syaq.g_00325, Syaq.g_00316
OG0000120	Syai.g_00198	Syaq.g_00883
OG0000121	Syai.g_00951	Syaq.g_00375
OG0000122	Syai.g_01143	Syaq.g_02118
OG0000123	Syai.g_00411	Syaq.g_00599
OG0000124	Syai.g_00089	Syaq.g_01055
OG0000125	Syai.g_02782	Syaq.g_01256
OG0000126	Syai.g_02927	Syaq.g_01156
OG0000128	Syai.g_00012	Syaq.g_01138
OG0000129	Syai.g_02771	Syaq.g_01269
OG0000130	Syai.g_02474	Syaq.g_01559
OG0000131	Syai.g_02608	Syaq.g_01427, Syaq.g_01424
OG0000132	Syai.g_02628	Syaq.g_01036, Syaq.g_01404
OG0000133	Syai.g_01507	Syaq.g_02481
OG0000134	Syai.g_00520	Syaq.g_00526
OG0000135	Syai.g_02826	Syaq.g_01227
OG0000136	Syai.g_02217	Syaq.g_00496
OG0000137	Syai.g_00865	Syaq.g_00442
OG0000138	Syai.g_00654	Syaq.g_01789
OG0000139	Syai.g_00714	Syaq.g_01844
OG0000140	Syai.g_00716	Syaq.g_01848
OG0000141	Syai.g_01041	Syaq.g_02010
OG0000142	Syai.g_01104	Syaq.g_02082
OG0000143	Syai.g_01108	Syaq.g_02086
OG0000144	Syai.g_01608	Syaq.g_02152
OG0000145	Syai.g_00660	Syaq.g_01796
OG0000146	Syai.g_01513	Syaq.g_02475
OG0000147	Syai.g_01514	Syaq.g_02474
OG0000148	Syai.g_01361	Syaq.g_02359
OG0000149	Syai.g_02059	Syaq.g_02395
OG0000150	Syai.g_00717	Syaq.g_02011
OG0000151	Syai.g_01280	Syaq.g_02283
OG0000152	Syai.g_01503	Syaq.g_02485
OG0000153	Syai.g_01461	Syaq.g_02518
OG0000154	Syai.g_01434	Syaq.g_00066
OG0000155	Syai.g_02109	Syaq.g_00212
OG0000156	Syai.g_02162	Syaq.g_00281
OG0000157	Syai.g_02163	Syaq.g_00282
OG0000158	Syai.g_00135	Syaq.g_01003
OG0000160	Syai.g_00952	Syaq.g_00374
OG0000161	Syai.g_00946	Syaq.g_00382
OG0000162	Syai.g_00939	Syaq.g_00389
OG0000163	Syai.g_02300	Syaq.g_01730
OG0000164	Syai.g_02411	Syaq.g_01642
OG0000165	Syai.g_02244	Syaq.g_01630
OG0000166	Syai.g_00364	Syaq.g_00647
OG0000167	Syai.g_00164	Syaq.g_00983
OG0000168	Syai.g_00134	Syaq.g_01004
OG0000169	Syai.g_00123	Syaq.g_01016
OG0000170	Syai.g_00116	Syaq.g_01023
OG0000171	Syai.g_00090	Syaq.g_01052
OG0000172	Syai.g_00083	Syaq.g_01074
OG0000173	Syai.g_00064	Syaq.g_01092
OG0000174	Syai.g_02828	Syaq.g_01224
OG0000175	Syai.g_02901	Syaq.g_01183
OG0000176	Syai.g_00004	Syaq.g_01146
OG0000177	Syai.g_00005	Syaq.g_01145
OG0000178	Syai.g_00006	Syaq.g_01144
OG0000179	Syai.g_00023	Syaq.g_01129
OG0000180	Syai.g_00024	Syaq.g_01128
OG0000181	Syai.g_00025	Syaq.g_01127
OG0000182	Syai.g_00026	Syaq.g_01126
OG0000183	Syai.g_00030	Syaq.g_01122
OG0000184	Syai.g_02756	Syaq.g_01277
OG0000185	Syai.g_02734	Syaq.g_01290
OG0000186	Syai.g_02469	Syaq.g_01563
OG0000187	Syai.g_02471	Syaq.g_01561
OG0000188	Syai.g_02494	Syaq.g_01539
OG0000189	Syai.g_02530	Syaq.g_01499
OG0000190	Syai.g_02532	Syaq.g_01497
OG0000191	Syai.g_02562	Syaq.g_01467
OG0000192	Syai.g_02569	Syaq.g_01462
OG0000193	Syai.g_02609	Syaq.g_01423
OG0000194	Syai.g_02612	Syaq.g_01420
OG0000195	Syai.g_02614	Syaq.g_01418
OG0000196	Syai.g_02625	Syaq.g_01407
OG0000197	Syai.g_02626	Syaq.g_01406
OG0000198	Syai.g_02627	Syaq.g_01405
OG0000199	Syai.g_02635	Syaq.g_01398
OG0000200	Syai.g_02651	Syaq.g_01382
OG0000202	Syai.g_02668	Syaq.g_01364
OG0000203	Syai.g_02669	Syaq.g_01363
OG0000204	Syai.g_02670	Syaq.g_01362
OG0000205	Syai.g_02677	Syaq.g_01355
OG0000206	Syai.g_02684	Syaq.g_01345
OG0000207	Syai.g_02686	Syaq.g_01338
OG0000208	Syai.g_02687	Syaq.g_01337
OG0000209	Syai.g_02699	Syaq.g_01310
OG0000210	Syai.g_02700	Syaq.g_01309
OG0000211	Syai.g_00533	Syaq.g_01570
OG0000212	Syai.g_00544	Syaq.g_01586
OG0000213	Syai.g_00292	Syaq.g_00729
OG0000214	Syai.g_00276	Syaq.g_00745
OG0000215	Syai.g_00245	Syaq.g_00777
OG0000216	Syai.g_00241	Syaq.g_00781
OG0000217	Syai.g_00237	Syaq.g_00844
OG0000218	Syai.g_00235	Syaq.g_00846
OG0000219	Syai.g_00234	Syaq.g_00847
OG0000220	Syai.g_00233	Syaq.g_00848
OG0000221	Syai.g_00227	Syaq.g_00856
OG0000222	Syai.g_00215	Syaq.g_00868
OG0000223	Syai.g_00194	Syaq.g_00946
OG0000224	Syai.g_00186	Syaq.g_00950
OG0000225	Syai.g_00502	Syaq.g_00543
OG0000226	Syai.g_00506	Syaq.g_00536
OG0000227	Syai.g_00508	Syaq.g_00534
OG0000228	Syai.g_00516	Syaq.g_00531
OG0000229	Syai.g_02228	Syaq.g_00501
OG0000230	Syai.g_02226	Syaq.g_00499
OG0000231	Syai.g_02208	Syaq.g_00485
OG0000232	Syai.g_00846	Syaq.g_00472
OG0000233	Syai.g_00855	Syaq.g_00464
OG0000234	Syai.g_00866	Syaq.g_00440
OG0000235	Syai.g_00637	Syaq.g_01771
OG0000236	Syai.g_00652	Syaq.g_01787
OG0000237	Syai.g_00669	Syaq.g_01805
OG0000238	Syai.g_00674	Syaq.g_01810
OG0000239	Syai.g_00691	Syaq.g_01826
OG0000240	Syai.g_00692	Syaq.g_01827
OG0000241	Syai.g_01089, Syai.g_01085	Syaq.g_02074
OG0000242	Syai.g_00705	Syaq.g_01836
OG0000243	Syai.g_00726	Syaq.g_01922
OG0000244	Syai.g_00731	Syaq.g_01928
OG0000245	Syai.g_00733	Syaq.g_01930
OG0000246	Syai.g_00737	Syaq.g_01934
OG0000247	Syai.g_00748	Syaq.g_01945
OG0000248	Syai.g_00751	Syaq.g_01948
OG0000249	Syai.g_00753	Syaq.g_01950
OG0000250	Syai.g_00762	Syaq.g_01958
OG0000251	Syai.g_00789	Syaq.g_01984
OG0000252	Syai.g_00797	Syaq.g_01987
OG0000253	Syai.g_00798	Syaq.g_01989
OG0000254	Syai.g_01045	Syaq.g_02016
OG0000255	Syai.g_01061	Syaq.g_02041
OG0000256	Syai.g_01077	Syaq.g_02068
OG0000257	Syai.g_01084	Syaq.g_02073
OG0000258	Syai.g_01113	Syaq.g_02095
OG0000259	Syai.g_01229	Syaq.g_02239
OG0000260	Syai.g_01232	Syaq.g_02242
OG0000261	Syai.g_01235	Syaq.g_02245
OG0000262	Syai.g_01240	Syaq.g_02250
OG0000263	Syai.g_01776	Syaq.g_00185
OG0000264	Syai.g_01962	Syaq.g_02582
OG0000266	Syai.g_01401	Syaq.g_00037
OG0000267	Syai.g_01569	Syaq.g_02430
OG0000268	Syai.g_01568	Syaq.g_02431
OG0000269	Syai.g_01316	Syaq.g_02335
OG0000270	Syai.g_01319	Syaq.g_02338
OG0000271	Syai.g_01327	Syaq.g_02346
OG0000272	Syai.g_01328	Syaq.g_02347
OG0000273	Syai.g_02037	Syaq.g_02376
OG0000274	Syai.g_02038	Syaq.g_02377
OG0000275	Syai.g_02043	Syaq.g_02380
OG0000276	Syai.g_02051	Syaq.g_02387
OG0000277	Syai.g_02052	Syaq.g_02388
OG0000278	Syai.g_02055	Syaq.g_02391
OG0000279	Syai.g_02063	Syaq.g_02401
OG0000280	Syai.g_02084	Syaq.g_02410
OG0000281	Syai.g_01719	Syaq.g_02224
OG0000282	Syai.g_01263	Syaq.g_02271
