Orthogroup	Syai	Prao
OG0000001	Syai.g_01716	Prao.g_01254, Prao.g_01852, Prao.g_01529
OG0000002	Syai.g_01728	Prao.g_01246, Prao.g_00116
OG0000004	Syai.g_01994	Prao.g_00133
OG0000004	Syai.g_01062, Syai.g_00530	Prao.g_00370
OG0000005	Syai.g_02393	Prao.g_01565
OG0000005	Syai.g_02356	Prao.g_01472
OG0000006	Syai.g_00317, Syai.g_00547	Prao.g_00379
OG0000007	Syai.g_00657	Prao.g_00603
OG0000007	Syai.g_02378	Prao.g_01552
OG0000009	Syai.g_01626	Prao.g_01342, Prao.g_01507
OG0000010	Syai.g_00864	Prao.g_00985, Prao.g_00580
OG0000011	Syai.g_01894, Syai.g_00582	Prao.g_01307
OG0000012	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068	Prao.g_00062
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prao.g_00463
OG0000014	Syai.g_00220	Prao.g_01213
OG0000015	Syai.g_01246, Syai.g_01245	Prao.g_00703
OG0000016	Syai.g_00014	Prao.g_00160
OG0000017	Syai.g_00801	Prao.g_00036
OG0000018	Syai.g_00915	Prao.g_01108, Prao.g_00768
OG0000019	Syai.g_00304	Prao.g_00387, Prao.g_00720
OG0000020	Syai.g_00476	Prao.g_01145
OG0000022	Syai.g_01159	Prao.g_00699, Prao.g_01126
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prao.g_00494
OG0000024	Syai.g_01951	Prao.g_00683, Prao.g_00114
OG0000025	Syai.g_02044	Prao.g_00776, Prao.g_00467
OG0000026	Syai.g_00038	Prao.g_00177, Prao.g_00992
OG0000027	Syai.g_01128, Syai.g_01654	Prao.g_00576, Prao.g_01293
OG0000028	Syai.g_00205	Prao.g_00456, Prao.g_01348
OG0000029	Syai.g_01035, Syai.g_01584	Prao.g_00510, Prao.g_00690
OG0000030	Syai.g_00096, Syai.g_00095	Prao.g_01753
OG0000033	Syai.g_02634	Prao.g_00307
OG0000034	Syai.g_02192, Syai.g_02604	Prao.g_01266
OG0000035	Syai.g_00955	Prao.g_01397
OG0000037	Syai.g_02544, Syai.g_02815	Prao.g_00247
OG0000038	Syai.g_02780	Prao.g_01794
OG0000039	Syai.g_02034	Prao.g_00124
OG0000041	Syai.g_02265	Prao.g_01598
OG0000042	Syai.g_00099	Prao.g_01750
OG0000043	Syai.g_01599	Prao.g_01331
OG0000045	Syai.g_02432	Prao.g_00506
OG0000047	Syai.g_00462	Prao.g_00466
OG0000048	Syai.g_00272	Prao.g_00509
OG0000051	Syai.g_01773	Prao.g_01304
OG0000052	Syai.g_00176	Prao.g_01358
OG0000053	Syai.g_00930	Prao.g_01417
OG0000054	Syai.g_01040	Prao.g_00044
OG0000055	Syai.g_02029	Prao.g_00721
OG0000057	Syai.g_01997	Prao.g_00136
OG0000058	Syai.g_00195	Prao.g_01191
OG0000059	Syai.g_00351	Prao.g_01639
OG0000061	Syai.g_02144	Prao.g_01089
OG0000063	Syai.g_00042	Prao.g_00179
OG0000067	Syai.g_01321	Prao.g_00741
OG0000068	Syai.g_00628	Prao.g_01239
OG0000070	Syai.g_02196	Prao.g_00554
OG0000071	Syai.g_02179	Prao.g_01276
OG0000072	Syai.g_02636	Prao.g_00309
OG0000073	Syai.g_00659	Prao.g_00605
OG0000075	Syai.g_00161	Prao.g_01719
OG0000076	Syai.g_00111	Prao.g_01743
OG0000077	Syai.g_02486	Prao.g_00217
OG0000078	Syai.g_00543	Prao.g_00377
OG0000079	Syai.g_00300	Prao.g_00390
OG0000081	Syai.g_00553	Prao.g_01860
OG0000082	Syai.g_00781	Prao.g_00024
OG0000084	Syai.g_00958	Prao.g_01393
OG0000085	Syai.g_02365	Prao.g_01545
OG0000086	Syai.g_02507	Prao.g_00227
OG0000087	Syai.g_02592	Prao.g_00277
OG0000088	Syai.g_02630	Prao.g_00304
OG0000089	Syai.g_00517	Prao.g_00490
OG0000090	Syai.g_00707	Prao.g_01858
OG0000091	Syai.g_01112	Prao.g_00081
OG0000092	Syai.g_01358	Prao.g_00850
OG0000094	Syai.g_01424	Prao.g_00955
OG0000097	Syai.g_01787	Prao.g_01048
OG0000098	Syai.g_01718	Prao.g_01257
OG0000099	Syai.g_00199	Prao.g_01214
OG0000100	Syai.g_01372	Prao.g_01470
OG0000101	Syai.g_00404	Prao.g_01687
OG0000102	Syai.g_00106	Prao.g_01748
OG0000103	Syai.g_02912	Prao.g_01828
OG0000104	Syai.g_02929	Prao.g_01837
OG0000105	Syai.g_00267	Prao.g_01378
OG0000106	Syai.g_01601	Prao.g_00505
OG0000107	Syai.g_00319	Prao.g_00518
OG0000108	Syai.g_00638	Prao.g_00586
OG0000109	Syai.g_00653	Prao.g_00600
OG0000110	Syai.g_00766	Prao.g_01867
OG0000111	Syai.g_00884	Prao.g_00137
OG0000112	Syai.g_01512	Prao.g_00704
OG0000113	Syai.g_01367	Prao.g_00763
OG0000114	Syai.g_01261	Prao.g_00845
OG0000115	Syai.g_00932	Prao.g_01150
OG0000116	Syai.g_02156	Prao.g_01099
OG0000117	Syai.g_01756	Prao.g_01332
OG0000118	Syai.g_00818	Prao.g_01264
OG0000119	Syai.g_02127	Prao.g_01243
OG0000120	Syai.g_00198	Prao.g_01215
OG0000121	Syai.g_00951	Prao.g_01399
OG0000122	Syai.g_01143	Prao.g_01436
OG0000123	Syai.g_00411	Prao.g_01694
OG0000124	Syai.g_00089	Prao.g_01759
OG0000125	Syai.g_02782	Prao.g_01796
OG0000126	Syai.g_02927	Prao.g_01836
OG0000128	Syai.g_00012	Prao.g_00158
OG0000129	Syai.g_02771	Prao.g_00190
OG0000130	Syai.g_02474	Prao.g_00208
OG0000131	Syai.g_02608	Prao.g_00283
