Orthogroup	Syai	Prbm
OG0000001	Syai.g_01716	Prbm.g_01633, Prbm.g_01905, Prbm.g_01906, Prbm.g_00496, Prbm.g_01940, Prbm.g_01426
OG0000002	Syai.g_01728	Prbm.g_00874, Prbm.g_01578, Prbm.g_01577, Prbm.g_01582, Prbm.g_01576, Prbm.g_01581, Prbm.g_00712
OG0000004	Syai.g_01994	Prbm.g_01483
OG0000004	Syai.g_01062, Syai.g_00530	Prbm.g_00291
OG0000005	Syai.g_02356	Prbm.g_01790
OG0000006	Syai.g_00317, Syai.g_00547	Prbm.g_00302, Prbm.g_01236, Prbm.g_01588
OG0000007	Syai.g_00657	Prbm.g_00522
OG0000007	Syai.g_02378	Prbm.g_01841
OG0000008	Syai.g_01956	Prbm.g_01907
OG0000008	Syai.g_01955	Prbm.g_01908
OG0000009	Syai.g_01626	Prbm.g_01235, Prbm.g_01400
OG0000010	Syai.g_00864	Prbm.g_01066, Prbm.g_00499
OG0000011	Syai.g_01894, Syai.g_00582	Prbm.g_01202
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prbm.g_00382
OG0000014	Syai.g_00220	Prbm.g_00362
OG0000015	Syai.g_01246, Syai.g_01245	Prbm.g_01427, Prbm.g_01149
OG0000016	Syai.g_00014	Prbm.g_00013
OG0000016	Syai.g_01785, Syai.g_01632	Prbm.g_01944
OG0000017	Syai.g_00801	Prbm.g_00635
OG0000018	Syai.g_00915	Prbm.g_01571, Prbm.g_00843
OG0000019	Syai.g_00304	Prbm.g_00792
OG0000020	Syai.g_00476	Prbm.g_01065, Prbm.g_01156
OG0000022	Syai.g_01159	Prbm.g_01204, Prbm.g_01324
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbm.g_01444, Prbm.g_01297, Prbm.g_01284
OG0000024	Syai.g_01951	Prbm.g_01151, Prbm.g_00709
OG0000025	Syai.g_02044	Prbm.g_00849
OG0000026	Syai.g_00038	Prbm.g_00031
OG0000028	Syai.g_00205	Prbm.g_01656
OG0000029	Syai.g_01035, Syai.g_01584	Prbm.g_01823
OG0000030	Syai.g_00096, Syai.g_00095	Prbm.g_02105
OG0000032	Syai.g_00895	Prbm.g_01747
OG0000033	Syai.g_02634	Prbm.g_00228
OG0000034	Syai.g_02192, Syai.g_02604	Prbm.g_01620
OG0000035	Syai.g_00955	Prbm.g_01710
OG0000037	Syai.g_02544, Syai.g_02815	Prbm.g_00166
OG0000038	Syai.g_02780	Prbm.g_02174
OG0000039	Syai.g_02034	Prbm.g_00723
OG0000041	Syai.g_02265	Prbm.g_01886
OG0000042	Syai.g_00099	Prbm.g_02102
OG0000043	Syai.g_01599	Prbm.g_01173
OG0000044	Syai.g_00833	Prbm.g_00478, Prbm.g_01281
OG0000045	Syai.g_02432	Prbm.g_01088
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prbm.g_00383
OG0000047	Syai.g_00462	Prbm.g_00428, Prbm.g_00390
OG0000048	Syai.g_00272	Prbm.g_00329
OG0000050	Syai.g_01893	Prbm.g_01485
OG0000053	Syai.g_00930	Prbm.g_01729
OG0000054	Syai.g_01040	Prbm.g_00637
OG0000055	Syai.g_02029	Prbm.g_00778
OG0000057	Syai.g_01997	Prbm.g_00735
OG0000058	Syai.g_00195	Prbm.g_00881
OG0000059	Syai.g_00351	Prbm.g_01973
OG0000060	Syai.g_01758	Prbm.g_01422
OG0000061	Syai.g_02144	Prbm.g_01549
OG0000063	Syai.g_00042	Prbm.g_01947
OG0000066	Syai.g_01709, Syai.g_00719	Prbm.g_00572
OG0000067	Syai.g_01321	Prbm.g_00814
OG0000068	Syai.g_00628	Prbm.g_01660
OG0000070	Syai.g_02196	Prbm.g_00460
OG0000071	Syai.g_02179	Prbm.g_00468, Prbm.g_01611
OG0000072	Syai.g_02636	Prbm.g_00230
OG0000073	Syai.g_00659	Prbm.g_00533
OG0000075	Syai.g_00161	Prbm.g_02069
OG0000076	Syai.g_00111	Prbm.g_02094
OG0000077	Syai.g_02486	Prbm.g_00135
OG0000078	Syai.g_00543	Prbm.g_00300
OG0000079	Syai.g_00300	Prbm.g_00311
OG0000081	Syai.g_00553	Prbm.g_00564
