Orthogroup	Syai	Syas
OG0000001	Syai.g_00891, Syai.g_02595	Syas.g_00966, Syas.g_00967, Syas.g_00093, Syas.g_02373
OG0000004	Syai.g_01994	Syas.g_00176
OG0000004	Syai.g_01062	Syas.g_00174, Syas.g_00311
OG0000004	Syai.g_00530	Syas.g_00072
OG0000005	Syai.g_02393	Syas.g_02665
OG0000005	Syai.g_02356	Syas.g_02704
OG0000006	Syai.g_00317, Syai.g_00547	Syas.g_01684, Syas.g_02565
OG0000007	Syai.g_00657	Syas.g_01232
OG0000007	Syai.g_02378	Syas.g_02681
OG0000008	Syai.g_01956	Syas.g_00886
OG0000008	Syai.g_01955	Syas.g_00887
OG0000009	Syai.g_02541	Syas.g_01450
OG0000010	Syai.g_00864	Syas.g_01334
OG0000014	Syai.g_00220	Syas.g_01816
OG0000016	Syai.g_00014	Syas.g_02048
OG0000016	Syai.g_01785	Syas.g_01086
OG0000017	Syai.g_00808	Syas.g_00856
OG0000017	Syai.g_00801	Syas.g_00849
OG0000018	Syai.g_00915	Syas.g_01290
OG0000019	Syai.g_00304	Syas.g_01696
OG0000022	Syai.g_01159	Syas.g_02758
OG0000025	Syai.g_02044	Syas.g_00231
OG0000026	Syai.g_00038	Syas.g_02070
OG0000027	Syai.g_01128, Syai.g_01654	Syas.g_01480
OG0000028	Syai.g_00205	Syas.g_01793
OG0000030	Syai.g_00096	Syas.g_01644
OG0000030	Syai.g_00095	Syas.g_01645
OG0000031	Syai.g_00197	Syas.g_01827
OG0000033	Syai.g_02634	Syas.g_02328
OG0000034	Syai.g_02192, Syai.g_02604	Syas.g_02371, Syas.g_02838
OG0000035	Syai.g_00955	Syas.g_02814, Syas.g_02818
OG0000037	Syai.g_02815	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Syai.g_02780	Syas.g_01885
OG0000040	Syai.g_02876	Syas.g_01972
OG0000042	Syai.g_00099	Syas.g_01121, Syas.g_02147
OG0000044	Syai.g_00833	Syas.g_00894, Syas.g_02453
OG0000048	Syai.g_00272	Syas.g_01734
OG0000051	Syai.g_01773	Syas.g_01445
OG0000053	Syai.g_00930	Syas.g_01287
OG0000054	Syai.g_01040	Syas.g_00961
OG0000058	Syai.g_00195	Syas.g_01151
OG0000060	Syai.g_01758	Syas.g_00975
OG0000061	Syai.g_02144	Syas.g_01184
OG0000062	Syai.g_02358	Syas.g_02702
OG0000063	Syai.g_00042	Syas.g_02074
OG0000064	Syai.g_02844	Syas.g_02423
OG0000064	Syai.g_01163, Syai.g_01668	Syas.g_00946
OG0000066	Syai.g_01709, Syai.g_00719	Syas.g_00094
OG0000067	Syai.g_01321	Syas.g_00596
OG0000068	Syai.g_00628	Syas.g_00969, Syas.g_01261
OG0000070	Syai.g_02196	Syas.g_00173
OG0000072	Syai.g_02636	Syas.g_02326
OG0000073	Syai.g_00659	Syas.g_01230
OG0000075	Syai.g_00161	Syas.g_01921, Syas.g_02194
OG0000076	Syai.g_00111	Syas.g_02156
OG0000077	Syai.g_02486	Syas.g_02510
OG0000078	Syai.g_00543	Syas.g_02308, Syas.g_02561
OG0000079	Syai.g_00300	Syas.g_01699
OG0000081	Syai.g_02292, Syai.g_00553	Syas.g_00391
OG0000082	Syai.g_00781	Syas.g_00837
OG0000085	Syai.g_02365	Syas.g_02695
OG0000086	Syai.g_02507	Syas.g_02470
OG0000087	Syai.g_02592	Syas.g_02374
OG0000089	Syai.g_00517	Syas.g_01512
OG0000090	Syai.g_00707	Syas.g_00062
OG0000091	Syai.g_01112	Syas.g_00907, Syas.g_00146
OG0000092	Syai.g_01358	Syas.g_00900, Syas.g_00877
OG0000094	Syai.g_01424	Syas.g_00208
OG0000095	Syai.g_02007	Syas.g_01021
OG0000098	Syai.g_01718	Syas.g_00091
OG0000099	Syai.g_00199	Syas.g_01826
OG0000100	Syai.g_01372	Syas.g_00567
OG0000102	Syai.g_00106	Syas.g_02152, Syas.g_01395
OG0000104	Syai.g_02929	Syas.g_02027, Syas.g_02026
OG0000105	Syai.g_00267	Syas.g_01739
OG0000106	Syai.g_01601	Syas.g_01451
OG0000107	Syai.g_00319	Syas.g_01669
OG0000108	Syai.g_00638	Syas.g_01253
OG0000110	Syai.g_00878	Syas.g_00359
OG0000110	Syai.g_00766	Syas.g_00818
OG0000111	Syai.g_00884	Syas.g_01037
OG0000112	Syai.g_01512	Syas.g_00452
OG0000113	Syai.g_01367	Syas.g_00571
OG0000114	Syai.g_01261	Syas.g_00674, Syas.g_00252
OG0000115	Syai.g_00932	Syas.g_02548, Syas.g_01285
OG0000116	Syai.g_02156	Syas.g_01198, Syas.g_00317
OG0000117	Syai.g_01756	Syas.g_01122
OG0000118	Syai.g_00818	Syas.g_02835
OG0000120	Syai.g_00198	Syas.g_01828
OG0000121	Syai.g_00951	Syas.g_02821
OG0000122	Syai.g_01143	Syas.g_00393
OG0000123	Syai.g_00411	Syas.g_01582
OG0000124	Syai.g_00089	Syas.g_02137
OG0000125	Syai.g_02782	Syas.g_01889
OG0000126	Syai.g_02927	Syas.g_01992
OG0000127	Syai.g_02459	Syas.g_02540
OG0000128	Syai.g_00012	Syas.g_02046
OG0000129	Syai.g_02771	Syas.g_01880
OG0000130	Syai.g_02474	Syas.g_02522
OG0000131	Syai.g_02608	Syas.g_02367
OG0000132	Syai.g_02628	Syas.g_02334
OG0000133	Syai.g_01507	Syas.g_00457
OG0000134	Syai.g_00520	Syas.g_01509
OG0000135	Syai.g_02826	Syas.g_01938
OG0000136	Syai.g_02217	Syas.g_02740
OG0000137	Syai.g_00865	Syas.g_01333
OG0000138	Syai.g_00654	Syas.g_01235
OG0000140	Syai.g_00716	Syas.g_00090
OG0000141	Syai.g_01041	Syas.g_00875
OG0000142	Syai.g_01104	Syas.g_00746
OG0000143	Syai.g_01108	Syas.g_00742
OG0000144	Syai.g_01608	Syas.g_00718
OG0000145	Syai.g_00660	Syas.g_00948
OG0000146	Syai.g_01513	Syas.g_00451
OG0000147	Syai.g_01514	Syas.g_00450
OG0000148	Syai.g_01361	Syas.g_00577
OG0000149	Syai.g_02059	Syas.g_00282
OG0000150	Syai.g_00717	Syas.g_00874
OG0000151	Syai.g_01280	Syas.g_00148, Syas.g_00659
OG0000152	Syai.g_01503	Syas.g_00461
OG0000153	Syai.g_01461	Syas.g_00543
OG0000154	Syai.g_01434	Syas.g_00219
OG0000155	Syai.g_02109	Syas.g_01131
OG0000156	Syai.g_02162	Syas.g_01206
OG0000157	Syai.g_02163	Syas.g_01207
OG0000158	Syai.g_00135	Syas.g_02185
OG0000160	Syai.g_00952	Syas.g_02820
OG0000161	Syai.g_00946	Syas.g_02826
OG0000162	Syai.g_00939	Syas.g_02751
OG0000163	Syai.g_02300	Syas.g_01488
OG0000165	Syai.g_02244	Syas.g_02609
OG0000166	Syai.g_00364	Syas.g_01629
OG0000167	Syai.g_00164	Syas.g_01449
OG0000168	Syai.g_00134	Syas.g_02184
OG0000169	Syai.g_00123	Syas.g_02170
OG0000170	Syai.g_00116	Syas.g_02161
OG0000171	Syai.g_00090	Syas.g_02139
OG0000172	Syai.g_00083	Syas.g_02110
OG0000173	Syai.g_00064	Syas.g_02092
OG0000174	Syai.g_02828	Syas.g_01940
OG0000175	Syai.g_02901	Syas.g_01994
OG0000176	Syai.g_00004	Syas.g_02038
OG0000177	Syai.g_00005	Syas.g_02039
OG0000178	Syai.g_00006	Syas.g_02040
OG0000179	Syai.g_00023	Syas.g_02054
OG0000180	Syai.g_00024	Syas.g_02055
OG0000181	Syai.g_00025	Syas.g_02056
OG0000182	Syai.g_00026	Syas.g_02057
OG0000183	Syai.g_00030	Syas.g_02061
OG0000184	Syai.g_02756	Syas.g_01872
OG0000185	Syai.g_02734	Syas.g_01861
OG0000186	Syai.g_02469	Syas.g_02525
OG0000187	Syai.g_02471	Syas.g_02524
OG0000188	Syai.g_02494, Syai.g_00696	Syas.g_02502
OG0000189	Syai.g_02530	Syas.g_02432
OG0000190	Syai.g_02532	Syas.g_00133
OG0000191	Syai.g_02562	Syas.g_02400
OG0000192	Syai.g_02569	Syas.g_02395
OG0000193	Syai.g_02609	Syas.g_02366
OG0000194	Syai.g_02612	Syas.g_02363
OG0000196	Syai.g_02625	Syas.g_02337
OG0000197	Syai.g_02626	Syas.g_02336
OG0000198	Syai.g_02627	Syas.g_02335
OG0000199	Syai.g_02635	Syas.g_02327
OG0000200	Syai.g_02651	Syas.g_02298
OG0000201	Syai.g_02667	Syas.g_02279
OG0000202	Syai.g_02668	Syas.g_02278
OG0000203	Syai.g_02669	Syas.g_02277
OG0000204	Syai.g_02670	Syas.g_02276
OG0000205	Syai.g_02677	Syas.g_02267
OG0000206	Syai.g_02684	Syas.g_02240
OG0000207	Syai.g_02686	Syas.g_02237
OG0000208	Syai.g_02687	Syas.g_02236
OG0000209	Syai.g_02699	Syas.g_01837
OG0000210	Syai.g_02700	Syas.g_01838
OG0000211	Syai.g_00533	Syas.g_02552
OG0000212	Syai.g_00544	Syas.g_02562
OG0000213	Syai.g_00292	Syas.g_01707
OG0000214	Syai.g_00276	Syas.g_01730
OG0000215	Syai.g_00245	Syas.g_01766
OG0000216	Syai.g_00241	Syas.g_01770
OG0000217	Syai.g_00237	Syas.g_01778
OG0000218	Syai.g_00235	Syas.g_01780
OG0000219	Syai.g_00234	Syas.g_01783
OG0000220	Syai.g_00233	Syas.g_01784
OG0000221	Syai.g_00227	Syas.g_01785
OG0000222	Syai.g_00215	Syas.g_01804
OG0000223	Syai.g_00194	Syas.g_02221
OG0000224	Syai.g_00186	Syas.g_02215
OG0000225	Syai.g_00502	Syas.g_01522
OG0000226	Syai.g_00506	Syas.g_01518
OG0000227	Syai.g_00508	Syas.g_01516
OG0000228	Syai.g_00516	Syas.g_01513
OG0000229	Syai.g_02228	Syas.g_01497
OG0000230	Syai.g_02226	Syas.g_01495
OG0000231	Syai.g_02208	Syas.g_02749
OG0000232	Syai.g_00846	Syas.g_01276
OG0000233	Syai.g_00855	Syas.g_01352
OG0000234	Syai.g_00866	Syas.g_01331
OG0000235	Syai.g_00637	Syas.g_01254
OG0000236	Syai.g_00652	Syas.g_01237
OG0000237	Syai.g_00669	Syas.g_01220
OG0000238	Syai.g_00674	Syas.g_01215
