Orthogroup	Syai	Prbb
OG0000001	Syai.g_01716	Prbb.g_01611, Prbb.g_01883, Prbb.g_00474, Prbb.g_01915, Prbb.g_01157
OG0000002	Syai.g_01728	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683
OG0000004	Syai.g_01994	Prbb.g_01450
OG0000004	Syai.g_01062, Syai.g_00530	Prbb.g_00288
OG0000005	Syai.g_02393	Prbb.g_01393
OG0000005	Syai.g_02356	Prbb.g_01766
OG0000006	Syai.g_00317, Syai.g_00547	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Syai.g_00657	Prbb.g_00501
OG0000007	Syai.g_02378	Prbb.g_01823
OG0000008	Syai.g_01956	Prbb.g_01884
OG0000008	Syai.g_01955	Prbb.g_01885
OG0000010	Syai.g_00864	Prbb.g_01072, Prbb.g_00477
OG0000011	Syai.g_01894, Syai.g_00582	Prbb.g_01229
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prbb.g_00378
OG0000014	Syai.g_00220	Prbb.g_00357
OG0000015	Syai.g_01246, Syai.g_01245	Prbb.g_01158
OG0000016	Syai.g_00014	Prbb.g_00014
OG0000016	Syai.g_01785, Syai.g_01632	Prbb.g_01919
OG0000017	Syai.g_00801	Prbb.g_00605
OG0000018	Syai.g_00915	Prbb.g_01539, Prbb.g_00812
OG0000019	Syai.g_00304	Prbb.g_00761
OG0000020	Syai.g_00476	Prbb.g_01071, Prbb.g_01180
OG0000021	Syai.g_00556	Prbb.g_00099
OG0000022	Syai.g_01159	Prbb.g_01231, Prbb.g_01258
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbb.g_01411, Prbb.g_01373
OG0000024	Syai.g_01951	Prbb.g_01175, Prbb.g_00680
OG0000025	Syai.g_02044	Prbb.g_00052, Prbb.g_00818
OG0000026	Syai.g_00038	Prbb.g_00032
OG0000027	Syai.g_01128, Syai.g_01654	Prbb.g_01375
OG0000028	Syai.g_00205	Prbb.g_01635
OG0000029	Syai.g_01035, Syai.g_01584	Prbb.g_01800
OG0000030	Syai.g_00096, Syai.g_00095	Prbb.g_02073
OG0000032	Syai.g_00895	Prbb.g_01723
OG0000033	Syai.g_02634	Prbb.g_00226
OG0000034	Syai.g_02192, Syai.g_02604	Prbb.g_01596
OG0000035	Syai.g_00955	Prbb.g_01686
OG0000037	Syai.g_02544, Syai.g_02815	Prbb.g_00164
OG0000038	Syai.g_02780	Prbb.g_02129
OG0000039	Syai.g_02034	Prbb.g_00692
OG0000041	Syai.g_02265	Prbb.g_01868
OG0000042	Syai.g_00099	Prbb.g_02069
OG0000043	Syai.g_01599	Prbb.g_01198
OG0000044	Syai.g_00833	Prbb.g_00079
OG0000045	Syai.g_02432	Prbb.g_01094
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prbb.g_00379
OG0000047	Syai.g_00462	Prbb.g_00421, Prbb.g_00386
OG0000048	Syai.g_00272	Prbb.g_00325
OG0000050	Syai.g_01893	Prbb.g_01452
OG0000053	Syai.g_00930	Prbb.g_01705
OG0000054	Syai.g_01040	Prbb.g_00607
OG0000055	Syai.g_02029	Prbb.g_00747
OG0000057	Syai.g_01997	Prbb.g_00706, Prbb.g_01359
OG0000058	Syai.g_00195	Prbb.g_00851
OG0000059	Syai.g_00351	Prbb.g_01946
OG0000060	Syai.g_01758	Prbb.g_01153
OG0000061	Syai.g_02144	Prbb.g_01517, Prbb.g_00874
OG0000063	Syai.g_00042	Prbb.g_01921
OG0000066	Syai.g_01709, Syai.g_00719	Prbb.g_00542
OG0000067	Syai.g_01321	Prbb.g_00783
OG0000068	Syai.g_00628	Prbb.g_01639
OG0000070	Syai.g_02196	Prbb.g_00455
OG0000071	Syai.g_02179	Prbb.g_01586
OG0000072	Syai.g_02636	Prbb.g_00228
OG0000073	Syai.g_00659	Prbb.g_00503
OG0000075	Syai.g_00161	Prbb.g_02036
OG0000076	Syai.g_00111	Prbb.g_02061
OG0000077	Syai.g_02486	Prbb.g_00133
OG0000078	Syai.g_00543	Prbb.g_00297
OG0000079	Syai.g_00300	Prbb.g_00308
OG0000081	Syai.g_00553	Prbb.g_00534
OG0000082	Syai.g_00781	Prbb.g_01882
OG0000084	Syai.g_00958	Prbb.g_01683
OG0000085	Syai.g_02365	Prbb.g_01816
OG0000086	Syai.g_02507	Prbb.g_00143
OG0000087	Syai.g_02592	Prbb.g_00196
OG0000088	Syai.g_02630	Prbb.g_00223
OG0000089	Syai.g_00517	Prbb.g_00416
OG0000090	Syai.g_00707	Prbb.g_00536
OG0000091	Syai.g_01112	Prbb.g_00643
OG0000092	Syai.g_01358	Prbb.g_00937
OG0000097	Syai.g_01787	Prbb.g_01470
OG0000098	Syai.g_01718	Prbb.g_01608
OG0000099	Syai.g_00199	Prbb.g_00388
OG0000100	Syai.g_01372	Prbb.g_01763
OG0000101	Syai.g_00404	Prbb.g_02001
OG0000102	Syai.g_00106	Prbb.g_02066
OG0000103	Syai.g_02912	Prbb.g_02174
OG0000104	Syai.g_02929	Prbb.g_02185
OG0000105	Syai.g_00267	Prbb.g_00327
OG0000106	Syai.g_01601	Prbb.g_01197, Prbb.g_01329
OG0000107	Syai.g_00319	Prbb.g_01923
OG0000108	Syai.g_00638	Prbb.g_00484, Prbb.g_00485
OG0000109	Syai.g_00653	Prbb.g_00498
OG0000110	Syai.g_00766	Prbb.g_00578
OG0000111	Syai.g_00884	Prbb.g_00707
OG0000112	Syai.g_01512	Prbb.g_00983
OG0000113	Syai.g_01367	Prbb.g_00807, Prbb.g_01218
OG0000114	Syai.g_01261	Prbb.g_00932
OG0000115	Syai.g_00932	Prbb.g_01780
