Orthogroup	Syai	Syat
OG0000001	Syai.g_01716, Syai.g_01197, Syai.g_02594	Syat.g_02910, Syat.g_02911
OG0000001	Syai.g_00891, Syai.g_02595	Syat.g_02908, Syat.g_02909
OG0000001	Syai.g_01729	Syat.g_01540
OG0000005	Syai.g_02393	Syat.g_03065
OG0000005	Syai.g_02356	Syat.g_03105
OG0000005	Syai.g_02068, Syai.g_01611	Syat.g_01038
OG0000006	Syai.g_00317, Syai.g_00547	Syat.g_01439, Syat.g_01865
OG0000006	Syai.g_01126	Syat.g_00371
OG0000007	Syai.g_00657	Syat.g_03191
OG0000007	Syai.g_02378	Syat.g_03124
OG0000008	Syai.g_01956	Syat.g_02626
OG0000008	Syai.g_01955	Syat.g_02627
OG0000009	Syai.g_02541	Syat.g_01567
OG0000010	Syai.g_00864	Syat.g_01372
OG0000013	Syai.g_00436	Syat.g_01027
OG0000014	Syai.g_00220	Syat.g_02104
OG0000016	Syai.g_00014	Syat.g_02329
OG0000016	Syai.g_01785	Syat.g_00909
OG0000017	Syai.g_00801	Syat.g_00015
OG0000018	Syai.g_00915	Syat.g_01334
OG0000019	Syai.g_00304	Syat.g_01876
OG0000022	Syai.g_01159	Syat.g_00210
OG0000024	Syai.g_01951	Syat.g_03394
OG0000025	Syai.g_02044	Syat.g_00719
OG0000026	Syai.g_00038	Syat.g_02306
OG0000027	Syai.g_01128, Syai.g_01654	Syat.g_00850
OG0000028	Syai.g_00205	Syat.g_02126
OG0000030	Syai.g_00096	Syat.g_00307
OG0000030	Syai.g_00095	Syat.g_00308
OG0000031	Syai.g_00197	Syat.g_02131
OG0000032	Syai.g_00895	Syat.g_01354
OG0000033	Syai.g_02634	Syat.g_02858
OG0000034	Syai.g_02192, Syai.g_02604	Syat.g_01165, Syat.g_02902
OG0000035	Syai.g_00955	Syat.g_01227, Syat.g_01226
OG0000037	Syai.g_02815	Syat.g_00849, Syat.g_00187
OG0000038	Syai.g_02780	Syat.g_02688
OG0000039	Syai.g_02034	Syat.g_01278
OG0000040	Syai.g_02876	Syat.g_02551
OG0000042	Syai.g_00099	Syat.g_00223, Syat.g_02222
OG0000044	Syai.g_00833	Syat.g_00933, Syat.g_01910, Syat.g_00146, Syat.g_03333
OG0000045	Syai.g_02432	Syat.g_00935
OG0000048	Syai.g_00272	Syat.g_02046
OG0000053	Syai.g_00930	Syat.g_01330
OG0000057	Syai.g_01997	Syat.g_00817
OG0000058	Syai.g_00195	Syat.g_01189
OG0000060	Syai.g_00635	Syat.g_01384
OG0000060	Syai.g_01758	Syat.g_01047
OG0000061	Syai.g_02144	Syat.g_03260
OG0000062	Syai.g_02358	Syat.g_03107
OG0000063	Syai.g_00042	Syat.g_02303
OG0000064	Syai.g_02844	Syat.g_01568
OG0000066	Syai.g_01709, Syai.g_00719	Syat.g_03283
OG0000067	Syai.g_01321	Syat.g_00479
OG0000068	Syai.g_00628	Syat.g_00085, Syat.g_01295
OG0000070	Syai.g_02196	Syat.g_01032, Syat.g_01040
OG0000072	Syai.g_02636	Syat.g_02856
OG0000073	Syai.g_00659	Syat.g_03201
OG0000075	Syai.g_00161	Syat.g_02497, Syat.g_01713, Syat.g_02154
OG0000076	Syai.g_00111	Syat.g_02206
OG0000077	Syai.g_02486	Syat.g_01481
OG0000078	Syai.g_00543	Syat.g_00184
OG0000079	Syai.g_00300	Syat.g_01879
OG0000081	Syai.g_02292, Syai.g_00553	Syat.g_00980
OG0000082	Syai.g_00781	Syat.g_00035
OG0000085	Syai.g_02365	Syat.g_03113
OG0000086	Syai.g_02507	Syat.g_01531, Syat.g_00798, Syat.g_00635
OG0000087	Syai.g_02592	Syat.g_02912
OG0000088	Syai.g_02630	Syat.g_02862
OG0000089	Syai.g_00517	Syat.g_02953
OG0000090	Syai.g_00707	Syat.g_03270
OG0000091	Syai.g_01112	Syat.g_00939, Syat.g_00862
OG0000092	Syai.g_01358	Syat.g_00825
OG0000094	Syai.g_01424	Syat.g_00698
OG0000095	Syai.g_02007	Syat.g_00808
OG0000098	Syai.g_01718	Syat.g_03281
OG0000099	Syai.g_00199	Syat.g_02130
OG0000100	Syai.g_01372	Syat.g_00517
OG0000102	Syai.g_00106	Syat.g_00974
OG0000104	Syai.g_02929	Syat.g_02385
OG0000105	Syai.g_00267	Syat.g_02052
OG0000106	Syai.g_01601	Syat.g_00957
OG0000107	Syai.g_00319	Syat.g_01862, Syat.g_02009
OG0000108	Syai.g_00638	Syat.g_03170
OG0000110	Syai.g_00766	Syat.g_00049
OG0000111	Syai.g_00884	Syat.g_00816
OG0000112	Syai.g_01512	Syat.g_00593
OG0000113	Syai.g_01367	Syat.g_00509
OG0000114	Syai.g_01261	Syat.g_00426
OG0000115	Syai.g_00932	Syat.g_01328
