Orthogroup	Syai	Prat
OG0000001	Syai.g_01716	Prat.g_01285, Prat.g_01286, Prat.g_00851
OG0000002	Syai.g_01728	Prat.g_00977, Prat.g_01184, Prat.g_01487, Prat.g_01182, Prat.g_01187, Prat.g_01462, Prat.g_00751
OG0000004	Syai.g_01994	Prat.g_00772
OG0000004	Syai.g_01062, Syai.g_00530	Prat.g_00236
OG0000005	Syai.g_02356	Prat.g_01440
OG0000006	Syai.g_00317, Syai.g_00547	Prat.g_00248
OG0000007	Syai.g_00657	Prat.g_00458
OG0000007	Syai.g_02378	Prat.g_01592
OG0000008	Syai.g_01956	Prat.g_00376
OG0000008	Syai.g_01955	Prat.g_00377
OG0000009	Syai.g_01626	Prat.g_01451
OG0000010	Syai.g_00864	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000012	Syai.g_01068	Prat.g_00586
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prat.g_00334
OG0000014	Syai.g_00220	Prat.g_00314
OG0000015	Syai.g_01246, Syai.g_01245	Prat.g_00701
OG0000016	Syai.g_00014	Prat.g_00014
OG0000016	Syai.g_01785, Syai.g_01632	Prat.g_01219
OG0000017	Syai.g_00808	Prat.g_00567
OG0000017	Syai.g_00801	Prat.g_00560
OG0000018	Syai.g_00915	Prat.g_01177, Prat.g_01009
OG0000019	Syai.g_00304	Prat.g_00255, Prat.g_01180
OG0000020	Syai.g_00476	Prat.g_01470, Prat.g_00617, Prat.g_00648
OG0000021	Syai.g_00556	Prat.g_00461
OG0000022	Syai.g_01159	Prat.g_01192, Prat.g_01448
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prat.g_00834
OG0000024	Syai.g_01951	Prat.g_00622, Prat.g_00749
OG0000025	Syai.g_02044	Prat.g_01003
OG0000026	Syai.g_00038	Prat.g_00033
OG0000027	Syai.g_01128, Syai.g_01654	Prat.g_01548, Prat.g_01474
OG0000028	Syai.g_00205	Prat.g_00327, Prat.g_00380
OG0000030	Syai.g_00096, Syai.g_00095	Prat.g_01799
OG0000032	Syai.g_00895	Prat.g_01394
OG0000033	Syai.g_02634	Prat.g_00170
OG0000034	Syai.g_02192, Syai.g_02604	Prat.g_01259
OG0000035	Syai.g_00955	Prat.g_01352, Prat.g_01353
OG0000037	Syai.g_02544, Syai.g_02815	Prat.g_00106
OG0000038	Syai.g_02780	Prat.g_01839
OG0000039	Syai.g_02034	Prat.g_00760
OG0000041	Syai.g_02265	Prat.g_01640
OG0000042	Syai.g_00099	Prat.g_01796
OG0000044	Syai.g_00833	Prat.g_00619
OG0000045	Syai.g_02432	Prat.g_01203
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prat.g_00335
OG0000047	Syai.g_00462	Prat.g_00374
OG0000048	Syai.g_00272	Prat.g_00278
OG0000053	Syai.g_00930	Prat.g_01375
OG0000054	Syai.g_01040	Prat.g_00569
OG0000055	Syai.g_02029	Prat.g_00852
OG0000057	Syai.g_01997	Prat.g_00775
OG0000058	Syai.g_00195	Prat.g_01311
OG0000059	Syai.g_00351	Prat.g_01679
OG0000061	Syai.g_02144	Prat.g_01156
OG0000062	Syai.g_02358	Prat.g_01442
OG0000063	Syai.g_00042	Prat.g_01516
OG0000064	Syai.g_02844, Syai.g_01162, Syai.g_01163, Syai.g_01668, Syai.g_02350	Prat.g_00064
OG0000066	Syai.g_01709, Syai.g_00719	Prat.g_01499
OG0000067	Syai.g_01321	Prat.g_01037
OG0000068	Syai.g_00628	Prat.g_01291
OG0000070	Syai.g_02196	Prat.g_00412
OG0000071	Syai.g_02179	Prat.g_01249
OG0000072	Syai.g_02636	Prat.g_00172
OG0000073	Syai.g_00659	Prat.g_00462
OG0000075	Syai.g_00161	Prat.g_01761
OG0000076	Syai.g_00111	Prat.g_01788
OG0000077	Syai.g_02486	Prat.g_00075
OG0000078	Syai.g_00543	Prat.g_00245
OG0000079	Syai.g_00300	Prat.g_00258
OG0000081	Syai.g_00553	Prat.g_00493
OG0000082	Syai.g_00781	Prat.g_01507
OG0000084	Syai.g_00958	Prat.g_01348
OG0000085	Syai.g_02365	Prat.g_01584
OG0000086	Syai.g_02507	Prat.g_00086
OG0000087	Syai.g_02592	Prat.g_00138
OG0000088	Syai.g_02630	Prat.g_00166
OG0000089	Syai.g_00517	Prat.g_00370
OG0000090	Syai.g_00707	Prat.g_00495
OG0000091	Syai.g_01112	Prat.g_01082
OG0000092	Syai.g_01358	Prat.g_00721, Prat.g_01275
OG0000093	Syai.g_01306	Prat.g_01053
OG0000097	Syai.g_01787	Prat.g_01111
OG0000098	Syai.g_01718	Prat.g_01282
OG0000099	Syai.g_00199	Prat.g_01312
OG0000100	Syai.g_01372	Prat.g_01437
OG0000101	Syai.g_00404	Prat.g_01726
OG0000102	Syai.g_00106	Prat.g_01793
OG0000103	Syai.g_02912	Prat.g_01880
OG0000104	Syai.g_02929	Prat.g_01889
OG0000105	Syai.g_00267	Prat.g_00281
OG0000106	Syai.g_01601	Prat.g_00637
OG0000107	Syai.g_00319	Prat.g_01656
OG0000108	Syai.g_00638	Prat.g_00440
OG0000109	Syai.g_00653	Prat.g_00455
OG0000110	Syai.g_00766	Prat.g_00539
OG0000111	Syai.g_00884	Prat.g_00776
OG0000112	Syai.g_01512	Prat.g_00888
OG0000113	Syai.g_01367	Prat.g_01014
OG0000114	Syai.g_01261	Prat.g_00716
OG0000115	Syai.g_00932	Prat.g_01373
OG0000116	Syai.g_02156	Prat.g_01166
OG0000117	Syai.g_01756	Prat.g_01129
OG0000118	Syai.g_00818	Prat.g_01261
OG0000119	Syai.g_02127	Prat.g_00647, Prat.g_01452
OG0000120	Syai.g_00198	Prat.g_00344
OG0000121	Syai.g_00951	Prat.g_01355
OG0000122	Syai.g_01143	Prat.g_00781, Prat.g_01398
OG0000123	Syai.g_00411	Prat.g_01733
OG0000124	Syai.g_00089	Prat.g_01805
OG0000125	Syai.g_02782	Prat.g_01841
OG0000126	Syai.g_02927	Prat.g_01888
OG0000128	Syai.g_00012	Prat.g_00012, Prat.g_00011
OG0000129	Syai.g_02771	Prat.g_00047
OG0000130	Syai.g_02474	Prat.g_00066
OG0000131	Syai.g_02608	Prat.g_00144
OG0000132	Syai.g_02628	Prat.g_00164
OG0000133	Syai.g_01507	Prat.g_00329
OG0000134	Syai.g_00520	Prat.g_00372
OG0000135	Syai.g_02826	Prat.g_01477
OG0000136	Syai.g_02217	Prat.g_00401
OG0000137	Syai.g_00865	Prat.g_00434
OG0000138	Syai.g_00654	Prat.g_00456
OG0000139	Syai.g_00714	Prat.g_00499
OG0000140	Syai.g_00716	Prat.g_00500
OG0000141	Syai.g_01041	Prat.g_00570
OG0000142	Syai.g_01104	Prat.g_01090
OG0000143	Syai.g_01108	Prat.g_01086
OG0000144	Syai.g_01608	Prat.g_01072
OG0000145	Syai.g_00660	Prat.g_01472
OG0000146	Syai.g_01513	Prat.g_00887
OG0000147	Syai.g_01514	Prat.g_00886
OG0000148	Syai.g_01361	Prat.g_01020
OG0000149	Syai.g_02059	Prat.g_00991
OG0000150	Syai.g_00717	Prat.g_00981
OG0000151	Syai.g_01280	Prat.g_00726
OG0000152	Syai.g_01503	Prat.g_00896, Prat.g_01277
OG0000153	Syai.g_01461	Prat.g_00915
OG0000154	Syai.g_01434	Prat.g_00934
OG0000155	Syai.g_02109	Prat.g_01135
OG0000156	Syai.g_02162	Prat.g_01238
