Orthogroup	Syai	Syaa
OG0000001	Syai.g_01197, Syai.g_02594	Syaa.g_02437
OG0000001	Syai.g_00891	Syaa.g_02439
OG0000001	Syai.g_01729	Syaa.g_02329
OG0000004	Syai.g_01994	Syaa.g_00892
OG0000004	Syai.g_01062	Syaa.g_01667
OG0000004	Syai.g_00530	Syaa.g_02116
OG0000005	Syai.g_02393	Syaa.g_00534
OG0000005	Syai.g_02356	Syaa.g_00573
OG0000005	Syai.g_01611	Syaa.g_01449
OG0000006	Syai.g_00317, Syai.g_00547	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000006	Syai.g_01126	Syaa.g_01611
OG0000007	Syai.g_00657	Syaa.g_02032
OG0000007	Syai.g_02378	Syaa.g_00551
OG0000008	Syai.g_01956	Syaa.g_00918
OG0000008	Syai.g_01955	Syaa.g_00919
OG0000009	Syai.g_02541	Syaa.g_02378
OG0000010	Syai.g_00864	Syaa.g_01843
OG0000011	Syai.g_01952	Syaa.g_00921
OG0000012	Syai.g_01529, Syai.g_01650	Syaa.g_02304
OG0000012	Syai.g_01068	Syaa.g_01660
OG0000013	Syai.g_00450	Syaa.g_02204
OG0000013	Syai.g_00436	Syaa.g_02217
OG0000013	Syai.g_00442	Syaa.g_02212
OG0000014	Syai.g_00220	Syaa.g_00222
OG0000015	Syai.g_01246	Syaa.g_01079
OG0000015	Syai.g_01245	Syaa.g_01989
OG0000016	Syai.g_00014	Syaa.g_00014
OG0000016	Syai.g_01785	Syaa.g_00981
OG0000016	Syai.g_01632	Syaa.g_01481
OG0000017	Syai.g_00808	Syaa.g_01883
OG0000017	Syai.g_00801	Syaa.g_01890
OG0000018	Syai.g_00915	Syaa.g_01801
OG0000019	Syai.g_00304	Syaa.g_00307
OG0000021	Syai.g_00556	Syaa.g_02627
OG0000022	Syai.g_01159	Syaa.g_01571
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022	Syaa.g_01216
OG0000024	Syai.g_01951	Syaa.g_00922
