Orthogroup	Syai	Prbl
OG0000001	Syai.g_01716	Prbl.g_00725, Prbl.g_00121, Prbl.g_02599
OG0000001	Syai.g_02595	Prbl.g_00808, Prbl.g_02598
OG0000002	Syai.g_01728	Prbl.g_01582, Prbl.g_01092
OG0000004	Syai.g_01994	Prbl.g_00021
OG0000004	Syai.g_01062, Syai.g_00530	Prbl.g_01771
OG0000005	Syai.g_02356	Prbl.g_00419
OG0000006	Syai.g_00317, Syai.g_00547	Prbl.g_02601
OG0000007	Syai.g_00657	Prbl.g_00531
OG0000007	Syai.g_02378	Prbl.g_00394
OG0000008	Syai.g_01956	Prbl.g_01855
OG0000008	Syai.g_01955	Prbl.g_01854
OG0000009	Syai.g_02541	Prbl.g_00155, Prbl.g_00554
OG0000010	Syai.g_00864	Prbl.g_01341
OG0000011	Syai.g_01894, Syai.g_00582	Prbl.g_01822
OG0000012	Syai.g_01068	Prbl.g_01618
OG0000013	Syai.g_00450, Syai.g_00436, Syai.g_00442	Prbl.g_01183
OG0000014	Syai.g_00220	Prbl.g_01416
OG0000015	Syai.g_01246, Syai.g_01245	Prbl.g_01566
OG0000017	Syai.g_00808	Prbl.g_01755
OG0000017	Syai.g_00801	Prbl.g_01763
OG0000018	Syai.g_00915	Prbl.g_00694
OG0000019	Syai.g_00304	Prbl.g_01097
OG0000020	Syai.g_00476	Prbl.g_01076, Prbl.g_01026, Prbl.g_01386
OG0000021	Syai.g_00556	Prbl.g_01768
OG0000022	Syai.g_01159	Prbl.g_01310, Prbl.g_01072
OG0000023	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318	Prbl.g_02355
OG0000024	Syai.g_01951	Prbl.g_00040
OG0000025	Syai.g_02044	Prbl.g_01539
OG0000026	Syai.g_00038	Prbl.g_01977
OG0000028	Syai.g_00205	Prbl.g_00900
OG0000029	Syai.g_01035, Syai.g_01584	Prbl.g_01163
OG0000030	Syai.g_00096	Prbl.g_02061
OG0000030	Syai.g_00095	Prbl.g_02060
OG0000032	Syai.g_00895	Prbl.g_00712
OG0000033	Syai.g_02634	Prbl.g_00278
OG0000034	Syai.g_02192, Syai.g_02604	Prbl.g_01734
OG0000035	Syai.g_00955	Prbl.g_00242
OG0000037	Syai.g_02544, Syai.g_02815	Prbl.g_00548
OG0000038	Syai.g_02780	Prbl.g_02235
OG0000041	Syai.g_02265	Prbl.g_00339
OG0000042	Syai.g_00099	Prbl.g_01236, Prbl.g_01121
OG0000045	Syai.g_02432	Prbl.g_00609
OG0000046	Syai.g_00435, Syai.g_00443, Syai.g_00449	Prbl.g_01184
OG0000047	Syai.g_00462	Prbl.g_01574, Prbl.g_00719
OG0000048	Syai.g_00272	Prbl.g_01465
OG0000051	Syai.g_01773	Prbl.g_01677
OG0000052	Syai.g_00176	Prbl.g_00870
OG0000053	Syai.g_00930	Prbl.g_00691
OG0000054	Syai.g_01040	Prbl.g_01752
OG0000057	Syai.g_01997	Prbl.g_00025
OG0000059	Syai.g_00351	Prbl.g_00836
OG0000060	Syai.g_00635	Prbl.g_00508
OG0000061	Syai.g_02144	Prbl.g_02084
OG0000062	Syai.g_02358	Prbl.g_00417
OG0000063	Syai.g_00042	Prbl.g_01981
OG0000066	Syai.g_01709, Syai.g_00719	Prbl.g_00752
OG0000067	Syai.g_01321	Prbl.g_02335
OG0000068	Syai.g_00628	Prbl.g_00502
OG0000070	Syai.g_02196	Prbl.g_00634
OG0000071	Syai.g_02179	Prbl.g_01722
OG0000072	Syai.g_02636	Prbl.g_00276
OG0000073	Syai.g_00659	Prbl.g_00533
OG0000075	Syai.g_00161	Prbl.g_00855
OG0000076	Syai.g_00111	Prbl.g_01285
OG0000077	Syai.g_02486	Prbl.g_00596, Prbl.g_00631
OG0000078	Syai.g_00543	Prbl.g_00193
OG0000079	Syai.g_00300	Prbl.g_01505
OG0000081	Syai.g_02292	Prbl.g_01036
OG0000081	Syai.g_00553	Prbl.g_00032
OG0000082	Syai.g_00781	Prbl.g_01783
OG0000084	Syai.g_00958	Prbl.g_00246
OG0000085	Syai.g_02365	Prbl.g_00405
OG0000086	Syai.g_02507	Prbl.g_00583
OG0000087	Syai.g_02592	Prbl.g_00810
OG0000088	Syai.g_02630	Prbl.g_01838, Prbl.g_00281
OG0000089	Syai.g_00517	Prbl.g_02674
OG0000090	Syai.g_00707	Prbl.g_00766
OG0000091	Syai.g_01112	Prbl.g_01647
OG0000093	Syai.g_01306	Prbl.g_02359
OG0000095	Syai.g_02007	Prbl.g_00927
OG0000097	Syai.g_01787	Prbl.g_02579
OG0000098	Syai.g_01718	Prbl.g_00722
OG0000099	Syai.g_00199	Prbl.g_00893
OG0000100	Syai.g_01372	Prbl.g_01914, Prbl.g_02305
OG0000101	Syai.g_00404	Prbl.g_01000
OG0000102	Syai.g_00106	Prbl.g_02636
OG0000103	Syai.g_02912	Prbl.g_02139
OG0000104	Syai.g_02929	Prbl.g_02125
OG0000105	Syai.g_00267	Prbl.g_01461
OG0000106	Syai.g_01601	Prbl.g_00411
OG0000107	Syai.g_00319	Prbl.g_02681
OG0000108	Syai.g_00638	Prbl.g_00511
OG0000109	Syai.g_00653	Prbl.g_00527
OG0000110	Syai.g_00766	Prbl.g_01795
OG0000111	Syai.g_00884	Prbl.g_00026
OG0000112	Syai.g_01512	Prbl.g_02470
OG0000113	Syai.g_01367	Prbl.g_02310
OG0000114	Syai.g_01261	Prbl.g_02407
OG0000115	Syai.g_00932	Prbl.g_00687
OG0000116	Syai.g_02156	Prbl.g_02069
OG0000117	Syai.g_01756	Prbl.g_01384
OG0000118	Syai.g_00818	Prbl.g_01736
OG0000119	Syai.g_02127	Prbl.g_00007, Prbl.g_00046
OG0000120	Syai.g_00198	Prbl.g_00892
OG0000121	Syai.g_00951	Prbl.g_00234, Prbl.g_00240
OG0000122	Syai.g_01143	Prbl.g_01808
OG0000123	Syai.g_00411	Prbl.g_01135
OG0000124	Syai.g_00089	Prbl.g_02054
OG0000125	Syai.g_02782	Prbl.g_02231
OG0000126	Syai.g_02927	Prbl.g_02127
OG0000127	Syai.g_01872, Syai.g_01906, Syai.g_01855	Prbl.g_00745, Prbl.g_01821
OG0000128	Syai.g_00012	Prbl.g_02109
OG0000129	Syai.g_02771	Prbl.g_02243
OG0000130	Syai.g_02474	Prbl.g_00608
OG0000131	Syai.g_02608	Prbl.g_00303
OG0000132	Syai.g_02628	Prbl.g_00283
OG0000133	Syai.g_01507	Prbl.g_00897
OG0000134	Syai.g_00520	Prbl.g_02677
OG0000135	Syai.g_02826	Prbl.g_02190
OG0000136	Syai.g_02217	Prbl.g_00647
OG0000137	Syai.g_00865	Prbl.g_01340
OG0000138	Syai.g_00654	Prbl.g_00528
OG0000139	Syai.g_00714	Prbl.g_00760
OG0000140	Syai.g_00716	Prbl.g_00754
OG0000141	Syai.g_01041	Prbl.g_01751
OG0000142	Syai.g_01104	Prbl.g_01639
