Orthogroup	Prag	Praa
OG0000000	Prag.g_01382	Praa.g_01359
OG0000000	Prag.g_00656	Praa.g_00678
OG0000001	Prag.g_01607, Prag.g_01213, Prag.g_01650, Prag.g_00722	Praa.g_01597
OG0000001	Prag.g_01626	Praa.g_01297
OG0000002	Prag.g_01374	Praa.g_01351
OG0000003	Prag.g_01333	Praa.g_01298
OG0000003	Prag.g_01610	Praa.g_01599
OG0000003	Prag.g_01649	Praa.g_00413
OG0000004	Prag.g_00726	Praa.g_00735
OG0000004	Prag.g_00734	Praa.g_00742
OG0000004	Prag.g_01332	Praa.g_01294
OG0000005	Prag.g_01608	Praa.g_01598
OG0000005	Prag.g_01348, Prag.g_01230	Praa.g_01244
OG0000006	Prag.g_00476	Praa.g_00497
OG0000006	Prag.g_01669	Praa.g_01635
OG0000007	Prag.g_01655	Praa.g_01241
OG0000007	Prag.g_00650	Praa.g_00672
OG0000008	Prag.g_00376	Praa.g_00382
OG0000008	Prag.g_01300	Praa.g_01256
OG0000009	Prag.g_00786	Praa.g_00782
OG0000009	Prag.g_00242	Praa.g_00249
OG0000010	Prag.g_01103	Praa.g_01110
OG0000010	Prag.g_01319	Praa.g_01280
OG0000011	Prag.g_00321	Praa.g_00330
OG0000012	Prag.g_00576	Praa.g_00598
OG0000014	Prag.g_01336	Praa.g_01301
OG0000014	Prag.g_00449	Praa.g_00470
OG0000015	Prag.g_00374	Praa.g_00380
OG0000016	Prag.g_01385	Praa.g_01362
OG0000017	Prag.g_01510	Praa.g_01496
OG0000018	Prag.g_00234, Prag.g_01231	Praa.g_01245, Praa.g_00241
OG0000019	Prag.g_01633	Praa.g_01623
OG0000019	Prag.g_00359	Praa.g_00364
OG0000020	Prag.g_00368	Praa.g_00373
OG0000021	Prag.g_00788	Praa.g_00784
OG0000022	Prag.g_01335, Prag.g_00719	Praa.g_01300
OG0000023	Prag.g_01600	Praa.g_01589
OG0000024	Prag.g_00297	Praa.g_00306
OG0000025	Prag.g_01071	Praa.g_01075
OG0000026	Prag.g_00033	Praa.g_00033
OG0000027	Prag.g_00730	Praa.g_00738
OG0000028	Prag.g_01488, Prag.g_01490	Praa.g_01476
OG0000029	Prag.g_01601	Praa.g_01590
OG0000030	Prag.g_00038	Praa.g_00038
OG0000031	Prag.g_01329	Praa.g_01291
OG0000033	Prag.g_00013	Praa.g_00013
OG0000034	Prag.g_01444	Praa.g_01407
OG0000036	Prag.g_00563	Praa.g_00585
