Orthogroup	Prag	Prar
OG0000000	Prag.g_01382	Prar.g_00918
OG0000000	Prag.g_00656	Prar.g_01508
OG0000001	Prag.g_01213	Prar.g_01204
OG0000002	Prag.g_01374	Prar.g_00926
OG0000002	Prag.g_01651	Prar.g_01203
OG0000002	Prag.g_01215, Prag.g_01216	Prar.g_01202
OG0000003	Prag.g_01333	Prar.g_00973
OG0000003	Prag.g_01610	Prar.g_00727
OG0000004	Prag.g_00726	Prar.g_01623
OG0000004	Prag.g_00734	Prar.g_01630
OG0000005	Prag.g_01608	Prar.g_00729
OG0000006	Prag.g_00476	Prar.g_01328
OG0000006	Prag.g_01669	Prar.g_01143
OG0000007	Prag.g_01655	Prar.g_01185
OG0000007	Prag.g_00650	Prar.g_01502
OG0000008	Prag.g_00376	Prar.g_00445
OG0000008	Prag.g_01264	Prar.g_01173
OG0000008	Prag.g_01300	Prar.g_01002
OG0000009	Prag.g_00786	Prar.g_01663
OG0000009	Prag.g_00242	Prar.g_00078
OG0000010	Prag.g_01636	Prar.g_01006
OG0000010	Prag.g_01103	Prar.g_01313
OG0000010	Prag.g_01319	Prar.g_00991
OG0000011	Prag.g_00321	Prar.g_00257
OG0000012	Prag.g_00576	Prar.g_01428
OG0000013	Prag.g_00765	Prar.g_01179
OG0000014	Prag.g_00449	Prar.g_00520
OG0000015	Prag.g_00374	Prar.g_00443
OG0000016	Prag.g_01385	Prar.g_00915
OG0000017	Prag.g_01510	Prar.g_00827
OG0000018	Prag.g_00234, Prag.g_01231	Prar.g_00086
OG0000019	Prag.g_00359	Prar.g_00425
OG0000020	Prag.g_00368	Prar.g_00435
OG0000021	Prag.g_00788	Prar.g_01665
OG0000022	Prag.g_01335, Prag.g_00719	Prar.g_00971
OG0000023	Prag.g_01600	Prar.g_00737
OG0000024	Prag.g_00297	Prar.g_00281
OG0000025	Prag.g_01071	Prar.g_01940
OG0000026	Prag.g_00033	Prar.g_00005, Prar.g_00004
OG0000027	Prag.g_00730	Prar.g_01626
OG0000028	Prag.g_01488, Prag.g_01490	Prar.g_00339
OG0000029	Prag.g_01601	Prar.g_00736
OG0000030	Prag.g_00038	Prar.g_00593
OG0000033	Prag.g_00013	Prar.g_00025
OG0000035	Prag.g_01075	Prar.g_01943
OG0000035	Prag.g_01259	Prar.g_01761
OG0000036	Prag.g_00563	Prar.g_01414
OG0000037	Prag.g_00601	Prar.g_01453
OG0000038	Prag.g_00757	Prar.g_01649
OG0000039	Prag.g_00159	Prar.g_00161
OG0000040	Prag.g_00354	Prar.g_00420
OG0000041	Prag.g_00396	Prar.g_00476
OG0000042	Prag.g_00692	Prar.g_01599
OG0000043	Prag.g_00791	Prar.g_01668
OG0000044	Prag.g_01153	Prar.g_01263
OG0000045	Prag.g_01428	Prar.g_00870
OG0000046	Prag.g_01662	Prar.g_01150
OG0000047	Prag.g_01861	Prar.g_00653
OG0000048	Prag.g_01868	Prar.g_00660
OG0000050	Prag.g_00031	Prar.g_00007
OG0000051	Prag.g_00150	Prar.g_01569, Prar.g_00170
OG0000052	Prag.g_00364	Prar.g_00431
OG0000053	Prag.g_00518	Prar.g_01369
OG0000054	Prag.g_00751	Prar.g_01644
OG0000055	Prag.g_00828	Prar.g_01706
OG0000056	Prag.g_01108	Prar.g_01307
OG0000057	Prag.g_00230	Prar.g_00090
OG0000058	Prag.g_00454	Prar.g_00525
OG0000059	Prag.g_00676	Prar.g_01528
OG0000060	Prag.g_00732	Prar.g_01628
OG0000061	Prag.g_01118	Prar.g_01298
OG0000062	Prag.g_01120	Prar.g_01296
OG0000063	Prag.g_01298	Prar.g_01003
OG0000064	Prag.g_01308	Prar.g_00997
OG0000065	Prag.g_01355	Prar.g_00955
OG0000066	Prag.g_01423	Prar.g_00880
OG0000068	Prag.g_01804	Prar.g_01027
OG0000069	Prag.g_01416	Prar.g_00886
OG0000071	Prag.g_00011	Prar.g_00027
OG0000072	Prag.g_00313	Prar.g_00265
OG0000073	Prag.g_00647	Prar.g_01499
OG0000074	Prag.g_00669	Prar.g_01521
OG0000075	Prag.g_00813	Prar.g_01691
OG0000076	Prag.g_01036	Prar.g_01904
OG0000078	Prag.g_01424	Prar.g_00872
OG0000079	Prag.g_01568	Prar.g_00769
OG0000080	Prag.g_01617	Prar.g_01166
OG0000081	Prag.g_01834	Prar.g_00627
OG0000082	Prag.g_01923	Prar.g_00072
OG0000083	Prag.g_00003	Prar.g_00035
OG0000084	Prag.g_00006	Prar.g_00032
OG0000085	Prag.g_00023	Prar.g_00015
OG0000086	Prag.g_00039	Prar.g_00581
OG0000087	Prag.g_00049	Prar.g_00570
OG0000088	Prag.g_00106	Prar.g_00215
OG0000089	Prag.g_00114	Prar.g_00207
OG0000090	Prag.g_00132	Prar.g_00189
OG0000091	Prag.g_00162	Prar.g_00158
OG0000092	Prag.g_00163	Prar.g_00157
OG0000093	Prag.g_00177	Prar.g_00143
OG0000094	Prag.g_00195	Prar.g_00125
OG0000095	Prag.g_00200	Prar.g_00120
OG0000096	Prag.g_00244	Prar.g_00076
OG0000097	Prag.g_00265	Prar.g_00313
OG0000098	Prag.g_00275	Prar.g_00303
OG0000099	Prag.g_00285	Prar.g_00293
OG0000100	Prag.g_00288	Prar.g_00290
OG0000101	Prag.g_00351	Prar.g_00417
OG0000102	Prag.g_00375	Prar.g_00444
OG0000103	Prag.g_00455	Prar.g_00526
OG0000104	Prag.g_00459	Prar.g_00530
OG0000105	Prag.g_00478	Prar.g_01330
OG0000106	Prag.g_00511	Prar.g_01362
OG0000107	Prag.g_00512	Prar.g_01363
OG0000108	Prag.g_00522	Prar.g_01373
OG0000109	Prag.g_00531	Prar.g_01382
OG0000110	Prag.g_00547	Prar.g_01398
OG0000111	Prag.g_00629	Prar.g_01481
OG0000112	Prag.g_00630	Prar.g_01482
OG0000113	Prag.g_00714	Prar.g_01621
OG0000114	Prag.g_00804	Prar.g_01682
OG0000115	Prag.g_00964	Prar.g_01833
OG0000116	Prag.g_00968	Prar.g_01837
OG0000117	Prag.g_01033	Prar.g_01901
OG0000118	Prag.g_01085	Prar.g_01953
OG0000119	Prag.g_01123	Prar.g_01293
OG0000120	Prag.g_01159	Prar.g_01257
OG0000121	Prag.g_01178	Prar.g_01238
OG0000122	Prag.g_01197	Prar.g_01219
OG0000123	Prag.g_01210	Prar.g_01206
OG0000124	Prag.g_01219	Prar.g_00376
OG0000125	Prag.g_01367	Prar.g_00943
OG0000126	Prag.g_01389	Prar.g_00911
OG0000127	Prag.g_01475	Prar.g_00352
OG0000128	Prag.g_01491	Prar.g_00338
OG0000129	Prag.g_01527	Prar.g_00810
OG0000130	Prag.g_01667	Prar.g_01145
OG0000131	Prag.g_01705	Prar.g_01959
OG0000132	Prag.g_01708	Prar.g_00595, Prar.g_01956
OG0000133	Prag.g_01763	Prar.g_01068
OG0000134	Prag.g_01799	Prar.g_01032
OG0000135	Prag.g_01801	Prar.g_01030
OG0000136	Prag.g_01845	Prar.g_00638
OG0000137	Prag.g_01878	Prar.g_00669
OG0000138	Prag.g_01913	Prar.g_00704
OG0000139	Prag.g_01940	Prar.g_00055
OG0000140	Prag.g_00001	Prar.g_00037
OG0000141	Prag.g_00002	Prar.g_00036
OG0000142	Prag.g_00004	Prar.g_00034
OG0000143	Prag.g_00005	Prar.g_00033
OG0000144	Prag.g_00007	Prar.g_00031
OG0000145	Prag.g_00008	Prar.g_00030
OG0000146	Prag.g_00009	Prar.g_00029
OG0000147	Prag.g_00010	Prar.g_00028
OG0000148	Prag.g_00012	Prar.g_00026
OG0000149	Prag.g_00014	Prar.g_00024
OG0000150	Prag.g_00015	Prar.g_00023
OG0000151	Prag.g_00016	Prar.g_00022
OG0000152	Prag.g_00017	Prar.g_00021
OG0000153	Prag.g_00018	Prar.g_00020
OG0000154	Prag.g_00019	Prar.g_00019
OG0000155	Prag.g_00020	Prar.g_00018
OG0000156	Prag.g_00021	Prar.g_00017
OG0000157	Prag.g_00022	Prar.g_00016
OG0000158	Prag.g_00024	Prar.g_00014
OG0000159	Prag.g_00025	Prar.g_00013
OG0000160	Prag.g_00026	Prar.g_00012
OG0000161	Prag.g_00027	Prar.g_00011
OG0000162	Prag.g_00028	Prar.g_00010
OG0000163	Prag.g_00029	Prar.g_00009
OG0000164	Prag.g_00032	Prar.g_00006
OG0000165	Prag.g_00035	Prar.g_00002
OG0000166	Prag.g_00036	Prar.g_00001
OG0000167	Prag.g_00037	Prar.g_00594
OG0000168	Prag.g_00040	Prar.g_00580
OG0000169	Prag.g_00042	Prar.g_00578
OG0000170	Prag.g_00043	Prar.g_00577
OG0000171	Prag.g_00044	Prar.g_00576
OG0000172	Prag.g_00045	Prar.g_00574
OG0000173	Prag.g_00046	Prar.g_00573
OG0000174	Prag.g_00047	Prar.g_00572
OG0000175	Prag.g_00048	Prar.g_00571
OG0000176	Prag.g_00050	Prar.g_00569
OG0000177	Prag.g_00051	Prar.g_00568
OG0000178	Prag.g_00052	Prar.g_00567
