Orthogroup	Prao	Syan
OG0000004	Prao.g_00133	Syan.g_00183
OG0000004	Prao.g_00370	Syan.g_00989
OG0000005	Prao.g_01565	Syan.g_01423
OG0000005	Prao.g_01472	Syan.g_01378
OG0000006	Prao.g_00379	Syan.g_00057, Syan.g_00936, Syan.g_01505, Syan.g_02101, Syan.g_02441
OG0000007	Prao.g_00603	Syan.g_02743
OG0000007	Prao.g_01552	Syan.g_01400
OG0000009	Prao.g_01342, Prao.g_01507	Syan.g_02972
OG0000010	Prao.g_00985, Prao.g_00580	Syan.g_02847
OG0000012	Prao.g_00062	Syan.g_01076, Syan.g_00452, Syan.g_02349, Syan.g_02485
OG0000013	Prao.g_00463	Syan.g_02156, Syan.g_02159, Syan.g_00101
OG0000014	Prao.g_01213	Syan.g_01987
OG0000016	Prao.g_00160	Syan.g_01766
OG0000017	Prao.g_00036	Syan.g_01006
OG0000018	Prao.g_01108, Prao.g_00768	Syan.g_02816
OG0000019	Prao.g_00387, Prao.g_00720	Syan.g_02088
OG0000021	Prao.g_01346, Prao.g_00500	Syan.g_01001
OG0000022	Prao.g_00699, Prao.g_01126	Syan.g_00089
OG0000023	Prao.g_00494	Syan.g_00404
OG0000025	Prao.g_00776, Prao.g_00467	Syan.g_00374
OG0000026	Prao.g_00177, Prao.g_00992	Syan.g_01743
OG0000027	Prao.g_00576, Prao.g_01293	Syan.g_02678
OG0000028	Prao.g_00456, Prao.g_01348	Syan.g_01971
OG0000030	Prao.g_01753	Syan.g_01884, Syan.g_01883
OG0000032	Prao.g_01362	Syan.g_01088, Syan.g_01091, Syan.g_01101
OG0000033	Prao.g_00307	Syan.g_03036
OG0000034	Prao.g_01266	Syan.g_01227, Syan.g_03003
OG0000035	Prao.g_01397	Syan.g_01276
OG0000037	Prao.g_00247	Syan.g_00136, Syan.g_02978, Syan.g_00917
OG0000038	Prao.g_01794	Syan.g_00064, Syan.g_01569, Syan.g_01571
OG0000039	Prao.g_00124	Syan.g_02771, Syan.g_00535
OG0000041	Prao.g_01598	Syan.g_01465
OG0000042	Prao.g_01750	Syan.g_00991, Syan.g_02643, Syan.g_01888
OG0000045	Prao.g_00506	Syan.g_00086, Syan.g_00151
OG0000048	Prao.g_00509	Syan.g_02036
OG0000052	Prao.g_01358	Syan.g_01954, Syan.g_01953
OG0000053	Prao.g_01417	Syan.g_02812
OG0000054	Prao.g_00044	Syan.g_02503
OG0000055	Prao.g_00721	Syan.g_00312
OG0000061	Prao.g_01089	Syan.g_02696
OG0000062	Prao.g_01474	Syan.g_00098
OG0000063	Prao.g_00179	Syan.g_01739
OG0000065	Prao.g_00245	Syan.g_02974
OG0000067	Prao.g_00741	Syan.g_00690
OG0000068	Prao.g_01239	Syan.g_00845, Syan.g_00257, Syan.g_02773
OG0000069	Prao.g_01508	Syan.g_00278
OG0000070	Prao.g_00554	Syan.g_00289
OG0000071	Prao.g_01276	Syan.g_01213
OG0000072	Prao.g_00309	Syan.g_03038, Syan.g_02999
OG0000073	Prao.g_00605	Syan.g_02741
OG0000075	Prao.g_01719	Syan.g_00981, Syan.g_01937
OG0000076	Prao.g_01743	Syan.g_01896
OG0000079	Prao.g_00390	Syan.g_02079, Syan.g_02067, Syan.g_02085
OG0000082	Prao.g_00024	Syan.g_00952
OG0000085	Prao.g_01545	Syan.g_01387
OG0000086	Prao.g_00227	Syan.g_02946, Syan.g_02515, Syan.g_00114
OG0000087	Prao.g_00277	Syan.g_02268
OG0000088	Prao.g_00304	Syan.g_03031
OG0000089	Prao.g_00490	Syan.g_02316
OG0000090	Prao.g_01858	Syan.g_01166
OG0000091	Prao.g_00081	Syan.g_00235, Syan.g_00808
OG0000092	Prao.g_00850	Syan.g_02502
OG0000094	Prao.g_00955	Syan.g_00353, Syan.g_00065
OG0000097	Prao.g_01048	Syan.g_00160, Syan.g_00733
OG0000098	Prao.g_01257	Syan.g_00043
OG0000099	Prao.g_01214	Syan.g_01968
OG0000100	Prao.g_01470	Syan.g_00658
OG0000101	Prao.g_01687	Syan.g_02199
OG0000102	Prao.g_01748	Syan.g_01891
OG0000103	Prao.g_01828	Syan.g_01692
OG0000104	Prao.g_01837	Syan.g_01792
OG0000105	Prao.g_01378	Syan.g_02031
OG0000106	Prao.g_00505	Syan.g_00076
OG0000107	Prao.g_00518	Syan.g_02106
OG0000108	Prao.g_00586	Syan.g_02764
OG0000109	Prao.g_00600	Syan.g_02748
OG0000110	Prao.g_01867	Syan.g_00882
OG0000111	Prao.g_00137	Syan.g_00187
OG0000112	Prao.g_00704	Syan.g_00556, Syan.g_00252
OG0000113	Prao.g_00763	Syan.g_00664
OG0000114	Prao.g_00845	Syan.g_00741
OG0000115	Prao.g_01150	Syan.g_02810
OG0000116	Prao.g_01099	Syan.g_02710, Syan.g_00460
OG0000117	Prao.g_01332	Syan.g_02644
OG0000118	Prao.g_01264	Syan.g_01241, Syan.g_01237
OG0000119	Prao.g_01243	Syan.g_02672
OG0000120	Prao.g_01215	Syan.g_01966
OG0000121	Prao.g_01399	Syan.g_01273
