Orthogroup	Prao	Pral
OG0000000	Prao.g_01294	Pral.g_01331
OG0000000	Prao.g_01515	Pral.g_00037
OG0000001	Prao.g_01852, Prao.g_01529	Pral.g_01296
OG0000002	Prao.g_01246	Pral.g_01549, Pral.g_01554
OG0000002	Prao.g_00116	Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337, Pral.g_01052, Pral.g_01764
OG0000004	Prao.g_00133	Pral.g_01743
OG0000004	Prao.g_00370	Pral.g_00809
OG0000005	Prao.g_01472	Pral.g_01075
OG0000006	Prao.g_00379	Pral.g_00797
OG0000007	Prao.g_00603	Pral.g_00593
OG0000007	Prao.g_01552	Pral.g_00107
OG0000009	Prao.g_01342	Pral.g_01065, Pral.g_01163
OG0000010	Prao.g_00580	Pral.g_01832, Pral.g_01848, Pral.g_00618
OG0000012	Prao.g_00062	Pral.g_00015
OG0000013	Prao.g_00463	Pral.g_00712
OG0000014	Prao.g_01213	Pral.g_00732, Pral.g_00637, Pral.g_01261
OG0000015	Prao.g_00703	Pral.g_01813
OG0000017	Prao.g_00036	Pral.g_00491
OG0000018	Prao.g_01108	Pral.g_01346
OG0000018	Prao.g_00768	Pral.g_01516
OG0000019	Prao.g_00387	Pral.g_00790
OG0000019	Prao.g_00720	Pral.g_01344
OG0000020	Prao.g_01145	Pral.g_01038
OG0000021	Prao.g_01346, Prao.g_00500	Pral.g_01667
OG0000022	Prao.g_00699	Pral.g_00044
OG0000023	Prao.g_00494	Pral.g_01687
OG0000024	Prao.g_00683	Pral.g_01895
OG0000025	Prao.g_00776, Prao.g_00467	Pral.g_01523
OG0000026	Prao.g_00177, Prao.g_00992	Pral.g_01012
OG0000027	Prao.g_00576, Prao.g_01293	Pral.g_01036
OG0000028	Prao.g_00456	Pral.g_00719
OG0000028	Prao.g_01348	Pral.g_00053
OG0000029	Prao.g_00690	Pral.g_01890
OG0000030	Prao.g_01753	Pral.g_00316
OG0000031	Prao.g_01364	Pral.g_01193
OG0000033	Prao.g_00307	Pral.g_00874
OG0000034	Prao.g_01266	Pral.g_01271
OG0000035	Prao.g_01397	Pral.g_01161
OG0000037	Prao.g_00247	Pral.g_00938
OG0000038	Prao.g_01794	Pral.g_00356
OG0000039	Prao.g_00124	Pral.g_01755
OG0000041	Prao.g_01598	Pral.g_00155
OG0000042	Prao.g_01750	Pral.g_00313
OG0000043	Prao.g_00812	Pral.g_01347
OG0000045	Prao.g_00506	Pral.g_01322
OG0000048	Prao.g_00509	Pral.g_00768
OG0000052	Prao.g_01358	Pral.g_00987
OG0000053	Prao.g_01417	Pral.g_00066, Pral.g_01139
OG0000054	Prao.g_00044	Pral.g_00482
OG0000055	Prao.g_00721	Pral.g_01670
OG0000057	Prao.g_00136	Pral.g_01740
OG0000058	Prao.g_01191	Pral.g_01202
OG0000059	Prao.g_01639	Pral.g_00195
OG0000061	Prao.g_01089	Pral.g_01367
OG0000062	Prao.g_01474	Pral.g_01073
OG0000065	Prao.g_00245	Pral.g_00940
OG0000067	Prao.g_00741	Pral.g_01488
OG0000068	Prao.g_01239	Pral.g_01222
OG0000069	Prao.g_01508	Pral.g_01114, Pral.g_01164
OG0000070	Prao.g_00554	Pral.g_00643
OG0000071	Prao.g_01276	Pral.g_01281
OG0000072	Prao.g_00309	Pral.g_00872
OG0000073	Prao.g_00605	Pral.g_00591
OG0000074	Prao.g_00120	Pral.g_01760
OG0000075	Prao.g_01719	Pral.g_00279
OG0000076	Prao.g_01743	Pral.g_00305
OG0000077	Prao.g_00217	Pral.g_00969
OG0000078	Prao.g_00377	Pral.g_00800
OG0000079	Prao.g_00390	Pral.g_00787
OG0000081	Prao.g_01860	Pral.g_00559
OG0000082	Prao.g_00024	Pral.g_00057
OG0000083	Prao.g_00679, Prao.g_01301, Prao.g_00673	Pral.g_01898
OG0000084	Prao.g_01393	Pral.g_01169
OG0000085	Prao.g_01545	Pral.g_00099
OG0000086	Prao.g_00227	Pral.g_00959
OG0000087	Prao.g_00277	Pral.g_00906
OG0000088	Prao.g_00304	Pral.g_00878
OG0000089	Prao.g_00490	Pral.g_00676
OG0000090	Prao.g_01858	Pral.g_00557
OG0000091	Prao.g_00081	Pral.g_01443
OG0000092	Prao.g_00850	Pral.g_01794
OG0000093	Prao.g_00870	Pral.g_01472
OG0000094	Prao.g_00955	Pral.g_01604
OG0000095	Prao.g_00974	Pral.g_01561
OG0000096	Prao.g_01142, Prao.g_01316	Pral.g_00444
OG0000097	Prao.g_01048	Pral.g_01416
OG0000098	Prao.g_01257	Pral.g_01239
OG0000099	Prao.g_01214	Pral.g_01201
OG0000100	Prao.g_01470	Pral.g_01078
OG0000101	Prao.g_01687	Pral.g_00243
OG0000102	Prao.g_01748	Pral.g_00310
OG0000103	Prao.g_01828	Pral.g_00397
OG0000104	Prao.g_01837	Pral.g_00406
OG0000105	Prao.g_01378	Pral.g_00765
OG0000106	Prao.g_00505	Pral.g_01859
OG0000107	Prao.g_00518	Pral.g_00171
OG0000108	Prao.g_00586	Pral.g_00611
OG0000109	Prao.g_00600	Pral.g_00596
OG0000110	Prao.g_01867	Pral.g_00513
OG0000111	Prao.g_00137	Pral.g_01739
OG0000112	Prao.g_00704	Pral.g_01635
OG0000113	Prao.g_00763	Pral.g_01511
OG0000114	Prao.g_00845	Pral.g_01799
OG0000115	Prao.g_01150	Pral.g_01141
OG0000116	Prao.g_01099	Pral.g_01356
OG0000117	Prao.g_01332	Pral.g_01398, Pral.g_01397
OG0000118	Prao.g_01264	Pral.g_01269
OG0000119	Prao.g_01243	Pral.g_01861, Pral.g_01063
OG0000120	Prao.g_01215	Pral.g_00702
OG0000121	Prao.g_01399	Pral.g_01159
OG0000122	Prao.g_01436	Pral.g_01116
OG0000123	Prao.g_01694	Pral.g_00250
OG0000124	Prao.g_01759	Pral.g_00322
OG0000125	Prao.g_01796	Pral.g_00358
OG0000126	Prao.g_01836	Pral.g_00405
OG0000128	Prao.g_00158	Pral.g_00421
OG0000129	Prao.g_00190	Pral.g_01000
OG0000130	Prao.g_00208	Pral.g_00978
OG0000131	Prao.g_00283	Pral.g_00900
OG0000132	Prao.g_00302	Pral.g_00880
OG0000133	Prao.g_00458	Pral.g_00717
OG0000134	Prao.g_00491	Pral.g_00674
OG0000135	Prao.g_00516	Pral.g_01034
OG0000136	Prao.g_00545	Pral.g_00653
OG0000137	Prao.g_00581	Pral.g_00617
OG0000138	Prao.g_00601	Pral.g_00595
OG0000139	Prao.g_01854	Pral.g_00553
OG0000140	Prao.g_01853	Pral.g_00552
OG0000141	Prao.g_00045	Pral.g_00481
OG0000142	Prao.g_00074	Pral.g_01436
OG0000143	Prao.g_00078	Pral.g_01440
OG0000144	Prao.g_00091	Pral.g_01453
OG0000145	Prao.g_00701	Pral.g_01037
OG0000146	Prao.g_00705	Pral.g_01636
OG0000147	Prao.g_00706	Pral.g_01637
OG0000148	Prao.g_00757	Pral.g_01505
OG0000149	Prao.g_00788	Pral.g_01535
OG0000150	Prao.g_00796	Pral.g_01545
OG0000151	Prao.g_00855	Pral.g_01789
OG0000152	Prao.g_00902	Pral.g_01627
OG0000153	Prao.g_00921	Pral.g_01578
OG0000154	Prao.g_00948	Pral.g_01595
