Orthogroup	Prao	Syas
OG0000004	Prao.g_00133	Syas.g_00176
OG0000004	Prao.g_00370	Syas.g_00509, Syas.g_00174, Syas.g_00311, Syas.g_00072
OG0000005	Prao.g_01565	Syas.g_02665
OG0000005	Prao.g_01472	Syas.g_02704
OG0000006	Prao.g_00379	Syas.g_00942, Syas.g_01684, Syas.g_02565, Syas.g_00720
OG0000007	Prao.g_00603	Syas.g_01232
OG0000007	Prao.g_01552	Syas.g_02681
OG0000010	Prao.g_00985, Prao.g_00580	Syas.g_01334
OG0000013	Prao.g_00463	Syas.g_00158, Syas.g_01552, Syas.g_01555, Syas.g_01557
OG0000014	Prao.g_01213	Syas.g_01816
OG0000016	Prao.g_00160	Syas.g_02048
OG0000017	Prao.g_00036	Syas.g_00849
OG0000018	Prao.g_01108, Prao.g_00768	Syas.g_01290
OG0000019	Prao.g_00387, Prao.g_00720	Syas.g_01696
OG0000022	Prao.g_00699, Prao.g_01126	Syas.g_02758
OG0000025	Prao.g_00776, Prao.g_00467	Syas.g_00231
OG0000026	Prao.g_00177, Prao.g_00992	Syas.g_02070
OG0000027	Prao.g_00576, Prao.g_01293	Syas.g_01480
OG0000028	Prao.g_00456, Prao.g_01348	Syas.g_01793
OG0000030	Prao.g_01753	Syas.g_01644, Syas.g_01645
OG0000033	Prao.g_00307	Syas.g_02328
OG0000034	Prao.g_01266	Syas.g_02371, Syas.g_02838
OG0000035	Prao.g_01397	Syas.g_02814, Syas.g_02818
OG0000037	Prao.g_00247	Syas.g_01479, Syas.g_00147, Syas.g_01928
OG0000038	Prao.g_01794	Syas.g_01885, Syas.g_01887
OG0000039	Prao.g_00124	Syas.g_02795
OG0000040	Prao.g_01531	Syas.g_02028
OG0000042	Prao.g_01750	Syas.g_01121, Syas.g_02147
OG0000048	Prao.g_00509	Syas.g_01734
OG0000051	Prao.g_01304	Syas.g_01445
OG0000053	Prao.g_01417	Syas.g_01287
OG0000054	Prao.g_00044	Syas.g_00961
OG0000061	Prao.g_01089	Syas.g_01184
OG0000062	Prao.g_01474	Syas.g_00070
OG0000063	Prao.g_00179	Syas.g_02074
OG0000065	Prao.g_00245	Syas.g_02420
OG0000067	Prao.g_00741	Syas.g_00596
OG0000068	Prao.g_01239	Syas.g_00969, Syas.g_01261
OG0000070	Prao.g_00554	Syas.g_00173
OG0000072	Prao.g_00309	Syas.g_02326, Syas.g_01524
OG0000073	Prao.g_00605	Syas.g_01230, Syas.g_00358, Syas.g_00264
OG0000075	Prao.g_01719	Syas.g_01921, Syas.g_02194
OG0000076	Prao.g_01743	Syas.g_02156
OG0000078	Prao.g_00377	Syas.g_02308
OG0000079	Prao.g_00390	Syas.g_01699
OG0000081	Prao.g_01860	Syas.g_00391
OG0000082	Prao.g_00024	Syas.g_00837
OG0000085	Prao.g_01545	Syas.g_02695
OG0000086	Prao.g_00227	Syas.g_02470
OG0000087	Prao.g_00277	Syas.g_02374
OG0000089	Prao.g_00490	Syas.g_01512
OG0000090	Prao.g_01858	Syas.g_00062
OG0000091	Prao.g_00081	Syas.g_00907, Syas.g_00146
OG0000092	Prao.g_00850	Syas.g_00900, Syas.g_00877
OG0000094	Prao.g_00955	Syas.g_00208, Syas.g_01716
OG0000095	Prao.g_00974	Syas.g_01021
OG0000097	Prao.g_01048	Syas.g_00114, Syas.g_01443
OG0000098	Prao.g_01257	Syas.g_00091
OG0000099	Prao.g_01214	Syas.g_01826
OG0000100	Prao.g_01470	Syas.g_00567
OG0000101	Prao.g_01687	Syas.g_01589
OG0000102	Prao.g_01748	Syas.g_02152, Syas.g_01395
OG0000103	Prao.g_01828	Syas.g_02009
OG0000104	Prao.g_01837	Syas.g_02027, Syas.g_02026
OG0000105	Prao.g_01378	Syas.g_01739
OG0000106	Prao.g_00505	Syas.g_01451
OG0000107	Prao.g_00518	Syas.g_01669
OG0000108	Prao.g_00586	Syas.g_01253
OG0000109	Prao.g_00600	Syas.g_01236
