Orthogroup	Prao	Prah
OG0000000	Prao.g_01515	Prah.g_01348
OG0000000	Prao.g_01528, Prao.g_01297	Prah.g_01154, Prah.g_01152
OG0000000	Prao.g_01296, Prao.g_01518	Prah.g_01346, Prah.g_01347
OG0000001	Prao.g_01254, Prao.g_01852, Prao.g_01529	Prah.g_00324, Prah.g_01343
OG0000002	Prao.g_01246	Prah.g_00562
OG0000002	Prao.g_00116	Prah.g_01226
OG0000004	Prao.g_00133	Prah.g_01022
OG0000004	Prao.g_00370	Prah.g_01413
OG0000005	Prao.g_01472	Prah.g_01652
OG0000006	Prao.g_00379	Prah.g_00475, Prah.g_01767
OG0000007	Prao.g_00603	Prah.g_01546
OG0000007	Prao.g_01552	Prah.g_01676
OG0000010	Prao.g_00580	Prah.g_00311
OG0000011	Prao.g_01307	Prah.g_01084
OG0000012	Prao.g_00062	Prah.g_00524
OG0000013	Prao.g_00463	Prah.g_01956
OG0000014	Prao.g_01213	Prah.g_02171, Prah.g_00101
OG0000015	Prao.g_00703	Prah.g_01155, Prah.g_00576
OG0000016	Prao.g_00160	Prah.g_00015
OG0000017	Prao.g_00036	Prah.g_01405
OG0000018	Prao.g_01108, Prao.g_00768	Prah.g_00378
OG0000021	Prao.g_01346, Prao.g_00500	Prah.g_01108, Prah.g_01112, Prah.g_01117
OG0000022	Prao.g_00699	Prah.g_00170
OG0000022	Prao.g_01126	Prah.g_01209
OG0000023	Prao.g_00494	Prah.g_00688
OG0000024	Prao.g_00683, Prao.g_00114	Prah.g_01043
OG0000025	Prao.g_00776, Prao.g_00467	Prah.g_00604
OG0000026	Prao.g_00177, Prao.g_00992	Prah.g_00038
OG0000028	Prao.g_00456	Prah.g_02184
OG0000029	Prao.g_00690	Prah.g_01972
OG0000030	Prao.g_01753	Prah.g_00132, Prah.g_00131
OG0000031	Prao.g_01355	Prah.g_00091
OG0000033	Prao.g_00307	Prah.g_02307
OG0000034	Prao.g_01266	Prah.g_01376
OG0000035	Prao.g_01397	Prah.g_00408
OG0000037	Prao.g_00247	Prah.g_01901
OG0000038	Prao.g_01794	Prah.g_02494, Prah.g_02496
OG0000039	Prao.g_00124	Prah.g_01758, Prah.g_02382
OG0000041	Prao.g_01598	Prah.g_01737
OG0000042	Prao.g_01750	Prah.g_00135, Prah.g_01256
OG0000043	Prao.g_01331	Prah.g_01190
OG0000045	Prao.g_00506	Prah.g_01837
OG0000047	Prao.g_00466	Prah.g_00353
OG0000048	Prao.g_00509	Prah.g_02122
OG0000051	Prao.g_01304	Prah.g_01166
OG0000052	Prao.g_01358	Prah.g_02219
OG0000053	Prao.g_01417	Prah.g_00381
OG0000054	Prao.g_00044	Prah.g_01394
OG0000055	Prao.g_00721	Prah.g_00942
OG0000057	Prao.g_00136	Prah.g_01027
OG0000061	Prao.g_01089	Prah.g_00104
OG0000062	Prao.g_01474	Prah.g_01654
OG0000063	Prao.g_00179	Prah.g_00042
OG0000065	Prao.g_00245	Prah.g_01897
OG0000067	Prao.g_00741	Prah.g_00667
OG0000068	Prao.g_01239	Prah.g_01576
OG0000070	Prao.g_00554	Prah.g_00252
OG0000071	Prao.g_01276	Prah.g_01364
OG0000072	Prao.g_00309	Prah.g_02309
OG0000073	Prao.g_00605	Prah.g_01544
OG0000075	Prao.g_01719	Prah.g_02232
OG0000076	Prao.g_01743	Prah.g_00150
OG0000077	Prao.g_00217	Prah.g_01850
OG0000078	Prao.g_00377	Prah.g_01773
OG0000079	Prao.g_00390	Prah.g_02090, Prah.g_01868
OG0000081	Prao.g_01860	Prah.g_01035
OG0000082	Prao.g_00024	Prah.g_01427
OG0000084	Prao.g_01393	Prah.g_00412
OG0000085	Prao.g_01545	Prah.g_01666
OG0000086	Prao.g_00227	Prah.g_01866
OG0000087	Prao.g_00277	Prah.g_02268
OG0000088	Prao.g_00304	Prah.g_02304
OG0000089	Prao.g_00490	Prah.g_00205
OG0000090	Prao.g_01858	Prah.g_01501
OG0000091	Prao.g_00081	Prah.g_00493
OG0000093	Prao.g_00870	Prah.g_00692
OG0000094	Prao.g_00955	Prah.g_02518
OG0000097	Prao.g_01048	Prah.g_01272
OG0000098	Prao.g_01257	Prah.g_00327
OG0000099	Prao.g_01214	Prah.g_02191
OG0000100	Prao.g_01470	Prah.g_01791, Prah.g_00636
OG0000101	Prao.g_01687	Prah.g_01995
OG0000102	Prao.g_01748	Prah.g_00144
OG0000103	Prao.g_01828	Prah.g_02586
OG0000104	Prao.g_01837	Prah.g_02600
OG0000105	Prao.g_01378	Prah.g_02126
OG0000106	Prao.g_00505	Prah.g_01660
OG0000108	Prao.g_00586	Prah.g_01566
OG0000109	Prao.g_00600	Prah.g_01550
OG0000110	Prao.g_01867	Prah.g_01439
OG0000111	Prao.g_00137	Prah.g_01028
OG0000112	Prao.g_00704	Prah.g_00788
OG0000113	Prao.g_00763	Prah.g_00641
OG0000114	Prao.g_00845	Prah.g_00733
OG0000115	Prao.g_01150	Prah.g_00383
