Orthogroup	Prao	Prbe
OG0000000	Prao.g_01515	Prbe.g_01119
OG0000002	Prao.g_01246	Prbe.g_01285, Prbe.g_01290
OG0000002	Prao.g_00116	Prbe.g_01579, Prbe.g_00379, Prbe.g_01577, Prbe.g_01584, Prbe.g_00208, Prbe.g_00452
OG0000004	Prao.g_00133	Prbe.g_01203
OG0000004	Prao.g_00370	Prbe.g_01784
OG0000005	Prao.g_01472	Prbe.g_00228
OG0000006	Prao.g_00379	Prbe.g_01794
OG0000007	Prao.g_00603	Prbe.g_00636
OG0000007	Prao.g_01552	Prbe.g_00985
OG0000009	Prao.g_01342	Prbe.g_00216
OG0000010	Prao.g_00580	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000011	Prao.g_00529	Prbe.g_00713
OG0000012	Prao.g_00062	Prbe.g_00196, Prbe.g_00511
OG0000013	Prao.g_00463	Prbe.g_01879
OG0000014	Prao.g_01213	Prbe.g_01861
OG0000015	Prao.g_00703	Prbe.g_01046, Prbe.g_01000
OG0000017	Prao.g_00036	Prbe.g_00536
OG0000018	Prao.g_01108	Prbe.g_01571
OG0000018	Prao.g_00768	Prbe.g_01250
OG0000019	Prao.g_00387	Prbe.g_01802
OG0000019	Prao.g_00720	Prbe.g_01573
OG0000020	Prao.g_01145	Prbe.g_00204
OG0000021	Prao.g_01346, Prao.g_00500	Prbe.g_00203
OG0000022	Prao.g_00699	Prbe.g_00220
OG0000023	Prao.g_00494	Prbe.g_00062
OG0000024	Prao.g_00683	Prbe.g_01415
OG0000024	Prao.g_00114	Prbe.g_00449
OG0000025	Prao.g_00776, Prao.g_00467	Prbe.g_01258
OG0000026	Prao.g_00177, Prao.g_00992	Prbe.g_00132
OG0000027	Prao.g_00576, Prao.g_01293	Prbe.g_00012
OG0000028	Prao.g_01348	Prbe.g_00034
OG0000029	Prao.g_00510	Prbe.g_01091
OG0000029	Prao.g_00690	Prbe.g_00025, Prbe.g_01054, Prbe.g_01133
OG0000030	Prao.g_01753	Prbe.g_00763
OG0000031	Prao.g_01355, Prao.g_01364	Prbe.g_00352
OG0000033	Prao.g_00307	Prbe.g_01717
OG0000034	Prao.g_01266	Prbe.g_00882
OG0000037	Prao.g_00247	Prbe.g_01651
OG0000038	Prao.g_01794	Prbe.g_01156
OG0000039	Prao.g_00124	Prbe.g_00461
OG0000041	Prao.g_01598	Prbe.g_00938
OG0000042	Prao.g_01750	Prbe.g_00766
OG0000043	Prao.g_00812	Prbe.g_01570
OG0000045	Prao.g_00506	Prbe.g_01593
OG0000048	Prao.g_00509	Prbe.g_01825
OG0000052	Prao.g_01358	Prbe.g_00158, Prbe.g_00333
OG0000053	Prao.g_01417	Prbe.g_01040, Prbe.g_00290
OG0000054	Prao.g_00044	Prbe.g_00527
OG0000055	Prao.g_00721	Prbe.g_01598
OG0000057	Prao.g_00136	Prbe.g_01206
OG0000058	Prao.g_01191	Prbe.g_00351
OG0000059	Prao.g_01639	Prbe.g_01094
OG0000061	Prao.g_01089	Prbe.g_01549
OG0000062	Prao.g_01474	Prbe.g_00226
OG0000063	Prao.g_00179	Prbe.g_00021
OG0000065	Prao.g_00245	Prbe.g_01649
OG0000067	Prao.g_00741	Prbe.g_01222
OG0000068	Prao.g_01239	Prbe.g_00373
OG0000069	Prao.g_01508	Prbe.g_00678
OG0000070	Prao.g_00554	Prbe.g_01948
OG0000071	Prao.g_01276	Prbe.g_00893
OG0000072	Prao.g_00309	Prbe.g_01719
OG0000073	Prao.g_00605	Prbe.g_00633
OG0000074	Prao.g_00120	Prbe.g_00456
OG0000075	Prao.g_01719	Prbe.g_00800
OG0000076	Prao.g_01743	Prbe.g_00774
OG0000077	Prao.g_00217	Prbe.g_00183
OG0000078	Prao.g_00377	Prbe.g_01792
OG0000079	Prao.g_00390	Prbe.g_01805
OG0000081	Prao.g_01860	Prbe.g_00604
OG0000082	Prao.g_00024	Prbe.g_00549, Prbe.g_00996
OG0000084	Prao.g_01393	Prbe.g_00314
OG0000085	Prao.g_01545	Prbe.g_00993, Prbe.g_00007
OG0000086	Prao.g_00227	Prbe.g_00192
OG0000087	Prao.g_00277	Prbe.g_01683
OG0000088	Prao.g_00304	Prbe.g_01714
OG0000089	Prao.g_00490	Prbe.g_01915
OG0000090	Prao.g_01858	Prbe.g_00602
OG0000091	Prao.g_00081	Prbe.g_01477
OG0000092	Prao.g_00850	Prbe.g_00422
OG0000093	Prao.g_00870	Prbe.g_01448
OG0000094	Prao.g_00955	Prbe.g_01399
OG0000095	Prao.g_00974	Prbe.g_01297
OG0000096	Prao.g_01142, Prao.g_01316	Prbe.g_00081
OG0000097	Prao.g_01048	Prbe.g_01503
OG0000098	Prao.g_01257	Prbe.g_00397
OG0000099	Prao.g_01214	Prbe.g_00350
OG0000100	Prao.g_01470	Prbe.g_00232
OG0000101	Prao.g_01687	Prbe.g_00836
OG0000102	Prao.g_01748	Prbe.g_00769
OG0000103	Prao.g_01828	Prbe.g_01195
OG0000104	Prao.g_01837	Prbe.g_01061
OG0000105	Prao.g_01378	Prbe.g_01828
OG0000106	Prao.g_00505	Prbe.g_00740
OG0000107	Prao.g_00518	Prbe.g_00921
OG0000108	Prao.g_00586	Prbe.g_00653
OG0000109	Prao.g_00600	Prbe.g_00639
OG0000110	Prao.g_01867	Prbe.g_00560
OG0000111	Prao.g_00137	Prbe.g_01207
OG0000112	Prao.g_00704	Prbe.g_00487
OG0000113	Prao.g_00763	Prbe.g_01245
OG0000114	Prao.g_00845	Prbe.g_00417
OG0000115	Prao.g_01150	Prbe.g_01618
OG0000116	Prao.g_01099	Prbe.g_01560
OG0000117	Prao.g_01332	Prbe.g_01522
OG0000118	Prao.g_01264	Prbe.g_00880
OG0000119	Prao.g_01243	Prbe.g_01603, Prbe.g_00214
OG0000120	Prao.g_01215	Prbe.g_00353
OG0000121	Prao.g_01399	Prbe.g_00309
OG0000122	Prao.g_01436	Prbe.g_01625, Prbe.g_00268
OG0000123	Prao.g_01694	Prbe.g_00829
OG0000124	Prao.g_01759	Prbe.g_00745
OG0000125	Prao.g_01796	Prbe.g_01158
OG0000126	Prao.g_01836	Prbe.g_01060
OG0000128	Prao.g_00158	Prbe.g_01076
OG0000129	Prao.g_00190	Prbe.g_00145
OG0000130	Prao.g_00208	Prbe.g_00174
OG0000131	Prao.g_00283	Prbe.g_01692
OG0000132	Prao.g_00302	Prbe.g_01712
OG0000133	Prao.g_00458	Prbe.g_01875
OG0000134	Prao.g_00491	Prbe.g_01917
OG0000135	Prao.g_00516	Prbe.g_00911
OG0000136	Prao.g_00545	Prbe.g_01939
OG0000137	Prao.g_00581	Prbe.g_00658
OG0000138	Prao.g_00601	Prbe.g_00638
OG0000139	Prao.g_01854	Prbe.g_00598
OG0000140	Prao.g_01853	Prbe.g_00597
OG0000141	Prao.g_00045	Prbe.g_00526
OG0000142	Prao.g_00074	Prbe.g_01485
OG0000143	Prao.g_00078	Prbe.g_01481
OG0000144	Prao.g_00091	Prbe.g_01467
OG0000145	Prao.g_00701	Prbe.g_00909
OG0000146	Prao.g_00705	Prbe.g_00488
OG0000147	Prao.g_00706	Prbe.g_00489
OG0000148	Prao.g_00757	Prbe.g_01239
OG0000149	Prao.g_00788	Prbe.g_01271
OG0000150	Prao.g_00796	Prbe.g_01281
OG0000151	Prao.g_00855	Prbe.g_00427
OG0000152	Prao.g_00902	Prbe.g_01350
OG0000153	Prao.g_00921	Prbe.g_01369
OG0000154	Prao.g_00948	Prbe.g_01389
OG0000155	Prao.g_01069	Prbe.g_01528
OG0000156	Prao.g_01287	Prbe.g_00904
OG0000157	Prao.g_01286	Prbe.g_00903
OG0000158	Prao.g_01220	Prbe.g_00792
OG0000159	Prao.g_01219	Prbe.g_00165
OG0000160	Prao.g_01398	Prbe.g_00310
OG0000161	Prao.g_01404	Prbe.g_00304
OG0000162	Prao.g_01410	Prbe.g_00298
OG0000163	Prao.g_01443	Prbe.g_00259
OG0000164	Prao.g_01576	Prbe.g_00961
OG0000165	Prao.g_01583	Prbe.g_00954
OG0000166	Prao.g_01651	Prbe.g_01083
OG0000167	Prao.g_01717	Prbe.g_00802
OG0000168	Prao.g_01727	Prbe.g_00791
OG0000169	Prao.g_01737	Prbe.g_00781
OG0000170	Prao.g_01739	Prbe.g_00778
OG0000171	Prao.g_01758	Prbe.g_00758
OG0000172	Prao.g_01767	Prbe.g_00751
OG0000173	Prao.g_01782	Prbe.g_01143
OG0000174	Prao.g_01810	Prbe.g_01173
OG0000175	Prao.g_01820	Prbe.g_01186
OG0000176	Prao.g_01845	Prbe.g_01069
OG0000177	Prao.g_01846	Prbe.g_01070
OG0000178	Prao.g_01847	Prbe.g_01071
OG0000179	Prao.g_00163	Prbe.g_00116
OG0000180	Prao.g_00164	Prbe.g_00117
OG0000181	Prao.g_00165	Prbe.g_00118
OG0000182	Prao.g_00166	Prbe.g_00119
OG0000183	Prao.g_00170	Prbe.g_00123
OG0000184	Prao.g_00192	Prbe.g_00149
OG0000185	Prao.g_00195	Prbe.g_00152
OG0000186	Prao.g_00203	Prbe.g_00168
OG0000187	Prao.g_00204	Prbe.g_00169
OG0000188	Prao.g_00221	Prbe.g_00186
OG0000189	Prao.g_00235	Prbe.g_01636
OG0000190	Prao.g_00236	Prbe.g_01638
OG0000191	Prao.g_00256	Prbe.g_01661
OG0000192	Prao.g_00260	Prbe.g_01666
OG0000193	Prao.g_00284	Prbe.g_01693
OG0000194	Prao.g_00287	Prbe.g_01696
OG0000195	Prao.g_00289	Prbe.g_01698
OG0000196	Prao.g_00299	Prbe.g_01709
OG0000197	Prao.g_00300	Prbe.g_01710
OG0000198	Prao.g_00301	Prbe.g_01711
OG0000199	Prao.g_00308	Prbe.g_01718
OG0000200	Prao.g_00322	Prbe.g_01732
OG0000201	Prao.g_00330	Prbe.g_01741
OG0000202	Prao.g_00331	Prbe.g_01742
OG0000203	Prao.g_00332	Prbe.g_01743
OG0000204	Prao.g_00333	Prbe.g_01744
OG0000205	Prao.g_00340	Prbe.g_01751
OG0000206	Prao.g_00345	Prbe.g_01756
OG0000207	Prao.g_00347	Prbe.g_01759
OG0000208	Prao.g_00348	Prbe.g_01760
OG0000209	Prao.g_00357	Prbe.g_01769
OG0000210	Prao.g_00358	Prbe.g_01770
OG0000211	Prao.g_00371	Prbe.g_01785
OG0000212	Prao.g_00378	Prbe.g_01793
OG0000213	Prao.g_00395	Prbe.g_01811
OG0000214	Prao.g_00405	Prbe.g_01821
OG0000215	Prao.g_00429	Prbe.g_01848
OG0000216	Prao.g_00431	Prbe.g_01849
OG0000217	Prao.g_00434	Prbe.g_01852
OG0000218	Prao.g_00436	Prbe.g_01854
OG0000219	Prao.g_00437	Prbe.g_01855
OG0000220	Prao.g_00438	Prbe.g_01856
OG0000221	Prao.g_00439	Prbe.g_01857
OG0000222	Prao.g_00446	Prbe.g_01864
OG0000223	Prao.g_00459	Prbe.g_01876
OG0000224	Prao.g_00461	Prbe.g_01878
OG0000225	Prao.g_00480	Prbe.g_01904
OG0000226	Prao.g_00484	Prbe.g_01908
OG0000227	Prao.g_00486	Prbe.g_01910
OG0000228	Prao.g_00489	Prbe.g_01914
OG0000229	Prao.g_00540	Prbe.g_01934
OG0000230	Prao.g_00542	Prbe.g_01936
OG0000231	Prao.g_00553	Prbe.g_01947
OG0000232	Prao.g_00564	Prbe.g_00672
OG0000233	Prao.g_00569	Prbe.g_00666
OG0000234	Prao.g_00582	Prbe.g_00657
OG0000235	Prao.g_00585	Prbe.g_00654
OG0000236	Prao.g_00599	Prbe.g_00640
OG0000237	Prao.g_00612	Prbe.g_00627
OG0000238	Prao.g_00618	Prbe.g_00621
OG0000239	Prao.g_00631	Prbe.g_00610
OG0000240	Prao.g_00632	Prbe.g_00609
OG0000241	Prao.g_01861	Prbe.g_00605
OG0000242	Prao.g_01859	Prbe.g_00603
OG0000243	Prao.g_01162	Prbe.g_00592
OG0000244	Prao.g_01165	Prbe.g_00589
OG0000245	Prao.g_01167	Prbe.g_00587
OG0000246	Prao.g_01171	Prbe.g_00583
OG0000247	Prao.g_01181	Prbe.g_00573
OG0000248	Prao.g_01183	Prbe.g_00570
OG0000249	Prao.g_01185	Prbe.g_00568
OG0000250	Prao.g_01864	Prbe.g_00563
OG0000251	Prao.g_00029	Prbe.g_00543
OG0000252	Prao.g_00032	Prbe.g_00540
OG0000253	Prao.g_00033	Prbe.g_00539
OG0000254	Prao.g_00049	Prbe.g_00522
OG0000255	Prao.g_00055	Prbe.g_00516
OG0000256	Prao.g_00066	Prbe.g_00506
OG0000257	Prao.g_00069	Prbe.g_01490
OG0000258	Prao.g_00082	Prbe.g_01476
OG0000259	Prao.g_00099	Prbe.g_01459
OG0000260	Prao.g_00102	Prbe.g_01456
OG0000261	Prao.g_00104	Prbe.g_01453
OG0000262	Prao.g_00108	Prbe.g_01449
OG0000263	Prao.g_00119	Prbe.g_00455
OG0000264	Prao.g_00129	Prbe.g_00466
OG0000265	Prao.g_00648	Prbe.g_01214
OG0000266	Prao.g_00658	Prbe.g_01430
OG0000267	Prao.g_00669	Prbe.g_01418
OG0000268	Prao.g_00670	Prbe.g_01417
OG0000269	Prao.g_00736	Prbe.g_01217
OG0000270	Prao.g_00739	Prbe.g_01220
OG0000271	Prao.g_00747	Prbe.g_01228
OG0000272	Prao.g_00748	Prbe.g_01229
OG0000273	Prao.g_00771	Prbe.g_01253
OG0000274	Prao.g_00772	Prbe.g_01254
OG0000275	Prao.g_00775	Prbe.g_01257
OG0000276	Prao.g_00780	Prbe.g_01263
OG0000277	Prao.g_00781	Prbe.g_01264
OG0000278	Prao.g_00784	Prbe.g_01267
OG0000279	Prao.g_00791	Prbe.g_01274
OG0000280	Prao.g_00792	Prbe.g_01275
OG0000281	Prao.g_00797	Prbe.g_01282
OG0000282	Prao.g_00847	Prbe.g_00419
OG0000283	Prao.g_00879	Prbe.g_01326
OG0000284	Prao.g_00884	Prbe.g_01331
OG0000285	Prao.g_00889	Prbe.g_01336
OG0000286	Prao.g_00901	Prbe.g_01349
OG0000287	Prao.g_00918	Prbe.g_01615
OG0000288	Prao.g_00947	Prbe.g_01388
OG0000289	Prao.g_00958	Prbe.g_01404
OG0000290	Prao.g_00971	Prbe.g_01300
OG0000291	Prao.g_00973	Prbe.g_01298
OG0000292	Prao.g_01025	Prbe.g_01594
OG0000293	Prao.g_01098	Prbe.g_01559
OG0000294	Prao.g_01097	Prbe.g_01558
OG0000295	Prao.g_01077	Prbe.g_01535
OG0000296	Prao.g_01075	Prbe.g_01533
OG0000297	Prao.g_01067	Prbe.g_01524
OG0000298	Prao.g_01066	Prbe.g_01523
OG0000299	Prao.g_01049	Prbe.g_01504
OG0000300	Prao.g_01046	Prbe.g_01501
OG0000301	Prao.g_01045	Prbe.g_01500
OG0000302	Prao.g_01043	Prbe.g_01498
OG0000303	Prao.g_01036	Prbe.g_01492
OG0000304	Prao.g_01032	Prbe.g_00501
OG0000305	Prao.g_01247	Prbe.g_01592
OG0000306	Prao.g_01244	Prbe.g_01286
OG0000307	Prao.g_01230	Prbe.g_00364
OG0000308	Prao.g_01229	Prbe.g_00363
OG0000309	Prao.g_01225	Prbe.g_00359
OG0000310	Prao.g_01382	Prbe.g_00325
OG0000311	Prao.g_01384	Prbe.g_00323
OG0000312	Prao.g_01387	Prbe.g_00320
OG0000313	Prao.g_01401	Prbe.g_00307
OG0000314	Prao.g_01423	Prbe.g_00284
OG0000315	Prao.g_01433	Prbe.g_00274
OG0000316	Prao.g_01453	Prbe.g_00249
