Orthogroup	Prao	Prax
OG0000000	Prao.g_01294	Prax.g_01917
OG0000000	Prao.g_01515	Prax.g_01608
OG0000000	Prao.g_01029	Prax.g_00259
OG0000000	Prao.g_01029	Prax.g_01609
OG0000000	Prao.g_01297	Prax.g_01920
OG0000000	Prao.g_01296	Prax.g_01919
OG0000000	Prao.g_01518	Prax.g_01606
OG0000001	Prao.g_01254	Prax.g_01878
OG0000001	Prao.g_01852	Prax.g_00522
OG0000002	Prao.g_01246	Prax.g_01870
OG0000002	Prao.g_00116	Prax.g_00964
OG0000004	Prao.g_00133	Prax.g_00947
OG0000004	Prao.g_00370	Prax.g_00986
OG0000005	Prao.g_01565	Prax.g_01546
OG0000005	Prao.g_01472	Prax.g_01652
OG0000006	Prao.g_00379	Prax.g_01972
OG0000007	Prao.g_00603	Prax.g_00704
OG0000007	Prao.g_01552	Prax.g_01559
OG0000008	Prao.g_00111	Prax.g_00970
OG0000009	Prao.g_01342	Prax.g_01950
OG0000009	Prao.g_01507	Prax.g_01617
OG0000010	Prao.g_00985	Prax.g_01212
OG0000010	Prao.g_00580	Prax.g_00728
OG0000011	Prao.g_01307	Prax.g_01930
OG0000011	Prao.g_00529	Prax.g_00776
OG0000012	Prao.g_00062	Prax.g_00082
OG0000013	Prao.g_00463	Prax.g_00846
OG0000014	Prao.g_01213	Prax.g_00869, Prax.g_01763
OG0000017	Prao.g_00036	Prax.g_00057
OG0000018	Prao.g_01108	Prax.g_00181
OG0000018	Prao.g_00768	Prax.g_00346
OG0000019	Prao.g_00387	Prax.g_00926
OG0000019	Prao.g_00720	Prax.g_00393
OG0000020	Prao.g_01145	Prax.g_00138
OG0000021	Prao.g_01346	Prax.g_01587
OG0000021	Prao.g_00500	Prax.g_00808
OG0000022	Prao.g_00699	Prax.g_00415
OG0000022	Prao.g_01126	Prax.g_00157
OG0000023	Prao.g_00494	Prax.g_00813
OG0000024	Prao.g_00683	Prax.g_00432
OG0000024	Prao.g_00114	Prax.g_00967
OG0000025	Prao.g_00776	Prax.g_00338
OG0000025	Prao.g_00467	Prax.g_00842
OG0000026	Prao.g_00177	Prax.g_00282
OG0000026	Prao.g_00992	Prax.g_01220
OG0000027	Prao.g_01293	Prax.g_01916
OG0000028	Prao.g_00456	Prax.g_00855
OG0000029	Prao.g_00510	Prax.g_00798
OG0000029	Prao.g_00690	Prax.g_00425
OG0000030	Prao.g_01753	Prax.g_01404
OG0000031	Prao.g_01355, Prao.g_01364	Prax.g_01831
OG0000033	Prao.g_00307	Prax.g_01049
OG0000034	Prao.g_01266	Prax.g_01889
OG0000035	Prao.g_01397	Prax.g_01728, Prax.g_01733
OG0000037	Prao.g_00247	Prax.g_01110
OG0000038	Prao.g_01794	Prax.g_01445
OG0000039	Prao.g_00124	Prax.g_00956
OG0000040	Prao.g_01531	Prax.g_01591
OG0000040	Prao.g_01109	Prax.g_00180
OG0000041	Prao.g_01598	Prax.g_01512
OG0000042	Prao.g_01750	Prax.g_01401
OG0000043	Prao.g_00812	Prax.g_00301, Prax.g_00501, Prax.g_00530
OG0000043	Prao.g_01331	Prax.g_01955
OG0000045	Prao.g_00506	Prax.g_00802
OG0000047	Prao.g_00466	Prax.g_00843
OG0000048	Prao.g_00509	Prax.g_00799
OG0000049	Prao.g_00517	Prax.g_00791
OG0000049	Prao.g_01333	Prax.g_01958
OG0000050	Prao.g_01012	Prax.g_01240
OG0000051	Prao.g_01304	Prax.g_01927
OG0000053	Prao.g_01417	Prax.g_01708
OG0000054	Prao.g_00044	Prax.g_00065
OG0000055	Prao.g_00721	Prax.g_00392
OG0000057	Prao.g_00136	Prax.g_00944
OG0000058	Prao.g_01191	Prax.g_01823
OG0000059	Prao.g_01639	Prax.g_01286
OG0000061	Prao.g_01089	Prax.g_00200
OG0000062	Prao.g_01474	Prax.g_01650
OG0000063	Prao.g_00179	Prax.g_00280
OG0000065	Prao.g_00245	Prax.g_01112
OG0000067	Prao.g_00741	Prax.g_00373
OG0000068	Prao.g_01239	Prax.g_01863
OG0000069	Prao.g_01508	Prax.g_01616
OG0000070	Prao.g_00554	Prax.g_00750
OG0000071	Prao.g_01276	Prax.g_01899
OG0000072	Prao.g_00309	Prax.g_01047
OG0000073	Prao.g_00605	Prax.g_00702
OG0000074	Prao.g_00120	Prax.g_00960
OG0000075	Prao.g_01719	Prax.g_01370
OG0000076	Prao.g_01743	Prax.g_01394
OG0000077	Prao.g_00217	Prax.g_00649
OG0000078	Prao.g_00377	Prax.g_00979
OG0000079	Prao.g_00390	Prax.g_00923
OG0000081	Prao.g_01860	Prax.g_00670
OG0000082	Prao.g_00024	Prax.g_00045
OG0000083	Prao.g_00679	Prax.g_00437
OG0000083	Prao.g_01301	Prax.g_01924
OG0000083	Prao.g_00673	Prax.g_00444
OG0000084	Prao.g_01393	Prax.g_01737
OG0000085	Prao.g_01545	Prax.g_01566
OG0000086	Prao.g_00227	Prax.g_00659
OG0000087	Prao.g_00277	Prax.g_01079
OG0000088	Prao.g_00304	Prax.g_01052
OG0000089	Prao.g_00490	Prax.g_00817
OG0000090	Prao.g_01858	Prax.g_00668
OG0000091	Prao.g_00081	Prax.g_00101
OG0000092	Prao.g_00850	Prax.g_00566
OG0000093	Prao.g_00870	Prax.g_00588
OG0000094	Prao.g_00955	Prax.g_01185
OG0000095	Prao.g_00974	Prax.g_01204
OG0000096	Prao.g_01142	Prax.g_00141
OG0000096	Prao.g_01316	Prax.g_01936
OG0000097	Prao.g_01048	Prax.g_00241
OG0000098	Prao.g_01257	Prax.g_01881
OG0000099	Prao.g_01214	Prax.g_01825
OG0000100	Prao.g_01470	Prax.g_01654
OG0000101	Prao.g_01687	Prax.g_01338
OG0000102	Prao.g_01748	Prax.g_01399
OG0000103	Prao.g_01828	Prax.g_01478
OG0000104	Prao.g_01837	Prax.g_01486
OG0000105	Prao.g_01378	Prax.g_00901
OG0000106	Prao.g_00505	Prax.g_00803
OG0000107	Prao.g_00518	Prax.g_00790
OG0000108	Prao.g_00586	Prax.g_00722
OG0000109	Prao.g_00600	Prax.g_00707
OG0000110	Prao.g_01867	Prax.g_00035
OG0000111	Prao.g_00137	Prax.g_00943
OG0000112	Prao.g_00704	Prax.g_00409
OG0000113	Prao.g_00763	Prax.g_00351
OG0000114	Prao.g_00845	Prax.g_00561
OG0000115	Prao.g_01150	Prax.g_00132
OG0000116	Prao.g_01099	Prax.g_00190
OG0000117	Prao.g_01332	Prax.g_01959
OG0000118	Prao.g_01264	Prax.g_01887
OG0000119	Prao.g_01243	Prax.g_01867
OG0000120	Prao.g_01215	Prax.g_01832
OG0000121	Prao.g_01399	Prax.g_01726
OG0000122	Prao.g_01436	Prax.g_01688
OG0000123	Prao.g_01694	Prax.g_01345
OG0000124	Prao.g_01759	Prax.g_01410
OG0000125	Prao.g_01796	Prax.g_01447
OG0000126	Prao.g_01836	Prax.g_01485
OG0000128	Prao.g_00158	Prax.g_01974
OG0000129	Prao.g_00190	Prax.g_00269
OG0000130	Prao.g_00208	Prax.g_00640
OG0000131	Prao.g_00283	Prax.g_01073
OG0000132	Prao.g_00302	Prax.g_01054
OG0000133	Prao.g_00458	Prax.g_00853, Prax.g_00852
OG0000134	Prao.g_00491	Prax.g_00816
OG0000135	Prao.g_00516	Prax.g_00792
OG0000136	Prao.g_00545	Prax.g_00759
OG0000137	Prao.g_00581	Prax.g_00727
OG0000138	Prao.g_00601	Prax.g_00706
OG0000139	Prao.g_01854	Prax.g_00664
OG0000140	Prao.g_01853	Prax.g_00663
OG0000141	Prao.g_00045	Prax.g_00066
OG0000142	Prao.g_00074	Prax.g_00094
OG0000143	Prao.g_00078	Prax.g_00098
OG0000144	Prao.g_00091	Prax.g_00111
OG0000145	Prao.g_00701	Prax.g_00413
OG0000146	Prao.g_00705	Prax.g_00408
OG0000147	Prao.g_00706	Prax.g_00407
OG0000148	Prao.g_00757	Prax.g_00357
OG0000149	Prao.g_00788	Prax.g_00326
OG0000150	Prao.g_00796	Prax.g_00318
OG0000151	Prao.g_00855	Prax.g_00571
OG0000152	Prao.g_00902	Prax.g_01129
OG0000153	Prao.g_00921	Prax.g_01148
OG0000154	Prao.g_00948	Prax.g_01178
OG0000155	Prao.g_01069	Prax.g_00220
OG0000156	Prao.g_01287	Prax.g_01910
OG0000157	Prao.g_01286	Prax.g_01909
OG0000158	Prao.g_01220	Prax.g_01780
OG0000159	Prao.g_01219	Prax.g_01824
OG0000160	Prao.g_01398	Prax.g_01727
OG0000161	Prao.g_01404	Prax.g_01721
OG0000162	Prao.g_01410	Prax.g_01715
OG0000163	Prao.g_01443	Prax.g_01681
OG0000164	Prao.g_01576	Prax.g_01535
OG0000165	Prao.g_01583	Prax.g_01528
OG0000166	Prao.g_01651	Prax.g_01302
OG0000167	Prao.g_01717	Prax.g_01368
OG0000168	Prao.g_01727	Prax.g_01378
OG0000169	Prao.g_01737	Prax.g_01388
OG0000170	Prao.g_01739	Prax.g_01390
OG0000171	Prao.g_01758	Prax.g_01409
OG0000172	Prao.g_01767	Prax.g_01418
OG0000173	Prao.g_01782	Prax.g_01433
OG0000174	Prao.g_01810	Prax.g_01460
OG0000175	Prao.g_01820	Prax.g_01470
