Orthogroup	Prao	Prad
OG0000000	Prao.g_01294	Prad.g_00352
OG0000000	Prao.g_01515	Prad.g_00392
OG0000000	Prao.g_01029	Prad.g_00393
OG0000000	Prao.g_01029	Prad.g_01435
OG0000000	Prao.g_01528, Prao.g_01297	Prad.g_00372, Prad.g_00349
OG0000000	Prao.g_01296	Prad.g_00350
OG0000000	Prao.g_01518	Prad.g_00389
OG0000001	Prao.g_01254	Prad.g_00609
OG0000001	Prao.g_01852	Prad.g_01434, Prad.g_01994
OG0000002	Prao.g_01246	Prad.g_00601
OG0000002	Prao.g_00116	Prad.g_01252
OG0000004	Prao.g_00133	Prad.g_01269
OG0000004	Prao.g_00370	Prad.g_01759
OG0000005	Prao.g_01565	Prad.g_00928
OG0000005	Prao.g_01472	Prad.g_00438
OG0000006	Prao.g_00379	Prad.g_01750
OG0000007	Prao.g_00603	Prad.g_00132
OG0000007	Prao.g_01552	Prad.g_00941
OG0000008	Prao.g_00111	Prad.g_01246
OG0000009	Prao.g_01342	Prad.g_00317
OG0000009	Prao.g_01507	Prad.g_00401
OG0000010	Prao.g_00985	Prad.g_01011
OG0000010	Prao.g_00580	Prad.g_00033
OG0000011	Prao.g_01307	Prad.g_00339
OG0000012	Prao.g_00062	Prad.g_01412
OG0000013	Prao.g_00463	Prad.g_01664
OG0000014	Prao.g_01213	Prad.g_01685
OG0000016	Prao.g_00160	Prad.g_01973
OG0000017	Prao.g_00036	Prad.g_01387
OG0000018	Prao.g_01108	Prad.g_01515
OG0000018	Prao.g_00768	Prad.g_01173
OG0000019	Prao.g_00387	Prad.g_01742
OG0000019	Prao.g_00720	Prad.g_01125
OG0000020	Prao.g_01145	Prad.g_00647
OG0000021	Prao.g_01346	Prad.g_01981
OG0000021	Prao.g_00500	Prad.g_00745
OG0000022	Prao.g_00699	Prad.g_01105
OG0000022	Prao.g_01126	Prad.g_01993
OG0000023	Prao.g_00494	Prad.g_00751
OG0000024	Prao.g_00683	Prad.g_01088
OG0000024	Prao.g_00114	Prad.g_01249
OG0000025	Prao.g_00776	Prad.g_01181
OG0000025	Prao.g_00467	Prad.g_01660
OG0000026	Prao.g_00177	Prad.g_01955
OG0000026	Prao.g_00992	Prad.g_01004
OG0000027	Prao.g_01293	Prad.g_00353
OG0000028	Prao.g_00456	Prad.g_01671
OG0000028	Prao.g_01348	Prad.g_01204
OG0000029	Prao.g_00510	Prad.g_00734
OG0000029	Prao.g_00690	Prad.g_01096
OG0000033	Prao.g_00307	Prad.g_01822
OG0000034	Prao.g_01266	Prad.g_00618
OG0000035	Prao.g_01397	Prad.g_00515
OG0000037	Prao.g_00247	Prad.g_01884
