Orthogroup	Prao	Syaa
OG0000004	Prao.g_00133	Syaa.g_00892
OG0000004	Prao.g_00370	Syaa.g_01667, Syaa.g_02116
OG0000005	Prao.g_01565	Syaa.g_00534
OG0000005	Prao.g_01472	Syaa.g_00573
OG0000006	Prao.g_00379	Syaa.g_01043, Syaa.g_02353, Syaa.g_02099
OG0000007	Prao.g_00603	Syaa.g_02032
OG0000007	Prao.g_01552	Syaa.g_00551
OG0000010	Prao.g_00985, Prao.g_00580	Syaa.g_01843
OG0000012	Prao.g_00062	Syaa.g_02304, Syaa.g_01660
OG0000013	Prao.g_00463	Syaa.g_02204, Syaa.g_02217, Syaa.g_02212
OG0000014	Prao.g_01213	Syaa.g_00222, Syaa.g_00481
OG0000015	Prao.g_00703	Syaa.g_01079, Syaa.g_01989
OG0000016	Prao.g_00160	Syaa.g_00014
OG0000017	Prao.g_00036	Syaa.g_01890
OG0000018	Prao.g_01108, Prao.g_00768	Syaa.g_01801
OG0000019	Prao.g_00387, Prao.g_00720	Syaa.g_00307
OG0000022	Prao.g_00699, Prao.g_01126	Syaa.g_01571
OG0000023	Prao.g_00494	Syaa.g_01529, Syaa.g_01216
OG0000024	Prao.g_00683, Prao.g_00114	Syaa.g_00922
OG0000025	Prao.g_00776, Prao.g_00467	Syaa.g_00839
OG0000026	Prao.g_00177, Prao.g_00992	Syaa.g_00038
OG0000027	Prao.g_00576, Prao.g_01293	Syaa.g_01605, Syaa.g_00854
OG0000028	Prao.g_00456, Prao.g_01348	Syaa.g_00205
OG0000029	Prao.g_00510, Prao.g_00690	Syaa.g_01578
OG0000030	Prao.g_01753	Syaa.g_00099, Syaa.g_00098
OG0000031	Prao.g_01364	Syaa.g_00480
OG0000033	Prao.g_00307	Syaa.g_02478
OG0000034	Prao.g_01266	Syaa.g_00722, Syaa.g_02444
OG0000035	Prao.g_01397	Syaa.g_01773
OG0000037	Prao.g_00247	Syaa.g_02384
OG0000038	Prao.g_01794	Syaa.g_02596
OG0000039	Prao.g_00124	Syaa.g_00846
OG0000040	Prao.g_01531	Syaa.g_01606
OG0000041	Prao.g_01598	Syaa.g_00660
OG0000042	Prao.g_01750	Syaa.g_00103
OG0000043	Prao.g_01331	Syaa.g_01437
OG0000045	Prao.g_00506	Syaa.g_01560
OG0000047	Prao.g_00466	Syaa.g_02189
OG0000048	Prao.g_00509	Syaa.g_02719, Syaa.g_00275
OG0000051	Prao.g_01304	Syaa.g_01531
OG0000052	Prao.g_01358	Syaa.g_00174, Syaa.g_00461
OG0000053	Prao.g_01417	Syaa.g_01797
OG0000054	Prao.g_00044	Syaa.g_01691
OG0000055	Prao.g_00721	Syaa.g_00852
OG0000057	Prao.g_00136	Syaa.g_00889
OG0000058	Prao.g_01191	Syaa.g_00193
OG0000059	Prao.g_01639	Syaa.g_02315
OG0000061	Prao.g_01089	Syaa.g_00770
OG0000063	Prao.g_00179	Syaa.g_00042
OG0000065	Prao.g_00245	Syaa.g_02380
OG0000067	Prao.g_00741	Syaa.g_01154
OG0000068	Prao.g_01239	Syaa.g_02059
OG0000069	Prao.g_01508	Syaa.g_01256
OG0000070	Prao.g_00554	Syaa.g_00718
OG0000071	Prao.g_01276	Syaa.g_00735
OG0000072	Prao.g_00309	Syaa.g_02480
OG0000073	Prao.g_00605	Syaa.g_02030
OG0000074	Prao.g_00120	Syaa.g_00372
OG0000075	Prao.g_01719	Syaa.g_00157
OG0000076	Prao.g_01743	Syaa.g_00123
OG0000077	Prao.g_00217	Syaa.g_00341
OG0000078	Prao.g_00377	Syaa.g_02103
OG0000079	Prao.g_00390	Syaa.g_00303
OG0000081	Prao.g_01860	Syaa.g_02089
OG0000082	Prao.g_00024	Syaa.g_01905
OG0000084	Prao.g_01393	Syaa.g_01770
OG0000085	Prao.g_01545	Syaa.g_00564
OG0000086	Prao.g_00227	Syaa.g_00324
OG0000087	Prao.g_00277	Syaa.g_02433
OG0000088	Prao.g_00304	Syaa.g_02474
OG0000089	Prao.g_00490	Syaa.g_02149
OG0000090	Prao.g_01858	Syaa.g_01980
OG0000091	Prao.g_00081	Syaa.g_01625
OG0000094	Prao.g_00955	Syaa.g_01288
OG0000097	Prao.g_01048	Syaa.g_00979
OG0000099	Prao.g_01214	Syaa.g_00202
OG0000100	Prao.g_01470	Syaa.g_01201
OG0000101	Prao.g_01687	Syaa.g_02249
OG0000102	Prao.g_01748	Syaa.g_00118
OG0000103	Prao.g_01828	Syaa.g_02740
OG0000104	Prao.g_01837	Syaa.g_02754
OG0000105	Prao.g_01378	Syaa.g_00270
OG0000106	Prao.g_00505	Syaa.g_01439
OG0000107	Prao.g_00518	Syaa.g_02351
OG0000108	Prao.g_00586	Syaa.g_02051
OG0000109	Prao.g_00600	Syaa.g_02036
OG0000110	Prao.g_01867	Syaa.g_01918
OG0000111	Prao.g_00137	Syaa.g_00888
OG0000112	Prao.g_00704	Syaa.g_01366
OG0000113	Prao.g_00763	Syaa.g_01196
OG0000114	Prao.g_00845	Syaa.g_01094
OG0000115	Prao.g_01150	Syaa.g_01795
OG0000116	Prao.g_01099	Syaa.g_00757
OG0000117	Prao.g_01332	Syaa.g_01009
OG0000118	Prao.g_01264	Syaa.g_01874
OG0000119	Prao.g_01243	Syaa.g_00785
OG0000120	Prao.g_01215	Syaa.g_00201
OG0000121	Prao.g_01399	Syaa.g_01777
OG0000122	Prao.g_01436	Syaa.g_01598
OG0000123	Prao.g_01694	Syaa.g_02242
OG0000124	Prao.g_01759	Syaa.g_00092
OG0000125	Prao.g_01796	Syaa.g_02598
OG0000126	Prao.g_01836	Syaa.g_02752
OG0000128	Prao.g_00158	Syaa.g_00012
OG0000129	Prao.g_00190	Syaa.g_02586
OG0000130	Prao.g_00208	Syaa.g_00354
OG0000131	Prao.g_00283	Syaa.g_02448
OG0000132	Prao.g_00302	Syaa.g_02472
OG0000133	Prao.g_00458	Syaa.g_01361
OG0000134	Prao.g_00491	Syaa.g_02146
OG0000135	Prao.g_00516	Syaa.g_02649
OG0000136	Prao.g_00545	Syaa.g_00708
OG0000137	Prao.g_00581	Syaa.g_01842
OG0000138	Prao.g_00601	Syaa.g_02035
OG0000139	Prao.g_01854	Syaa.g_01974
OG0000140	Prao.g_01853	Syaa.g_01971
OG0000141	Prao.g_00045	Syaa.g_01689
OG0000142	Prao.g_00074	Syaa.g_01633
OG0000143	Prao.g_00078	Syaa.g_01629
OG0000144	Prao.g_00091	Syaa.g_01446
OG0000145	Prao.g_00701	Syaa.g_02029
OG0000146	Prao.g_00705	Syaa.g_01367
OG0000147	Prao.g_00706	Syaa.g_01368
OG0000148	Prao.g_00757	Syaa.g_01190
OG0000149	Prao.g_00788	Syaa.g_00826
OG0000150	Prao.g_00796	Syaa.g_01688
OG0000151	Prao.g_00855	Syaa.g_01107
OG0000152	Prao.g_00902	Syaa.g_01357
OG0000153	Prao.g_00921	Syaa.g_01324
OG0000154	Prao.g_00948	Syaa.g_01298
