Orthogroup	Prao	Syal
OG0000000	Prao.g_01294, Prao.g_01515, Prao.g_01514, Prao.g_01029, Prao.g_01528, Prao.g_01297, Prao.g_01296, Prao.g_01518	Syal.g_01111, Syal.g_01832
OG0000001	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syal.g_02193
OG0000004	Prao.g_00133	Syal.g_01809
OG0000004	Prao.g_00370	Syal.g_02718, Syal.g_00691
OG0000005	Prao.g_01565	Syal.g_00606
OG0000005	Prao.g_01472	Syal.g_00565
OG0000006	Prao.g_00379	Syal.g_00674
OG0000007	Prao.g_00603	Syal.g_02918
OG0000007	Prao.g_01552	Syal.g_00587
OG0000009	Prao.g_01342, Prao.g_01507	Syal.g_02089
OG0000010	Prao.g_00985, Prao.g_00580	Syal.g_00464
OG0000011	Prao.g_00529	Syal.g_00702
OG0000012	Prao.g_00062	Syal.g_02535, Syal.g_01639
OG0000013	Prao.g_00463	Syal.g_00322, Syal.g_00310, Syal.g_00315
OG0000014	Prao.g_01213	Syal.g_01305, Syal.g_01393
OG0000016	Prao.g_00160	Syal.g_00111
OG0000017	Prao.g_00036	Syal.g_02752
OG0000018	Prao.g_01108, Prao.g_00768	Syal.g_00410
OG0000019	Prao.g_00387, Prao.g_00720	Syal.g_01209
OG0000022	Prao.g_00699, Prao.g_01126	Syal.g_02587
OG0000023	Prao.g_00494	Syal.g_02485, Syal.g_02858, Syal.g_01894
OG0000024	Prao.g_00683, Prao.g_00114	Syal.g_02597
OG0000025	Prao.g_00776, Prao.g_00467	Syal.g_02459
OG0000026	Prao.g_00177, Prao.g_00992	Syal.g_00132
OG0000027	Prao.g_00576, Prao.g_01293	Syal.g_02543
OG0000028	Prao.g_00456, Prao.g_01348	Syal.g_01319
OG0000029	Prao.g_00510, Prao.g_00690	Syal.g_03014
OG0000030	Prao.g_01753	Syal.g_01511, Syal.g_01512
OG0000033	Prao.g_00307	Syal.g_00912
OG0000034	Prao.g_01266	Syal.g_00881, Syal.g_01586
OG0000035	Prao.g_01397	Syal.g_00370
OG0000037	Prao.g_00247	Syal.g_00824
OG0000038	Prao.g_01794	Syal.g_01071, Syal.g_01073
OG0000039	Prao.g_00124	Syal.g_01097
OG0000040	Prao.g_01531	Syal.g_01187
OG0000041	Prao.g_01598	Syal.g_00649
OG0000042	Prao.g_01750	Syal.g_01705, Syal.g_01508
OG0000043	Prao.g_00812	Syal.g_02183
OG0000043	Prao.g_01331	Syal.g_02547
OG0000047	Prao.g_00466	Syal.g_01568
OG0000048	Prao.g_00509	Syal.g_01250
OG0000051	Prao.g_01304	Syal.g_01550
OG0000052	Prao.g_01358	Syal.g_01338, Syal.g_01396
OG0000053	Prao.g_01417	Syal.g_00406
OG0000054	Prao.g_00044	Syal.g_02739
OG0000055	Prao.g_00721	Syal.g_01845
OG0000057	Prao.g_00136	Syal.g_01812
OG0000058	Prao.g_01191	Syal.g_01326
OG0000059	Prao.g_01639	Syal.g_00225
OG0000061	Prao.g_01089	Syal.g_01653
OG0000062	Prao.g_01474	Syal.g_02113
OG0000063	Prao.g_00179	Syal.g_00136
OG0000065	Prao.g_00245	Syal.g_00820, Syal.g_02528
OG0000067	Prao.g_00741	Syal.g_02414
OG0000068	Prao.g_01239	Syal.g_02888
OG0000070	Prao.g_00554	Syal.g_00509
OG0000071	Prao.g_01276	Syal.g_01601
OG0000072	Prao.g_00309	Syal.g_00914
OG0000073	Prao.g_00605	Syal.g_02920
OG0000075	Prao.g_01719	Syal.g_01350
OG0000076	Prao.g_01743	Syal.g_01459
OG0000077	Prao.g_00217	Syal.g_00763
OG0000078	Prao.g_00377	Syal.g_00680
OG0000079	Prao.g_00390	Syal.g_01213
OG0000081	Prao.g_01860	Syal.g_02555
OG0000082	Prao.g_00024	Syal.g_02769
OG0000084	Prao.g_01393	Syal.g_00023
OG0000085	Prao.g_01545	Syal.g_00575
OG0000086	Prao.g_00227	Syal.g_00784
OG0000087	Prao.g_00277	Syal.g_00871
OG0000088	Prao.g_00304	Syal.g_00908
OG0000089	Prao.g_00490	Syal.g_00555
OG0000090	Prao.g_01858	Syal.g_02838
OG0000091	Prao.g_00081	Syal.g_02628
OG0000092	Prao.g_00850	Syal.g_00470
OG0000094	Prao.g_00955	Syal.g_01907
OG0000097	Prao.g_01048	Syal.g_01735, Syal.g_01553
OG0000098	Prao.g_01257	Syal.g_02196
OG0000099	Prao.g_01214	Syal.g_01323
OG0000100	Prao.g_01470	Syal.g_02448
OG0000101	Prao.g_01687	Syal.g_00275
OG0000102	Prao.g_01748	Syal.g_01488
OG0000103	Prao.g_01828	Syal.g_01897, Syal.g_00077
OG0000104	Prao.g_01837	Syal.g_00092
OG0000105	Prao.g_01378	Syal.g_01255
OG0000106	Prao.g_00505	Syal.g_02577
OG0000107	Prao.g_00518	Syal.g_00194
OG0000108	Prao.g_00586	Syal.g_02897
OG0000109	Prao.g_00600	Syal.g_02913
OG0000110	Prao.g_01867	Syal.g_02782
OG0000111	Prao.g_00137	Syal.g_01813
OG0000112	Prao.g_00704	Syal.g_02000
OG0000113	Prao.g_00763	Syal.g_02443
OG0000114	Prao.g_00845	Syal.g_02286
OG0000115	Prao.g_01150	Syal.g_00404
OG0000116	Prao.g_01099	Syal.g_01630
OG0000117	Prao.g_01332	Syal.g_01704
OG0000118	Prao.g_01264	Syal.g_01583
OG0000119	Prao.g_01243	Syal.g_02056
OG0000120	Prao.g_01215	Syal.g_01324
OG0000121	Prao.g_01399	Syal.g_00374
OG0000122	Prao.g_01436	Syal.g_02602
OG0000123	Prao.g_01694	Syal.g_00283
OG0000124	Prao.g_01759	Syal.g_01519
OG0000125	Prao.g_01796	Syal.g_01075
OG0000126	Prao.g_01836	Syal.g_00090
OG0000128	Prao.g_00158	Syal.g_00109
OG0000129	Prao.g_00190	Syal.g_01062
OG0000130	Prao.g_00208	Syal.g_00751
OG0000131	Prao.g_00283	Syal.g_00886
OG0000132	Prao.g_00302	Syal.g_00906
OG0000133	Prao.g_00458	Syal.g_01995
OG0000134	Prao.g_00491	Syal.g_00552
OG0000135	Prao.g_00516	Syal.g_01119
OG0000136	Prao.g_00545	Syal.g_00520
OG0000137	Prao.g_00581	Syal.g_00463
OG0000138	Prao.g_00601	Syal.g_02914
OG0000139	Prao.g_01854	Syal.g_02832
OG0000140	Prao.g_01853	Syal.g_02830
OG0000141	Prao.g_00045	Syal.g_02738
OG0000142	Prao.g_00074	Syal.g_02636
OG0000143	Prao.g_00078	Syal.g_02632
OG0000144	Prao.g_00091	Syal.g_02515
OG0000145	Prao.g_00701	Syal.g_02921
OG0000146	Prao.g_00705	Syal.g_02001
OG0000147	Prao.g_00706	Syal.g_02002
