Orthogroup	Prao	Syak
OG0000001	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syak.g_00342
OG0000004	Prao.g_00133	Syak.g_01219, Syak.g_00720
OG0000004	Prao.g_00370	Syak.g_00003, Syak.g_02297
OG0000005	Prao.g_01565	Syak.g_02401
OG0000005	Prao.g_01472	Syak.g_00885, Syak.g_02436
OG0000006	Prao.g_00379	Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prao.g_00603	Syak.g_02595
OG0000007	Prao.g_01552	Syak.g_02416
OG0000010	Prao.g_00985, Prao.g_00580	Syak.g_01119
OG0000011	Prao.g_00529	Syak.g_02294
OG0000012	Prao.g_00062	Syak.g_00010
OG0000013	Prao.g_00463	Syak.g_01275, Syak.g_01270
OG0000014	Prao.g_01213	Syak.g_01505, Syak.g_01582
OG0000015	Prao.g_00703	Syak.g_00358
OG0000016	Prao.g_00160	Syak.g_01780
OG0000017	Prao.g_00036	Syak.g_02730
OG0000018	Prao.g_01108, Prao.g_00768	Syak.g_01072
OG0000019	Prao.g_00387, Prao.g_00720	Syak.g_01413
OG0000021	Prao.g_01346, Prao.g_00500	Syak.g_00566
OG0000022	Prao.g_00699, Prao.g_01126	Syak.g_00088
OG0000023	Prao.g_00494	Syak.g_00316, Syak.g_00223
OG0000025	Prao.g_00776, Prao.g_00467	Syak.g_00610
OG0000026	Prao.g_00177, Prao.g_00992	Syak.g_01757
OG0000027	Prao.g_00576, Prao.g_01293	Syak.g_00127
OG0000028	Prao.g_00456, Prao.g_01348	Syak.g_01522
OG0000029	Prao.g_00510, Prao.g_00690	Syak.g_00169, Syak.g_00178
OG0000030	Prao.g_01753	Syak.g_01684, Syak.g_01685
OG0000031	Prao.g_01355, Prao.g_01364	Syak.g_01630
OG0000033	Prao.g_00307	Syak.g_02101
OG0000034	Prao.g_01266	Syak.g_00950, Syak.g_02133
OG0000035	Prao.g_01397	Syak.g_01041
OG0000037	Prao.g_00247	Syak.g_02188
OG0000038	Prao.g_01794	Syak.g_01938, Syak.g_01936
OG0000039	Prao.g_00124	Syak.g_00772, Syak.g_01918
OG0000041	Prao.g_01598	Syak.g_02354
OG0000042	Prao.g_01750	Syak.g_00843, Syak.g_01681
OG0000043	Prao.g_00812	Syak.g_00335
OG0000045	Prao.g_00506	Syak.g_00228
OG0000047	Prao.g_00466	Syak.g_01147
OG0000048	Prao.g_00509	Syak.g_01446
OG0000052	Prao.g_01358	Syak.g_01549
OG0000053	Prao.g_01417	Syak.g_01068
OG0000054	Prao.g_00044	Syak.g_02744
OG0000055	Prao.g_00721	Syak.g_00766
OG0000057	Prao.g_00136	Syak.g_00724
OG0000058	Prao.g_01191	Syak.g_01530
OG0000059	Prao.g_01639	Syak.g_01355
OG0000061	Prao.g_01089	Syak.g_00898
OG0000063	Prao.g_00179	Syak.g_01752
OG0000065	Prao.g_00245	Syak.g_02192, Syak.g_00282
OG0000067	Prao.g_00741	Syak.g_00434
OG0000068	Prao.g_01239	Syak.g_02565
OG0000070	Prao.g_00554	Syak.g_01174
OG0000071	Prao.g_01276	Syak.g_00936
OG0000072	Prao.g_00309	Syak.g_02099
OG0000073	Prao.g_00605	Syak.g_02597
OG0000075	Prao.g_01719	Syak.g_01564
OG0000076	Prao.g_01743	Syak.g_01650
OG0000077	Prao.g_00217	Syak.g_02243
OG0000078	Prao.g_00377	Syak.g_02310
OG0000079	Prao.g_00390	Syak.g_01417
OG0000081	Prao.g_01860	Syak.g_00115
OG0000082	Prao.g_00024	Syak.g_02711
OG0000084	Prao.g_01393	Syak.g_01036
OG0000085	Prao.g_01545	Syak.g_02427
OG0000086	Prao.g_00227	Syak.g_02219
OG0000087	Prao.g_00277	Syak.g_02141
OG0000088	Prao.g_00304	Syak.g_02106
OG0000089	Prao.g_00490	Syak.g_01215
OG0000090	Prao.g_01858	Syak.g_02640
OG0000091	Prao.g_00081	Syak.g_00043
OG0000092	Prao.g_00850	Syak.g_01126
OG0000094	Prao.g_00955	Syak.g_00656
OG0000097	Prao.g_01048	Syak.g_00816
OG0000098	Prao.g_01257	Syak.g_00345
OG0000099	Prao.g_01214	Syak.g_01527
OG0000100	Prao.g_01470	Syak.g_00622
OG0000101	Prao.g_01687	Syak.g_01305
OG0000102	Prao.g_01748	Syak.g_01661
OG0000103	Prao.g_01828	Syak.g_01812
OG0000104	Prao.g_01837	Syak.g_01799
OG0000105	Prao.g_01378	Syak.g_01451
OG0000106	Prao.g_00505	Syak.g_00096
OG0000107	Prao.g_00518	Syak.g_01392
OG0000108	Prao.g_00586	Syak.g_02574
OG0000109	Prao.g_00600	Syak.g_01061
OG0000110	Prao.g_01867	Syak.g_02698
OG0000111	Prao.g_00137	Syak.g_00725
OG0000112	Prao.g_00704	Syak.g_00512
OG0000113	Prao.g_00763	Syak.g_00461
OG0000114	Prao.g_00845	Syak.g_00373
OG0000115	Prao.g_01150	Syak.g_01066
OG0000116	Prao.g_01099	Syak.g_00911
OG0000117	Prao.g_01332	Syak.g_00846
OG0000118	Prao.g_01264	Syak.g_00954
OG0000119	Prao.g_01243	Syak.g_00917
OG0000120	Prao.g_01215	Syak.g_01526
OG0000121	Prao.g_01399	Syak.g_01044
OG0000122	Prao.g_01436	Syak.g_00081
OG0000123	Prao.g_01694	Syak.g_01299
OG0000124	Prao.g_01759	Syak.g_01692
OG0000125	Prao.g_01796	Syak.g_01934
OG0000126	Prao.g_01836	Syak.g_01801
OG0000128	Prao.g_00158	Syak.g_01782
OG0000129	Prao.g_00190	Syak.g_01947
OG0000130	Prao.g_00208	Syak.g_02255
OG0000131	Prao.g_00283	Syak.g_02128
OG0000132	Prao.g_00302	Syak.g_02108
OG0000133	Prao.g_00458	Syak.g_00507
OG0000134	Prao.g_00491	Syak.g_01212
OG0000135	Prao.g_00516	Syak.g_01897
OG0000136	Prao.g_00545	Syak.g_01186
OG0000137	Prao.g_00581	Syak.g_01118
OG0000138	Prao.g_00601	Syak.g_02591
OG0000139	Prao.g_01854	Syak.g_02646
OG0000140	Prao.g_01853	Syak.g_02650
OG0000141	Prao.g_00045	Syak.g_02746
OG0000142	Prao.g_00074	Syak.g_00035
OG0000143	Prao.g_00078	Syak.g_00039
OG0000144	Prao.g_00091	Syak.g_00260
OG0000145	Prao.g_00701	Syak.g_02598
OG0000146	Prao.g_00705	Syak.g_00514
OG0000147	Prao.g_00706	Syak.g_00515
OG0000148	Prao.g_00757	Syak.g_00455
OG0000149	Prao.g_00788	Syak.g_00596
OG0000150	Prao.g_00796	Syak.g_02747
OG0000151	Prao.g_00855	Syak.g_00387
OG0000152	Prao.g_00902	Syak.g_00503
OG0000153	Prao.g_00921	Syak.g_00470
OG0000154	Prao.g_00948	Syak.g_00645
OG0000155	Prao.g_01069	Syak.g_00855
