Orthogroup	Prao	Syai
OG0000001	Prao.g_01254, Prao.g_01852, Prao.g_01529	Syai.g_01716
OG0000002	Prao.g_01246, Prao.g_00116	Syai.g_01728
OG0000004	Prao.g_00133	Syai.g_01994
OG0000004	Prao.g_00370	Syai.g_01062, Syai.g_00530
OG0000005	Prao.g_01565	Syai.g_02393
OG0000005	Prao.g_01472	Syai.g_02356
OG0000006	Prao.g_00379	Syai.g_00317, Syai.g_00547
OG0000007	Prao.g_00603	Syai.g_00657
OG0000007	Prao.g_01552	Syai.g_02378
OG0000009	Prao.g_01342, Prao.g_01507	Syai.g_01626
OG0000010	Prao.g_00985, Prao.g_00580	Syai.g_00864
OG0000011	Prao.g_01307	Syai.g_01894, Syai.g_00582
OG0000012	Prao.g_00062	Syai.g_01987, Syai.g_01529, Syai.g_01650, Syai.g_01068
OG0000013	Prao.g_00463	Syai.g_00450, Syai.g_00436, Syai.g_00442
OG0000014	Prao.g_01213	Syai.g_00220
OG0000015	Prao.g_00703	Syai.g_01246, Syai.g_01245
OG0000016	Prao.g_00160	Syai.g_00014
OG0000017	Prao.g_00036	Syai.g_00801
OG0000018	Prao.g_01108, Prao.g_00768	Syai.g_00915
OG0000019	Prao.g_00387, Prao.g_00720	Syai.g_00304
OG0000020	Prao.g_01145	Syai.g_00476
OG0000022	Prao.g_00699, Prao.g_01126	Syai.g_01159
OG0000023	Prao.g_00494	Syai.g_01027, Syai.g_01875, Syai.g_02821, Syai.g_01681, Syai.g_01022, Syai.g_02318
OG0000024	Prao.g_00683, Prao.g_00114	Syai.g_01951
OG0000025	Prao.g_00776, Prao.g_00467	Syai.g_02044
OG0000026	Prao.g_00177, Prao.g_00992	Syai.g_00038
OG0000027	Prao.g_00576, Prao.g_01293	Syai.g_01128, Syai.g_01654
OG0000028	Prao.g_00456, Prao.g_01348	Syai.g_00205
OG0000029	Prao.g_00510, Prao.g_00690	Syai.g_01035, Syai.g_01584
OG0000030	Prao.g_01753	Syai.g_00096, Syai.g_00095
OG0000033	Prao.g_00307	Syai.g_02634
OG0000034	Prao.g_01266	Syai.g_02192, Syai.g_02604
OG0000035	Prao.g_01397	Syai.g_00955
OG0000037	Prao.g_00247	Syai.g_02544, Syai.g_02815
OG0000038	Prao.g_01794	Syai.g_02780
OG0000039	Prao.g_00124	Syai.g_02034
OG0000041	Prao.g_01598	Syai.g_02265
OG0000042	Prao.g_01750	Syai.g_00099
OG0000043	Prao.g_01331	Syai.g_01599
OG0000045	Prao.g_00506	Syai.g_02432
OG0000047	Prao.g_00466	Syai.g_00462
OG0000048	Prao.g_00509	Syai.g_00272
OG0000051	Prao.g_01304	Syai.g_01773
OG0000052	Prao.g_01358	Syai.g_00176
OG0000053	Prao.g_01417	Syai.g_00930
OG0000054	Prao.g_00044	Syai.g_01040
OG0000055	Prao.g_00721	Syai.g_02029
OG0000057	Prao.g_00136	Syai.g_01997
OG0000058	Prao.g_01191	Syai.g_00195
OG0000059	Prao.g_01639	Syai.g_00351
OG0000061	Prao.g_01089	Syai.g_02144
OG0000063	Prao.g_00179	Syai.g_00042
OG0000067	Prao.g_00741	Syai.g_01321
OG0000068	Prao.g_01239	Syai.g_00628
OG0000070	Prao.g_00554	Syai.g_02196
OG0000071	Prao.g_01276	Syai.g_02179
OG0000072	Prao.g_00309	Syai.g_02636
OG0000073	Prao.g_00605	Syai.g_00659
OG0000075	Prao.g_01719	Syai.g_00161
OG0000076	Prao.g_01743	Syai.g_00111
OG0000077	Prao.g_00217	Syai.g_02486
OG0000078	Prao.g_00377	Syai.g_00543
OG0000079	Prao.g_00390	Syai.g_00300
OG0000081	Prao.g_01860	Syai.g_00553
OG0000082	Prao.g_00024	Syai.g_00781
OG0000084	Prao.g_01393	Syai.g_00958
OG0000085	Prao.g_01545	Syai.g_02365
OG0000086	Prao.g_00227	Syai.g_02507
OG0000087	Prao.g_00277	Syai.g_02592
OG0000088	Prao.g_00304	Syai.g_02630
OG0000089	Prao.g_00490	Syai.g_00517
OG0000090	Prao.g_01858	Syai.g_00707
OG0000091	Prao.g_00081	Syai.g_01112
