Orthogroup	Prao	Syaq
OG0000004	Prao.g_00133	Syaq.g_02603
OG0000004	Prao.g_00370	Syaq.g_02042, Syaq.g_01567
OG0000005	Prao.g_01565	Syaq.g_01658
OG0000005	Prao.g_01472	Syaq.g_01692
OG0000006	Prao.g_00379	Syaq.g_02558, Syaq.g_00696, Syaq.g_01590
OG0000007	Prao.g_00603	Syaq.g_01793
OG0000007	Prao.g_01552	Syaq.g_01673
OG0000010	Prao.g_00985, Prao.g_00580	Syaq.g_00443
OG0000011	Prao.g_01307, Prao.g_00529	Syaq.g_01038
OG0000012	Prao.g_00062	Syaq.g_02059
OG0000013	Prao.g_00463	Syaq.g_00569, Syaq.g_00572, Syaq.g_02023
OG0000014	Prao.g_01213	Syaq.g_00862, Syaq.g_00907, Syaq.g_00933
OG0000015	Prao.g_00703	Syaq.g_02255
OG0000016	Prao.g_00160	Syaq.g_01136
OG0000017	Prao.g_00036	Syaq.g_01992
OG0000018	Prao.g_01108, Prao.g_00768	Syaq.g_00401
OG0000019	Prao.g_00387, Prao.g_00720	Syaq.g_00717
OG0000022	Prao.g_00699, Prao.g_01126	Syaq.g_02126
OG0000023	Prao.g_00494	Syaq.g_02540
OG0000025	Prao.g_00776, Prao.g_00467	Syaq.g_02381
OG0000026	Prao.g_00177, Prao.g_00992	Syaq.g_01114
OG0000028	Prao.g_00456, Prao.g_01348	Syaq.g_00878
OG0000030	Prao.g_01753	Syaq.g_01047, Syaq.g_01048
OG0000031	Prao.g_01355, Prao.g_01364	Syaq.g_01009
OG0000032	Prao.g_01362	Syaq.g_00909
OG0000033	Prao.g_00307	Syaq.g_01399
OG0000034	Prao.g_01266	Syaq.g_00312, Syaq.g_01431
OG0000035	Prao.g_01397	Syaq.g_00372
OG0000037	Prao.g_00247	Syaq.g_01483
OG0000038	Prao.g_01794	Syaq.g_01260, Syaq.g_01258
OG0000039	Prao.g_00124	Syaq.g_01601, Syaq.g_01241
OG0000042	Prao.g_01750	Syaq.g_00200, Syaq.g_01044
OG0000043	Prao.g_01331	Syaq.g_01920
OG0000045	Prao.g_00506	Syaq.g_02047
OG0000048	Prao.g_00509	Syaq.g_00749
OG0000052	Prao.g_01358	Syaq.g_00969, Syaq.g_00935
OG0000053	Prao.g_01417	Syaq.g_00397
OG0000054	Prao.g_00044	Syaq.g_02005
OG0000055	Prao.g_00721	Syaq.g_02700
OG0000057	Prao.g_00136	Syaq.g_02605
OG0000058	Prao.g_01191	Syaq.g_00944
OG0000059	Prao.g_01639	Syaq.g_00657
OG0000061	Prao.g_01089	Syaq.g_00249
OG0000063	Prao.g_00179	Syaq.g_01110
OG0000065	Prao.g_00245	Syaq.g_01908, Syaq.g_01487
OG0000067	Prao.g_00741	Syaq.g_02340
OG0000068	Prao.g_01239	Syaq.g_01763
OG0000070	Prao.g_00554	Syaq.g_00484
OG0000071	Prao.g_01276	Syaq.g_00297
OG0000072	Prao.g_00309	Syaq.g_01397
OG0000073	Prao.g_00605	Syaq.g_01795
OG0000075	Prao.g_01719	Syaq.g_00986
OG0000076	Prao.g_01743	Syaq.g_01028
OG0000077	Prao.g_00217	Syaq.g_01547
OG0000078	Prao.g_00377	Syaq.g_01585
OG0000079	Prao.g_00390	Syaq.g_00721
OG0000081	Prao.g_01860	Syaq.g_01893
OG0000082	Prao.g_00024	Syaq.g_01975
OG0000084	Prao.g_01393	Syaq.g_00367
OG0000085	Prao.g_01545	Syaq.g_01683
OG0000086	Prao.g_00227	Syaq.g_01525
OG0000087	Prao.g_00277	Syaq.g_01438
OG0000088	Prao.g_00304	Syaq.g_01402
OG0000089	Prao.g_00490	Syaq.g_00529
OG0000090	Prao.g_01858	Syaq.g_01838
OG0000091	Prao.g_00081	Syaq.g_02090
OG0000094	Prao.g_00955	Syaq.g_00056, Syaq.g_02554
OG0000097	Prao.g_01048	Syaq.g_00167
OG0000098	Prao.g_01257	Syaq.g_02221
OG0000099	Prao.g_01214	Syaq.g_00882
OG0000100	Prao.g_01470	Syaq.g_02371
OG0000101	Prao.g_01687	Syaq.g_00607
OG0000102	Prao.g_01748	Syaq.g_01033
OG0000103	Prao.g_01828	Syaq.g_01170
OG0000104	Prao.g_01837	Syaq.g_01154
OG0000105	Prao.g_01378	Syaq.g_00754
OG0000106	Prao.g_00505	Syaq.g_01863
OG0000108	Prao.g_00586	Syaq.g_01772
OG0000109	Prao.g_00600	Syaq.g_01788
OG0000110	Prao.g_01867	Syaq.g_01962
OG0000111	Prao.g_00137	Syaq.g_02606
OG0000112	Prao.g_00704	Syaq.g_02476
OG0000114	Prao.g_00845	Syaq.g_02269
OG0000115	Prao.g_01150	Syaq.g_00395
OG0000116	Prao.g_01099	Syaq.g_00263
OG0000117	Prao.g_01332	Syaq.g_00203
OG0000118	Prao.g_01264	Syaq.g_00325, Syaq.g_00316
OG0000120	Prao.g_01215	Syaq.g_00883
OG0000121	Prao.g_01399	Syaq.g_00375
OG0000122	Prao.g_01436	Syaq.g_02118
OG0000123	Prao.g_01694	Syaq.g_00599
OG0000124	Prao.g_01759	Syaq.g_01055
OG0000125	Prao.g_01796	Syaq.g_01256
OG0000126	Prao.g_01836	Syaq.g_01156
OG0000128	Prao.g_00158	Syaq.g_01138
OG0000129	Prao.g_00190	Syaq.g_01269
OG0000130	Prao.g_00208	Syaq.g_01559
OG0000131	Prao.g_00283	Syaq.g_01427, Syaq.g_01424
OG0000132	Prao.g_00302	Syaq.g_01404
OG0000133	Prao.g_00458	Syaq.g_02481
OG0000134	Prao.g_00491	Syaq.g_00526
OG0000135	Prao.g_00516	Syaq.g_01227
OG0000136	Prao.g_00545	Syaq.g_00496
OG0000137	Prao.g_00581	Syaq.g_00442
OG0000138	Prao.g_00601	Syaq.g_01789
OG0000139	Prao.g_01854	Syaq.g_01844
OG0000140	Prao.g_01853	Syaq.g_01848
OG0000141	Prao.g_00045	Syaq.g_02010
OG0000142	Prao.g_00074	Syaq.g_02082
OG0000143	Prao.g_00078	Syaq.g_02086
OG0000144	Prao.g_00091	Syaq.g_02152
OG0000145	Prao.g_00701	Syaq.g_01796
OG0000146	Prao.g_00705	Syaq.g_02475
OG0000147	Prao.g_00706	Syaq.g_02474
OG0000148	Prao.g_00757	Syaq.g_02359
OG0000149	Prao.g_00788	Syaq.g_02395
OG0000150	Prao.g_00796	Syaq.g_02011
OG0000151	Prao.g_00855	Syaq.g_02283
OG0000152	Prao.g_00902	Syaq.g_02485
OG0000153	Prao.g_00921	Syaq.g_02518
OG0000154	Prao.g_00948	Syaq.g_00066
OG0000155	Prao.g_01069	Syaq.g_00212
OG0000156	Prao.g_01287	Syaq.g_00281
OG0000157	Prao.g_01286	Syaq.g_00282
OG0000158	Prao.g_01220	Syaq.g_01003
OG0000159	Prao.g_01219	Syaq.g_00918, Syaq.g_00941
OG0000160	Prao.g_01398	Syaq.g_00374
OG0000161	Prao.g_01404	Syaq.g_00382
OG0000162	Prao.g_01410	Syaq.g_00389
OG0000163	Prao.g_01443	Syaq.g_01730
OG0000164	Prao.g_01576	Syaq.g_01642
OG0000165	Prao.g_01583	Syaq.g_01630
OG0000166	Prao.g_01651	Syaq.g_00647
OG0000167	Prao.g_01717	Syaq.g_00983
OG0000168	Prao.g_01727	Syaq.g_01004
OG0000169	Prao.g_01737	Syaq.g_01016
OG0000170	Prao.g_01739	Syaq.g_01023
OG0000171	Prao.g_01758	Syaq.g_01052
OG0000172	Prao.g_01767	Syaq.g_01074
OG0000173	Prao.g_01782	Syaq.g_01092
OG0000174	Prao.g_01810	Syaq.g_01224
OG0000175	Prao.g_01820	Syaq.g_01183
OG0000176	Prao.g_01845	Syaq.g_01146
OG0000177	Prao.g_01846	Syaq.g_01145
OG0000178	Prao.g_01847	Syaq.g_01144
OG0000179	Prao.g_00163	Syaq.g_01129
OG0000180	Prao.g_00164	Syaq.g_01128
OG0000181	Prao.g_00165	Syaq.g_01127
OG0000182	Prao.g_00166	Syaq.g_01126
OG0000183	Prao.g_00170	Syaq.g_01122
OG0000184	Prao.g_00192	Syaq.g_01277
OG0000185	Prao.g_00195	Syaq.g_01290
