Orthogroup	Praw	Prbg
OG0000000	Praw.g_01009	Prbg.g_01222, Prbg.g_01227
OG0000000	Praw.g_01844	Prbg.g_01119, Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694
OG0000002	Praw.g_01000	Prbg.g_00502
OG0000002	Praw.g_01739, Praw.g_01951, Praw.g_00497	Prbg.g_01069
OG0000003	Praw.g_00959	Prbg.g_01524
OG0000004	Praw.g_01775, Praw.g_01769, Praw.g_00958	Prbg.g_00451
OG0000005	Praw.g_01780	Prbg.g_01567
OG0000006	Praw.g_00651	Prbg.g_00216
OG0000006	Praw.g_00515	Prbg.g_01650
OG0000007	Praw.g_00501	Prbg.g_00744
OG0000007	Praw.g_00502	Prbg.g_00745
OG0000009	Praw.g_01717	Prbg.g_01510
OG0000009	Praw.g_00884	Prbg.g_01032
OG0000010	Praw.g_00482, Praw.g_00184, Praw.g_00945	Prbg.g_00032
OG0000012	Praw.g_01944	Prbg.g_00317, Prbg.g_00324
OG0000013	Praw.g_01738	Prbg.g_01589, Prbg.g_01635
OG0000014	Praw.g_00677, Praw.g_00962, Praw.g_00492	Prbg.g_00721, Prbg.g_01569
OG0000015	Praw.g_00752	Prbg.g_01578, Prbg.g_01611
OG0000016	Praw.g_01012	Prbg.g_01540, Prbg.g_00688
OG0000018	Praw.g_01950	Prbg.g_01024
OG0000019	Praw.g_00479	Prbg.g_01145
OG0000020	Praw.g_00758, Praw.g_00504	Prbg.g_00464, Prbg.g_00050
OG0000021	Praw.g_01715	Prbg.g_01632
OG0000023	Praw.g_00447	Prbg.g_00686
OG0000024	Praw.g_00828	Prbg.g_00086
OG0000025	Praw.g_01432	Prbg.g_01055
OG0000028	Praw.g_01083	Prbg.g_00591
OG0000029	Praw.g_00448	Prbg.g_00174
OG0000032	Praw.g_01073	Prbg.g_00550
OG0000033	Praw.g_00484	Prbg.g_01544
OG0000034	Praw.g_01071	Prbg.g_00569
OG0000035	Praw.g_00323	Prbg.g_00025
OG0000036	Praw.g_01932	Prbg.g_01639, Prbg.g_00304
OG0000037	Praw.g_00159	Prbg.g_00706, Prbg.g_00342
OG0000038	Praw.g_01746	Prbg.g_00682
OG0000039	Praw.g_01269	Prbg.g_00944
OG0000040	Praw.g_00772	Prbg.g_00013
OG0000042	Praw.g_01809	Prbg.g_01151
OG0000043	Praw.g_01712	Prbg.g_01251
OG0000045	Praw.g_01055	Prbg.g_00551
OG0000046	Praw.g_00508	Prbg.g_01642, Prbg.g_00716
OG0000047	Praw.g_00039	Prbg.g_01847
OG0000048	Praw.g_00032	Prbg.g_01855
OG0000050	Praw.g_01397	Prbg.g_00842
OG0000051	Praw.g_01278	Prbg.g_00935
OG0000052	Praw.g_00762	Prbg.g_00388
OG0000053	Praw.g_00609	Prbg.g_00256
OG0000054	Praw.g_01752	Prbg.g_00359
OG0000055	Praw.g_01675	Prbg.g_01182
OG0000056	Praw.g_00189	Prbg.g_01542
OG0000057	Praw.g_01198	Prbg.g_01019
OG0000058	Praw.g_00672	Prbg.g_00194
OG0000059	Praw.g_01824	Prbg.g_01143
OG0000062	Praw.g_00201	Prbg.g_00749
OG0000063	Praw.g_00926	Prbg.g_01459
OG0000065	Praw.g_00981	Prbg.g_00477
OG0000066	Praw.g_01050	Prbg.g_00549
OG0000068	Praw.g_00096	Prbg.g_01785
OG0000069	Praw.g_01043	Prbg.g_00630
OG0000071	Praw.g_01125	Prbg.g_00778
OG0000072	Praw.g_00812	Prbg.g_00100
OG0000073	Praw.g_01853	Prbg.g_01386
OG0000074	Praw.g_01831	Prbg.g_01133
OG0000075	Praw.g_01690	Prbg.g_01166
OG0000076	Praw.g_01467	Prbg.g_01234
OG0000078	Praw.g_01051	Prbg.g_00552
OG0000079	Praw.g_00415	Prbg.g_00676
OG0000080	Praw.g_00464	Prbg.g_00414
OG0000081	Praw.g_00066	Prbg.g_01819
OG0000082	Praw.g_01170	Prbg.g_00419
OG0000083	Praw.g_01133	Prbg.g_00770
OG0000084	Praw.g_01130	Prbg.g_00773
OG0000085	Praw.g_01405	Prbg.g_00851
OG0000087	Praw.g_01379	Prbg.g_00822
OG0000088	Praw.g_01322	Prbg.g_00887
OG0000089	Praw.g_01314	Prbg.g_00896
OG0000090	Praw.g_01296	Prbg.g_00913
OG0000091	Praw.g_01266	Prbg.g_00947
OG0000092	Praw.g_01265	Prbg.g_00948
OG0000093	Praw.g_01251	Prbg.g_00962
OG0000094	Praw.g_01233	Prbg.g_00981
OG0000095	Praw.g_01228	Prbg.g_00986
OG0000096	Praw.g_00882	Prbg.g_01034
OG0000097	Praw.g_00860	Prbg.g_00053
OG0000099	Praw.g_00840	Prbg.g_00074
OG0000100	Praw.g_00837	Prbg.g_00077
OG0000101	Praw.g_00775	Prbg.g_00139
OG0000102	Praw.g_00751	Prbg.g_00459
OG0000103	Praw.g_00671	Prbg.g_00195
OG0000104	Praw.g_00667	Prbg.g_00199
OG0000105	Praw.g_00649	Prbg.g_00219
OG0000106	Praw.g_00616	Prbg.g_00249
OG0000107	Praw.g_00615	Prbg.g_00250
OG0000108	Praw.g_00605	Prbg.g_00260
OG0000109	Praw.g_00596	Prbg.g_00270
OG0000110	Praw.g_00580	Prbg.g_00287
OG0000111	Praw.g_01871	Prbg.g_01405
OG0000112	Praw.g_01870	Prbg.g_01404
OG0000113	Praw.g_01787	Prbg.g_01354
OG0000114	Praw.g_01699	Prbg.g_01157
OG0000115	Praw.g_01539	Prbg.g_01287
OG0000116	Praw.g_01535	Prbg.g_01291
OG0000117	Praw.g_01470	Prbg.g_01237
OG0000118	Praw.g_01418	Prbg.g_01531
OG0000119	Praw.g_00204	Prbg.g_00752
OG0000120	Praw.g_00240	Prbg.g_01480
OG0000121	Praw.g_00259	Prbg.g_01457
OG0000122	Praw.g_00278	Prbg.g_01437
OG0000123	Praw.g_00291	Prbg.g_00352
OG0000124	Praw.g_00904	Prbg.g_00687
OG0000125	Praw.g_00993	Prbg.g_00490
OG0000126	Praw.g_01016	Prbg.g_00529
OG0000127	Praw.g_01096	Prbg.g_00579
OG0000128	Praw.g_01079, Praw.g_01080	Prbg.g_00592
OG0000129	Praw.g_00374	Prbg.g_00628
OG0000130	Praw.g_00513	Prbg.g_01647
OG0000131	Praw.g_00551	Prbg.g_01686
OG0000132	Praw.g_00554	Prbg.g_01689
OG0000133	Praw.g_00137	Prbg.g_01743
OG0000134	Praw.g_00101	Prbg.g_01779
OG0000135	Praw.g_00099	Prbg.g_01781
OG0000136	Praw.g_00055	Prbg.g_01831
OG0000137	Praw.g_00022	Prbg.g_01865
