Orthogroup	Praw	Pran
OG0000000	Praw.g_01844	Pran.g_01500
OG0000001	Praw.g_00294	Pran.g_00001
OG0000001	Praw.g_00454	Pran.g_00001
OG0000001	Praw.g_00496	Pran.g_00001
OG0000001	Praw.g_00294	Pran.g_00602
OG0000001	Praw.g_00454	Pran.g_00602
OG0000001	Praw.g_00496	Pran.g_00602
OG0000001	Praw.g_00472	Pran.g_00593
OG0000001	Praw.g_01779	Pran.g_00579
OG0000002	Praw.g_01739	Pran.g_01395
OG0000003	Praw.g_00959	Pran.g_00894
OG0000004	Praw.g_01775	Pran.g_00576
OG0000004	Praw.g_01769	Pran.g_01436
OG0000004	Praw.g_00958	Pran.g_00895
OG0000005	Praw.g_00494	Pran.g_00931
OG0000005	Praw.g_00893, Praw.g_00974, Praw.g_01780	Pran.g_01423
OG0000005	Praw.g_00455	Pran.g_00601
OG0000006	Praw.g_00651	Pran.g_01681
OG0000006	Praw.g_00515	Pran.g_00970
OG0000007	Praw.g_01850	Pran.g_01506
OG0000008	Praw.g_00750	Pran.g_01811
OG0000008	Praw.g_00328	Pran.g_00586
OG0000008	Praw.g_00928	Pran.g_00526
OG0000009	Praw.g_01717	Pran.g_01363
OG0000009	Praw.g_00884	Pran.g_01943
OG0000010	Praw.g_00482	Pran.g_00603
OG0000010	Praw.g_00184	Pran.g_00114
OG0000011	Praw.g_00804	Pran.g_01864
OG0000012	Praw.g_01944	Pran.g_01580
OG0000013	Praw.g_01738	Pran.g_01394
OG0000014	Praw.g_00492	Pran.g_00583
OG0000015	Praw.g_00752	Pran.g_01813
OG0000016	Praw.g_01012	Pran.g_00845
OG0000017	Praw.g_00357	Pran.g_00713
OG0000018	Praw.g_01950	Pran.g_01951
OG0000019	Praw.g_00767, Praw.g_00479	Pran.g_01829
OG0000020	Praw.g_00504	Pran.g_01772
OG0000021	Praw.g_01715	Pran.g_01361
OG0000022	Praw.g_00493	Pran.g_00582
OG0000023	Praw.g_00447	Pran.g_00615
OG0000024	Praw.g_00828	Pran.g_01888
OG0000025	Praw.g_01432	Pran.g_00149, Pran.g_00936, Pran.g_01789
OG0000026	Praw.g_01395	Pran.g_00391
OG0000027	Praw.g_01773	Pran.g_01464
OG0000028	Praw.g_01083	Pran.g_00733
OG0000029	Praw.g_00448	Pran.g_00614
OG0000030	Praw.g_01390	Pran.g_01952
OG0000031	Praw.g_00955	Pran.g_00898
OG0000031	Praw.g_00491	Pran.g_00944
OG0000032	Praw.g_01073	Pran.g_00753
OG0000033	Praw.g_00484	Pran.g_00620
OG0000034	Praw.g_01071	Pran.g_00777
OG0000035	Praw.g_00323	Pran.g_00415
OG0000035	Praw.g_01428	Pran.g_00145
OG0000036	Praw.g_01932	Pran.g_01593
OG0000037	Praw.g_00159	Pran.g_01555
OG0000038	Praw.g_01746	Pran.g_01401
OG0000039	Praw.g_01269	Pran.g_00266
OG0000040	Praw.g_00772	Pran.g_01834
OG0000042	Praw.g_01809	Pran.g_01460
OG0000043	Praw.g_01712	Pran.g_01358
OG0000045	Praw.g_01055	Pran.g_00807
OG0000046	Praw.g_00508	Pran.g_00963
OG0000047	Praw.g_00039	Pran.g_01160
OG0000048	Praw.g_00032	Pran.g_01167
OG0000050	Praw.g_01397	Pran.g_00393, Pran.g_00930
OG0000051	Praw.g_01278	Pran.g_00275
OG0000052	Praw.g_00762	Pran.g_01824
OG0000053	Praw.g_00609	Pran.g_01639
OG0000054	Praw.g_01752	Pran.g_01408, Pran.g_01379
OG0000055	Praw.g_01675	Pran.g_01321
OG0000056	Praw.g_00189	Pran.g_00935
OG0000057	Praw.g_01198	Pran.g_00195
OG0000058	Praw.g_00672	Pran.g_01703
OG0000059	Praw.g_01824	Pran.g_01480
OG0000060	Praw.g_01771	Pran.g_00905
OG0000061	Praw.g_01519	Pran.g_00507
OG0000062	Praw.g_00201	Pran.g_00093
OG0000063	Praw.g_00926	Pran.g_01466
OG0000064	Praw.g_00935	Pran.g_00519, Pran.g_00928, Pran.g_01463, Pran.g_01783
OG0000065	Praw.g_00981	Pran.g_00938, Pran.g_00876
OG0000066	Praw.g_01050	Pran.g_00752
OG0000068	Praw.g_00096	Pran.g_01105
OG0000071	Praw.g_01125	Pran.g_01268
OG0000072	Praw.g_00812	Pran.g_01872
OG0000073	Praw.g_01853	Pran.g_01509
OG0000074	Praw.g_01831	Pran.g_01487
OG0000075	Praw.g_01690	Pran.g_01336
OG0000076	Praw.g_01467	Pran.g_00568, Pran.g_00903
OG0000078	Praw.g_01051	Pran.g_00806
OG0000079	Praw.g_00415	Pran.g_00655
OG0000080	Praw.g_00464	Pran.g_00575, Pran.g_00912
OG0000081	Praw.g_00066	Pran.g_01135
OG0000082	Praw.g_01170	Pran.g_01222
OG0000083	Praw.g_01133	Pran.g_01260
OG0000084	Praw.g_01130	Pran.g_01263
OG0000085	Praw.g_01405	Pran.g_00401
OG0000086	Praw.g_00735	Pran.g_00386
OG0000087	Praw.g_01379	Pran.g_00376
OG0000088	Praw.g_01322	Pran.g_00320
OG0000089	Praw.g_01314	Pran.g_00312
OG0000090	Praw.g_01296	Pran.g_00295
OG0000091	Praw.g_01266	Pran.g_00263
OG0000092	Praw.g_01265	Pran.g_00262
OG0000093	Praw.g_01251	Pran.g_00248
OG0000094	Praw.g_01233	Pran.g_00230
OG0000095	Praw.g_01228	Pran.g_00225
OG0000096	Praw.g_00882	Pran.g_01941
OG0000097	Praw.g_00860	Pran.g_01920
OG0000098	Praw.g_00850	Pran.g_01910
OG0000099	Praw.g_00840	Pran.g_01900
OG0000100	Praw.g_00837	Pran.g_01897
OG0000101	Praw.g_00775	Pran.g_01838
OG0000102	Praw.g_00751	Pran.g_01812
OG0000103	Praw.g_00671	Pran.g_01702
OG0000104	Praw.g_00667	Pran.g_01698
OG0000105	Praw.g_00649	Pran.g_01679
OG0000106	Praw.g_00616	Pran.g_01646
OG0000107	Praw.g_00615	Pran.g_01645
OG0000108	Praw.g_00605	Pran.g_01635
OG0000109	Praw.g_00596	Pran.g_01626
OG0000110	Praw.g_00580	Pran.g_01609
OG0000111	Praw.g_01871	Pran.g_01527
OG0000112	Praw.g_01870	Pran.g_01526
OG0000113	Praw.g_01787	Pran.g_01438
OG0000114	Praw.g_01699	Pran.g_01345
OG0000115	Praw.g_01539	Pran.g_00487
OG0000116	Praw.g_01535	Pran.g_00491
OG0000117	Praw.g_01470	Pran.g_00565
OG0000118	Praw.g_01418	Pran.g_00135
OG0000119	Praw.g_00204	Pran.g_00090
OG0000120	Praw.g_00240	Pran.g_00054
OG0000121	Praw.g_00259	Pran.g_00035
OG0000122	Praw.g_00278	Pran.g_00016
OG0000123	Praw.g_00291	Pran.g_00003
OG0000124	Praw.g_00904	Pran.g_00918
OG0000125	Praw.g_00993	Pran.g_00864
OG0000126	Praw.g_01016	Pran.g_00841
OG0000127	Praw.g_01096	Pran.g_00746
OG0000128	Praw.g_01079, Praw.g_01080	Pran.g_00732
OG0000129	Praw.g_00374	Pran.g_00696
OG0000130	Praw.g_00513	Pran.g_00968
OG0000131	Praw.g_00551	Pran.g_01006
OG0000132	Praw.g_00554	Pran.g_01009
OG0000133	Praw.g_00137	Pran.g_01063
OG0000134	Praw.g_00101	Pran.g_01100
OG0000135	Praw.g_00099	Pran.g_01102
OG0000136	Praw.g_00055	Pran.g_01145
OG0000137	Praw.g_00022	Pran.g_01177
OG0000138	Praw.g_01180	Pran.g_01212
OG0000139	Praw.g_01153	Pran.g_01239
OG0000140	Praw.g_01135	Pran.g_01258
OG0000141	Praw.g_01134	Pran.g_01259
OG0000142	Praw.g_01132	Pran.g_01261
OG0000143	Praw.g_01131	Pran.g_01262
OG0000144	Praw.g_01129	Pran.g_01264
OG0000145	Praw.g_01128	Pran.g_01265
OG0000146	Praw.g_01127	Pran.g_01266
OG0000147	Praw.g_01126	Pran.g_01267
OG0000148	Praw.g_01124	Pran.g_01269
OG0000149	Praw.g_01414	Pran.g_00410
OG0000150	Praw.g_01413	Pran.g_00409
OG0000151	Praw.g_01412	Pran.g_00408
OG0000152	Praw.g_01411	Pran.g_00407
OG0000153	Praw.g_01410	Pran.g_00406
OG0000154	Praw.g_01409	Pran.g_00405
OG0000155	Praw.g_01408	Pran.g_00404
OG0000156	Praw.g_01407	Pran.g_00403
OG0000157	Praw.g_01406	Pran.g_00402
OG0000158	Praw.g_01404	Pran.g_00400
OG0000159	Praw.g_01403	Pran.g_00399
OG0000160	Praw.g_01402	Pran.g_00398
OG0000161	Praw.g_01401	Pran.g_00397
OG0000162	Praw.g_01400	Pran.g_00396
OG0000163	Praw.g_01399	Pran.g_00395
OG0000164	Praw.g_01396	Pran.g_00392
OG0000165	Praw.g_01393	Pran.g_00389
OG0000166	Praw.g_01392	Pran.g_00388
OG0000167	Praw.g_01391	Pran.g_00387
OG0000168	Praw.g_01388	Pran.g_00385
OG0000169	Praw.g_01386	Pran.g_00383
OG0000170	Praw.g_01385	Pran.g_00382
OG0000171	Praw.g_01384	Pran.g_00381
OG0000172	Praw.g_01383	Pran.g_00380
OG0000173	Praw.g_01382	Pran.g_00379
OG0000174	Praw.g_01381	Pran.g_00378
OG0000175	Praw.g_01380	Pran.g_00377
OG0000176	Praw.g_01378	Pran.g_00375
OG0000177	Praw.g_01377	Pran.g_00374
OG0000178	Praw.g_01376	Pran.g_00373
OG0000179	Praw.g_01370	Pran.g_00368
OG0000180	Praw.g_01369	Pran.g_00367
OG0000181	Praw.g_01368	Pran.g_00366
OG0000182	Praw.g_01365	Pran.g_00363
OG0000183	Praw.g_01364	Pran.g_00362
OG0000184	Praw.g_01361	Pran.g_00359
OG0000185	Praw.g_01357	Pran.g_00355
OG0000186	Praw.g_01356	Pran.g_00354
OG0000187	Praw.g_01355	Pran.g_00353
OG0000188	Praw.g_01354	Pran.g_00352
OG0000189	Praw.g_01353	Pran.g_00351
OG0000190	Praw.g_01352	Pran.g_00350
OG0000191	Praw.g_01351	Pran.g_00349
OG0000192	Praw.g_01350	Pran.g_00348
OG0000193	Praw.g_01349	Pran.g_00347
OG0000194	Praw.g_01348	Pran.g_00346
OG0000195	Praw.g_01346	Pran.g_00344
OG0000196	Praw.g_01345	Pran.g_00343
OG0000197	Praw.g_01344	Pran.g_00342
OG0000198	Praw.g_01343	Pran.g_00341
OG0000199	Praw.g_01341	Pran.g_00339
OG0000200	Praw.g_01340	Pran.g_00338
OG0000201	Praw.g_01339	Pran.g_00337
OG0000202	Praw.g_01338	Pran.g_00336
OG0000203	Praw.g_01337	Pran.g_00335
OG0000204	Praw.g_01336	Pran.g_00334
OG0000205	Praw.g_01335	Pran.g_00333
OG0000206	Praw.g_01334	Pran.g_00332
OG0000207	Praw.g_01333	Pran.g_00331
OG0000208	Praw.g_01332	Pran.g_00330
OG0000209	Praw.g_01331	Pran.g_00329
OG0000210	Praw.g_01329	Pran.g_00327
OG0000211	Praw.g_01328	Pran.g_00326
OG0000212	Praw.g_01327	Pran.g_00325
OG0000213	Praw.g_01326	Pran.g_00324
OG0000214	Praw.g_01324	Pran.g_00322
OG0000215	Praw.g_01323	Pran.g_00321
OG0000216	Praw.g_01321	Pran.g_00319
OG0000217	Praw.g_01320	Pran.g_00318
OG0000218	Praw.g_01319	Pran.g_00317
OG0000219	Praw.g_01318	Pran.g_00316
OG0000220	Praw.g_01315	Pran.g_00313
OG0000221	Praw.g_01313	Pran.g_00311
OG0000222	Praw.g_01312	Pran.g_00310
OG0000223	Praw.g_01311	Pran.g_00309
OG0000224	Praw.g_01308	Pran.g_00307
OG0000225	Praw.g_01306	Pran.g_00305
OG0000226	Praw.g_01305	Pran.g_00304
OG0000227	Praw.g_01304	Pran.g_00303
OG0000228	Praw.g_01303	Pran.g_00302
