Orthogroup	Syap	Syak
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syak.g_02138
OG0000004	Syap.g_01987	Syak.g_02297
OG0000005	Syap.g_01773	Syak.g_02401
OG0000005	Syap.g_01218	Syak.g_02436
OG0000006	Syap.g_02770	Syak.g_00057
OG0000007	Syap.g_00275	Syak.g_02595
OG0000007	Syap.g_00621	Syak.g_02416
OG0000009	Syap.g_02081	Syak.g_02194
OG0000010	Syap.g_02757	Syak.g_01119
OG0000013	Syap.g_00972	Syak.g_01275
OG0000014	Syap.g_01675	Syak.g_01505
OG0000014	Syap.g_00813	Syak.g_01582
OG0000015	Syap.g_02606	Syak.g_01813
OG0000015	Syap.g_00786	Syak.g_00107
OG0000016	Syap.g_00071	Syak.g_01780
OG0000017	Syap.g_00449	Syak.g_02730
OG0000018	Syap.g_02708, Syap.g_02010	Syak.g_01072
OG0000019	Syap.g_01586	Syak.g_01413
OG0000025	Syap.g_01846	Syak.g_00610
OG0000028	Syap.g_01658	Syak.g_01522
OG0000030	Syap.g_00787	Syak.g_01684
OG0000030	Syap.g_00788	Syak.g_01685
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722	Syak.g_01630
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syak.g_01707
OG0000033	Syap.g_01198	Syak.g_02101
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syak.g_00950, Syak.g_02133
OG0000035	Syap.g_02465	Syak.g_01040, Syak.g_01041
OG0000037	Syap.g_02492	Syak.g_02188
OG0000038	Syap.g_00139	Syak.g_01936
OG0000040	Syap.g_01819	Syak.g_01852
OG0000042	Syap.g_01891, Syap.g_01120	Syak.g_00843, Syak.g_01681
OG0000043	Syap.g_01998	Syak.g_00335
OG0000044	Syap.g_00378	Syak.g_00153, Syak.g_00767
OG0000045	Syap.g_02525	Syak.g_00317, Syak.g_00228
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syak.g_01276
OG0000048	Syap.g_02340	Syak.g_01446
OG0000053	Syap.g_02006	Syak.g_01068
OG0000054	Syap.g_00678	Syak.g_02744
OG0000054	Syap.g_02652, Syap.g_00774	Syak.g_02321
OG0000057	Syap.g_01569	Syak.g_01676
OG0000059	Syap.g_01082, Syap.g_02478	Syak.g_01355
OG0000060	Syap.g_00795	Syak.g_00844
OG0000061	Syap.g_00228	Syak.g_00898
OG0000062	Syap.g_01220	Syak.g_02434
OG0000063	Syap.g_01796	Syak.g_01752
OG0000066	Syap.g_01972	Syak.g_02653
OG0000067	Syap.g_00194	Syak.g_00434
OG0000068	Syap.g_00108, Syap.g_00144	Syak.g_02565
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syak.g_01174
OG0000071	Syap.g_01483	Syak.g_02322
OG0000073	Syap.g_00273	Syak.g_02597
OG0000075	Syap.g_01064, Syap.g_00664	Syak.g_01564
OG0000076	Syap.g_01111	Syak.g_01650
OG0000079	Syap.g_01589	Syak.g_01417
OG0000080	Syap.g_01035	Syak.g_01612
OG0000080	Syap.g_01003	Syak.g_01585, Syak.g_01583
OG0000085	Syap.g_00611	Syak.g_02427
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syak.g_02141
OG0000088	Syap.g_01202	Syak.g_02106
OG0000089	Syap.g_00115, Syap.g_02042	Syak.g_01215
OG0000090	Syap.g_01451	Syak.g_02640
OG0000091	Syap.g_01861	Syak.g_00043
OG0000094	Syap.g_02781	Syak.g_00656
OG0000095	Syap.g_01556	Syak.g_00736
OG0000098	Syap.g_01975	Syak.g_00345, Syak.g_02651
