Orthogroup	Syap	Praa
OG0000004	Syap.g_01987	Praa.g_00232
OG0000005	Syap.g_01773	Praa.g_01648
OG0000005	Syap.g_01218	Praa.g_01553
OG0000007	Syap.g_00275	Praa.g_00497
OG0000007	Syap.g_00621	Praa.g_01635
OG0000009	Syap.g_02081	Praa.g_00105
OG0000010	Syap.g_02757	Praa.g_01047, Praa.g_00474
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Praa.g_00327
OG0000014	Syap.g_01675	Praa.g_00306
OG0000014	Syap.g_00813	Praa.g_01409
OG0000016	Syap.g_00071	Praa.g_00013
OG0000017	Syap.g_00449	Praa.g_00598
OG0000018	Syap.g_02010	Praa.g_01141, Praa.g_00831
OG0000019	Syap.g_01586	Praa.g_00249, Praa.g_00782
OG0000025	Syap.g_01846	Praa.g_00839, Praa.g_00331
OG0000027	Syap.g_01440	Praa.g_00470, Praa.g_01301
OG0000028	Syap.g_01658	Praa.g_00320, Praa.g_01248
OG0000030	Syap.g_00787, Syap.g_00788	Praa.g_01842
OG0000033	Syap.g_01198	Praa.g_01437, Praa.g_00169
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Praa.g_01328
OG0000035	Syap.g_02465	Praa.g_01476
OG0000037	Syap.g_02492	Praa.g_00109
OG0000038	Syap.g_00139	Praa.g_01883
OG0000039	Syap.g_01749, Syap.g_01748	Praa.g_00686
OG0000042	Syap.g_01891, Syap.g_01120	Praa.g_01839
OG0000043	Syap.g_01998	Praa.g_00876, Praa.g_01259
OG0000045	Syap.g_02525	Praa.g_00370
OG0000048	Syap.g_02340	Praa.g_00373
OG0000051	Syap.g_01574	Praa.g_01291
OG0000053	Syap.g_02006	Praa.g_01496
OG0000054	Syap.g_00678	Praa.g_00606
OG0000059	Syap.g_01082, Syap.g_02478	Praa.g_01723
OG0000061	Syap.g_00228	Praa.g_01415, Praa.g_01159
OG0000062	Syap.g_01365	Praa.g_01555
OG0000063	Syap.g_01796	Praa.g_00033
OG0000066	Syap.g_01972	Praa.g_00539
OG0000067	Syap.g_00194	Praa.g_00803
OG0000068	Syap.g_00108, Syap.g_00144	Praa.g_01366
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Praa.g_00449
OG0000072	Syap.g_00555	Praa.g_00171
OG0000073	Syap.g_00273, Syap.g_01020	Praa.g_00499
OG0000075	Syap.g_01064, Syap.g_00664	Praa.g_01808
OG0000076	Syap.g_01111	Praa.g_01832
OG0000079	Syap.g_01589	Praa.g_00252
OG0000085	Syap.g_00611	Praa.g_01628
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Praa.g_00139
OG0000088	Syap.g_01202	Praa.g_00166
