Orthogroup	Syap	Pran
OG0000004	Syap.g_01987	Pran.g_00200
OG0000005	Syap.g_01773	Pran.g_00983
OG0000005	Syap.g_01218	Pran.g_00657
OG0000007	Syap.g_00275	Pran.g_01681
OG0000007	Syap.g_00621	Pran.g_00970
OG0000009	Syap.g_02081	Pran.g_00328
OG0000010	Syap.g_02757	Pran.g_00175, Pran.g_01704
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Pran.g_01867
OG0000014	Syap.g_01675	Pran.g_01888
OG0000014	Syap.g_00813	Pran.g_00755, Pran.g_00754
OG0000017	Syap.g_00449	Pran.g_01580
OG0000018	Syap.g_02010	Pran.g_00078, Pran.g_01316
OG0000019	Syap.g_01586	Pran.g_01943, Pran.g_01363
OG0000025	Syap.g_01846	Pran.g_01309, Pran.g_01863
OG0000027	Syap.g_01440	Pran.g_00583
OG0000028	Syap.g_01658	Pran.g_01874
OG0000030	Syap.g_00787, Syap.g_00788	Pran.g_01170
OG0000031	Syap.g_00722	Pran.g_00753
OG0000033	Syap.g_01198	Pran.g_00800, Pran.g_00263
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Pran.g_00866
OG0000035	Syap.g_02465	Pran.g_00733
OG0000037	Syap.g_02492	Pran.g_00324
OG0000038	Syap.g_00139	Pran.g_01210
OG0000039	Syap.g_01749, Syap.g_01748	Pran.g_01492
OG0000042	Syap.g_01891, Syap.g_01120	Pran.g_01167
OG0000043	Syap.g_01998	Pran.g_00179
OG0000044	Syap.g_00378	Pran.g_00949
OG0000045	Syap.g_02525	Pran.g_01823
OG0000048	Syap.g_02340	Pran.g_01772, Pran.g_01820
OG0000051	Syap.g_01574	Pran.g_00898, Pran.g_00944
OG0000053	Syap.g_02006	Pran.g_00713
OG0000054	Syap.g_00678	Pran.g_01572
OG0000059	Syap.g_01082, Syap.g_02478	Pran.g_01056
OG0000060	Syap.g_00795	Pran.g_01399
OG0000061	Syap.g_00228, Syap.g_00870	Pran.g_00060
OG0000062	Syap.g_01365	Pran.g_00655
OG0000063	Syap.g_01796	Pran.g_00391
OG0000066	Syap.g_01972	Pran.g_01639
OG0000067	Syap.g_00194	Pran.g_01343
OG0000068	Syap.g_00108, Syap.g_00144	Pran.g_00841
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Pran.g_01727
OG0000072	Syap.g_00555	Pran.g_00261
OG0000073	Syap.g_00273, Syap.g_01020	Pran.g_01679
OG0000075	Syap.g_01064, Syap.g_00664	Pran.g_01137
OG0000076	Syap.g_01111	Pran.g_01160
OG0000079	Syap.g_01589	Pran.g_01940
OG0000085	Syap.g_00611	Pran.g_00963
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Pran.g_00295
OG0000088	Syap.g_01202	Pran.g_00266
OG0000089	Syap.g_00115, Syap.g_02042	Pran.g_01839
OG0000090	Syap.g_01451	Pran.g_01645
OG0000091	Syap.g_01861	Pran.g_01536
OG0000094	Syap.g_02781	Pran.g_00549
OG0000095	Syap.g_01556	Pran.g_00903, Pran.g_00568
OG0000098	Syap.g_01975	Pran.g_00855
OG0000099	Syap.g_01385	Pran.g_00806
OG0000101	Syap.g_00472	Pran.g_01105
OG0000102	Syap.g_01116	Pran.g_01165
OG0000103	Syap.g_02607, Syap.g_02608	Pran.g_01244
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Pran.g_01253
