Orthogroup	Syap	Praq
OG0000004	Syap.g_01987	Praq.g_01770
OG0000005	Syap.g_01773	Praq.g_00484
OG0000005	Syap.g_01218	Praq.g_00370
OG0000007	Syap.g_00275	Praq.g_01105
OG0000007	Syap.g_00621	Praq.g_00497
OG0000009	Syap.g_02081	Praq.g_01898
OG0000010	Syap.g_02757	Praq.g_00552, Praq.g_01626, Praq.g_00525
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Praq.g_01675
OG0000014	Syap.g_01675	Praq.g_01696
OG0000017	Syap.g_00449	Praq.g_01004
OG0000018	Syap.g_02010	Praq.g_01314, Praq.g_01425
OG0000019	Syap.g_01586	Praq.g_01753, Praq.g_00649
OG0000025	Syap.g_01846	Praq.g_01432, Praq.g_01671
OG0000027	Syap.g_01440	Praq.g_00521
OG0000028	Syap.g_01658	Praq.g_01682, Praq.g_00103
OG0000030	Syap.g_00787, Syap.g_00788	Praq.g_00772
OG0000031	Syap.g_00722	Praq.g_00209
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Praq.g_00202
OG0000033	Syap.g_01198	Praq.g_01833
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Praq.g_00143
OG0000035	Syap.g_02465	Praq.g_00294
OG0000037	Syap.g_02492	Praq.g_01894
OG0000038	Syap.g_00139	Praq.g_00716
OG0000039	Syap.g_01749, Syap.g_01748	Praq.g_00815
OG0000042	Syap.g_01891, Syap.g_01120	Praq.g_00770
OG0000043	Syap.g_01998	Praq.g_01469
OG0000044	Syap.g_00378	Praq.g_00058
OG0000045	Syap.g_02525	Praq.g_00567, Praq.g_01172
OG0000048	Syap.g_02340	Praq.g_01169
OG0000053	Syap.g_02006	Praq.g_01246, Praq.g_00314
OG0000054	Syap.g_00678	Praq.g_00996
OG0000059	Syap.g_01082, Syap.g_02478	Praq.g_00927
OG0000061	Syap.g_00228	Praq.g_01333
OG0000062	Syap.g_01365	Praq.g_00372
OG0000063	Syap.g_01796	Praq.g_01237, Praq.g_01236, Praq.g_00075
OG0000066	Syap.g_01972	Praq.g_01063
OG0000067	Syap.g_00194	Praq.g_00670
OG0000068	Syap.g_00108, Syap.g_00144	Praq.g_00175
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Praq.g_01107
OG0000072	Syap.g_00555	Praq.g_01831
OG0000073	Syap.g_00273, Syap.g_01020	Praq.g_01103
OG0000075	Syap.g_01064, Syap.g_00664	Praq.g_00739
OG0000076	Syap.g_01111	Praq.g_01243, Praq.g_00763
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Praq.g_01864
OG0000088	Syap.g_01202	Praq.g_01836
OG0000089	Syap.g_00115, Syap.g_02042	Praq.g_01188
OG0000090	Syap.g_01451	Praq.g_01069
OG0000091	Syap.g_01861	Praq.g_00960
OG0000094	Syap.g_02781	Praq.g_01600
OG0000095	Syap.g_01556	Praq.g_01619
OG0000098	Syap.g_01975	Praq.g_00157
OG0000099	Syap.g_01385	Praq.g_00216
OG0000101	Syap.g_00472	Praq.g_00879
OG0000102	Syap.g_01116	Praq.g_00768
OG0000103	Syap.g_02607, Syap.g_02608	Praq.g_00414
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Praq.g_00422
OG0000105	Syap.g_01369, Syap.g_01368	Praq.g_01729
OG0000107	Syap.g_02496	Praq.g_01158
OG0000108	Syap.g_00733, Syap.g_02255	Praq.g_00531
OG0000109	Syap.g_00279, Syap.g_02237	Praq.g_00545
OG0000110	Syap.g_01313	Praq.g_01028
OG0000111	Syap.g_01566, Syap.g_01568	Praq.g_00828
