Orthogroup	Syap	Syao
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syao.g_02557, Syao.g_02556, Syao.g_01317, Syao.g_02558
OG0000005	Syap.g_01773	Syao.g_01680
OG0000005	Syap.g_01218	Syao.g_01578
OG0000006	Syap.g_02770	Syao.g_00919
OG0000007	Syap.g_00275	Syao.g_00105
OG0000007	Syap.g_00621	Syao.g_01554
OG0000009	Syap.g_02081	Syao.g_02598
OG0000010	Syap.g_02757	Syao.g_02683
OG0000013	Syap.g_00586, Syap.g_00580, Syap.g_00583	Syao.g_01222
OG0000013	Syap.g_00972	Syao.g_01844
OG0000014	Syap.g_01675	Syao.g_02027
OG0000015	Syap.g_02606, Syap.g_00786	Syao.g_02339
OG0000016	Syap.g_00071	Syao.g_01955
OG0000017	Syap.g_00449	Syao.g_00997
OG0000018	Syap.g_02010	Syao.g_00071
OG0000019	Syap.g_01586	Syao.g_02108
OG0000025	Syap.g_01846	Syao.g_00436, Syao.g_00437
OG0000027	Syap.g_01440	Syao.g_00202
OG0000028	Syap.g_01658	Syao.g_02012
OG0000030	Syap.g_00787	Syao.g_02189
OG0000030	Syap.g_00788	Syao.g_02188
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syao.g_02008
OG0000031	Syap.g_00722	Syao.g_01083
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syao.g_01984, Syao.g_01983
OG0000033	Syap.g_01198	Syao.g_02507
OG0000035	Syap.g_02465	Syao.g_01486
OG0000035	Syap.g_02125	Syao.g_01483
OG0000038	Syap.g_00139	Syao.g_02442
OG0000039	Syap.g_01749, Syap.g_01748	Syao.g_00704
OG0000040	Syap.g_01819	Syao.g_00711
OG0000042	Syap.g_01891	Syao.g_00019
OG0000042	Syap.g_01120	Syao.g_01941
OG0000045	Syap.g_02525	Syao.g_01214, Syao.g_00148
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Syao.g_01845
OG0000048	Syap.g_02340	Syao.g_02077
OG0000051	Syap.g_01574	Syao.g_01261
OG0000053	Syap.g_02006	Syao.g_00067
OG0000054	Syap.g_02652	Syao.g_00295
OG0000054	Syap.g_00774	Syao.g_00625
OG0000057	Syap.g_01569	Syao.g_00377
OG0000058	Syap.g_02074	Syao.g_01978
OG0000059	Syap.g_01918	Syao.g_01801
OG0000059	Syap.g_01082, Syap.g_02478	Syao.g_01959
OG0000060	Syap.g_00795	Syao.g_00312
OG0000061	Syap.g_00228	Syao.g_00123
OG0000062	Syap.g_01220	Syao.g_01576
OG0000063	Syap.g_01796	Syao.g_02230
OG0000066	Syap.g_01972	Syao.g_01422
OG0000067	Syap.g_00194	Syao.g_00756
OG0000068	Syap.g_00108, Syap.g_00144	Syao.g_00868
OG0000069	Syap.g_01543, Syap.g_01545	Syao.g_01460
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syao.g_00330
OG0000071	Syap.g_01483	Syao.g_01433
OG0000072	Syap.g_00555	Syao.g_01749
OG0000073	Syap.g_00273	Syao.g_00103
OG0000075	Syap.g_01064	Syao.g_02257
OG0000076	Syap.g_01111	Syao.g_01949
OG0000077	Syap.g_00416	Syao.g_02629
OG0000078	Syap.g_01149	Syao.g_01709
OG0000079	Syap.g_01589	Syao.g_02105
OG0000080	Syap.g_01035	Syao.g_02269
OG0000085	Syap.g_00611	Syao.g_01569
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syao.g_02555
OG0000088	Syap.g_01202	Syao.g_02503
OG0000089	Syap.g_00115, Syap.g_02042	Syao.g_01716
OG0000090	Syap.g_01451	Syao.g_01412
OG0000094	Syap.g_02781	Syao.g_00458
OG0000095	Syap.g_01556	Syao.g_00331
OG0000098	Syap.g_01975	Syao.g_01374
OG0000099	Syap.g_01385	Syao.g_02019
OG0000101	Syap.g_00472	Syao.g_01840
OG0000102	Syap.g_01116	Syao.g_01945
OG0000103	Syap.g_02607	Syao.g_02340
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320	Syao.g_02157
OG0000105	Syap.g_01369, Syap.g_01368	Syao.g_02071, Syao.g_02072
OG0000107	Syap.g_02496	Syao.g_01935
OG0000108	Syap.g_00733, Syap.g_02255	Syao.g_00028
OG0000109	Syap.g_00279, Syap.g_02237	Syao.g_00110
OG0000110	Syap.g_01313	Syao.g_01051
OG0000111	Syap.g_01566, Syap.g_01568	Syao.g_00378
OG0000112	Syap.g_02023	Syao.g_00683, Syao.g_00303
OG0000113	Syap.g_02714	Syao.g_00782
OG0000114	Syap.g_01255	Syao.g_00965
OG0000115	Syap.g_02004	Syao.g_00065
OG0000116	Syap.g_00241	Syao.g_00137
OG0000117	Syap.g_01889	Syao.g_00169
OG0000118	Syap.g_02286	Syao.g_01475
OG0000120	Syap.g_02075	Syao.g_02009
OG0000121	Syap.g_02471	Syao.g_01489
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syao.g_01832
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syao.g_02179
OG0000125	Syap.g_01046	Syao.g_02444
OG0000126	Syap.g_02316	Syao.g_02198
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Syao.g_02375, Syao.g_01143
OG0000128	Syap.g_00069	Syao.g_02149
OG0000129	Syap.g_00130	Syao.g_02434
OG0000130	Syap.g_01688, Syap.g_01689	Syao.g_02617
OG0000131	Syap.g_02189	Syao.g_02480
OG0000132	Syap.g_01205	Syao.g_02501
OG0000133	Syap.g_02017	Syao.g_00678
OG0000134	Syap.g_02047	Syao.g_01719
OG0000135	Syap.g_02090	Syao.g_00147
OG0000136	Syap.g_00089	Syao.g_01614, Syao.g_01613
OG0000137	Syap.g_02756	Syao.g_02682
OG0000138	Syap.g_00278	Syao.g_00108
OG0000139	Syap.g_00410	Syao.g_02005
OG0000140	Syap.g_01976	Syao.g_01373, Syao.g_01372
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syao.g_01202
OG0000142	Syap.g_00895, Syap.g_00894	Syao.g_00894
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syao.g_00898
OG0000145	Syap.g_01860, Syap.g_01859	Syao.g_00102
OG0000146	Syap.g_02024	Syao.g_00684, Syao.g_00304
