Orthogroup	Syap	Prat
OG0000004	Syap.g_01987	Prat.g_00236
OG0000005	Syap.g_01218	Prat.g_01440
OG0000007	Syap.g_00275	Prat.g_00458
OG0000007	Syap.g_00621	Prat.g_01592
OG0000010	Syap.g_02757	Prat.g_00682, Prat.g_00662, Prat.g_00433
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prat.g_00334
OG0000014	Syap.g_01675	Prat.g_00314
OG0000014	Syap.g_00813	Prat.g_01267
OG0000016	Syap.g_00071	Prat.g_00014
OG0000016	Syap.g_00404	Prat.g_01219
OG0000017	Syap.g_00449	Prat.g_00560
OG0000018	Syap.g_02010	Prat.g_01177, Prat.g_01009
OG0000019	Syap.g_01586	Prat.g_00255, Prat.g_01180
OG0000025	Syap.g_01846	Prat.g_01003
OG0000027	Syap.g_01440	Prat.g_01548, Prat.g_01474
OG0000028	Syap.g_01658	Prat.g_00327, Prat.g_00380
OG0000030	Syap.g_00787, Syap.g_00788	Prat.g_01799
OG0000033	Syap.g_01198	Prat.g_01265, Prat.g_00170
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prat.g_01259
OG0000035	Syap.g_02465	Prat.g_01352, Prat.g_01353
OG0000037	Syap.g_02492	Prat.g_00106
OG0000038	Syap.g_00139	Prat.g_01839
OG0000039	Syap.g_01749, Syap.g_01748	Prat.g_00760
OG0000042	Syap.g_01891, Syap.g_01120	Prat.g_01796
OG0000043	Syap.g_01998	Prat.g_01176
OG0000044	Syap.g_00378	Prat.g_00619
OG0000045	Syap.g_02525	Prat.g_01203
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prat.g_00335
OG0000048	Syap.g_02340	Prat.g_00278
OG0000053	Syap.g_02006	Prat.g_01375
OG0000054	Syap.g_00678	Prat.g_00569
OG0000059	Syap.g_01082, Syap.g_02478	Prat.g_01679
OG0000061	Syap.g_00228	Prat.g_01156
OG0000062	Syap.g_01220, Syap.g_01365	Prat.g_01442
OG0000063	Syap.g_01796	Prat.g_01516
OG0000066	Syap.g_01972	Prat.g_01499
OG0000067	Syap.g_00194	Prat.g_01037
OG0000068	Syap.g_00108, Syap.g_00144	Prat.g_01291
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prat.g_00412
OG0000072	Syap.g_00555	Prat.g_00172
OG0000073	Syap.g_00273	Prat.g_00462
OG0000075	Syap.g_01064, Syap.g_00664	Prat.g_01761
OG0000076	Syap.g_01111	Prat.g_01788
OG0000077	Syap.g_00416	Prat.g_00075
OG0000079	Syap.g_01589	Prat.g_00258
OG0000080	Syap.g_00630, Syap.g_01035, Syap.g_01707, Syap.g_01003	Prat.g_01323
OG0000085	Syap.g_00611	Prat.g_01584
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prat.g_00138
OG0000088	Syap.g_01202	Prat.g_00166
OG0000089	Syap.g_00115, Syap.g_02042	Prat.g_00370
OG0000090	Syap.g_01451	Prat.g_00495
OG0000091	Syap.g_01861	Prat.g_01082
OG0000095	Syap.g_01556	Prat.g_00965
OG0000098	Syap.g_01975	Prat.g_01282
OG0000099	Syap.g_01385	Prat.g_01312
OG0000101	Syap.g_00472	Prat.g_01726
OG0000102	Syap.g_01116	Prat.g_01793
OG0000103	Syap.g_02607, Syap.g_02608	Prat.g_01880
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prat.g_01889
OG0000105	Syap.g_01369, Syap.g_01368	Prat.g_00281
OG0000107	Syap.g_02496	Prat.g_01656
OG0000108	Syap.g_00733, Syap.g_02255	Prat.g_00440
OG0000109	Syap.g_00279, Syap.g_02237	Prat.g_00455
OG0000110	Syap.g_01313	Prat.g_00539
OG0000111	Syap.g_01566, Syap.g_01568	Prat.g_00776
OG0000112	Syap.g_02023	Prat.g_00888
OG0000113	Syap.g_02714	Prat.g_01014
OG0000114	Syap.g_01255	Prat.g_00716
OG0000115	Syap.g_02004	Prat.g_01373
OG0000116	Syap.g_00241	Prat.g_01166
OG0000117	Syap.g_01889	Prat.g_01129
OG0000118	Syap.g_02286	Prat.g_01261
OG0000120	Syap.g_02075	Prat.g_00344
OG0000121	Syap.g_02471	Prat.g_01355
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prat.g_01733
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prat.g_01805
OG0000125	Syap.g_01046, Syap.g_01047	Prat.g_01841
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prat.g_01888
OG0000128	Syap.g_00069	Prat.g_00012, Prat.g_00011
OG0000129	Syap.g_00130, Syap.g_00129	Prat.g_00047
OG0000130	Syap.g_01688, Syap.g_01689	Prat.g_00066
OG0000131	Syap.g_02189	Prat.g_00144
OG0000132	Syap.g_01205	Prat.g_00164
OG0000133	Syap.g_02017	Prat.g_00329
OG0000134	Syap.g_02047	Prat.g_00372
OG0000135	Syap.g_02090	Prat.g_01477
OG0000136	Syap.g_00089	Prat.g_00401
OG0000137	Syap.g_02756	Prat.g_00434
OG0000138	Syap.g_00278	Prat.g_00456
OG0000139	Syap.g_00410	Prat.g_00499
OG0000140	Syap.g_01976	Prat.g_00500
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prat.g_00570
OG0000142	Syap.g_00895, Syap.g_00894	Prat.g_01090
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prat.g_01086
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prat.g_01072
OG0000145	Syap.g_01860, Syap.g_01859	Prat.g_01472
OG0000146	Syap.g_02024	Prat.g_00887
OG0000147	Syap.g_02025	Prat.g_00886
OG0000148	Syap.g_02720	Prat.g_01020
OG0000149	Syap.g_00824	Prat.g_00991
OG0000150	Syap.g_01540	Prat.g_00981
OG0000151	Syap.g_00142	Prat.g_00726
OG0000152	Syap.g_02012	Prat.g_00896, Prat.g_01277
OG0000153	Syap.g_02682	Prat.g_00915
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prat.g_00934
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prat.g_01135
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prat.g_01238
OG0000157	Syap.g_00249, Syap.g_00286	Prat.g_01239
OG0000158	Syap.g_01075	Prat.g_01769
OG0000160	Syap.g_02470, Syap.g_02469	Prat.g_01354
OG0000161	Syap.g_02476	Prat.g_01360
OG0000162	Syap.g_02531	Prat.g_01366
OG0000164	Syap.g_01391, Syap.g_01392	Prat.g_01615
OG0000165	Syap.g_01381, Syap.g_01382	Prat.g_01623
OG0000166	Syap.g_00512, Syap.g_01238	Prat.g_01690
OG0000167	Syap.g_02080	Prat.g_01759
OG0000168	Syap.g_01076	Prat.g_01770
OG0000169	Syap.g_01049, Syap.g_01093	Prat.g_01781
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prat.g_01784
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prat.g_01804
OG0000172	Syap.g_01143, Syap.g_00635	Prat.g_01811
OG0000173	Syap.g_00982, Syap.g_00983	Prat.g_01826
OG0000174	Syap.g_02092	Prat.g_01858
OG0000175	Syap.g_02654	Prat.g_01870
OG0000176	Syap.g_00059	Prat.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Prat.g_00005
OG0000178	Syap.g_00062	Prat.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Prat.g_00017
OG0000180	Syap.g_00078, Syap.g_02640	Prat.g_00018
OG0000181	Syap.g_00079, Syap.g_02641	Prat.g_00019
OG0000182	Syap.g_00080, Syap.g_02642	Prat.g_00020
OG0000183	Syap.g_00084	Prat.g_01314, Prat.g_00024
OG0000184	Syap.g_01337	Prat.g_00051
OG0000185	Syap.g_01322	Prat.g_00054
OG0000186	Syap.g_01684	Prat.g_00060
OG0000187	Syap.g_01686	Prat.g_00061
OG0000188	Syap.g_02547	Prat.g_00080
OG0000191	Syap.g_02233	Prat.g_00116
OG0000192	Syap.g_02224	Prat.g_00121
OG0000193	Syap.g_02187, Syap.g_02188	Prat.g_00145
OG0000194	Syap.g_02183	Prat.g_00148
OG0000195	Syap.g_02180	Prat.g_00150
OG0000196	Syap.g_01208, Syap.g_02167	Prat.g_00161
OG0000197	Syap.g_01207, Syap.g_02166	Prat.g_00162
OG0000198	Syap.g_01206	Prat.g_00163
OG0000199	Syap.g_01197	Prat.g_00171
OG0000200	Syap.g_01181	Prat.g_00185
OG0000201	Syap.g_02265	Prat.g_00194
OG0000202	Syap.g_02264	Prat.g_00195
OG0000203	Syap.g_01601	Prat.g_00196
OG0000204	Syap.g_01602	Prat.g_00197
OG0000205	Syap.g_01616	Prat.g_00204
OG0000206	Syap.g_01628	Prat.g_00209
OG0000207	Syap.g_01426, Syap.g_00424	Prat.g_00211
OG0000208	Syap.g_00426, Syap.g_01425	Prat.g_00212
OG0000209	Syap.g_01906	Prat.g_00221
OG0000210	Syap.g_01905	Prat.g_00222
OG0000211	Syap.g_01160	Prat.g_00238
OG0000212	Syap.g_02664	Prat.g_00246
OG0000213	Syap.g_00107, Syap.g_01599	Prat.g_00264
OG0000214	Syap.g_02344, Syap.g_02345	Prat.g_00274
OG0000215	Syap.g_01347, Syap.g_01629	Prat.g_00300
OG0000216	Syap.g_01634	Prat.g_00302
OG0000217	Syap.g_01638	Prat.g_00305
OG0000218	Syap.g_01641, Syap.g_01640	Prat.g_00307
OG0000219	Syap.g_01642, Syap.g_01643	Prat.g_00308
OG0000220	Syap.g_01645	Prat.g_00309
OG0000221	Syap.g_01646	Prat.g_00310
OG0000222	Syap.g_01669	Prat.g_00317
OG0000223	Syap.g_02072, Syap.g_02073	Prat.g_00330
OG0000224	Syap.g_02064	Prat.g_00332
OG0000225	Syap.g_00553, Syap.g_00552	Prat.g_00360
OG0000226	Syap.g_02029, Syap.g_02144	Prat.g_00364
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Prat.g_00366
OG0000228	Syap.g_00116, Syap.g_02041	Prat.g_00369
OG0000229	Syap.g_02059	Prat.g_00396
OG0000230	Syap.g_02061	Prat.g_00398
OG0000231	Syap.g_02533	Prat.g_00411
OG0000232	Syap.g_02510, Syap.g_02511	Prat.g_00419
OG0000233	Syap.g_02133	Prat.g_00426
OG0000234	Syap.g_02755	Prat.g_00435
OG0000235	Syap.g_00732, Syap.g_02258	Prat.g_00439
OG0000236	Syap.g_02238	Prat.g_00454
OG0000237	Syap.g_00262, Syap.g_00263	Prat.g_00469
OG0000238	Syap.g_00257, Syap.g_00258	Prat.g_00475
OG0000239	Syap.g_02744	Prat.g_00487
OG0000240	Syap.g_02742	Prat.g_00488
OG0000241	Syap.g_00888	Prat.g_00492
OG0000242	Syap.g_01455	Prat.g_00494
OG0000243	Syap.g_01938	Prat.g_00504
OG0000244	Syap.g_01146, Syap.g_01145	Prat.g_00507
OG0000245	Syap.g_01148	Prat.g_00509
OG0000246	Syap.g_00308	Prat.g_00514, Prat.g_00513
OG0000247	Syap.g_00288, Syap.g_00293	Prat.g_00525
OG0000248	Syap.g_00290	Prat.g_00528
OG0000249	Syap.g_01296, Syap.g_01295	Prat.g_00530
OG0000250	Syap.g_01306	Prat.g_00536
OG0000251	Syap.g_00442	Prat.g_00553
