Orthogroup	Syap	Prbd
OG0000004	Syap.g_01987	Prbd.g_01007
OG0000005	Syap.g_01773	Prbd.g_01512
OG0000005	Syap.g_01218	Prbd.g_01612
OG0000007	Syap.g_00275	Prbd.g_00745
OG0000007	Syap.g_00621	Prbd.g_01525
OG0000009	Syap.g_02081	Prbd.g_01139
OG0000010	Syap.g_02757	Prbd.g_00348, Prbd.g_00768
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbd.g_00912
OG0000014	Syap.g_01675	Prbd.g_00933
OG0000016	Syap.g_00071	Prbd.g_01224
OG0000017	Syap.g_00449	Prbd.g_00646
OG0000018	Syap.g_02010	Prbd.g_00449, Prbd.g_00129
OG0000019	Syap.g_01586	Prbd.g_00990, Prbd.g_00082
OG0000025	Syap.g_01846	Prbd.g_00137, Prbd.g_00908
OG0000027	Syap.g_01440	Prbd.g_00772, Prbd.g_01832
OG0000028	Syap.g_01658	Prbd.g_00919, Prbd.g_01864
OG0000030	Syap.g_00787, Syap.g_00788	Prbd.g_01325
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prbd.g_01730
OG0000033	Syap.g_01198	Prbd.g_01071
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbd.g_01791
OG0000035	Syap.g_02465	Prbd.g_01689
OG0000037	Syap.g_02492	Prbd.g_01135
OG0000038	Syap.g_00139	Prbd.g_01283
OG0000039	Syap.g_01749, Syap.g_01748	Prbd.g_00558
OG0000042	Syap.g_01891, Syap.g_01120	Prbd.g_01328
OG0000043	Syap.g_01998	Prbd.g_00174, Prbd.g_01891
OG0000045	Syap.g_02525	Prbd.g_00867
OG0000048	Syap.g_02340	Prbd.g_00439, Prbd.g_00864
OG0000051	Syap.g_01574	Prbd.g_01544
OG0000053	Syap.g_02006	Prbd.g_01669
OG0000054	Syap.g_00678	Prbd.g_00638
OG0000059	Syap.g_01082, Syap.g_02478	Prbd.g_01439
OG0000060	Syap.g_00795	Prbd.g_00824
OG0000061	Syap.g_00228	Prbd.g_00468
OG0000062	Syap.g_01365	Prbd.g_01610
OG0000063	Syap.g_01796	Prbd.g_01204
