Orthogroup	Syap	Prba
OG0000004	Syap.g_01987	Prba.g_00451
OG0000005	Syap.g_01773	Prba.g_00607
OG0000005	Syap.g_01218	Prba.g_00312
OG0000007	Syap.g_00275	Prba.g_00964
OG0000007	Syap.g_00621	Prba.g_00226
OG0000009	Syap.g_02081	Prba.g_01893
OG0000010	Syap.g_02757	Prba.g_01256, Prba.g_00987
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prba.g_00543
OG0000014	Syap.g_01675	Prba.g_00522
OG0000014	Syap.g_00813	Prba.g_00159
OG0000016	Syap.g_00071	Prba.g_01806
OG0000017	Syap.g_00449	Prba.g_01719
OG0000018	Syap.g_02010	Prba.g_00083, Prba.g_01472
OG0000019	Syap.g_01586	Prba.g_00468, Prba.g_01519
OG0000025	Syap.g_01846	Prba.g_01464, Prba.g_00547
OG0000027	Syap.g_01440	Prba.g_00991, Prba.g_01175
OG0000028	Syap.g_01658	Prba.g_00536, Prba.g_01126
OG0000030	Syap.g_00787, Syap.g_00788	Prba.g_00778
OG0000031	Syap.g_00722	Prba.g_00173
OG0000033	Syap.g_01198	Prba.g_00625
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prba.g_01202
OG0000035	Syap.g_02465	Prba.g_00713
OG0000037	Syap.g_02492	Prba.g_01897
OG0000038	Syap.g_00139	Prba.g_00819
OG0000039	Syap.g_01749, Syap.g_01748	Prba.g_01631
OG0000042	Syap.g_01891, Syap.g_01120	Prba.g_00775
OG0000043	Syap.g_01998	Prba.g_01427, Prba.g_01138
OG0000044	Syap.g_00378	Prba.g_00002
OG0000045	Syap.g_02525	Prba.g_00865
OG0000048	Syap.g_02340	Prba.g_00868
OG0000051	Syap.g_01574	Prba.g_01168
OG0000053	Syap.g_02006	Prba.g_00693
OG0000054	Syap.g_00678	Prba.g_01711
OG0000059	Syap.g_01082, Syap.g_02478	Prba.g_00381, Prba.g_00127
OG0000061	Syap.g_00228	Prba.g_00064
OG0000062	Syap.g_01365	Prba.g_00310
OG0000063	Syap.g_01796	Prba.g_01826
OG0000066	Syap.g_01972	Prba.g_00922
OG0000067	Syap.g_00194	Prba.g_01499
OG0000068	Syap.g_00108, Syap.g_00144	Prba.g_00196
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prba.g_01011
OG0000072	Syap.g_00555	Prba.g_00627
OG0000073	Syap.g_00273, Syap.g_01020	Prba.g_00962
OG0000075	Syap.g_01064, Syap.g_00664	Prba.g_01071
OG0000076	Syap.g_01111	Prba.g_00768
OG0000079	Syap.g_01589	Prba.g_00471
OG0000085	Syap.g_00611	Prba.g_00233
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prba.g_01927
OG0000088	Syap.g_01202	Prba.g_00622
OG0000089	Syap.g_00115, Syap.g_02042	Prba.g_00850
OG0000090	Syap.g_01451	Prba.g_00928
OG0000091	Syap.g_01861	Prba.g_01675
OG0000094	Syap.g_02781	Prba.g_01283
OG0000095	Syap.g_01556	Prba.g_01264
OG0000098	Syap.g_01975	Prba.g_00214
OG0000099	Syap.g_01385	Prba.g_00155
OG0000101	Syap.g_00472	Prba.g_00429
OG0000102	Syap.g_01116	Prba.g_00773
OG0000103	Syap.g_02607, Syap.g_02608	Prba.g_01781
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prba.g_01789
OG0000105	Syap.g_01369, Syap.g_01368	Prba.g_00491
OG0000107	Syap.g_02496	Prba.g_00880
OG0000108	Syap.g_00733, Syap.g_02255	Prba.g_00981
OG0000109	Syap.g_00279, Syap.g_02237	Prba.g_00967
OG0000110	Syap.g_01313	Prba.g_01741
OG0000111	Syap.g_01566, Syap.g_01568	Prba.g_01618
OG0000112	Syap.g_02023	Prba.g_01534
OG0000113	Syap.g_02714	Prba.g_01477
OG0000114	Syap.g_01255	Prba.g_01395
OG0000115	Syap.g_02004	Prba.g_00743
OG0000116	Syap.g_00241	Prba.g_00074
OG0000117	Syap.g_01889	Prba.g_01135
OG0000118	Syap.g_02286	Prba.g_01204
OG0000120	Syap.g_02075	Prba.g_00175
OG0000121	Syap.g_02471	Prba.g_00711
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prba.g_00436
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prba.g_00784
OG0000125	Syap.g_01046, Syap.g_01047	Prba.g_01089, Prba.g_00821
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prba.g_01788
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Prba.g_01118
OG0000128	Syap.g_00069	Prba.g_01804
OG0000129	Syap.g_00130, Syap.g_00129	Prba.g_01838
OG0000130	Syap.g_01688, Syap.g_01689	Prba.g_01857
OG0000131	Syap.g_02189	Prba.g_01933
OG0000132	Syap.g_01205	Prba.g_01952
OG0000133	Syap.g_02017	Prba.g_00538
OG0000134	Syap.g_02047	Prba.g_00851
OG0000135	Syap.g_02090	Prba.g_00877
OG0000136	Syap.g_00089	Prba.g_01020
OG0000137	Syap.g_02756	Prba.g_00986
OG0000138	Syap.g_00278	Prba.g_00966
OG0000139	Syap.g_00410	Prba.g_00924
OG0000140	Syap.g_01976	Prba.g_00923
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prba.g_01710
OG0000142	Syap.g_00895, Syap.g_00894	Prba.g_01682
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prba.g_01678
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prba.g_01665
OG0000145	Syap.g_01860, Syap.g_01859	Prba.g_01541
OG0000146	Syap.g_02024	Prba.g_01533
OG0000147	Syap.g_02025	Prba.g_01532
OG0000148	Syap.g_02720	Prba.g_01483
OG0000149	Syap.g_00824	Prba.g_01452
OG0000150	Syap.g_01540	Prba.g_01444
OG0000151	Syap.g_00142	Prba.g_01385
OG0000152	Syap.g_02012	Prba.g_01337
OG0000153	Syap.g_02682	Prba.g_01318
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prba.g_01290
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prba.g_00043
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prba.g_01181
OG0000157	Syap.g_00249, Syap.g_00286	Prba.g_01182
OG0000158	Syap.g_01075	Prba.g_00154
OG0000159	Syap.g_00852	Prba.g_00152
OG0000160	Syap.g_02470, Syap.g_02469	Prba.g_00712
OG0000161	Syap.g_02476	Prba.g_00706
OG0000162	Syap.g_02531	Prba.g_00700
OG0000164	Syap.g_01391, Syap.g_01392	Prba.g_00596
OG0000165	Syap.g_01381, Syap.g_01382	Prba.g_00589
OG0000166	Syap.g_00512, Syap.g_01238	Prba.g_00393
OG0000167	Syap.g_02080	Prba.g_01069
OG0000168	Syap.g_01076	Prba.g_01079
OG0000169	Syap.g_01049, Syap.g_01093	Prba.g_00761
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prba.g_00763
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prba.g_00783
