Orthogroup	Syap	Pras
OG0000004	Syap.g_01987	Pras.g_01084
OG0000005	Syap.g_01773	Pras.g_00563
OG0000005	Syap.g_01218	Pras.g_00429
OG0000007	Syap.g_00275	Pras.g_01375
OG0000007	Syap.g_00621	Pras.g_00550
OG0000009	Syap.g_02081	Pras.g_00956
OG0000010	Syap.g_02757	Pras.g_00523, Pras.g_01942, Pras.g_01352
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Pras.g_01179
OG0000014	Syap.g_01675	Pras.g_01158
OG0000016	Syap.g_00071	Pras.g_00855
OG0000017	Syap.g_00449	Pras.g_01474
OG0000018	Syap.g_02010	Pras.g_00037, Pras.g_01728
OG0000019	Syap.g_01586	Pras.g_01101, Pras.g_01681
OG0000025	Syap.g_01846	Pras.g_01735, Pras.g_01183
OG0000027	Syap.g_01440	Pras.g_01348, Pras.g_00185
OG0000028	Syap.g_01658	Pras.g_01172, Pras.g_00169
OG0000030	Syap.g_00787, Syap.g_00788	Pras.g_00753
OG0000031	Syap.g_00722	Pras.g_00331
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Pras.g_00326
OG0000033	Syap.g_01198	Pras.g_01020
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Pras.g_00219
OG0000035	Syap.g_02465	Pras.g_00350
OG0000037	Syap.g_02492	Pras.g_00960
OG0000038	Syap.g_00139	Pras.g_00795
OG0000039	Syap.g_01749, Syap.g_01748	Pras.g_01562
OG0000042	Syap.g_01891, Syap.g_01120	Pras.g_00750
OG0000043	Syap.g_01998	Pras.g_01772, Pras.g_00153
OG0000045	Syap.g_02525	Pras.g_00509, Pras.g_01224
OG0000048	Syap.g_02340	Pras.g_01227
OG0000051	Syap.g_01574	Pras.g_00179, Pras.g_00508
OG0000053	Syap.g_02006	Pras.g_00886, Pras.g_00370
OG0000054	Syap.g_00678	Pras.g_01482
OG0000059	Syap.g_01082, Syap.g_02478	Pras.g_00637
OG0000061	Syap.g_00228	Pras.g_00056
OG0000062	Syap.g_01365	Pras.g_00431
OG0000063	Syap.g_01796	Pras.g_00875
OG0000066	Syap.g_01972	Pras.g_01416
OG0000067	Syap.g_00194	Pras.g_01701, Pras.g_00311
OG0000068	Syap.g_00108, Syap.g_00144	Pras.g_00250
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Pras.g_01328
OG0000072	Syap.g_00555	Pras.g_01022
OG0000073	Syap.g_00273, Syap.g_01020	Pras.g_01377
OG0000075	Syap.g_01064, Syap.g_00664	Pras.g_00719
OG0000076	Syap.g_01111	Pras.g_00883, Pras.g_00743
OG0000079	Syap.g_01589	Pras.g_01104
OG0000085	Syap.g_00611	Pras.g_00543
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Pras.g_00990
OG0000088	Syap.g_01202	Pras.g_01017
