Orthogroup	Syap	Prbm
OG0000004	Syap.g_01987	Prbm.g_00291
OG0000005	Syap.g_01218	Prbm.g_01790
OG0000007	Syap.g_00275	Prbm.g_00522
OG0000007	Syap.g_00621	Prbm.g_01841
OG0000010	Syap.g_02757	Prbm.g_01066, Prbm.g_00499
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbm.g_00382
OG0000014	Syap.g_01675	Prbm.g_00362
OG0000014	Syap.g_00813	Prbm.g_02126
OG0000016	Syap.g_00071	Prbm.g_00013
OG0000016	Syap.g_00404	Prbm.g_01944
OG0000017	Syap.g_00449	Prbm.g_00635
OG0000018	Syap.g_02010	Prbm.g_01571, Prbm.g_00843
OG0000019	Syap.g_01586	Prbm.g_00792
OG0000025	Syap.g_01846	Prbm.g_00849
OG0000028	Syap.g_01658	Prbm.g_01656
OG0000030	Syap.g_00787, Syap.g_00788	Prbm.g_02105
OG0000031	Syap.g_00722	Prbm.g_01627, Prbm.g_00392, Prbm.g_00391, Prbm.g_00393
OG0000033	Syap.g_01198	Prbm.g_00228
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbm.g_01620
OG0000035	Syap.g_02465	Prbm.g_01710
OG0000037	Syap.g_02492	Prbm.g_00166
OG0000038	Syap.g_00139	Prbm.g_02174
OG0000039	Syap.g_01749, Syap.g_01748	Prbm.g_00723
OG0000042	Syap.g_01891, Syap.g_01120	Prbm.g_02102
OG0000043	Syap.g_01998	Prbm.g_00906, Prbm.g_01173
OG0000044	Syap.g_00378	Prbm.g_00478, Prbm.g_01281
OG0000045	Syap.g_02525	Prbm.g_01088
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbm.g_00383
OG0000048	Syap.g_02340	Prbm.g_00329
OG0000051	Syap.g_01574	Prbm.g_01267, Prbm.g_01276
OG0000053	Syap.g_02006	Prbm.g_01729
OG0000054	Syap.g_00678	Prbm.g_00637
OG0000059	Syap.g_01082, Syap.g_02478	Prbm.g_01973
OG0000060	Syap.g_00795	Prbm.g_01422
OG0000061	Syap.g_00228	Prbm.g_01549
OG0000062	Syap.g_01365	Prbm.g_01792
OG0000063	Syap.g_01796	Prbm.g_01947
OG0000066	Syap.g_01972	Prbm.g_00572
OG0000067	Syap.g_00194	Prbm.g_00814
OG0000068	Syap.g_00108, Syap.g_00144	Prbm.g_01660
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbm.g_00460
OG0000072	Syap.g_00555	Prbm.g_00230
OG0000073	Syap.g_00273	Prbm.g_00533
OG0000075	Syap.g_01064, Syap.g_00664	Prbm.g_02069
OG0000076	Syap.g_01111	Prbm.g_02094
OG0000077	Syap.g_00416	Prbm.g_00135
OG0000079	Syap.g_01589	Prbm.g_00311
OG0000085	Syap.g_00611	Prbm.g_01834
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbm.g_00198
OG0000088	Syap.g_01202	Prbm.g_00225
OG0000089	Syap.g_00115, Syap.g_02042	Prbm.g_00423
OG0000090	Syap.g_01451	Prbm.g_00566
OG0000091	Syap.g_01861	Prbm.g_00673
OG0000095	Syap.g_01556	Prbm.g_01064
OG0000098	Syap.g_01975	Prbm.g_01630
OG0000099	Syap.g_01385	Prbm.g_00394
OG0000101	Syap.g_00472	Prbm.g_02033
OG0000102	Syap.g_01116	Prbm.g_02099
OG0000103	Syap.g_02607, Syap.g_02608	Prbm.g_02218
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbm.g_02229
OG0000105	Syap.g_01369, Syap.g_01368	Prbm.g_00331
OG0000107	Syap.g_02496	Prbm.g_01949
