Orthogroup	Syap	Prac
OG0000004	Syap.g_01987	Prac.g_01698
OG0000005	Syap.g_01773	Prac.g_00612
OG0000005	Syap.g_01218	Prac.g_00335
OG0000007	Syap.g_00275	Prac.g_00874
OG0000007	Syap.g_00621	Prac.g_00625
OG0000009	Syap.g_02081	Prac.g_01826
OG0000010	Syap.g_02757	Prac.g_01592, Prac.g_01248, Prac.g_01070
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prac.g_01604
OG0000014	Syap.g_01675	Prac.g_01625
OG0000016	Syap.g_00071	Prac.g_01934
OG0000017	Syap.g_00449	Prac.g_00773
OG0000018	Syap.g_02010	Prac.g_01004, Prac.g_01448
OG0000019	Syap.g_01586	Prac.g_01681, Prac.g_01496
OG0000025	Syap.g_01846	Prac.g_01441, Prac.g_01600
OG0000027	Syap.g_01440	Prac.g_01074
OG0000028	Syap.g_01658	Prac.g_01611, Prac.g_00145
OG0000030	Syap.g_00787, Syap.g_00788	Prac.g_00050
OG0000031	Syap.g_00722	Prac.g_00249
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Prac.g_00242
OG0000033	Syap.g_01198	Prac.g_01761
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prac.g_00185
OG0000035	Syap.g_02465	Prac.g_00411
OG0000037	Syap.g_02492	Prac.g_01822
OG0000038	Syap.g_00139	Prac.g_00090
OG0000039	Syap.g_01749, Syap.g_01748	Prac.g_00685
OG0000042	Syap.g_01891, Syap.g_01120	Prac.g_00048
OG0000043	Syap.g_01998	Prac.g_01405
OG0000044	Syap.g_00378	Prac.g_00892
OG0000045	Syap.g_02525	Prac.g_01576, Prac.g_01162
OG0000048	Syap.g_02340	Prac.g_01159
OG0000053	Syap.g_02006	Prac.g_01901, Prac.g_00391
OG0000054	Syap.g_00678	Prac.g_00765
OG0000059	Syap.g_01082, Syap.g_02478	Prac.g_00500
OG0000061	Syap.g_00228	Prac.g_00985
OG0000062	Syap.g_01365	Prac.g_00333
OG0000063	Syap.g_01796	Prac.g_01913, Prac.g_01914, Prac.g_00908
OG0000066	Syap.g_01972	Prac.g_00833
OG0000067	Syap.g_00194	Prac.g_01475
OG0000068	Syap.g_00108, Syap.g_00144	Prac.g_00217
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prac.g_01097
OG0000072	Syap.g_00555	Prac.g_01759
OG0000073	Syap.g_00273, Syap.g_01020	Prac.g_00872
OG0000075	Syap.g_01064, Syap.g_00664	Prac.g_00017
OG0000076	Syap.g_01111	Prac.g_01904, Prac.g_00041
OG0000085	Syap.g_00611	Prac.g_00632
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prac.g_01792
OG0000088	Syap.g_01202	Prac.g_01764
OG0000089	Syap.g_00115, Syap.g_02042	Prac.g_01178
OG0000090	Syap.g_01451	Prac.g_00839
OG0000091	Syap.g_01861	Prac.g_00729
OG0000094	Syap.g_02781	Prac.g_01275
OG0000095	Syap.g_01556	Prac.g_01256
OG0000098	Syap.g_01975	Prac.g_00199
OG0000099	Syap.g_01385	Prac.g_00256
OG0000101	Syap.g_00472	Prac.g_00548
OG0000102	Syap.g_01116	Prac.g_00046
OG0000103	Syap.g_02607, Syap.g_02608	Prac.g_00123
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prac.g_00131
OG0000105	Syap.g_01369, Syap.g_01368	Prac.g_01657
OG0000107	Syap.g_02496	Prac.g_01148
OG0000108	Syap.g_00733, Syap.g_02255	Prac.g_01064
OG0000109	Syap.g_00279, Syap.g_02237	Prac.g_01050
OG0000110	Syap.g_01313	Prac.g_00798
OG0000111	Syap.g_01566, Syap.g_01568	Prac.g_00672
OG0000112	Syap.g_02023	Prac.g_01507
OG0000113	Syap.g_02714	Prac.g_01453
OG0000114	Syap.g_01255	Prac.g_01384
OG0000115	Syap.g_02004	Prac.g_01040
OG0000116	Syap.g_00241	Prac.g_00995
OG0000117	Syap.g_01889	Prac.g_01955
OG0000118	Syap.g_02286	Prac.g_00187
OG0000120	Syap.g_02075	Prac.g_00248
OG0000121	Syap.g_02471	Prac.g_00409
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prac.g_00554
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prac.g_00056
OG0000125	Syap.g_01046, Syap.g_01047	Prac.g_00092
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prac.g_00130
OG0000128	Syap.g_00069	Prac.g_01936
OG0000129	Syap.g_00130, Syap.g_00129	Prac.g_01888
OG0000130	Syap.g_01688, Syap.g_01689	Prac.g_01862
OG0000131	Syap.g_02189	Prac.g_01785
OG0000132	Syap.g_01205	Prac.g_01766
OG0000133	Syap.g_02017	Prac.g_01609
OG0000134	Syap.g_02047	Prac.g_01177
OG0000135	Syap.g_02090	Prac.g_01150
OG0000136	Syap.g_00089	Prac.g_01106
OG0000137	Syap.g_02756	Prac.g_01069
OG0000138	Syap.g_00278	Prac.g_01049
OG0000139	Syap.g_00410	Prac.g_00835
OG0000140	Syap.g_01976	Prac.g_00834
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prac.g_00764
OG0000142	Syap.g_00895, Syap.g_00894	Prac.g_00736
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prac.g_00732
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prac.g_00719
OG0000145	Syap.g_01860, Syap.g_01859	Prac.g_01508
OG0000146	Syap.g_02024	Prac.g_01506
OG0000147	Syap.g_02025	Prac.g_01505
OG0000148	Syap.g_02720	Prac.g_01459
OG0000149	Syap.g_00824	Prac.g_01429
OG0000150	Syap.g_01540	Prac.g_01421
OG0000151	Syap.g_00142	Prac.g_01374
OG0000152	Syap.g_02012	Prac.g_01327
OG0000153	Syap.g_02682	Prac.g_01308
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prac.g_01282
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prac.g_00965
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prac.g_00164
OG0000157	Syap.g_00249, Syap.g_00286	Prac.g_00165
OG0000158	Syap.g_01075	Prac.g_00447
OG0000159	Syap.g_00852	Prac.g_00452, Prac.g_00257
OG0000160	Syap.g_02470, Syap.g_02469	Prac.g_00410
OG0000161	Syap.g_02476	Prac.g_00404
OG0000162	Syap.g_02531	Prac.g_00398
OG0000164	Syap.g_01391, Syap.g_01392	Prac.g_00601
OG0000165	Syap.g_01381, Syap.g_01382	Prac.g_00594
OG0000166	Syap.g_00512, Syap.g_01238	Prac.g_00512
OG0000167	Syap.g_02080	Prac.g_00015
OG0000168	Syap.g_01076	Prac.g_00025
OG0000169	Syap.g_01049, Syap.g_01093	Prac.g_00035
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prac.g_00037
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prac.g_00055
OG0000172	Syap.g_01143, Syap.g_00635	Prac.g_00063
OG0000173	Syap.g_00982, Syap.g_00983	Prac.g_00078
OG0000174	Syap.g_02092	Prac.g_00105
OG0000175	Syap.g_02654	Prac.g_00115
OG0000176	Syap.g_00059	Prac.g_01943
OG0000177	Syap.g_00061, Syap.g_00060	Prac.g_01942
OG0000178	Syap.g_00062	Prac.g_01941
OG0000179	Syap.g_00077, Syap.g_02638	Prac.g_01931
OG0000180	Syap.g_00078, Syap.g_02640	Prac.g_01930
OG0000181	Syap.g_00079, Syap.g_02641	Prac.g_01929
OG0000182	Syap.g_00080, Syap.g_02642	Prac.g_01928
OG0000183	Syap.g_00084	Prac.g_01924
OG0000184	Syap.g_01337	Prac.g_01885
OG0000185	Syap.g_01322	Prac.g_01882
OG0000186	Syap.g_01684	Prac.g_01867
OG0000187	Syap.g_01686	Prac.g_01866
OG0000188	Syap.g_02547	Prac.g_01849
OG0000191	Syap.g_02233	Prac.g_01814
OG0000192	Syap.g_02224	Prac.g_01810
OG0000193	Syap.g_02187, Syap.g_02188	Prac.g_01784
OG0000194	Syap.g_02183	Prac.g_01781
OG0000195	Syap.g_02180	Prac.g_01779
OG0000196	Syap.g_01208, Syap.g_02167	Prac.g_01769
OG0000197	Syap.g_01207, Syap.g_02166	Prac.g_01768
OG0000198	Syap.g_01206	Prac.g_01767
OG0000199	Syap.g_01197	Prac.g_01760
OG0000200	Syap.g_01181	Prac.g_01746
OG0000201	Syap.g_02265	Prac.g_01738
OG0000202	Syap.g_02264	Prac.g_01737
OG0000203	Syap.g_01601	Prac.g_01736
OG0000204	Syap.g_01602	Prac.g_01735
OG0000205	Syap.g_01616	Prac.g_01728
OG0000206	Syap.g_01628	Prac.g_01723
OG0000207	Syap.g_01426, Syap.g_00424	Prac.g_01721
OG0000208	Syap.g_00426, Syap.g_01425	Prac.g_01720
OG0000209	Syap.g_01906	Prac.g_01711
OG0000210	Syap.g_01905	Prac.g_01710
OG0000211	Syap.g_01160	Prac.g_01697
OG0000212	Syap.g_02664	Prac.g_01690
OG0000213	Syap.g_00107, Syap.g_01599	Prac.g_01674
OG0000214	Syap.g_02344, Syap.g_02345	Prac.g_01664
OG0000215	Syap.g_01347, Syap.g_01629	Prac.g_01639
OG0000216	Syap.g_01634	Prac.g_01637
OG0000217	Syap.g_01638	Prac.g_01634
OG0000218	Syap.g_01641, Syap.g_01640	Prac.g_01632
OG0000219	Syap.g_01642, Syap.g_01643	Prac.g_01631
OG0000220	Syap.g_01645	Prac.g_01630
OG0000221	Syap.g_01646	Prac.g_01629
OG0000222	Syap.g_01669	Prac.g_01621
