Orthogroup	Syap	Praf
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Praf.g_02422
OG0000001	Syap.g_00399	Praf.g_01293
OG0000004	Syap.g_01987	Praf.g_00743
OG0000005	Syap.g_01218	Praf.g_00503
OG0000007	Syap.g_00275	Praf.g_00614
OG0000007	Syap.g_00621	Praf.g_00480
OG0000009	Syap.g_02081	Praf.g_01768, Praf.g_00246
OG0000010	Syap.g_02757	Praf.g_01908
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Praf.g_02073
OG0000014	Syap.g_01675	Praf.g_02319
OG0000014	Syap.g_00813	Praf.g_00112
OG0000016	Syap.g_00071	Praf.g_00014
OG0000017	Syap.g_00449	Praf.g_00752
OG0000018	Syap.g_02010	Praf.g_01832
OG0000019	Syap.g_01586	Praf.g_00943, Praf.g_02214
OG0000025	Syap.g_01846	Praf.g_01591
OG0000028	Syap.g_01658	Praf.g_02333
OG0000030	Syap.g_00787	Praf.g_00160
OG0000030	Syap.g_00788	Praf.g_00159
OG0000031	Syap.g_00722	Praf.g_00101
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Praf.g_02346
OG0000033	Syap.g_01198	Praf.g_02707, Praf.g_00098, Praf.g_00117, Praf.g_02457
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Praf.g_00783
OG0000035	Syap.g_02465	Praf.g_01794
OG0000037	Syap.g_02492	Praf.g_00240
OG0000038	Syap.g_00139	Praf.g_02662
OG0000042	Syap.g_01891, Syap.g_01120	Praf.g_00164, Praf.g_00920
OG0000044	Syap.g_00378	Praf.g_00356, Praf.g_01078
OG0000045	Syap.g_02525	Praf.g_00322
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Praf.g_02072
OG0000048	Syap.g_02340	Praf.g_02267
OG0000051	Syap.g_01574	Praf.g_01022
OG0000053	Syap.g_02006	Praf.g_01828
OG0000054	Syap.g_00678	Praf.g_00763
OG0000058	Syap.g_02074	Praf.g_02345
OG0000059	Syap.g_01918	Praf.g_02172
OG0000061	Syap.g_00228	Praf.g_00854, Praf.g_01859
OG0000062	Syap.g_01365	Praf.g_00501
OG0000063	Syap.g_01796	Praf.g_00041
OG0000066	Syap.g_01972	Praf.g_00672
OG0000067	Syap.g_00194	Praf.g_01530
OG0000068	Syap.g_00108, Syap.g_00144	Praf.g_00585, Praf.g_00583
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Praf.g_01962
OG0000072	Syap.g_00555	Praf.g_02469
OG0000073	Syap.g_00273	Praf.g_00616
OG0000075	Syap.g_01064, Syap.g_00664	Praf.g_02384
OG0000076	Syap.g_01111	Praf.g_00178
OG0000079	Syap.g_01589	Praf.g_02234, Praf.g_02218, Praf.g_02225
OG0000085	Syap.g_00611	Praf.g_00491
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Praf.g_02420
OG0000088	Syap.g_01202	Praf.g_01239, Praf.g_02454
OG0000089	Syap.g_00115, Syap.g_02042	Praf.g_02015
OG0000090	Syap.g_01451	Praf.g_00660
OG0000091	Syap.g_01861	Praf.g_01700
OG0000095	Syap.g_01556	Praf.g_01274
OG0000098	Syap.g_01975	Praf.g_01886
OG0000099	Syap.g_01385	Praf.g_02342
OG0000102	Syap.g_01116	Praf.g_00173
OG0000103	Syap.g_02607, Syap.g_02608	Praf.g_02765
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Praf.g_02779
OG0000105	Syap.g_01369, Syap.g_01368	Praf.g_02271
OG0000107	Syap.g_02496	Praf.g_02201
OG0000108	Syap.g_00733, Syap.g_02255	Praf.g_00595
OG0000109	Syap.g_00279, Syap.g_02237	Praf.g_00611
OG0000110	Syap.g_01313	Praf.g_00718
OG0000111	Syap.g_01566, Syap.g_01568	Praf.g_01126
OG0000112	Syap.g_02023	Praf.g_01400
OG0000113	Syap.g_02714	Praf.g_01556
OG0000114	Syap.g_01255	Praf.g_01461
OG0000115	Syap.g_02004	Praf.g_01825
OG0000116	Syap.g_00241	Praf.g_00825
OG0000117	Syap.g_01889	Praf.g_00919
OG0000118	Syap.g_02286	Praf.g_00779
OG0000120	Syap.g_02075	Praf.g_02343
OG0000121	Syap.g_02471	Praf.g_01796
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Praf.g_02108
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Praf.g_00153
OG0000125	Syap.g_01046, Syap.g_01047	Praf.g_02664
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Praf.g_02777
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Praf.g_00338
OG0000128	Syap.g_00069	Praf.g_00012
OG0000129	Syap.g_00130, Syap.g_00129	Praf.g_02652
OG0000130	Syap.g_01688, Syap.g_01689	Praf.g_00321
OG0000131	Syap.g_02189	Praf.g_02432
OG0000132	Syap.g_01205	Praf.g_02452
OG0000133	Syap.g_02017	Praf.g_02336
OG0000134	Syap.g_02047	Praf.g_02012
OG0000135	Syap.g_02090	Praf.g_02705, Praf.g_02715
OG0000136	Syap.g_00089	Praf.g_01984
OG0000137	Syap.g_02756	Praf.g_01907
OG0000138	Syap.g_00278	Praf.g_00612
OG0000139	Syap.g_00410	Praf.g_00666
OG0000140	Syap.g_01976	Praf.g_00670
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Praf.g_00764
OG0000142	Syap.g_00895, Syap.g_00894	Praf.g_01692
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Praf.g_01696
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Praf.g_01721
OG0000145	Syap.g_01860, Syap.g_01859	Praf.g_00617
OG0000146	Syap.g_02024	Praf.g_01401
OG0000147	Syap.g_02025	Praf.g_01402
OG0000148	Syap.g_02720	Praf.g_01548
OG0000149	Syap.g_00824	Praf.g_01604
OG0000150	Syap.g_01540	Praf.g_01625
OG0000151	Syap.g_00142	Praf.g_01478
OG0000152	Syap.g_02012	Praf.g_01392
OG0000153	Syap.g_02682	Praf.g_01362
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Praf.g_01337
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Praf.g_00886
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Praf.g_00810
OG0000157	Syap.g_00249, Syap.g_00286	Praf.g_00809
OG0000158	Syap.g_01075	Praf.g_02394
OG0000160	Syap.g_02470, Syap.g_02469	Praf.g_01795
OG0000161	Syap.g_02476	Praf.g_01805
OG0000162	Syap.g_02531	Praf.g_01817
OG0000164	Syap.g_01391, Syap.g_01392	Praf.g_00453
OG0000165	Syap.g_01381, Syap.g_01382	Praf.g_00444
OG0000166	Syap.g_00512, Syap.g_01238	Praf.g_02157
OG0000167	Syap.g_02080	Praf.g_02382, Praf.g_02378, Praf.g_02380
OG0000168	Syap.g_01076	Praf.g_02395
OG0000169	Syap.g_01049, Syap.g_01093	Praf.g_00191
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Praf.g_00183
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Praf.g_00154
OG0000172	Syap.g_01143, Syap.g_00635	Praf.g_00087
OG0000173	Syap.g_00982, Syap.g_00983	Praf.g_00062
OG0000174	Syap.g_02092	Praf.g_02717
OG0000175	Syap.g_02654	Praf.g_02754
OG0000176	Syap.g_00059	Praf.g_00004
OG0000177	Syap.g_00061, Syap.g_00060	Praf.g_00005
OG0000178	Syap.g_00062	Praf.g_00006
OG0000179	Syap.g_00077, Syap.g_02638	Praf.g_00021
OG0000180	Syap.g_00078, Syap.g_02640	Praf.g_00022
OG0000181	Syap.g_00079, Syap.g_02641	Praf.g_00023
OG0000182	Syap.g_00080, Syap.g_02642	Praf.g_00024
OG0000183	Syap.g_00084	Praf.g_00028
OG0000184	Syap.g_01337	Praf.g_02611
OG0000185	Syap.g_01322	Praf.g_00333, Praf.g_02602
OG0000186	Syap.g_01684	Praf.g_00328
OG0000187	Syap.g_01686	Praf.g_00326
OG0000188	Syap.g_02547	Praf.g_00303
OG0000191	Syap.g_02233	Praf.g_00218
OG0000192	Syap.g_02224	Praf.g_00212
OG0000193	Syap.g_02187, Syap.g_02188	Praf.g_02433
OG0000194	Syap.g_02183	Praf.g_02436
OG0000196	Syap.g_01208, Syap.g_02167	Praf.g_02449
OG0000197	Syap.g_01207, Syap.g_02166	Praf.g_02450
OG0000198	Syap.g_01206	Praf.g_02451
OG0000199	Syap.g_01197	Praf.g_02468
OG0000200	Syap.g_01181	Praf.g_02711, Praf.g_02492
OG0000201	Syap.g_02265	Praf.g_02511
OG0000202	Syap.g_02264	Praf.g_02512
OG0000203	Syap.g_01601	Praf.g_02513
OG0000204	Syap.g_01602	Praf.g_02514
OG0000205	Syap.g_01616	Praf.g_02708, Praf.g_02521
OG0000206	Syap.g_01628	Praf.g_02532
OG0000207	Syap.g_01426, Syap.g_00424	Praf.g_02582
OG0000208	Syap.g_00426, Syap.g_01425	Praf.g_02581
OG0000209	Syap.g_01906	Praf.g_02557
OG0000210	Syap.g_01905	Praf.g_02556
OG0000211	Syap.g_01160	Praf.g_00378
OG0000212	Syap.g_02664	Praf.g_00392
OG0000213	Syap.g_00107, Syap.g_01599	Praf.g_02245
OG0000214	Syap.g_02344, Syap.g_02345	Praf.g_02263
OG0000215	Syap.g_01347, Syap.g_01629	Praf.g_02293
OG0000216	Syap.g_01634	Praf.g_02296
OG0000217	Syap.g_01638	Praf.g_02300
OG0000218	Syap.g_01641, Syap.g_01640	Praf.g_02302
OG0000219	Syap.g_01642, Syap.g_01643	Praf.g_02303
OG0000220	Syap.g_01645	Praf.g_02304
OG0000221	Syap.g_01646	Praf.g_02314
OG0000222	Syap.g_01669	Praf.g_02323
OG0000223	Syap.g_02072, Syap.g_02073	Praf.g_02347
OG0000224	Syap.g_02064	Praf.g_02358
OG0000225	Syap.g_00553, Syap.g_00552	Praf.g_02030
OG0000226	Syap.g_02029, Syap.g_02144	Praf.g_02026
OG0000227	Syap.g_02147, Syap.g_02034, Syap.g_02033	Praf.g_02024
OG0000228	Syap.g_00116, Syap.g_02041	Praf.g_02016
OG0000229	Syap.g_02059	Praf.g_01989
OG0000230	Syap.g_02061	Praf.g_01987
OG0000231	Syap.g_02533	Praf.g_01963
OG0000232	Syap.g_02510, Syap.g_02511	Praf.g_01952
OG0000233	Syap.g_02133	Praf.g_01938
OG0000234	Syap.g_02755	Praf.g_01905
OG0000235	Syap.g_00732, Syap.g_02258	Praf.g_00594
OG0000236	Syap.g_02238	Praf.g_00610
OG0000237	Syap.g_00262, Syap.g_00263	Praf.g_00627
OG0000238	Syap.g_00257, Syap.g_00258	Praf.g_00631
OG0000239	Syap.g_02744	Praf.g_00647
OG0000240	Syap.g_02742	Praf.g_00648
OG0000241	Syap.g_00888	Praf.g_01177
OG0000242	Syap.g_01455	Praf.g_00658
OG0000243	Syap.g_01938	Praf.g_00681
OG0000244	Syap.g_01146, Syap.g_01145	Praf.g_00685
OG0000245	Syap.g_01148	Praf.g_00688
OG0000246	Syap.g_00308	Praf.g_00692
OG0000247	Syap.g_00288, Syap.g_00293	Praf.g_00703
OG0000248	Syap.g_00290	Praf.g_00706
OG0000249	Syap.g_01296, Syap.g_01295	Praf.g_00708
OG0000250	Syap.g_01306	Praf.g_00714
OG0000251	Syap.g_00442	Praf.g_00739
OG0000252	Syap.g_01857	Praf.g_00742
OG0000253	Syap.g_00443	Praf.g_00749
OG0000254	Syap.g_01527, Syap.g_01528	Praf.g_00768
OG0000256	Syap.g_01287	Praf.g_01676
OG0000257	Syap.g_00886	Praf.g_01685
OG0000258	Syap.g_00907	Praf.g_01708
OG0000260	Syap.g_01970	Praf.g_01739
OG0000261	Syap.g_01962, Syap.g_01961	Praf.g_01742
OG0000262	Syap.g_01954	Praf.g_01748
OG0000263	Syap.g_00432, Syap.g_00433	Praf.g_02570
OG0000266	Syap.g_00519	Praf.g_01313
OG0000267	Syap.g_02333, Syap.g_02332	Praf.g_01436
OG0000268	Syap.g_00646	Praf.g_01435
OG0000269	Syap.g_00188	Praf.g_01525
OG0000270	Syap.g_00192	Praf.g_01528
OG0000271	Syap.g_00200, Syap.g_00201	Praf.g_01536
OG0000272	Syap.g_00202	Praf.g_01537
OG0000273	Syap.g_02703	Praf.g_01585
OG0000274	Syap.g_02702	Praf.g_01586
OG0000275	Syap.g_01847	Praf.g_01590
OG0000276	Syap.g_01838, Syap.g_01839	Praf.g_01596
OG0000277	Syap.g_01837	Praf.g_01597
OG0000278	Syap.g_01834	Praf.g_01600
OG0000279	Syap.g_00829, Syap.g_00830	Praf.g_01608
OG0000280	Syap.g_00365	Praf.g_01614
OG0000281	Syap.g_01977	Praf.g_01627
OG0000282	Syap.g_01252	Praf.g_01463
OG0000283	Syap.g_01728	Praf.g_01426
OG0000284	Syap.g_01736	Praf.g_01420
OG0000285	Syap.g_01746, Syap.g_01744	Praf.g_01006
OG0000286	Syap.g_02014, Syap.g_02013	Praf.g_01393
OG0000288	Syap.g_02764, Syap.g_02763	Praf.g_01338
OG0000289	Syap.g_02784	Praf.g_01325
OG0000290	Syap.g_01552	Praf.g_01277
OG0000292	Syap.g_02314	Praf.g_02776
OG0000293	Syap.g_00240	Praf.g_00826
OG0000294	Syap.g_00239	Praf.g_00827
OG0000295	Syap.g_00206	Praf.g_00879
OG0000296	Syap.g_00204	Praf.g_00881
OG0000298	Syap.g_01888	Praf.g_00918
OG0000299	Syap.g_02620	Praf.g_00908
OG0000302	Syap.g_02444, Syap.g_02445	Praf.g_00898
OG0000303	Syap.g_02435	Praf.g_00888
OG0000304	Syap.g_02430	Praf.g_00938
OG0000305	Syap.g_01557	Praf.g_01271
OG0000306	Syap.g_01966	Praf.g_01635
OG0000307	Syap.g_02517	Praf.g_00575
OG0000308	Syap.g_02514, Syap.g_02515	Praf.g_00573
OG0000309	Syap.g_02198, Syap.g_02446	Praf.g_00569
OG0000310	Syap.g_02660, Syap.g_02661	Praf.g_01772
OG0000311	Syap.g_02657	Praf.g_01778, Praf.g_01776
OG0000312	Syap.g_02114	Praf.g_01782
OG0000313	Syap.g_02473	Praf.g_01802
OG0000315	Syap.g_00017	Praf.g_01848
OG0000316	Syap.g_00030	Praf.g_00526
OG0000317	Syap.g_00618	Praf.g_00485
OG0000318	Syap.g_00622, Syap.g_02786	Praf.g_00479
OG0000319	Syap.g_01764, Syap.g_01771	Praf.g_00464
OG0000320	Syap.g_01761, Syap.g_01769	Praf.g_00462
OG0000321	Syap.g_01760, Syap.g_01768	Praf.g_00461
OG0000322	Syap.g_01759, Syap.g_01767	Praf.g_00460
OG0000323	Syap.g_01389	Praf.g_00449
OG0000324	Syap.g_01503	Praf.g_00419
OG0000325	Syap.g_02680	Praf.g_02200
OG0000326	Syap.g_00544	Praf.g_02193
OG0000327	Syap.g_01233, Syap.g_01913	Praf.g_02162
OG0000328	Syap.g_01234, Syap.g_01912	Praf.g_02161
OG0000329	Syap.g_00498	Praf.g_02144
OG0000330	Syap.g_00497	Praf.g_02143
OG0000331	Syap.g_00496	Praf.g_02142
OG0000332	Syap.g_00481	Praf.g_02127
OG0000333	Syap.g_00478	Praf.g_02125
OG0000334	Syap.g_00468	Praf.g_02112
OG0000335	Syap.g_00101, Syap.g_00463	Praf.g_02107
OG0000336	Syap.g_00417, Syap.g_00607	Praf.g_02103
OG0000337	Syap.g_01054	Praf.g_02372
OG0000338	Syap.g_01059	Praf.g_02375
OG0000339	Syap.g_01068	Praf.g_02386
OG0000340	Syap.g_01077	Praf.g_02396
OG0000341	Syap.g_01079	Praf.g_02398
OG0000342	Syap.g_01080, Syap.g_02477	Praf.g_02399
OG0000343	Syap.g_01086, Syap.g_02078	Praf.g_00196
OG0000344	Syap.g_01091	Praf.g_00193
OG0000345	Syap.g_01107, Syap.g_01470	Praf.g_00182
OG0000346	Syap.g_01113	Praf.g_00177
OG0000347	Syap.g_01131, Syap.g_02459	Praf.g_00152
OG0000348	Syap.g_00632	Praf.g_00081
OG0000349	Syap.g_00110, Syap.g_01813	Praf.g_00054
OG0000351	Syap.g_02594	Praf.g_02757
OG0000352	Syap.g_02596, Syap.g_02597	Praf.g_02758
OG0000353	Syap.g_00054	Praf.g_02782
OG0000354	Syap.g_00075, Syap.g_02635	Praf.g_00019
OG0000355	Syap.g_00056	Praf.g_00001
OG0000356	Syap.g_00057	Praf.g_00002
OG0000357	Syap.g_00058	Praf.g_00003
OG0000358	Syap.g_00063	Praf.g_00007
OG0000359	Syap.g_00065	Praf.g_00009
OG0000360	Syap.g_00067	Praf.g_00010
OG0000361	Syap.g_00068	Praf.g_00011
OG0000362	Syap.g_00070	Praf.g_00013
OG0000363	Syap.g_00072	Praf.g_00015
OG0000364	Syap.g_00620	Praf.g_00016
OG0000365	Syap.g_00081	Praf.g_00025
OG0000366	Syap.g_00082	Praf.g_00026
OG0000367	Syap.g_00083	Praf.g_00027
OG0000368	Syap.g_00085	Praf.g_00029
OG0000369	Syap.g_00086	Praf.g_00030
OG0000370	Syap.g_00087	Praf.g_00031
OG0000372	Syap.g_01805	Praf.g_00045
OG0000373	Syap.g_01806	Praf.g_00046
OG0000374	Syap.g_01807	Praf.g_00047
OG0000375	Syap.g_01808	Praf.g_00050
OG0000376	Syap.g_01811	Praf.g_00052
OG0000377	Syap.g_00128	Praf.g_02618
OG0000378	Syap.g_01326	Praf.g_02605
OG0000380	Syap.g_01687	Praf.g_00325
OG0000381	Syap.g_01690	Praf.g_00320
OG0000382	Syap.g_02548	Praf.g_00304
OG0000383	Syap.g_02359	Praf.g_00302
OG0000384	Syap.g_02360	Praf.g_00301
OG0000385	Syap.g_02361	Praf.g_00300
OG0000386	Syap.g_02362	Praf.g_00299
OG0000387	Syap.g_01864	Praf.g_00253
OG0000391	Syap.g_02234	Praf.g_00219
OG0000392	Syap.g_02225	Praf.g_00214
OG0000393	Syap.g_02222	Praf.g_00209
OG0000394	Syap.g_02221	Praf.g_00208
OG0000395	Syap.g_02220	Praf.g_00207
OG0000396	Syap.g_02217	Praf.g_02403
OG0000397	Syap.g_02215	Praf.g_02405
OG0000398	Syap.g_02211	Praf.g_02410
OG0000399	Syap.g_02210	Praf.g_02411
OG0000400	Syap.g_02209	Praf.g_02412
OG0000401	Syap.g_02208	Praf.g_02413
OG0000402	Syap.g_02206	Praf.g_02415
OG0000403	Syap.g_02205	Praf.g_02416
OG0000404	Syap.g_02204, Syap.g_02618	Praf.g_02418
OG0000405	Syap.g_02191	Praf.g_02430
OG0000406	Syap.g_02186	Praf.g_02434
OG0000407	Syap.g_02185	Praf.g_02435
OG0000408	Syap.g_02181, Syap.g_02182	Praf.g_02437
OG0000409	Syap.g_02179	Praf.g_02439
OG0000410	Syap.g_02178	Praf.g_02440
OG0000411	Syap.g_02177	Praf.g_02441
OG0000412	Syap.g_02176	Praf.g_02442
OG0000413	Syap.g_02174	Praf.g_02444
OG0000414	Syap.g_02173	Praf.g_02445
OG0000415	Syap.g_02172	Praf.g_02446
OG0000416	Syap.g_02171	Praf.g_02447
OG0000417	Syap.g_02169	Praf.g_02448
OG0000418	Syap.g_01204	Praf.g_02453
OG0000419	Syap.g_01201	Praf.g_02455
OG0000420	Syap.g_01199	Praf.g_02456
OG0000421	Syap.g_01195	Praf.g_02470
OG0000422	Syap.g_01194	Praf.g_02471
OG0000423	Syap.g_01193	Praf.g_02472
OG0000424	Syap.g_01192	Praf.g_02473
OG0000425	Syap.g_01191	Praf.g_02474
OG0000426	Syap.g_01190	Praf.g_02475
OG0000427	Syap.g_01189	Praf.g_02476
OG0000428	Syap.g_01186	Praf.g_01486
OG0000429	Syap.g_01184	Praf.g_02489
OG0000430	Syap.g_01182	Praf.g_02491
OG0000431	Syap.g_01179	Praf.g_02495
OG0000432	Syap.g_02277	Praf.g_02502
OG0000433	Syap.g_02272	Praf.g_02505
OG0000434	Syap.g_02271	Praf.g_02506
OG0000435	Syap.g_02268	Praf.g_02509
OG0000436	Syap.g_01607	Praf.g_02515
OG0000437	Syap.g_01608	Praf.g_02516
OG0000438	Syap.g_01612	Praf.g_02517
OG0000439	Syap.g_01614	Praf.g_02519
OG0000440	Syap.g_01615	Praf.g_02520
OG0000441	Syap.g_01619	Praf.g_02524
OG0000442	Syap.g_01620	Praf.g_02525
OG0000443	Syap.g_01622	Praf.g_02531
OG0000444	Syap.g_01424	Praf.g_02575
OG0000445	Syap.g_01421	Praf.g_02574
OG0000446	Syap.g_01419	Praf.g_02572
OG0000447	Syap.g_01410	Praf.g_02568
OG0000448	Syap.g_01407	Praf.g_02567
OG0000449	Syap.g_01406	Praf.g_02566
OG0000450	Syap.g_01909	Praf.g_02560
OG0000451	Syap.g_01908	Praf.g_02559
OG0000452	Syap.g_01904	Praf.g_02555
OG0000453	Syap.g_01903	Praf.g_02554
OG0000454	Syap.g_01902	Praf.g_02553
OG0000455	Syap.g_01901	Praf.g_02552
OG0000456	Syap.g_01900	Praf.g_02551
OG0000457	Syap.g_01896	Praf.g_02549
OG0000458	Syap.g_01895	Praf.g_02548
OG0000459	Syap.g_01894	Praf.g_02547
OG0000460	Syap.g_01159	Praf.g_00379
OG0000461	Syap.g_01575	Praf.g_02203
OG0000462	Syap.g_01578	Praf.g_02207
OG0000463	Syap.g_01579	Praf.g_02208
OG0000464	Syap.g_01580	Praf.g_02209
OG0000465	Syap.g_01582	Praf.g_02210
OG0000466	Syap.g_01587	Praf.g_02215
OG0000467	Syap.g_01588	Praf.g_02217
OG0000468	Syap.g_01593	Praf.g_02242
OG0000469	Syap.g_02352	Praf.g_02255
OG0000470	Syap.g_02349	Praf.g_02259
OG0000471	Syap.g_02348	Praf.g_02260
OG0000472	Syap.g_02347	Praf.g_02262
OG0000473	Syap.g_02343	Praf.g_02264
OG0000474	Syap.g_02342	Praf.g_02265
OG0000475	Syap.g_02341	Praf.g_02266
OG0000476	Syap.g_02339	Praf.g_02268
OG0000477	Syap.g_01367	Praf.g_02273
OG0000478	Syap.g_01366	Praf.g_02274
OG0000479	Syap.g_01364	Praf.g_02275
OG0000480	Syap.g_01357	Praf.g_02282
OG0000482	Syap.g_01355	Praf.g_02285
OG0000483	Syap.g_01344	Praf.g_02289
OG0000484	Syap.g_01350	Praf.g_02290
OG0000485	Syap.g_01349	Praf.g_02291
OG0000487	Syap.g_01635	Praf.g_02297
OG0000488	Syap.g_01639	Praf.g_02301
OG0000489	Syap.g_02482	Praf.g_02315
OG0000490	Syap.g_01673	Praf.g_02321
OG0000491	Syap.g_01670	Praf.g_02322
OG0000492	Syap.g_01668	Praf.g_02324
OG0000493	Syap.g_01667	Praf.g_02325
OG0000494	Syap.g_01666	Praf.g_02326
OG0000495	Syap.g_01665	Praf.g_02327
OG0000496	Syap.g_01663	Praf.g_02328
OG0000497	Syap.g_01662	Praf.g_02329
OG0000498	Syap.g_01661	Praf.g_02330
OG0000499	Syap.g_01660	Praf.g_02331
OG0000500	Syap.g_01659	Praf.g_02332
OG0000501	Syap.g_01656	Praf.g_02335
OG0000502	Syap.g_02066	Praf.g_02349
OG0000503	Syap.g_00569	Praf.g_02054
OG0000504	Syap.g_00567	Praf.g_02052
OG0000505	Syap.g_00566	Praf.g_02051
OG0000506	Syap.g_00564	Praf.g_02049
OG0000507	Syap.g_00558	Praf.g_02045
OG0000508	Syap.g_00554	Praf.g_02031
OG0000509	Syap.g_00551	Praf.g_02029
OG0000510	Syap.g_00550	Praf.g_02028
OG0000511	Syap.g_00548	Praf.g_02027
OG0000512	Syap.g_02145	Praf.g_02025
OG0000513	Syap.g_02048	Praf.g_02011
OG0000514	Syap.g_02051	Praf.g_02002
OG0000515	Syap.g_02052	Praf.g_02001
OG0000516	Syap.g_02054	Praf.g_01999
OG0000517	Syap.g_02057	Praf.g_01990
OG0000519	Syap.g_00457	Praf.g_01977
OG0000520	Syap.g_00456	Praf.g_01972
OG0000521	Syap.g_01997	Praf.g_01959
OG0000522	Syap.g_01995	Praf.g_01957
OG0000523	Syap.g_02507	Praf.g_01956
OG0000524	Syap.g_02135	Praf.g_01942
OG0000525	Syap.g_02159	Praf.g_01915
OG0000526	Syap.g_02157	Praf.g_01913
OG0000527	Syap.g_02758	Praf.g_01909
OG0000528	Syap.g_02261	Praf.g_00589
OG0000529	Syap.g_02254	Praf.g_00596
OG0000530	Syap.g_02252	Praf.g_00599
OG0000531	Syap.g_02251	Praf.g_00600
OG0000532	Syap.g_02247	Praf.g_00603
OG0000533	Syap.g_02244	Praf.g_00605
OG0000534	Syap.g_02243	Praf.g_00606
OG0000535	Syap.g_02242	Praf.g_00607
OG0000536	Syap.g_02241	Praf.g_00608
OG0000537	Syap.g_02240	Praf.g_00609
OG0000538	Syap.g_00271	Praf.g_00619
OG0000539	Syap.g_00270	Praf.g_00621
OG0000540	Syap.g_00269	Praf.g_00622
OG0000541	Syap.g_00268	Praf.g_00623
OG0000542	Syap.g_00264	Praf.g_00626
OG0000543	Syap.g_00261	Praf.g_00628
OG0000544	Syap.g_00260	Praf.g_00629
OG0000545	Syap.g_00259	Praf.g_00630
OG0000546	Syap.g_00256	Praf.g_00632
OG0000547	Syap.g_00254	Praf.g_00634
OG0000548	Syap.g_00253	Praf.g_00635
OG0000549	Syap.g_00758	Praf.g_00641
OG0000550	Syap.g_02747	Praf.g_00646
OG0000551	Syap.g_02739	Praf.g_00650
OG0000552	Syap.g_02738	Praf.g_00651
OG0000553	Syap.g_02735	Praf.g_00656
OG0000554	Syap.g_01450	Praf.g_00661
OG0000555	Syap.g_01941	Praf.g_00677
