Orthogroup	Syap	Syam
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syam.g_02178
OG0000004	Syap.g_01987	Syam.g_00501
OG0000005	Syap.g_01773	Syam.g_02004
OG0000005	Syap.g_01218	Syam.g_01970
OG0000006	Syap.g_02770	Syam.g_01446
OG0000007	Syap.g_00275	Syam.g_00602
OG0000007	Syap.g_00621	Syam.g_01990
OG0000009	Syap.g_02081	Syam.g_02119
OG0000010	Syap.g_02757	Syam.g_01669
OG0000013	Syap.g_00972	Syam.g_00404
OG0000014	Syap.g_01675	Syam.g_00191
OG0000016	Syap.g_00071	Syam.g_00014
OG0000017	Syap.g_00449	Syam.g_01715
OG0000018	Syap.g_02708, Syap.g_02010	Syam.g_01640
OG0000019	Syap.g_01586	Syam.g_00274
OG0000025	Syap.g_01846	Syam.g_00740
OG0000027	Syap.g_01440	Syam.g_01442
OG0000028	Syap.g_01658	Syam.g_00176
OG0000030	Syap.g_00787	Syam.g_00104
OG0000030	Syap.g_00788	Syam.g_00103
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syam.g_00171
OG0000031	Syap.g_00722	Syam.g_00086
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syam.g_00079
OG0000033	Syap.g_01198	Syam.g_02217
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syam.g_02185, Syam.g_01843, Syam.g_02187
OG0000035	Syap.g_02465	Syam.g_01612
OG0000040	Syap.g_01819	Syam.g_02390
OG0000042	Syap.g_01891, Syap.g_01120	Syam.g_00107
OG0000043	Syap.g_01998	Syam.g_01041
OG0000044	Syap.g_00378	Syam.g_01562, Syam.g_02052
OG0000045	Syap.g_02525	Syam.g_02028
OG0000048	Syap.g_02340	Syam.g_00243
OG0000053	Syap.g_02006	Syam.g_01636
OG0000054	Syap.g_00678	Syam.g_01515
OG0000059	Syap.g_01082, Syap.g_02478	Syam.g_00320
OG0000060	Syap.g_00795	Syam.g_00902
OG0000061	Syap.g_00228	Syam.g_01795
OG0000062	Syap.g_01220	Syam.g_01972
OG0000063	Syap.g_01796	Syam.g_00039
OG0000066	Syap.g_01972	Syam.g_00552, Syam.g_00662
OG0000067	Syap.g_00194	Syam.g_01290
OG0000068	Syap.g_00108, Syap.g_00144	Syam.g_00575
OG0000069	Syap.g_01543, Syap.g_01545	Syam.g_01521
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Syam.g_01847
OG0000073	Syap.g_00273	Syam.g_00604
