Orthogroup	Syap	Syat
OG0000001	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615	Syat.g_02908, Syat.g_02909
OG0000001	Syap.g_00399	Syat.g_00878
OG0000005	Syap.g_01773	Syat.g_03065
OG0000005	Syap.g_01218	Syat.g_03105
OG0000006	Syap.g_02770	Syat.g_00371
OG0000007	Syap.g_00275	Syat.g_03191
OG0000007	Syap.g_00621	Syat.g_03124
OG0000009	Syap.g_02081	Syat.g_01567
OG0000010	Syap.g_02757	Syat.g_01372
OG0000013	Syap.g_00586, Syap.g_00580, Syap.g_00583	Syat.g_01625
OG0000013	Syap.g_00972	Syat.g_01027
OG0000014	Syap.g_01675	Syat.g_02104
OG0000014	Syap.g_00813	Syat.g_02250
OG0000015	Syap.g_00786	Syat.g_00775, Syat.g_01677
OG0000016	Syap.g_00071	Syat.g_02329
OG0000016	Syap.g_00404	Syat.g_00222, Syat.g_00832
OG0000017	Syap.g_00449	Syat.g_00015
OG0000018	Syap.g_02010	Syat.g_01334
OG0000019	Syap.g_01586	Syat.g_01876
OG0000025	Syap.g_01846	Syat.g_00719
OG0000027	Syap.g_01440	Syat.g_00850
OG0000028	Syap.g_01658	Syat.g_02126
OG0000030	Syap.g_00787	Syat.g_00307
OG0000030	Syap.g_00788	Syat.g_00308
OG0000031	Syap.g_02479, Syap.g_01083, Syap.g_02076	Syat.g_02131
OG0000031	Syap.g_00722	Syat.g_03199, Syat.g_02243
OG0000032	Syap.g_02461, Syap.g_01133, Syap.g_01134	Syat.g_02237
OG0000033	Syap.g_01198	Syat.g_02858
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Syat.g_01165, Syat.g_02902
OG0000035	Syap.g_02465	Syat.g_01227, Syat.g_01226
OG0000037	Syap.g_02492	Syat.g_00849, Syat.g_00187
OG0000038	Syap.g_00139	Syat.g_02686
OG0000039	Syap.g_01749, Syap.g_01748	Syat.g_01278
OG0000040	Syap.g_01819	Syat.g_02551
OG0000041	Syap.g_01510	Syat.g_03006
OG0000042	Syap.g_01891	Syat.g_00223
OG0000042	Syap.g_01120	Syat.g_02222
OG0000044	Syap.g_00378	Syat.g_00933
OG0000045	Syap.g_02525	Syat.g_00935
OG0000046	Syap.g_00973	Syat.g_01026
OG0000048	Syap.g_02340	Syat.g_02046
OG0000053	Syap.g_02006	Syat.g_01330
OG0000054	Syap.g_02652	Syat.g_00987
OG0000054	Syap.g_00774	Syat.g_03390
OG0000057	Syap.g_01569	Syat.g_02055
OG0000058	Syap.g_02074	Syat.g_02133, Syat.g_02238
OG0000059	Syap.g_01918	Syat.g_01832
OG0000060	Syap.g_00795	Syat.g_01047
OG0000061	Syap.g_00228	Syat.g_03260
OG0000062	Syap.g_01220	Syat.g_03107
OG0000063	Syap.g_01796	Syat.g_02303
OG0000066	Syap.g_01972	Syat.g_03283
OG0000067	Syap.g_00194	Syat.g_00479
OG0000068	Syap.g_00108, Syap.g_00144	Syat.g_00085
OG0000069	Syap.g_01543, Syap.g_01545	Syat.g_00879
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966	Syat.g_01032
OG0000070	Syap.g_00802, Syap.g_00915, Syap.g_00953	Syat.g_01040
OG0000071	Syap.g_01483	Syat.g_01153
OG0000072	Syap.g_00555	Syat.g_01597
OG0000073	Syap.g_00273	Syat.g_03201
OG0000075	Syap.g_01064	Syat.g_02497
OG0000075	Syap.g_00664	Syat.g_01713
OG0000076	Syap.g_01111	Syat.g_02206
OG0000077	Syap.g_00416	Syat.g_01481
OG0000079	Syap.g_01589	Syat.g_01879
OG0000080	Syap.g_00630	Syat.g_02282
OG0000080	Syap.g_01035	Syat.g_01200
OG0000080	Syap.g_01707	Syat.g_02246
OG0000080	Syap.g_01003	Syat.g_02420
OG0000085	Syap.g_00611	Syat.g_03113
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Syat.g_02912
OG0000088	Syap.g_01202	Syat.g_02862
OG0000089	Syap.g_00115, Syap.g_02042	Syat.g_02953
OG0000090	Syap.g_01451	Syat.g_03270
OG0000091	Syap.g_01861	Syat.g_00862
OG0000094	Syap.g_02781	Syat.g_00698
OG0000095	Syap.g_01556	Syat.g_00808
OG0000098	Syap.g_01975	Syat.g_03281
OG0000099	Syap.g_01385	Syat.g_02130
OG0000101	Syap.g_00472	Syat.g_01661
OG0000102	Syap.g_01116	Syat.g_00974
OG0000103	Syap.g_02607, Syap.g_02608	Syat.g_02399
OG0000104	Syap.g_02318	Syat.g_02385
OG0000105	Syap.g_01369, Syap.g_01368	Syat.g_02052
OG0000107	Syap.g_02496	Syat.g_01862
OG0000108	Syap.g_00733, Syap.g_02255	Syat.g_03170
OG0000109	Syap.g_00279, Syap.g_02237	Syat.g_03187
OG0000110	Syap.g_01313	Syat.g_00049
OG0000111	Syap.g_01566, Syap.g_01568	Syat.g_00816
OG0000112	Syap.g_02023	Syat.g_00593
OG0000113	Syap.g_02714	Syat.g_00509
OG0000114	Syap.g_01255	Syat.g_00426
OG0000115	Syap.g_02004	Syat.g_01328
OG0000117	Syap.g_01889	Syat.g_00224
OG0000118	Syap.g_02286	Syat.g_01168
OG0000120	Syap.g_02075	Syat.g_02132
OG0000121	Syap.g_02471	Syat.g_01223
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Syat.g_01653
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Syat.g_02231
OG0000125	Syap.g_01047	Syat.g_02684
OG0000126	Syap.g_02576	Syat.g_00976
OG0000127	Syap.g_00736, Syap.g_00737, Syap.g_00735	Syat.g_00175
OG0000128	Syap.g_00069	Syat.g_02331
OG0000129	Syap.g_00130	Syat.g_02693
OG0000129	Syap.g_00129	Syat.g_02694
OG0000130	Syap.g_01688, Syap.g_01689	Syat.g_01469
OG0000131	Syap.g_02189	Syat.g_02898
OG0000132	Syap.g_01205	Syat.g_02864
OG0000133	Syap.g_02017	Syat.g_00588
OG0000134	Syap.g_02047	Syat.g_02956
OG0000135	Syap.g_02090	Syat.g_02501
OG0000136	Syap.g_00089	Syat.g_01292
OG0000137	Syap.g_02756	Syat.g_01371
OG0000138	Syap.g_00278	Syat.g_03188
OG0000140	Syap.g_01976	Syat.g_03280
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Syat.g_03398
OG0000142	Syap.g_00895, Syap.g_00894	Syat.g_00117
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Syat.g_00130
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Syat.g_00369
OG0000145	Syap.g_01860	Syat.g_03202
OG0000146	Syap.g_02024	Syat.g_00594
OG0000147	Syap.g_02025	Syat.g_00595
OG0000148	Syap.g_02720	Syat.g_00503
OG0000149	Syap.g_00824	Syat.g_00747
OG0000150	Syap.g_01540	Syat.g_03399
OG0000151	Syap.g_00142	Syat.g_00801, Syat.g_00440
OG0000152	Syap.g_02012	Syat.g_00578
