Orthogroup	Syap	Prbe
OG0000004	Syap.g_01987	Prbe.g_01784
OG0000005	Syap.g_01218	Prbe.g_00228
OG0000007	Syap.g_00275	Prbe.g_00636
OG0000007	Syap.g_00621	Prbe.g_00985
OG0000010	Syap.g_02757	Prbe.g_00096, Prbe.g_01411, Prbe.g_00659
OG0000013	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972	Prbe.g_01879
OG0000014	Syap.g_01675	Prbe.g_01861
OG0000016	Syap.g_00404	Prbe.g_01607
OG0000017	Syap.g_00449	Prbe.g_00536
OG0000018	Syap.g_02010	Prbe.g_01571, Prbe.g_01250
OG0000019	Syap.g_01586	Prbe.g_01802, Prbe.g_01573
OG0000025	Syap.g_01846	Prbe.g_01258
OG0000027	Syap.g_01440	Prbe.g_01121, Prbe.g_00012
OG0000028	Syap.g_01658	Prbe.g_00034
OG0000030	Syap.g_00787, Syap.g_00788	Prbe.g_00763
OG0000031	Syap.g_00722	Prbe.g_00352
OG0000033	Syap.g_01198	Prbe.g_00345, Prbe.g_01717
OG0000034	Syap.g_02193, Syap.g_02614, Syap.g_02280	Prbe.g_00882
OG0000035	Syap.g_02465	Prbe.g_00311
OG0000037	Syap.g_02492	Prbe.g_01651
OG0000038	Syap.g_00139	Prbe.g_01156
OG0000039	Syap.g_01749, Syap.g_01748	Prbe.g_00461
OG0000042	Syap.g_01891, Syap.g_01120	Prbe.g_00766
OG0000043	Syap.g_01998	Prbe.g_01570
OG0000045	Syap.g_02525	Prbe.g_01593
OG0000046	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973	Prbe.g_01880
OG0000048	Syap.g_02340	Prbe.g_00906, Prbe.g_01825
OG0000051	Syap.g_01574	Prbe.g_00720
OG0000053	Syap.g_02006	Prbe.g_01040, Prbe.g_00290
OG0000054	Syap.g_00678	Prbe.g_00527
OG0000059	Syap.g_01082, Syap.g_02478	Prbe.g_01094
OG0000061	Syap.g_00228	Prbe.g_01549
OG0000062	Syap.g_01220, Syap.g_01365	Prbe.g_00226
OG0000063	Syap.g_01796	Prbe.g_00021
OG0000066	Syap.g_01972	Prbe.g_00596, Prbe.g_01114
OG0000067	Syap.g_00194	Prbe.g_01222
OG0000068	Syap.g_00108, Syap.g_00144	Prbe.g_00373
OG0000070	Syap.g_00930, Syap.g_00931, Syap.g_00966, Syap.g_00802, Syap.g_00915, Syap.g_00953	Prbe.g_01948
OG0000072	Syap.g_00555	Prbe.g_01719
OG0000073	Syap.g_00273	Prbe.g_00633
OG0000075	Syap.g_01064, Syap.g_00664	Prbe.g_00800
OG0000076	Syap.g_01111	Prbe.g_00774
OG0000079	Syap.g_01589	Prbe.g_01805
OG0000085	Syap.g_00611	Prbe.g_00993, Prbe.g_00007
OG0000087	Syap.g_02617, Syap.g_02202, Syap.g_02203	Prbe.g_01683
OG0000088	Syap.g_01202	Prbe.g_01714
OG0000089	Syap.g_00115, Syap.g_02042	Prbe.g_01915
OG0000090	Syap.g_01451	Prbe.g_00602
OG0000091	Syap.g_01861	Prbe.g_01477
OG0000095	Syap.g_01556	Prbe.g_01297
OG0000098	Syap.g_01975	Prbe.g_00397
OG0000099	Syap.g_01385	Prbe.g_00350
OG0000101	Syap.g_00472	Prbe.g_00836
OG0000102	Syap.g_01116	Prbe.g_00769
OG0000103	Syap.g_02607, Syap.g_02608	Prbe.g_01195
OG0000104	Syap.g_02321, Syap.g_00051, Syap.g_02320, Syap.g_02318	Prbe.g_01061
OG0000105	Syap.g_01369, Syap.g_01368	Prbe.g_01828
OG0000107	Syap.g_02496	Prbe.g_00921
OG0000108	Syap.g_00733, Syap.g_02255	Prbe.g_00653
OG0000109	Syap.g_00279, Syap.g_02237	Prbe.g_00639
OG0000110	Syap.g_01313	Prbe.g_00560
OG0000111	Syap.g_01566, Syap.g_01568	Prbe.g_01207
OG0000112	Syap.g_02023	Prbe.g_00487
OG0000113	Syap.g_02714	Prbe.g_01245
OG0000114	Syap.g_01255	Prbe.g_00417
OG0000115	Syap.g_02004	Prbe.g_01618
OG0000116	Syap.g_00241	Prbe.g_01560
OG0000117	Syap.g_01889	Prbe.g_01522
OG0000118	Syap.g_02286	Prbe.g_00880
OG0000120	Syap.g_02075	Prbe.g_00353
OG0000121	Syap.g_02471	Prbe.g_00309
OG0000123	Syap.g_00100, Syap.g_00099, Syap.g_00098, Syap.g_00464	Prbe.g_00829
OG0000124	Syap.g_02456, Syap.g_02457, Syap.g_01130	Prbe.g_00745
OG0000125	Syap.g_01046, Syap.g_01047	Prbe.g_01158
OG0000126	Syap.g_02317, Syap.g_02576, Syap.g_02316	Prbe.g_01060
OG0000128	Syap.g_00069	Prbe.g_01076
OG0000129	Syap.g_00130, Syap.g_00129	Prbe.g_00145
OG0000130	Syap.g_01688, Syap.g_01689	Prbe.g_00174
OG0000131	Syap.g_02189	Prbe.g_01692
OG0000132	Syap.g_01205	Prbe.g_01712
OG0000133	Syap.g_02017	Prbe.g_01875
OG0000134	Syap.g_02047	Prbe.g_01917
OG0000135	Syap.g_02090	Prbe.g_00911
OG0000136	Syap.g_00089	Prbe.g_01939
OG0000137	Syap.g_02756	Prbe.g_00658
OG0000138	Syap.g_00278	Prbe.g_00638
OG0000139	Syap.g_00410	Prbe.g_00598
OG0000140	Syap.g_01976	Prbe.g_00597
OG0000141	Syap.g_01541, Syap.g_01542, Syap.g_01544	Prbe.g_00526
OG0000142	Syap.g_00895, Syap.g_00894	Prbe.g_01485
OG0000143	Syap.g_00900, Syap.g_00899, Syap.g_00901	Prbe.g_01481
OG0000144	Syap.g_02504, Syap.g_02503, Syap.g_02502, Syap.g_02772	Prbe.g_01467
OG0000145	Syap.g_01860, Syap.g_01859	Prbe.g_00909
OG0000146	Syap.g_02024	Prbe.g_00488
OG0000147	Syap.g_02025	Prbe.g_00489
OG0000148	Syap.g_02720	Prbe.g_01239
OG0000149	Syap.g_00824	Prbe.g_01271
OG0000150	Syap.g_01540	Prbe.g_01281
OG0000151	Syap.g_00142	Prbe.g_00427
OG0000152	Syap.g_02012	Prbe.g_01350
OG0000153	Syap.g_02682	Prbe.g_01369
OG0000154	Syap.g_02761, Syap.g_02760, Syap.g_01876	Prbe.g_01389
OG0000155	Syap.g_02777, Syap.g_01878, Syap.g_01879	Prbe.g_01528
OG0000156	Syap.g_00248, Syap.g_00284, Syap.g_00283	Prbe.g_00904
OG0000157	Syap.g_00249, Syap.g_00286	Prbe.g_00903
OG0000158	Syap.g_01075	Prbe.g_00792
OG0000159	Syap.g_00852	Prbe.g_00165
OG0000160	Syap.g_02470, Syap.g_02469	Prbe.g_00310
OG0000161	Syap.g_02476	Prbe.g_00304
OG0000162	Syap.g_02531	Prbe.g_00298
OG0000164	Syap.g_01391, Syap.g_01392	Prbe.g_00961
OG0000165	Syap.g_01381, Syap.g_01382	Prbe.g_00954
OG0000166	Syap.g_00512, Syap.g_01238	Prbe.g_01083
OG0000167	Syap.g_02080	Prbe.g_00802
OG0000168	Syap.g_01076	Prbe.g_00791
OG0000169	Syap.g_01049, Syap.g_01093	Prbe.g_00781
OG0000170	Syap.g_01467, Syap.g_01106, Syap.g_01468	Prbe.g_00778
OG0000171	Syap.g_01128, Syap.g_02454, Syap.g_02453	Prbe.g_00758
OG0000172	Syap.g_01143, Syap.g_00635	Prbe.g_00751
OG0000173	Syap.g_00982, Syap.g_00983	Prbe.g_01143
OG0000174	Syap.g_02092	Prbe.g_01173
OG0000175	Syap.g_02654	Prbe.g_01186
OG0000176	Syap.g_00059	Prbe.g_01069
OG0000177	Syap.g_00061, Syap.g_00060	Prbe.g_01070
OG0000178	Syap.g_00062	Prbe.g_01071
OG0000179	Syap.g_00077, Syap.g_02638	Prbe.g_00116
OG0000180	Syap.g_00078, Syap.g_02640	Prbe.g_00117
OG0000181	Syap.g_00079, Syap.g_02641	Prbe.g_00118
OG0000182	Syap.g_00080, Syap.g_02642	Prbe.g_00119
OG0000183	Syap.g_00084	Prbe.g_00123
OG0000184	Syap.g_01337	Prbe.g_00149
OG0000185	Syap.g_01322	Prbe.g_00152
OG0000186	Syap.g_01684	Prbe.g_00168
OG0000187	Syap.g_01686	Prbe.g_00169
OG0000188	Syap.g_02547	Prbe.g_00186
OG0000191	Syap.g_02233	Prbe.g_01661
OG0000192	Syap.g_02224	Prbe.g_01666
OG0000193	Syap.g_02187, Syap.g_02188	Prbe.g_01693
OG0000194	Syap.g_02183	Prbe.g_01696
OG0000195	Syap.g_02180	Prbe.g_01698
OG0000196	Syap.g_01208, Syap.g_02167	Prbe.g_01709
OG0000197	Syap.g_01207, Syap.g_02166	Prbe.g_01710
OG0000198	Syap.g_01206	Prbe.g_01711
OG0000199	Syap.g_01197	Prbe.g_01718
OG0000200	Syap.g_01181	Prbe.g_01732
OG0000201	Syap.g_02265	Prbe.g_01741
OG0000202	Syap.g_02264	Prbe.g_01742
OG0000203	Syap.g_01601	Prbe.g_01743
OG0000204	Syap.g_01602	Prbe.g_01744
OG0000205	Syap.g_01616	Prbe.g_01751
