Orthogroup	Prbg	Prar
OG0000000	Prbg.g_01567	Prar.g_00713, Prar.g_00729
OG0000001	Prbg.g_00502	Prar.g_00926
OG0000002	Prbg.g_01222, Prbg.g_01227	Prar.g_00918
OG0000002	Prbg.g_01516, Prbg.g_00523, Prbg.g_01514, Prbg.g_01521, Prbg.g_00694, Prbg.g_01119	Prar.g_01508
OG0000004	Prbg.g_01140	Prar.g_01525
OG0000004	Prbg.g_01014	Prar.g_00095
OG0000005	Prbg.g_00674	Prar.g_00771
OG0000006	Prbg.g_01024	Prar.g_00086
OG0000007	Prbg.g_00216	Prar.g_01328
OG0000007	Prbg.g_01650	Prar.g_01143
OG0000008	Prbg.g_00744	Prar.g_01185
OG0000010	Prbg.g_00193	Prar.g_00524
OG0000010	Prbg.g_01053, Prbg.g_01348	Prar.g_01567, Prar.g_01912
OG0000012	Prbg.g_00342, Prbg.g_00706	Prar.g_01453
OG0000013	Prbg.g_00104	Prar.g_00260
OG0000014	Prbg.g_00086	Prar.g_00281
OG0000015	Prbg.g_01589, Prbg.g_01635	Prar.g_01179
OG0000017	Prbg.g_00317, Prbg.g_00324	Prar.g_01428
OG0000018	Prbg.g_01187	Prar.g_01711
OG0000018	Prbg.g_01508	Prar.g_01282
OG0000019	Prbg.g_01032	Prar.g_00078
OG0000019	Prbg.g_01510	Prar.g_01663
OG0000020	Prbg.g_00727	Prar.g_01007, Prar.g_01155, Prar.g_01561
OG0000021	Prbg.g_00699, Prbg.g_01145	Prar.g_00425
OG0000022	Prbg.g_00682	Prar.g_01649
OG0000023	Prbg.g_00013	Prar.g_00420
OG0000024	Prbg.g_01352	Prar.g_01634
OG0000024	Prbg.g_01116	Prar.g_01505
OG0000025	Prbg.g_01195	Prar.g_00256, Prar.g_01718
OG0000026	Prbg.g_00842	Prar.g_00007, Prar.g_01919
OG0000027	Prbg.g_00721, Prbg.g_01569	Prar.g_00520
OG0000028	Prbg.g_00743	Prar.g_00985
OG0000029	Prbg.g_01740	Prar.g_00436
OG0000030	Prbg.g_01858	Prar.g_00662
OG0000031	Prbg.g_00550	Prar.g_00879
OG0000034	Prbg.g_00488	Prar.g_00945
OG0000035	Prbg.g_00591	Prar.g_00339
OG0000037	Prbg.g_00881	Prar.g_00219
OG0000038	Prbg.g_01898	Prar.g_00702
OG0000039	Prbg.g_01128	Prar.g_01516
OG0000041	Prbg.g_01697	Prar.g_00602
OG0000042	Prbg.g_01855	Prar.g_00660
OG0000043	Prbg.g_01507	Prar.g_01755
OG0000047	Prbg.g_00143	Prar.g_00468
OG0000048	Prbg.g_00464, Prbg.g_00050	Prar.g_00435
OG0000053	Prbg.g_00612, Prbg.g_01595	Prar.g_00589, Prar.g_00827
OG0000054	Prbg.g_00326	Prar.g_01436
OG0000055	Prbg.g_01535, Prbg.g_01624	Prar.g_01664
OG0000057	Prbg.g_01143	Prar.g_01528
OG0000058	Prbg.g_00551	Prar.g_00870, Prar.g_00362
OG0000059	Prbg.g_01737	Prar.g_01090
OG0000061	Prbg.g_01486	Prar.g_01263
OG0000062	Prbg.g_00676	Prar.g_00769
OG0000063	Prbg.g_00730	Prar.g_01189
OG0000065	Prbg.g_00879	Prar.g_00221
OG0000066	Prbg.g_00256	Prar.g_01369
OG0000067	Prbg.g_01159	Prar.g_01684
OG0000068	Prbg.g_00529	Prar.g_00911
OG0000069	Prbg.g_00174	Prar.g_01170, Prar.g_00736
OG0000070	Prbg.g_00170	Prar.g_00498
OG0000071	Prbg.g_00477	Prar.g_00955
OG0000072	Prbg.g_00949	Prar.g_00156
OG0000073	Prbg.g_00219	Prar.g_01330
OG0000074	Prbg.g_01123, Prbg.g_01064, Prbg.g_00021	Prar.g_01512
OG0000075	Prbg.g_01821	Prar.g_00629
OG0000076	Prbg.g_01847	Prar.g_00592, Prar.g_00653
OG0000077	Prbg.g_00791	Prar.g_00250
OG0000078	Prbg.g_01022	Prar.g_00088
OG0000081	Prbg.g_00248	Prar.g_01361
OG0000082	Prbg.g_00304, Prbg.g_01639	Prar.g_01414
OG0000084	Prbg.g_00588	Prar.g_00343
OG0000085	Prbg.g_00716, Prbg.g_01642	Prar.g_01150
OG0000086	Prbg.g_00782	Prar.g_00240
OG0000087	Prbg.g_00913	Prar.g_00189
OG0000088	Prbg.g_00944	Prar.g_00161
OG0000089	Prbg.g_00137	Prar.g_00416
OG0000090	Prbg.g_00250	Prar.g_01363
OG0000091	Prbg.g_01414	Prar.g_01472
OG0000092	Prbg.g_01089	Prar.g_01781
OG0000093	Prbg.g_01385	Prar.g_01801
OG0000094	Prbg.g_01336	Prar.g_01885
OG0000095	Prbg.g_01234	Prar.g_01904
OG0000096	Prbg.g_00032	Prar.g_01006, Prar.g_01313, Prar.g_00991
OG0000097	Prbg.g_01440	Prar.g_01222
OG0000098	Prbg.g_00505	Prar.g_00929
OG0000099	Prbg.g_00552	Prar.g_00872
OG0000100	Prbg.g_00670	Prar.g_00773
OG0000101	Prbg.g_01785	Prar.g_01027
