Orthogroup	Prbg	Prbb
OG0000000	Prbg.g_01524	Prbb.g_01144, Prbb.g_01792, Prbb.g_00429, Prbb.g_01246, Prbb.g_01321, Prbb.g_01356
OG0000000	Prbg.g_01567	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785, Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244
OG0000000	Prbg.g_01523	Prbb.g_01123
OG0000000	Prbg.g_01568	Prbb.g_01123
OG0000000	Prbg.g_01523	Prbb.g_01352
OG0000000	Prbg.g_01568	Prbb.g_01352
OG0000000	Prbg.g_01523	Prbb.g_01403
OG0000000	Prbg.g_01568	Prbb.g_01403
OG0000000	Prbg.g_01523	Prbb.g_01787
OG0000000	Prbg.g_01568	Prbb.g_01787
OG0000000	Prbg.g_01583	Prbb.g_01145
OG0000001	Prbg.g_00502	Prbb.g_01611
OG0000001	Prbg.g_01069	Prbb.g_00474, Prbb.g_01915
OG0000002	Prbg.g_01222	Prbb.g_00844
OG0000002	Prbg.g_01516	Prbb.g_01546
OG0000002	Prbg.g_00523, Prbg.g_01514	Prbb.g_01545
OG0000002	Prbg.g_01521	Prbb.g_01550, Prbb.g_01544
OG0000002	Prbg.g_00694	Prbb.g_01549
OG0000002	Prbg.g_01119	Prbb.g_00683
OG0000004	Prbg.g_01140	Prbb.g_01450
OG0000004	Prbg.g_01014	Prbb.g_00288
OG0000005	Prbg.g_00674	Prbb.g_01766
OG0000006	Prbg.g_01024	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560
OG0000007	Prbg.g_00216	Prbb.g_00501
OG0000007	Prbg.g_01650	Prbb.g_01823
OG0000008	Prbg.g_00744	Prbb.g_01884
OG0000008	Prbg.g_00745	Prbb.g_01885
OG0000010	Prbg.g_00193	Prbb.g_00477
OG0000010	Prbg.g_01053, Prbg.g_01348	Prbb.g_01072
OG0000011	Prbg.g_00415	Prbb.g_01368
OG0000012	Prbg.g_00706	Prbb.g_01111
OG0000013	Prbg.g_00104	Prbb.g_00378
OG0000014	Prbg.g_00086	Prbb.g_00357
OG0000015	Prbg.g_01589, Prbg.g_01635	Prbb.g_01158
OG0000016	Prbg.g_01544	Prbb.g_01919
OG0000018	Prbg.g_01187	Prbb.g_00812
OG0000018	Prbg.g_01508	Prbb.g_01539
OG0000019	Prbg.g_01510	Prbb.g_00761
OG0000020	Prbg.g_00727	Prbb.g_01180
OG0000021	Prbg.g_00699	Prbb.g_01914
OG0000021	Prbg.g_01145	Prbb.g_00099
OG0000022	Prbg.g_00682	Prbb.g_01231
OG0000023	Prbg.g_00013	Prbb.g_01411, Prbb.g_01373
OG0000024	Prbg.g_01352	Prbb.g_01175
OG0000024	Prbg.g_01116	Prbb.g_00680
OG0000025	Prbg.g_01195	Prbb.g_00052, Prbb.g_00818
OG0000026	Prbg.g_00842	Prbb.g_00032
OG0000027	Prbg.g_00721, Prbg.g_01569	Prbb.g_01375
OG0000028	Prbg.g_00743	Prbb.g_01635
OG0000029	Prbg.g_00734, Prbg.g_01581	Prbb.g_01800
OG0000030	Prbg.g_01858	Prbb.g_02073
OG0000031	Prbg.g_00550	Prbb.g_00387
OG0000032	Prbg.g_00630	Prbb.g_01723
OG0000033	Prbg.g_00947, Prbg.g_00557	Prbb.g_00226
OG0000034	Prbg.g_00488	Prbb.g_01596
OG0000035	Prbg.g_00591	Prbb.g_01686
OG0000037	Prbg.g_00881	Prbb.g_00164
OG0000038	Prbg.g_01898	Prbb.g_02129
OG0000039	Prbg.g_01128	Prbb.g_00692
OG0000041	Prbg.g_01697	Prbb.g_01868
OG0000042	Prbg.g_01855	Prbb.g_02069
OG0000043	Prbg.g_01507	Prbb.g_01198, Prbb.g_00909
OG0000045	Prbg.g_01530	Prbb.g_01094
OG0000046	Prbg.g_00105	Prbb.g_00379
OG0000047	Prbg.g_00143	Prbb.g_00421
OG0000048	Prbg.g_00464	Prbb.g_00325
OG0000051	Prbg.g_00408	Prbb.g_01383
OG0000052	Prbg.g_00816	Prbb.g_00112
OG0000053	Prbg.g_00612, Prbg.g_01595	Prbb.g_01705
OG0000054	Prbg.g_00326	Prbb.g_00607
OG0000055	Prbg.g_01624	Prbb.g_01897
OG0000057	Prbg.g_01143	Prbb.g_01359, Prbb.g_00706
OG0000058	Prbg.g_00551	Prbb.g_00851
OG0000059	Prbg.g_01737	Prbb.g_01946
OG0000061	Prbg.g_01486	Prbb.g_01517
OG0000062	Prbg.g_00676	Prbb.g_01768
OG0000063	Prbg.g_00730	Prbb.g_01921
OG0000065	Prbg.g_00879	Prbb.g_00162
OG0000066	Prbg.g_00256	Prbb.g_00542
OG0000067	Prbg.g_01159	Prbb.g_00783
OG0000068	Prbg.g_00529	Prbb.g_01639
OG0000069	Prbg.g_00174	Prbb.g_01729
OG0000070	Prbg.g_00170	Prbb.g_00455
OG0000071	Prbg.g_00477	Prbb.g_01586
OG0000072	Prbg.g_00949	Prbb.g_00228
OG0000073	Prbg.g_00219	Prbb.g_00503
OG0000074	Prbg.g_01064	Prbb.g_00915
OG0000074	Prbg.g_00021	Prbb.g_01104
OG0000075	Prbg.g_01821	Prbb.g_02036
OG0000076	Prbg.g_01847	Prbb.g_02061
OG0000077	Prbg.g_00791	Prbb.g_00133
OG0000078	Prbg.g_01022	Prbb.g_00297
OG0000079	Prbg.g_01035	Prbb.g_00308
OG0000081	Prbg.g_00248	Prbb.g_00534
OG0000082	Prbg.g_01639	Prbb.g_01882
OG0000084	Prbg.g_00588	Prbb.g_01683
OG0000085	Prbg.g_00716, Prbg.g_01642	Prbb.g_01816
OG0000086	Prbg.g_00782	Prbb.g_00143
OG0000087	Prbg.g_00913	Prbb.g_00196
OG0000088	Prbg.g_00944	Prbb.g_00223
OG0000089	Prbg.g_00137	Prbb.g_00416
OG0000090	Prbg.g_00250	Prbb.g_00536
OG0000091	Prbg.g_01414	Prbb.g_00643
OG0000093	Prbg.g_01385	Prbb.g_00768
OG0000094	Prbg.g_01336	Prbb.g_00892
OG0000095	Prbg.g_01234	Prbb.g_01070
OG0000096	Prbg.g_00032	Prbb.g_01294
OG0000097	Prbg.g_01440	Prbb.g_01470
OG0000098	Prbg.g_00505	Prbb.g_01608
OG0000099	Prbg.g_00552	Prbb.g_00388
OG0000100	Prbg.g_00670	Prbb.g_01763
OG0000101	Prbg.g_01785	Prbb.g_02001
OG0000102	Prbg.g_01852	Prbb.g_02066
OG0000103	Prbg.g_01937	Prbb.g_02174
OG0000104	Prbg.g_00763	Prbb.g_02185
OG0000105	Prbg.g_00053	Prbb.g_00327
OG0000106	Prbg.g_00388	Prbb.g_01197, Prbb.g_01329
OG0000107	Prbg.g_01714	Prbb.g_01923
OG0000108	Prbg.g_00199	Prbb.g_00484, Prbb.g_00485
OG0000109	Prbg.g_00213	Prbb.g_00498
OG0000110	Prbg.g_00293	Prbb.g_00578
OG0000111	Prbg.g_01144	Prbb.g_00707
OG0000112	Prbg.g_00366	Prbb.g_00983
OG0000113	Prbg.g_01182	Prbb.g_01218
