Orthogroup	Prbg	Prbn
OG0000000	Prbg.g_01524	Prbn.g_01151
OG0000000	Prbg.g_01567	Prbn.g_01662
OG0000000	Prbg.g_01523	Prbn.g_01152
OG0000000	Prbg.g_01523	Prbn.g_01663
OG0000000	Prbg.g_01568	Prbn.g_01152
OG0000000	Prbg.g_01568	Prbn.g_01663
OG0000000	Prbg.g_01583	Prbn.g_01678
OG0000001	Prbg.g_00502	Prbn.g_01213
OG0000001	Prbg.g_01069	Prbn.g_01923
OG0000002	Prbg.g_01222	Prbn.g_01483
OG0000002	Prbg.g_01227	Prbn.g_01478
OG0000002	Prbg.g_01516	Prbn.g_01159
OG0000002	Prbg.g_00523	Prbn.g_01234
OG0000002	Prbg.g_01514	Prbn.g_01161
OG0000002	Prbg.g_01521	Prbn.g_01154
OG0000002	Prbg.g_00694	Prbn.g_00879
OG0000002	Prbg.g_01119	Prbn.g_01586
OG0000004	Prbg.g_01140	Prbn.g_01565
OG0000004	Prbg.g_01014	Prbn.g_00318
OG0000005	Prbg.g_00674	Prbn.g_00899
OG0000006	Prbg.g_01024	Prbn.g_00308
OG0000007	Prbg.g_00216	Prbn.g_00617
OG0000007	Prbg.g_01650	Prbn.g_01745
OG0000008	Prbg.g_00744	Prbn.g_01645
OG0000008	Prbg.g_00745	Prbn.g_01646
OG0000009	Prbg.g_00686	Prbn.g_00887
OG0000010	Prbg.g_00193	Prbn.g_00640
OG0000010	Prbg.g_01053	Prbn.g_01939
OG0000010	Prbg.g_01348	Prbn.g_01357
OG0000011	Prbg.g_00415	Prbn.g_00802
OG0000012	Prbg.g_00342	Prbn.g_00492
OG0000012	Prbg.g_00706	Prbn.g_00867
OG0000013	Prbg.g_00104	Prbn.g_00092
OG0000014	Prbg.g_00086	Prbn.g_00074
OG0000015	Prbg.g_01589	Prbn.g_01684
OG0000015	Prbg.g_01635	Prbn.g_01730
OG0000016	Prbg.g_01544	Prbn.g_01131
OG0000017	Prbg.g_00317	Prbn.g_00517
OG0000017	Prbg.g_00324	Prbn.g_00510
OG0000018	Prbg.g_01187	Prbn.g_01518
OG0000018	Prbg.g_01508	Prbn.g_01167
OG0000019	Prbg.g_01032	Prbn.g_00015
OG0000019	Prbg.g_01510	Prbn.g_01165
OG0000020	Prbg.g_00698	Prbn.g_00875
OG0000020	Prbg.g_00727	Prbn.g_00133
OG0000021	Prbg.g_00699	Prbn.g_00874
OG0000021	Prbg.g_01145	Prbn.g_01560
OG0000022	Prbg.g_00682	Prbn.g_00891
OG0000023	Prbg.g_00013	Prbn.g_01030
OG0000024	Prbg.g_01352	Prbn.g_01353
OG0000024	Prbg.g_01116	Prbn.g_01589
OG0000025	Prbg.g_01195	Prbn.g_01510
OG0000026	Prbg.g_00842	Prbn.g_00750
OG0000027	Prbg.g_00721	Prbn.g_00139
OG0000027	Prbg.g_01569	Prbn.g_01664
OG0000028	Prbg.g_00743	Prbn.g_01644
OG0000029	Prbg.g_00734	Prbn.g_00126
OG0000029	Prbg.g_01581	Prbn.g_01676
OG0000029	Prbg.g_01740	Prbn.g_01836
OG0000030	Prbg.g_01858	Prbn.g_00985
OG0000031	Prbg.g_00550	Prbn.g_00171
OG0000032	Prbg.g_00630	Prbn.g_00251
OG0000033	Prbg.g_00947	Prbn.g_01244
OG0000033	Prbg.g_00557	Prbn.g_00178
OG0000034	Prbg.g_00488	Prbn.g_01073
OG0000035	Prbg.g_00591	Prbn.g_00212
OG0000037	Prbg.g_00881	Prbn.g_01310
OG0000038	Prbg.g_01898	Prbn.g_00946
OG0000039	Prbg.g_01128	Prbn.g_01577
OG0000041	Prbg.g_01697	Prbn.g_01793
OG0000042	Prbg.g_01855	Prbn.g_00988
OG0000043	Prbg.g_01507	Prbn.g_01168
OG0000045	Prbg.g_01530	Prbn.g_01145
OG0000046	Prbg.g_00105	Prbn.g_00093
OG0000047	Prbg.g_00143	Prbn.g_00690
OG0000048	Prbg.g_00464	Prbn.g_01097
OG0000048	Prbg.g_00050	Prbn.g_00038
OG0000050	Prbg.g_01055	Prbn.g_01937
OG0000051	Prbg.g_00408	Prbn.g_00809
OG0000052	Prbg.g_00569	Prbn.g_00190
OG0000052	Prbg.g_00816	Prbn.g_00724
OG0000053	Prbg.g_00612	Prbn.g_00233
OG0000053	Prbg.g_01595	Prbn.g_01690
OG0000054	Prbg.g_00326	Prbn.g_00508
OG0000055	Prbg.g_01535	Prbn.g_01140
OG0000055	Prbg.g_01624	Prbn.g_01719
OG0000057	Prbg.g_01143	Prbn.g_01562
OG0000058	Prbg.g_00551	Prbn.g_00172
OG0000059	Prbg.g_01737	Prbn.g_01833
OG0000061	Prbg.g_01486	Prbn.g_01189
OG0000062	Prbg.g_00676	Prbn.g_00897
OG0000063	Prbg.g_00730	Prbn.g_00130
OG0000064	Prbg.g_00802	Prbn.g_00710
OG0000065	Prbg.g_00879	Prbn.g_01312
OG0000066	Prbg.g_00256	Prbn.g_00577
OG0000067	Prbg.g_01159	Prbn.g_01546
OG0000068	Prbg.g_00529	Prbn.g_01240
OG0000069	Prbg.g_00174	Prbn.g_00659
OG0000070	Prbg.g_00170	Prbn.g_00663
OG0000071	Prbg.g_00477	Prbn.g_01084
OG0000072	Prbg.g_00949	Prbn.g_00383
OG0000073	Prbg.g_00219	Prbn.g_00614
OG0000074	Prbg.g_01123	Prbn.g_01582
OG0000074	Prbg.g_01064	Prbn.g_01928
OG0000074	Prbg.g_00021	Prbn.g_01038
OG0000075	Prbg.g_01821	Prbn.g_01917
OG0000076	Prbg.g_01847	Prbn.g_00996
OG0000077	Prbg.g_00791	Prbn.g_01342
OG0000078	Prbg.g_01022	Prbn.g_00310
OG0000079	Prbg.g_01035	Prbn.g_00018
OG0000080	Prbg.g_00563	Prbn.g_00184
OG0000080	Prbg.g_00565	Prbn.g_00186
OG0000081	Prbg.g_00248	Prbn.g_00585
OG0000082	Prbg.g_00304	Prbn.g_00530
OG0000082	Prbg.g_01639	Prbn.g_01734
OG0000084	Prbg.g_00588	Prbn.g_00209
OG0000085	Prbg.g_00716	Prbn.g_00144
OG0000085	Prbg.g_01642	Prbn.g_01737
OG0000086	Prbg.g_00782	Prbn.g_01333
OG0000087	Prbg.g_00913	Prbn.g_01278
OG0000088	Prbg.g_00944	Prbn.g_01247
OG0000089	Prbg.g_00137	Prbn.g_00696
OG0000090	Prbg.g_00250	Prbn.g_00583
OG0000091	Prbg.g_01414	Prbn.g_00434
OG0000092	Prbg.g_01089	Prbn.g_01616
OG0000093	Prbg.g_01385	Prbn.g_00846
OG0000094	Prbg.g_01336	Prbn.g_01369
OG0000095	Prbg.g_01234	Prbn.g_01471
OG0000096	Prbg.g_00032	Prbn.g_01049
OG0000097	Prbg.g_01440	Prbn.g_00408
OG0000098	Prbg.g_00505	Prbn.g_01216
OG0000099	Prbg.g_00552	Prbn.g_00173
OG0000100	Prbg.g_00670	Prbn.g_00903
OG0000101	Prbg.g_01785	Prbn.g_01881
OG0000102	Prbg.g_01852	Prbn.g_00991
OG0000103	Prbg.g_01937	Prbn.g_00907
OG0000104	Prbg.g_00763	Prbn.g_00296
OG0000105	Prbg.g_00053	Prbn.g_00041
OG0000106	Prbg.g_00388	Prbn.g_00829
OG0000107	Prbg.g_01714	Prbn.g_01810
OG0000108	Prbg.g_00199	Prbn.g_00634
OG0000109	Prbg.g_00213	Prbn.g_00620
OG0000110	Prbg.g_00293	Prbn.g_00541
OG0000111	Prbg.g_01144	Prbn.g_01561
OG0000112	Prbg.g_00366	Prbn.g_00468
