Orthogroup	Prbb	Syap
OG0000001	Prbb.g_01611	Syap.g_00785, Syap.g_02195, Syap.g_02194, Syap.g_02201, Syap.g_02615, Syap.g_00399
OG0000004	Prbb.g_00288	Syap.g_01987
OG0000005	Prbb.g_01393	Syap.g_01773
OG0000005	Prbb.g_01766	Syap.g_01218
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syap.g_02770
OG0000007	Prbb.g_00501	Syap.g_00275
OG0000007	Prbb.g_01823	Syap.g_00621
OG0000010	Prbb.g_01072	Syap.g_02757
OG0000013	Prbb.g_00378	Syap.g_01397, Syap.g_00586, Syap.g_00580, Syap.g_00583, Syap.g_00972
OG0000014	Prbb.g_00357	Syap.g_01675
OG0000015	Prbb.g_01158	Syap.g_02606, Syap.g_00786
OG0000016	Prbb.g_00014	Syap.g_00071
OG0000016	Prbb.g_01919	Syap.g_00404
OG0000017	Prbb.g_00605	Syap.g_00449
OG0000018	Prbb.g_00812	Syap.g_02708
OG0000018	Prbb.g_01539	Syap.g_02010
OG0000019	Prbb.g_00761	Syap.g_01586
OG0000025	Prbb.g_00052, Prbb.g_00818	Syap.g_01846
OG0000027	Prbb.g_01375	Syap.g_01440
OG0000028	Prbb.g_01635	Syap.g_01658
OG0000030	Prbb.g_02073	Syap.g_00787, Syap.g_00788
OG0000031	Prbb.g_00387	Syap.g_02479, Syap.g_01083, Syap.g_02076, Syap.g_00722
OG0000033	Prbb.g_00226	Syap.g_01198
OG0000034	Prbb.g_01596	Syap.g_02193, Syap.g_02614, Syap.g_02280
OG0000035	Prbb.g_01686	Syap.g_02125, Syap.g_02465
OG0000037	Prbb.g_00164	Syap.g_02492
OG0000038	Prbb.g_02129	Syap.g_00139
OG0000039	Prbb.g_00692	Syap.g_01749, Syap.g_01748
OG0000041	Prbb.g_01868	Syap.g_01510
OG0000042	Prbb.g_02069	Syap.g_01891, Syap.g_01120
OG0000043	Prbb.g_01198	Syap.g_01998
OG0000044	Prbb.g_00079	Syap.g_00378
OG0000045	Prbb.g_01347, Prbb.g_01094	Syap.g_02525
OG0000046	Prbb.g_00379	Syap.g_00581, Syap.g_00584, Syap.g_00587, Syap.g_00973
OG0000048	Prbb.g_00325	Syap.g_02340
OG0000051	Prbb.g_01383, Prbb.g_01391	Syap.g_01574
OG0000053	Prbb.g_01705	Syap.g_02006
OG0000054	Prbb.g_00607	Syap.g_00678, Syap.g_02652, Syap.g_00774
OG0000057	Prbb.g_01359, Prbb.g_00706	Syap.g_01569
OG0000058	Prbb.g_00851	Syap.g_02074
OG0000059	Prbb.g_01946	Syap.g_01918
OG0000060	Prbb.g_01153	Syap.g_00795
OG0000061	Prbb.g_00874	Syap.g_00870
OG0000061	Prbb.g_01517	Syap.g_00228
OG0000062	Prbb.g_01768	Syap.g_01220
OG0000063	Prbb.g_01921	Syap.g_01796
OG0000066	Prbb.g_00542	Syap.g_01972
OG0000067	Prbb.g_00783	Syap.g_00194
OG0000068	Prbb.g_01639	Syap.g_00108, Syap.g_00144
OG0000069	Prbb.g_01324, Prbb.g_01729	Syap.g_01936, Syap.g_01543, Syap.g_01545
