Orthogroup	Prbb	Prau
OG0000000	Prbb.g_00433, Prbb.g_01318, Prbb.g_01353, Prbb.g_01119, Prbb.g_01243, Prbb.g_01400	Prau.g_01352
OG0000000	Prbb.g_01354, Prbb.g_00432, Prbb.g_01120, Prbb.g_01401, Prbb.g_01785	Prau.g_01665
OG0000000	Prbb.g_00431, Prbb.g_01121, Prbb.g_01319, Prbb.g_01244	Prau.g_01648
OG0000000	Prbb.g_00103	Prau.g_01266, Prau.g_01647
OG0000001	Prbb.g_01611	Prau.g_01394
OG0000001	Prbb.g_01157	Prau.g_01267, Prau.g_01269
OG0000002	Prbb.g_00844	Prau.g_01402
OG0000002	Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Prau.g_00718
OG0000004	Prbb.g_01450	Prau.g_00735
OG0000004	Prbb.g_00288	Prau.g_00233
OG0000005	Prbb.g_01393	Prau.g_01745
OG0000005	Prbb.g_01766	Prau.g_01607
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Prau.g_01316
OG0000007	Prbb.g_00501	Prau.g_00538
OG0000007	Prbb.g_01823	Prau.g_01732
OG0000008	Prbb.g_01884	Prau.g_00781
OG0000010	Prbb.g_00477	Prau.g_00515
OG0000010	Prbb.g_01072	Prau.g_01698, Prau.g_01096
OG0000011	Prbb.g_01229	Prau.g_00441
OG0000011	Prbb.g_01199	Prau.g_01307, Prau.g_01335
OG0000012	Prbb.g_01111	Prau.g_00663
OG0000013	Prbb.g_00378	Prau.g_00329
OG0000014	Prbb.g_00357	Prau.g_00308
OG0000015	Prbb.g_01158	Prau.g_00817
OG0000016	Prbb.g_00014	Prau.g_00013
OG0000017	Prbb.g_00598, Prbb.g_00605	Prau.g_00636
OG0000018	Prbb.g_00812	Prau.g_00881
OG0000018	Prbb.g_01539	Prau.g_01188
OG0000019	Prbb.g_00761	Prau.g_00834
OG0000020	Prbb.g_01180	Prau.g_01704
OG0000021	Prbb.g_01914, Prbb.g_00099	Prau.g_01680, Prau.g_00367
OG0000022	Prbb.g_01258	Prau.g_01170
OG0000022	Prbb.g_01231	Prau.g_00814
OG0000023	Prbb.g_01411, Prbb.g_01373	Prau.g_00362
OG0000024	Prbb.g_01175	Prau.g_00796
OG0000024	Prbb.g_00680	Prau.g_00715
OG0000025	Prbb.g_00052, Prbb.g_00818	Prau.g_00333
OG0000026	Prbb.g_00032	Prau.g_00030, Prau.g_01103
OG0000027	Prbb.g_01375	Prau.g_01353
OG0000028	Prbb.g_01635	Prau.g_01338
OG0000029	Prbb.g_01800	Prau.g_00804
OG0000030	Prbb.g_02073	Prau.g_01935
OG0000031	Prbb.g_00387	Prau.g_01431, Prau.g_01469
OG0000033	Prbb.g_00226	Prau.g_01465, Prau.g_00170
OG0000034	Prbb.g_01596	Prau.g_01381
OG0000035	Prbb.g_01686	Prau.g_01531, Prau.g_01528
OG0000037	Prbb.g_00164	Prau.g_00110
OG0000038	Prbb.g_02129	Prau.g_01976
OG0000039	Prbb.g_00692	Prau.g_00726
OG0000040	Prbb.g_01790	Prau.g_01662
OG0000041	Prbb.g_01868	Prau.g_01778
OG0000042	Prbb.g_02069	Prau.g_01932
OG0000043	Prbb.g_01198	Prau.g_01321
OG0000045	Prbb.g_01347	Prau.g_01682
OG0000047	Prbb.g_00386	Prau.g_00332
OG0000047	Prbb.g_00421	Prau.g_00414
OG0000048	Prbb.g_00325	Prau.g_00377
OG0000050	Prbb.g_00116	Prau.g_01123
OG0000051	Prbb.g_01391	Prau.g_01275, Prau.g_01681
OG0000053	Prbb.g_01705	Prau.g_00040, Prau.g_01551
OG0000054	Prbb.g_00607	Prau.g_00644
OG0000055	Prbb.g_00747, Prbb.g_01897	Prau.g_00835
OG0000057	Prbb.g_01359, Prbb.g_00706	Prau.g_00738
OG0000058	Prbb.g_00851	Prau.g_01432, Prau.g_01460
OG0000059	Prbb.g_01946	Prau.g_01818
OG0000061	Prbb.g_01517	Prau.g_01206
OG0000062	Prbb.g_01768	Prau.g_01609
OG0000063	Prbb.g_01921	Prau.g_00032, Prau.g_01295
OG0000065	Prbb.g_00162	Prau.g_00108
OG0000066	Prbb.g_00542	Prau.g_00579
OG0000067	Prbb.g_00783	Prau.g_00854
OG0000068	Prbb.g_01639	Prau.g_01409
OG0000069	Prbb.g_01324, Prbb.g_01729	Prau.g_01285, Prau.g_01642
OG0000070	Prbb.g_00455	Prau.g_00491
OG0000071	Prbb.g_01586	Prau.g_01371
OG0000072	Prbb.g_00228	Prau.g_00172
OG0000073	Prbb.g_00503	Prau.g_00540
OG0000074	Prbb.g_00687, Prbb.g_00915, Prbb.g_01104	Prau.g_00722
OG0000075	Prbb.g_02036	Prau.g_01901
OG0000076	Prbb.g_02061	Prau.g_00037, Prau.g_01925
OG0000077	Prbb.g_00133	Prau.g_00079
OG0000078	Prbb.g_00297	Prau.g_00240
OG0000079	Prbb.g_00308	Prau.g_00254
OG0000081	Prbb.g_00534	Prau.g_00571
OG0000082	Prbb.g_01882	Prau.g_00624
OG0000083	Prbb.g_00425	Prau.g_00792, Prau.g_00785
OG0000084	Prbb.g_01683	Prau.g_01524
OG0000085	Prbb.g_01816	Prau.g_01725
OG0000086	Prbb.g_00143	Prau.g_00089
OG0000087	Prbb.g_00196	Prau.g_00140
OG0000088	Prbb.g_00223	Prau.g_00167
OG0000089	Prbb.g_00416	Prau.g_00358
OG0000090	Prbb.g_00536	Prau.g_00573
OG0000091	Prbb.g_00643	Prau.g_00682
OG0000092	Prbb.g_00937	Prau.g_00052, Prau.g_00451
OG0000093	Prbb.g_00768	Prau.g_00983
OG0000094	Prbb.g_00892	Prau.g_01070
OG0000095	Prbb.g_01070	Prau.g_01089
OG0000096	Prbb.g_01294	Prau.g_01156, Prau.g_01331
OG0000097	Prbb.g_01470	Prau.g_01247
OG0000098	Prbb.g_01608	Prau.g_01391
OG0000099	Prbb.g_00388	Prau.g_01435
OG0000100	Prbb.g_01763	Prau.g_01605
OG0000101	Prbb.g_02001	Prau.g_01869
OG0000102	Prbb.g_02066	Prau.g_01930
OG0000103	Prbb.g_02174	Prau.g_02009
OG0000104	Prbb.g_02185	Prau.g_02018
OG0000105	Prbb.g_00327	Prau.g_00276
OG0000106	Prbb.g_01197, Prbb.g_01329	Prau.g_00373
OG0000107	Prbb.g_01923	Prau.g_00389
OG0000108	Prbb.g_00484, Prbb.g_00485	Prau.g_00521
OG0000109	Prbb.g_00498	Prau.g_00535
OG0000110	Prbb.g_00578	Prau.g_00614
OG0000111	Prbb.g_00707	Prau.g_00739
OG0000112	Prbb.g_00983	Prau.g_00818
OG0000113	Prbb.g_00807, Prbb.g_01218	Prau.g_00876
OG0000114	Prbb.g_00932	Prau.g_00956
OG0000115	Prbb.g_01780	Prau.g_01148
OG0000116	Prbb.g_01528	Prau.g_01197
OG0000117	Prbb.g_01399	Prau.g_01318
OG0000118	Prbb.g_01598	Prau.g_01383
OG0000119	Prbb.g_01632	Prau.g_01405
OG0000120	Prbb.g_00678	Prau.g_01430
OG0000121	Prbb.g_01688	Prau.g_01533
OG0000122	Prbb.g_01727	Prau.g_01571
OG0000123	Prbb.g_02008	Prau.g_01876
OG0000124	Prbb.g_02079	Prau.g_01941
OG0000125	Prbb.g_02131	Prau.g_01978
OG0000126	Prbb.g_02183	Prau.g_02017
OG0000127	Prbb.g_01346	Prau.g_01292
OG0000128	Prbb.g_00012	Prau.g_00011
OG0000129	Prbb.g_00059	Prau.g_00051
OG0000130	Prbb.g_00124	Prau.g_00071
OG0000131	Prbb.g_00202	Prau.g_00146
OG0000132	Prbb.g_00221	Prau.g_00165
OG0000133	Prbb.g_00373	Prau.g_00324
OG0000134	Prbb.g_00418	Prau.g_00359
OG0000135	Prbb.g_01326	Prau.g_00386
OG0000136	Prbb.g_00446	Prau.g_00482
OG0000137	Prbb.g_00478	Prau.g_00516
OG0000138	Prbb.g_00499	Prau.g_00536
OG0000139	Prbb.g_00540	Prau.g_00577
OG0000140	Prbb.g_00541	Prau.g_00578
OG0000141	Prbb.g_00608	Prau.g_00645
OG0000142	Prbb.g_00636	Prau.g_00675
OG0000143	Prbb.g_00640	Prau.g_00679
OG0000144	Prbb.g_00653	Prau.g_00692
OG0000145	Prbb.g_01099	Prau.g_00816
OG0000146	Prbb.g_00982	Prau.g_00819
OG0000147	Prbb.g_00981	Prau.g_00820
OG0000148	Prbb.g_00801	Prau.g_00870
OG0000149	Prbb.g_00832	Prau.g_00900
OG0000150	Prbb.g_00840	Prau.g_00909
OG0000151	Prbb.g_00943	Prau.g_00966
OG0000152	Prbb.g_00991	Prau.g_01015
OG0000153	Prbb.g_01009	Prau.g_01034
OG0000154	Prbb.g_01040	Prau.g_01063
OG0000155	Prbb.g_01495	Prau.g_01226
OG0000156	Prbb.g_01575	Prau.g_01359
OG0000157	Prbb.g_01576	Prau.g_01360
OG0000158	Prbb.g_02044	Prau.g_01436
OG0000159	Prbb.g_02093	Prau.g_01457
OG0000160	Prbb.g_01687	Prau.g_01532
OG0000161	Prbb.g_01693	Prau.g_01538
OG0000162	Prbb.g_01699	Prau.g_01544
OG0000163	Prbb.g_01735	Prau.g_01578
OG0000164	Prbb.g_01845	Prau.g_01756
OG0000165	Prbb.g_01853	Prau.g_01763
OG0000166	Prbb.g_01964	Prau.g_01833
OG0000167	Prbb.g_02034	Prau.g_01899
OG0000168	Prbb.g_02045	Prau.g_01909
OG0000169	Prbb.g_02055	Prau.g_01919
OG0000170	Prbb.g_02057	Prau.g_01921
OG0000171	Prbb.g_02078	Prau.g_01940
OG0000172	Prbb.g_02101	Prau.g_01949
OG0000173	Prbb.g_02116	Prau.g_01964
OG0000174	Prbb.g_02147	Prau.g_01991
OG0000175	Prbb.g_02165	Prau.g_02001
OG0000176	Prbb.g_00004	Prau.g_00004
OG0000177	Prbb.g_00005	Prau.g_00005
OG0000178	Prbb.g_00007, Prbb.g_00006	Prau.g_00006
OG0000179	Prbb.g_00017	Prau.g_00016
OG0000180	Prbb.g_00018	Prau.g_00017
OG0000181	Prbb.g_00019	Prau.g_00018
OG0000182	Prbb.g_00020	Prau.g_00019
OG0000183	Prbb.g_00024	Prau.g_00023
OG0000184	Prbb.g_00061	Prau.g_00054
OG0000185	Prbb.g_00064	Prau.g_00057
OG0000186	Prbb.g_00119	Prau.g_00066
OG0000187	Prbb.g_00120	Prau.g_00067
OG0000188	Prbb.g_00137	Prau.g_00083
OG0000189	Prbb.g_00151	Prau.g_00097
OG0000190	Prbb.g_00152	Prau.g_00098
OG0000191	Prbb.g_00175	Prau.g_00118
OG0000192	Prbb.g_00179	Prau.g_00122
OG0000193	Prbb.g_00203	Prau.g_00147
OG0000194	Prbb.g_00206	Prau.g_00150
OG0000195	Prbb.g_00208	Prau.g_00152
OG0000196	Prbb.g_00218	Prau.g_00162
OG0000197	Prbb.g_00219	Prau.g_00163
OG0000198	Prbb.g_00220	Prau.g_00164
OG0000199	Prbb.g_00227	Prau.g_00171
OG0000200	Prbb.g_00240	Prau.g_00185
OG0000201	Prbb.g_00249	Prau.g_00193
OG0000202	Prbb.g_00250	Prau.g_00194
OG0000203	Prbb.g_00251	Prau.g_00195
OG0000204	Prbb.g_00252	Prau.g_00196
OG0000205	Prbb.g_00259	Prau.g_00203
OG0000206	Prbb.g_00263	Prau.g_00208
OG0000207	Prbb.g_00265	Prau.g_00210
OG0000208	Prbb.g_00266	Prau.g_00211
OG0000209	Prbb.g_00275	Prau.g_00220
OG0000210	Prbb.g_00276	Prau.g_00221
OG0000211	Prbb.g_00290	Prau.g_00234
OG0000212	Prbb.g_00298	Prau.g_00241
OG0000213	Prbb.g_00313	Prau.g_00259
OG0000214	Prbb.g_00321	Prau.g_00269
OG0000215	Prbb.g_00344	Prau.g_00294
OG0000216	Prbb.g_00345	Prau.g_00296
OG0000217	Prbb.g_00348	Prau.g_00299
OG0000218	Prbb.g_00350	Prau.g_00301
OG0000219	Prbb.g_00351	Prau.g_00302
OG0000220	Prbb.g_00352	Prau.g_00303
OG0000221	Prbb.g_00353	Prau.g_00304
OG0000222	Prbb.g_00361	Prau.g_00312
OG0000223	Prbb.g_00374	Prau.g_00325
OG0000224	Prbb.g_00376	Prau.g_00327
OG0000225	Prbb.g_00405	Prau.g_00348
OG0000226	Prbb.g_00409	Prau.g_00352
OG0000227	Prbb.g_00411	Prau.g_00354
OG0000228	Prbb.g_00415	Prau.g_00357
OG0000229	Prbb.g_00441	Prau.g_00477
OG0000230	Prbb.g_00443	Prau.g_00479
OG0000231	Prbb.g_00454	Prau.g_00490
OG0000232	Prbb.g_00462	Prau.g_00499
OG0000233	Prbb.g_00470	Prau.g_00505
OG0000234	Prbb.g_00479	Prau.g_00517
OG0000235	Prbb.g_00483	Prau.g_00520
OG0000236	Prbb.g_00497	Prau.g_00534
OG0000237	Prbb.g_00510	Prau.g_00547
OG0000238	Prbb.g_00516	Prau.g_00553
OG0000239	Prbb.g_00528	Prau.g_00565
OG0000240	Prbb.g_00529	Prau.g_00566
OG0000241	Prbb.g_00533	Prau.g_00570
OG0000242	Prbb.g_00535	Prau.g_00572
OG0000243	Prbb.g_00546	Prau.g_00583
OG0000244	Prbb.g_00550	Prau.g_00586
OG0000245	Prbb.g_00552	Prau.g_00588
OG0000246	Prbb.g_00556	Prau.g_00592
OG0000247	Prbb.g_00566	Prau.g_00602
OG0000248	Prbb.g_00568	Prau.g_00604
OG0000249	Prbb.g_00570	Prau.g_00606
OG0000250	Prbb.g_00575	Prau.g_00611
OG0000251	Prbb.g_00591	Prau.g_00629
OG0000252	Prbb.g_00593	Prau.g_00632
OG0000253	Prbb.g_00595	Prau.g_00633
OG0000254	Prbb.g_00612	Prau.g_00649
OG0000255	Prbb.g_00618	Prau.g_00655
OG0000256	Prbb.g_00628	Prau.g_00667
OG0000257	Prbb.g_00631	Prau.g_00670
OG0000258	Prbb.g_00644	Prau.g_00683
OG0000259	Prbb.g_00661	Prau.g_00700
OG0000260	Prbb.g_00665	Prau.g_00703
OG0000261	Prbb.g_00668	Prau.g_00705
OG0000262	Prbb.g_00673	Prau.g_00709
OG0000263	Prbb.g_00686	Prau.g_00721
OG0000264	Prbb.g_00697, Prbb.g_00698	Prau.g_00731
OG0000265	Prbb.g_00713	Prau.g_00755
OG0000266	Prbb.g_00723	Prau.g_00765
OG0000267	Prbb.g_00736	Prau.g_00776
OG0000268	Prbb.g_00737	Prau.g_00777
OG0000269	Prbb.g_00778	Prau.g_00849
OG0000270	Prbb.g_00781	Prau.g_00852
OG0000271	Prbb.g_00789	Prau.g_00860
OG0000272	Prbb.g_00790	Prau.g_00861
OG0000273	Prbb.g_00814	Prau.g_00884
OG0000274	Prbb.g_00815	Prau.g_00885
OG0000275	Prbb.g_00817	Prau.g_00887
OG0000276	Prbb.g_00823	Prau.g_00892
OG0000277	Prbb.g_00824	Prau.g_00893
OG0000278	Prbb.g_00828	Prau.g_00896
OG0000279	Prbb.g_00835	Prau.g_00904
OG0000280	Prbb.g_01370	Prau.g_00905
OG0000281	Prbb.g_00841	Prau.g_00910
OG0000282	Prbb.g_00934	Prau.g_00958
OG0000283	Prbb.g_00965	Prau.g_00992
OG0000284	Prbb.g_00970	Prau.g_00997
OG0000285	Prbb.g_00975	Prau.g_01002
OG0000286	Prbb.g_00990	Prau.g_01014
OG0000287	Prbb.g_00101	Prau.g_01031
OG0000288	Prbb.g_01039	Prau.g_01062
OG0000289	Prbb.g_01051	Prau.g_01073
OG0000290	Prbb.g_01067	Prau.g_01086
OG0000291	Prbb.g_01069	Prau.g_01088
OG0000292	Prbb.g_01238	Prau.g_01136
OG0000293	Prbb.g_01527	Prau.g_01198
OG0000294	Prbb.g_01526	Prau.g_01199
OG0000295	Prbb.g_01502	Prau.g_01218
OG0000296	Prbb.g_01500	Prau.g_01220
OG0000297	Prbb.g_01491	Prau.g_01228
OG0000298	Prbb.g_01490	Prau.g_01229
OG0000299	Prbb.g_01471	Prau.g_01246
OG0000300	Prbb.g_01468	Prau.g_01249
OG0000301	Prbb.g_01467	Prau.g_01250
OG0000302	Prbb.g_01464	Prau.g_01252
OG0000303	Prbb.g_01459	Prau.g_01259
OG0000304	Prbb.g_01456	Prau.g_01263
OG0000305	Prbb.g_01789	Prau.g_01401
OG0000306	Prbb.g_00845	Prau.g_01404
OG0000307	Prbb.g_01648	Prau.g_01418
OG0000308	Prbb.g_01649	Prau.g_01419
OG0000309	Prbb.g_01653	Prau.g_01423
OG0000310	Prbb.g_01671	Prau.g_01513
OG0000311	Prbb.g_01673	Prau.g_01515
OG0000312	Prbb.g_01676	Prau.g_01518
OG0000313	Prbb.g_01690	Prau.g_01535
OG0000314	Prbb.g_01711	Prau.g_01558
OG0000315	Prbb.g_01721	Prau.g_01568
OG0000316	Prbb.g_01746	Prau.g_01588
OG0000317	Prbb.g_01821	Prau.g_01730
OG0000318	Prbb.g_01824	Prau.g_01733
OG0000319	Prbb.g_01835	Prau.g_01746
OG0000320	Prbb.g_01837	Prau.g_01748
OG0000321	Prbb.g_01838	Prau.g_01749
OG0000322	Prbb.g_01839	Prau.g_01750
OG0000323	Prbb.g_01848	Prau.g_01759
OG0000324	Prbb.g_01875	Prau.g_01785
OG0000325	Prbb.g_01924	Prau.g_01795
OG0000326	Prbb.g_01930	Prau.g_01801
OG0000327	Prbb.g_01959	Prau.g_01828
OG0000328	Prbb.g_01960	Prau.g_01829
OG0000329	Prbb.g_01977	Prau.g_01846
OG0000330	Prbb.g_01978	Prau.g_01847
OG0000331	Prbb.g_01979	Prau.g_01848
OG0000332	Prbb.g_01993	Prau.g_01862
OG0000333	Prbb.g_01995	Prau.g_01864
