Orthogroup	Prbb	Syaj
OG0000001	Prbb.g_01611	Syaj.g_02674, Syaj.g_01948, Syaj.g_01947, Syaj.g_01949, Syaj.g_01952, Syaj.g_01950, Syaj.g_02660
OG0000002	Prbb.g_00844, Prbb.g_01546, Prbb.g_01545, Prbb.g_01550, Prbb.g_01544, Prbb.g_01549, Prbb.g_00683	Syaj.g_02667
OG0000004	Prbb.g_01450	Syaj.g_00441
OG0000004	Prbb.g_00288	Syaj.g_01314, Syaj.g_02853
OG0000005	Prbb.g_01393	Syaj.g_01736
OG0000005	Prbb.g_01766	Syaj.g_01698
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syaj.g_02635
OG0000007	Prbb.g_00501	Syaj.g_00091
OG0000007	Prbb.g_01823	Syaj.g_01721
OG0000008	Prbb.g_01884	Syaj.g_00496
OG0000008	Prbb.g_01885	Syaj.g_00497
OG0000010	Prbb.g_01072	Syaj.g_01445
OG0000011	Prbb.g_01229	Syaj.g_01133
OG0000012	Prbb.g_01111	Syaj.g_00003, Syaj.g_01793, Syaj.g_00831
OG0000013	Prbb.g_00378	Syaj.g_02774, Syaj.g_02782, Syaj.g_02769
OG0000014	Prbb.g_00357	Syaj.g_02522
OG0000015	Prbb.g_01158	Syaj.g_02242, Syaj.g_00725, Syaj.g_02659
OG0000016	Prbb.g_00014	Syaj.g_02276
OG0000016	Prbb.g_01919	Syaj.g_00590, Syaj.g_01191
OG0000018	Prbb.g_01539	Syaj.g_01413
OG0000019	Prbb.g_00761	Syaj.g_02613
OG0000021	Prbb.g_01914, Prbb.g_00099	Syaj.g_00042
OG0000022	Prbb.g_01258	Syaj.g_01220
OG0000023	Prbb.g_01411, Prbb.g_01373	Syaj.g_00829, Syaj.g_01791
OG0000024	Prbb.g_01175, Prbb.g_00680	Syaj.g_00500
OG0000025	Prbb.g_00052, Prbb.g_00818	Syaj.g_00383
OG0000026	Prbb.g_00032	Syaj.g_02298
OG0000027	Prbb.g_01375	Syaj.g_00396
OG0000028	Prbb.g_01635	Syaj.g_02506
OG0000029	Prbb.g_01800	Syaj.g_01229
OG0000030	Prbb.g_02073	Syaj.g_02396, Syaj.g_02395
OG0000031	Prbb.g_00387	Syaj.g_02501
