Orthogroup	Prbb	Syak
OG0000001	Prbb.g_01611	Syak.g_00342, Syak.g_02139, Syak.g_02138, Syak.g_00275, Syak.g_00579
OG0000004	Prbb.g_01450	Syak.g_01219, Syak.g_00720
OG0000004	Prbb.g_00288	Syak.g_00003, Syak.g_02297
OG0000005	Prbb.g_01393	Syak.g_02401
OG0000005	Prbb.g_01766	Syak.g_02436
OG0000006	Prbb.g_00299, Prbb.g_01328, Prbb.g_01560	Syak.g_00057, Syak.g_00059, Syak.g_00061, Syak.g_01394, Syak.g_02315, Syak.g_02317
OG0000007	Prbb.g_00501	Syak.g_02595
OG0000007	Prbb.g_01823	Syak.g_02416
OG0000008	Prbb.g_01884	Syak.g_00267
OG0000008	Prbb.g_01885	Syak.g_00692
OG0000010	Prbb.g_01072	Syak.g_01119
OG0000011	Prbb.g_01199, Prbb.g_01137, Prbb.g_01138	Syak.g_00960
OG0000013	Prbb.g_00378	Syak.g_01270, Syak.g_01275
OG0000014	Prbb.g_00357	Syak.g_01505
OG0000015	Prbb.g_01158	Syak.g_01813, Syak.g_00107, Syak.g_00358
OG0000016	Prbb.g_00014	Syak.g_01780
OG0000016	Prbb.g_01919	Syak.g_00818
OG0000018	Prbb.g_01539	Syak.g_01072
OG0000019	Prbb.g_00761	Syak.g_01413
OG0000021	Prbb.g_01914, Prbb.g_00099	Syak.g_00566
OG0000022	Prbb.g_01258	Syak.g_00088
OG0000023	Prbb.g_01411, Prbb.g_01373	Syak.g_00316, Syak.g_00223
OG0000025	Prbb.g_00052, Prbb.g_00818	Syak.g_00610
OG0000026	Prbb.g_00032	Syak.g_01757
OG0000027	Prbb.g_01375	Syak.g_00127
OG0000028	Prbb.g_01635	Syak.g_01522
OG0000029	Prbb.g_01800	Syak.g_00169, Syak.g_00178
OG0000030	Prbb.g_02073	Syak.g_01684, Syak.g_01685
OG0000031	Prbb.g_00387	Syak.g_01630
OG0000032	Prbb.g_01723	Syak.g_01092
OG0000033	Prbb.g_00226	Syak.g_02101
OG0000034	Prbb.g_01596	Syak.g_00950, Syak.g_02133
OG0000035	Prbb.g_01686	Syak.g_01041, Syak.g_01040
OG0000037	Prbb.g_00164	Syak.g_02188
OG0000038	Prbb.g_02129	Syak.g_01938, Syak.g_01936
OG0000039	Prbb.g_00692	Syak.g_00772, Syak.g_01918
OG0000041	Prbb.g_01868	Syak.g_02354, Syak.g_00752
OG0000042	Prbb.g_02069	Syak.g_00843, Syak.g_01681
OG0000043	Prbb.g_01198, Prbb.g_00909	Syak.g_00335
OG0000044	Prbb.g_00079	Syak.g_00767, Syak.g_00153
OG0000045	Prbb.g_01347	Syak.g_00317
OG0000046	Prbb.g_00379	Syak.g_01269, Syak.g_01276
OG0000047	Prbb.g_00386, Prbb.g_00421	Syak.g_01147
OG0000048	Prbb.g_00325	Syak.g_01446
OG0000050	Prbb.g_01452	Syak.g_00106
OG0000052	Prbb.g_00112	Syak.g_01549
OG0000053	Prbb.g_01705	Syak.g_01068
OG0000054	Prbb.g_00607	Syak.g_02744, Syak.g_02321
OG0000055	Prbb.g_00747, Prbb.g_01897	Syak.g_00766
OG0000057	Prbb.g_01359, Prbb.g_00706	Syak.g_00724, Syak.g_01676
OG0000058	Prbb.g_00851	Syak.g_01530
OG0000059	Prbb.g_01946	Syak.g_01355
OG0000060	Prbb.g_01153	Syak.g_01138, Syak.g_02572, Syak.g_00844
OG0000061	Prbb.g_01517	Syak.g_00898
OG0000062	Prbb.g_01768	Syak.g_02434
OG0000063	Prbb.g_01921	Syak.g_01752
OG0000065	Prbb.g_00162	Syak.g_02192, Syak.g_00282
OG0000066	Prbb.g_00542	Syak.g_02653
OG0000067	Prbb.g_00783	Syak.g_00434
OG0000068	Prbb.g_01639	Syak.g_02565
OG0000070	Prbb.g_00455	Syak.g_01174
OG0000071	Prbb.g_01586	Syak.g_02322, Syak.g_00936
OG0000072	Prbb.g_00228	Syak.g_02099
OG0000073	Prbb.g_00503	Syak.g_02597
OG0000075	Prbb.g_02036	Syak.g_01564
OG0000076	Prbb.g_02061	Syak.g_01650
OG0000077	Prbb.g_00133	Syak.g_02243
OG0000078	Prbb.g_00297	Syak.g_02310
OG0000079	Prbb.g_00308	Syak.g_01417
OG0000081	Prbb.g_00534	Syak.g_00115
OG0000082	Prbb.g_01882	Syak.g_02711
OG0000084	Prbb.g_01683	Syak.g_01036
OG0000085	Prbb.g_01816	Syak.g_02427
OG0000086	Prbb.g_00143	Syak.g_02219
OG0000087	Prbb.g_00196	Syak.g_02141
OG0000088	Prbb.g_00223	Syak.g_02106
OG0000089	Prbb.g_00416	Syak.g_01215
OG0000090	Prbb.g_00536	Syak.g_02640
OG0000091	Prbb.g_00643	Syak.g_00043
OG0000092	Prbb.g_00937	Syak.g_01126
OG0000093	Prbb.g_00768	Syak.g_00416
OG0000094	Prbb.g_00892	Syak.g_00656
OG0000095	Prbb.g_01070	Syak.g_00736
OG0000097	Prbb.g_01470	Syak.g_00816
OG0000098	Prbb.g_01608	Syak.g_00345, Syak.g_02651
OG0000099	Prbb.g_00388	Syak.g_01527
OG0000100	Prbb.g_01763	Syak.g_00622
OG0000101	Prbb.g_02001	Syak.g_01305
OG0000102	Prbb.g_02066	Syak.g_01661
OG0000103	Prbb.g_02174	Syak.g_01812
OG0000104	Prbb.g_02185	Syak.g_01799
OG0000105	Prbb.g_00327	Syak.g_01451
OG0000106	Prbb.g_01197, Prbb.g_01329	Syak.g_00096
OG0000107	Prbb.g_01923	Syak.g_01392
OG0000108	Prbb.g_00484, Prbb.g_00485	Syak.g_02574
OG0000109	Prbb.g_00498	Syak.g_01061, Syak.g_02590
OG0000110	Prbb.g_00578	Syak.g_02698
OG0000111	Prbb.g_00707	Syak.g_00725
OG0000112	Prbb.g_00983	Syak.g_00512
OG0000113	Prbb.g_00807, Prbb.g_01218	Syak.g_00461
OG0000114	Prbb.g_00932	Syak.g_00373, Syak.g_00065
OG0000115	Prbb.g_01780	Syak.g_01066
OG0000116	Prbb.g_01528	Syak.g_00911
OG0000117	Prbb.g_01399	Syak.g_00846
OG0000118	Prbb.g_01598	Syak.g_00954
OG0000119	Prbb.g_01632	Syak.g_00917
OG0000120	Prbb.g_00678	Syak.g_01526
OG0000121	Prbb.g_01688	Syak.g_01044
OG0000122	Prbb.g_01727	Syak.g_00081
OG0000123	Prbb.g_02008	Syak.g_01299
OG0000125	Prbb.g_02131	Syak.g_01934
OG0000126	Prbb.g_02183	Syak.g_01801
OG0000128	Prbb.g_00012	Syak.g_01782
OG0000129	Prbb.g_00059	Syak.g_01947
OG0000130	Prbb.g_00124	Syak.g_02255
OG0000131	Prbb.g_00202	Syak.g_02128
OG0000132	Prbb.g_00221	Syak.g_02108
OG0000133	Prbb.g_00373	Syak.g_00507
OG0000134	Prbb.g_00418	Syak.g_01212
