Orthogroup	Pral	Prae
OG0000000	Pral.g_00037	Prae.g_01580
OG0000000	Pral.g_01333, Pral.g_00038	Prae.g_01222, Prae.g_01579
OG0000001	Pral.g_01549, Pral.g_01554	Prae.g_01361
OG0000001	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prae.g_00652
OG0000002	Pral.g_01296, Pral.g_01671	Prae.g_01236, Prae.g_01224, Prae.g_01223
OG0000002	Pral.g_01236	Prae.g_01353
OG0000003	Pral.g_01006	Prae.g_00040
OG0000004	Pral.g_00040, Pral.g_01332	Prae.g_01308, Prae.g_01581
OG0000005	Pral.g_01898	Prae.g_00742
OG0000006	Pral.g_00444	Prae.g_01283, Prae.g_00756, Prae.g_01110
OG0000008	Pral.g_00593	Prae.g_00471
OG0000008	Pral.g_00107	Prae.g_01623
OG0000010	Pral.g_01344	Prae.g_00786
OG0000010	Pral.g_00790	Prae.g_00252
OG0000011	Pral.g_01890	Prae.g_00755
OG0000013	Pral.g_01065, Pral.g_01163	Prae.g_01572
OG0000014	Pral.g_01261	Prae.g_01401
OG0000016	Pral.g_01813	Prae.g_00769, Prae.g_01235
OG0000017	Pral.g_00039, Pral.g_01036	Prae.g_01311, Prae.g_00444
OG0000018	Pral.g_00491, Pral.g_00484	Prae.g_00572
OG0000019	Pral.g_00062, Pral.g_01887	Prae.g_00381
OG0000020	Pral.g_01861, Pral.g_01063	Prae.g_01364
OG0000022	Pral.g_00797	Prae.g_00244
OG0000023	Pral.g_01738	Prae.g_01600, Prae.g_00364
OG0000024	Pral.g_00046	Prae.g_01290
OG0000025	Pral.g_01895	Prae.g_00748
OG0000026	Pral.g_01331	Prae.g_01310
OG0000029	Pral.g_01670, Pral.g_00082	Prae.g_00787
OG0000030	Pral.g_00090	Prae.g_00788
OG0000031	Pral.g_00313	Prae.g_01822
OG0000034	Pral.g_01165, Pral.g_01161	Prae.g_01459
OG0000035	Pral.g_01164, Pral.g_01114	Prae.g_01573
OG0000036	Pral.g_01038	Prae.g_01107
OG0000037	Pral.g_00095	Prae.g_01602
OG0000038	Pral.g_01193	Prae.g_01402
OG0000041	Pral.g_00015	Prae.g_00597
OG0000043	Pral.g_01853	Prae.g_00894
OG0000045	Pral.g_00057	Prae.g_00559
OG0000046	Pral.g_00044	Prae.g_00764
OG0000047	Pral.g_01367	Prae.g_01163, Prae.g_01422
OG0000049	Pral.g_01202	Prae.g_01417, Prae.g_01406
OG0000050	Pral.g_00878	Prae.g_00169
OG0000051	Pral.g_01687	Prae.g_00359
OG0000053	Pral.g_01729	Prae.g_00711
OG0000054	Pral.g_00099	Prae.g_01616
OG0000055	Pral.g_00305	Prae.g_01815
OG0000056	Pral.g_01012	Prae.g_00031
OG0000057	Pral.g_00887	Prae.g_00160
OG0000058	Pral.g_01859	Prae.g_00370
OG0000059	Pral.g_00551	Prae.g_00514
OG0000060	Pral.g_01716	Prae.g_01247
OG0000062	Pral.g_01511	Prae.g_00828
OG0000063	Pral.g_00019	Prae.g_01322
OG0000065	Pral.g_00803	Prae.g_00240
OG0000066	Pral.g_00617	Prae.g_00449
OG0000067	Pral.g_01740	Prae.g_00672
OG0000068	Pral.g_00445	Prae.g_00740
OG0000070	Pral.g_01561	Prae.g_01040
OG0000071	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prae.g_01263
OG0000072	Pral.g_01281	Prae.g_01329
OG0000074	Pral.g_00702	Prae.g_01389
OG0000075	Pral.g_00243	Prae.g_01758
OG0000077	Pral.g_00421	Prae.g_00011
OG0000078	Pral.g_00717	Prae.g_00323
OG0000079	Pral.g_01034	Prae.g_00382
OG0000080	Pral.g_01471	Prae.g_00643
OG0000081	Pral.g_01750	Prae.g_00665
OG0000082	Pral.g_01495	Prae.g_00813
OG0000083	Pral.g_01347	Prae.g_00876
OG0000084	Pral.g_01627	Prae.g_00964
OG0000085	Pral.g_01316	Prae.g_01090
OG0000086	Pral.g_00078, Pral.g_00056	Prae.g_01130
OG0000090	Pral.g_01201	Prae.g_01390
OG0000091	Pral.g_01153	Prae.g_01467
OG0000092	Pral.g_00065	Prae.g_01588
OG0000093	Pral.g_00195	Prae.g_01710
OG0000094	Pral.g_00239	Prae.g_01755
OG0000095	Pral.g_00277	Prae.g_01789
