Orthogroup	Pral	Prba
OG0000000	Pral.g_00037	Prba.g_00243, Prba.g_00269
OG0000000	Pral.g_01333, Pral.g_00038	Prba.g_00003, Prba.g_00270
OG0000001	Pral.g_01549, Pral.g_01554	Prba.g_00203
OG0000001	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prba.g_01639
OG0000002	Pral.g_01296, Pral.g_01671	Prba.g_01081, Prba.g_01080
OG0000002	Pral.g_01236	Prba.g_00211
OG0000003	Pral.g_01006	Prba.g_01832
OG0000004	Pral.g_00040, Pral.g_01332	Prba.g_01172, Prba.g_00268
OG0000005	Pral.g_01898	Prba.g_01563
OG0000006	Pral.g_00444	Prba.g_01157, Prba.g_01550, Prba.g_00734
OG0000008	Pral.g_00593	Prba.g_00964
OG0000008	Pral.g_00107	Prba.g_00226
OG0000009	Pral.g_01041	Prba.g_01120
OG0000010	Pral.g_01344	Prba.g_01519
OG0000010	Pral.g_00790	Prba.g_00468
OG0000011	Pral.g_01890	Prba.g_01551
OG0000013	Pral.g_01065, Pral.g_01163	Prba.g_00276, Prba.g_01893
OG0000014	Pral.g_01261	Prba.g_00159
OG0000015	Pral.g_00672	Prba.g_00913
OG0000016	Pral.g_01813	Prba.g_01538
OG0000017	Pral.g_00039, Pral.g_01036	Prba.g_01175, Prba.g_00991
OG0000018	Pral.g_00491, Pral.g_00484	Prba.g_01719
OG0000019	Pral.g_00062, Pral.g_01887	Prba.g_00876
OG0000020	Pral.g_01861, Pral.g_01063	Prba.g_00200
OG0000022	Pral.g_00797	Prba.g_00460
OG0000023	Pral.g_01738	Prba.g_00245, Prba.g_00858
OG0000024	Pral.g_00046	Prba.g_01164
OG0000025	Pral.g_01895	Prba.g_01558
OG0000026	Pral.g_01331	Prba.g_01174
OG0000028	Pral.g_00020	Prba.g_01131
OG0000029	Pral.g_01670, Pral.g_00082	Prba.g_01518
OG0000030	Pral.g_00090	Prba.g_01517
OG0000031	Pral.g_00313	Prba.g_00775
OG0000034	Pral.g_01165, Pral.g_01161	Prba.g_00713
OG0000035	Pral.g_01164, Pral.g_01114	Prba.g_00275
OG0000036	Pral.g_01038	Prba.g_00737
OG0000038	Pral.g_01193	Prba.g_00173
OG0000041	Pral.g_00015	Prba.g_01694
OG0000043	Pral.g_01853	Prba.g_01226, Prba.g_01409
OG0000045	Pral.g_00057	Prba.g_01731
OG0000046	Pral.g_00044	Prba.g_01543
OG0000047	Pral.g_01367	Prba.g_00064
OG0000049	Pral.g_01202	Prba.g_00153
OG0000050	Pral.g_00878	Prba.g_00622
OG0000051	Pral.g_01687	Prba.g_00854
OG0000053	Pral.g_01729	Prba.g_01594
OG0000054	Pral.g_00099	Prba.g_00233
OG0000055	Pral.g_00305	Prba.g_00768
OG0000056	Pral.g_01012	Prba.g_01824
OG0000057	Pral.g_00887	Prba.g_01945
OG0000058	Pral.g_01859	Prba.g_00864
OG0000059	Pral.g_00551	Prba.g_00922
OG0000062	Pral.g_01511	Prba.g_01477
OG0000063	Pral.g_00019	Prba.g_00727
OG0000065	Pral.g_00803	Prba.g_00456
OG0000066	Pral.g_00617	Prba.g_00986
OG0000067	Pral.g_01740	Prba.g_01619
OG0000068	Pral.g_00445	Prba.g_01565
OG0000070	Pral.g_01561	Prba.g_01264
OG0000071	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prba.g_01135
OG0000072	Pral.g_01281	Prba.g_01192
OG0000074	Pral.g_00702	Prba.g_00175
OG0000075	Pral.g_00243	Prba.g_00429
OG0000076	Pral.g_01121	Prba.g_00149
OG0000077	Pral.g_00421	Prba.g_01804
OG0000078	Pral.g_00717	Prba.g_00538
OG0000079	Pral.g_01034	Prba.g_00877
OG0000080	Pral.g_01471	Prba.g_01648
OG0000081	Pral.g_01750	Prba.g_01626
OG0000082	Pral.g_01495	Prba.g_01492
OG0000083	Pral.g_01347	Prba.g_01427
OG0000084	Pral.g_01627	Prba.g_01337
OG0000085	Pral.g_01316	Prba.g_01216
OG0000086	Pral.g_00078, Pral.g_00056	Prba.g_00097
OG0000090	Pral.g_01201	Prba.g_00155
OG0000091	Pral.g_01153	Prba.g_00705
OG0000092	Pral.g_00065	Prba.g_00261
OG0000093	Pral.g_00195	Prba.g_00381
OG0000094	Pral.g_00239	Prba.g_00426
OG0000095	Pral.g_00277	Prba.g_01069
OG0000096	Pral.g_00350	Prba.g_00813
OG0000098	Pral.g_00413	Prba.g_01796
OG0000099	Pral.g_01021	Prba.g_01816
OG0000100	Pral.g_01886	Prba.g_01833, Prba.g_01044
OG0000101	Pral.g_00993	Prba.g_01843
OG0000102	Pral.g_00932	Prba.g_01901
OG0000103	Pral.g_00923	Prba.g_01909
OG0000104	Pral.g_00906	Prba.g_01927
OG0000105	Pral.g_00873	Prba.g_00626
OG0000106	Pral.g_00860	Prba.g_00640
OG0000107	Pral.g_00851	Prba.g_00648
OG0000108	Pral.g_00842	Prba.g_00658
OG0000109	Pral.g_00800	Prba.g_00458
OG0000110	Pral.g_00788	Prba.g_00470
OG0000111	Pral.g_00765	Prba.g_00491
OG0000113	Pral.g_00741	Prba.g_00513
OG0000114	Pral.g_00714	Prba.g_00541
OG0000115	Pral.g_01832, Pral.g_00618	Prba.g_00987
OG0000116	Pral.g_00616	Prba.g_00985
OG0000117	Pral.g_00611	Prba.g_00981
OG0000118	Pral.g_00591	Prba.g_00962
OG0000119	Pral.g_00558	Prba.g_00929
OG0000120	Pral.g_00557	Prba.g_00928
OG0000121	Pral.g_00547	Prba.g_01772
OG0000122	Pral.g_00538	Prba.g_01763
OG0000123	Pral.g_00504	Prba.g_01732
OG0000124	Pral.g_01452	Prba.g_01666
OG0000125	Pral.g_01453	Prba.g_01665
OG0000126	Pral.g_01454	Prba.g_01664
OG0000127	Pral.g_01755	Prba.g_01631
OG0000128	Pral.g_01727	Prba.g_01592
OG0000129	Pral.g_01705	Prba.g_01572
OG0000130	Pral.g_01665	Prba.g_01514
OG0000131	Pral.g_01486	Prba.g_01501
