Orthogroup	Pral	Prar
OG0000000	Pral.g_00037	Prar.g_00713, Prar.g_00729
OG0000000	Pral.g_01333, Pral.g_00038	Prar.g_01204, Prar.g_00730
OG0000001	Pral.g_01549, Pral.g_01554	Prar.g_00918
OG0000001	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prar.g_01508
OG0000002	Pral.g_01296, Pral.g_01671	Prar.g_01203, Prar.g_01202
OG0000002	Pral.g_01236	Prar.g_00926
OG0000003	Pral.g_01006	Prar.g_00593
OG0000004	Pral.g_00040, Pral.g_01332	Prar.g_00973, Prar.g_00727
OG0000005	Pral.g_01898	Prar.g_01630
OG0000006	Pral.g_00444	Prar.g_00991, Prar.g_01006, Prar.g_01643, Prar.g_01313
OG0000008	Pral.g_00593	Prar.g_01328
OG0000008	Pral.g_00107	Prar.g_01143
OG0000009	Pral.g_01041	Prar.g_00931
OG0000010	Pral.g_01344	Prar.g_01663
OG0000010	Pral.g_00790	Prar.g_00078
OG0000013	Pral.g_01065, Pral.g_01163	Prar.g_00737, Prar.g_00223
OG0000014	Pral.g_00732, Pral.g_01261	Prar.g_00281
OG0000015	Pral.g_00672	Prar.g_00468
OG0000016	Pral.g_01813	Prar.g_01179
OG0000017	Pral.g_00039, Pral.g_01036	Prar.g_00520
OG0000018	Pral.g_00491, Pral.g_00484	Prar.g_01428
OG0000019	Pral.g_00062, Pral.g_01887	Prar.g_00443
OG0000020	Pral.g_01861, Pral.g_01063	Prar.g_00915
OG0000021	Pral.g_00066, Pral.g_01139	Prar.g_00589
OG0000022	Pral.g_00797	Prar.g_00086
OG0000023	Pral.g_01738	Prar.g_00425
OG0000024	Pral.g_00046	Prar.g_00979
OG0000025	Pral.g_01895	Prar.g_01634
OG0000026	Pral.g_01331	Prar.g_00971
OG0000028	Pral.g_00020	Prar.g_01185
OG0000029	Pral.g_01670, Pral.g_00082	Prar.g_01664
OG0000030	Pral.g_00090	Prar.g_01665
OG0000031	Pral.g_00313	Prar.g_00660
OG0000032	Pral.g_00435	Prar.g_01189
OG0000034	Pral.g_01165, Pral.g_01161	Prar.g_00339
OG0000035	Pral.g_01164, Pral.g_01114	Prar.g_00736, Prar.g_01170
OG0000036	Pral.g_01883	Prar.g_01187
OG0000036	Pral.g_01038	Prar.g_01315
OG0000041	Pral.g_00015	Prar.g_01453
OG0000043	Pral.g_01853	Prar.g_01943, Prar.g_01761
OG0000045	Pral.g_00057	Prar.g_01414
OG0000046	Pral.g_00044	Prar.g_01649
OG0000047	Pral.g_01367	Prar.g_01263
OG0000049	Pral.g_01202	Prar.g_00870, Prar.g_00362
OG0000050	Pral.g_00878	Prar.g_00161
OG0000051	Pral.g_01687	Prar.g_00420
OG0000053	Pral.g_01729	Prar.g_01599
OG0000054	Pral.g_00099	Prar.g_01150
OG0000055	Pral.g_00305	Prar.g_00592, Prar.g_00653
OG0000056	Pral.g_01012	Prar.g_00007
OG0000057	Pral.g_00887	Prar.g_00170, Prar.g_01569
OG0000058	Pral.g_01859	Prar.g_00431
OG0000059	Pral.g_00551	Prar.g_01369
OG0000062	Pral.g_01511	Prar.g_01706
