Orthogroup	Pral	Prbk
OG0000000	Pral.g_00037	Prbk.g_00165
OG0000000	Pral.g_01333, Pral.g_00038	Prbk.g_00167
OG0000001	Pral.g_01549, Pral.g_01554	Prbk.g_02574
OG0000001	Pral.g_01764, Pral.g_01052, Pral.g_01340, Pral.g_00430, Pral.g_01342, Pral.g_01337	Prbk.g_01649
OG0000002	Pral.g_01236	Prbk.g_00170, Prbk.g_01196, Prbk.g_00561, Prbk.g_02701, Prbk.g_00630
OG0000004	Pral.g_00040, Pral.g_01332	Prbk.g_00166
OG0000005	Pral.g_01898	Prbk.g_01701, Prbk.g_00355
OG0000008	Pral.g_00107	Prbk.g_00907
OG0000009	Pral.g_01041	Prbk.g_01337, Prbk.g_02672, Prbk.g_01344, Prbk.g_02680, Prbk.g_02591
OG0000010	Pral.g_01344, Pral.g_00790	Prbk.g_01004
OG0000011	Pral.g_01890	Prbk.g_00833
OG0000012	Pral.g_00768	Prbk.g_00405
OG0000013	Pral.g_01065, Pral.g_01163	Prbk.g_01932, Prbk.g_00013
OG0000014	Pral.g_00732	Prbk.g_00454
OG0000015	Pral.g_00672	Prbk.g_02565
OG0000018	Pral.g_00491	Prbk.g_01142
OG0000018	Pral.g_00484	Prbk.g_01150
OG0000020	Pral.g_01861	Prbk.g_01746
OG0000020	Pral.g_01063	Prbk.g_01786
OG0000021	Pral.g_00066, Pral.g_01139	Prbk.g_01230
OG0000022	Pral.g_00797	Prbk.g_02695
OG0000023	Pral.g_01738	Prbk.g_01137
OG0000024	Pral.g_00046	Prbk.g_01737
OG0000025	Pral.g_01895	Prbk.g_01780
OG0000027	Pral.g_00021	Prbk.g_01820
OG0000028	Pral.g_00020	Prbk.g_01819
OG0000031	Pral.g_00313	Prbk.g_01495, Prbk.g_00140, Prbk.g_02215
OG0000032	Pral.g_00435	Prbk.g_01613
OG0000034	Pral.g_01165, Pral.g_01161	Prbk.g_00259
OG0000036	Pral.g_00443, Pral.g_01883	Prbk.g_01664
OG0000037	Pral.g_00095	Prbk.g_01709
OG0000041	Pral.g_00015	Prbk.g_02610
OG0000042	Pral.g_00358	Prbk.g_02168
OG0000045	Pral.g_00057	Prbk.g_01122
OG0000046	Pral.g_00044	Prbk.g_01667, Prbk.g_00212
OG0000047	Pral.g_01367	Prbk.g_01019
OG0000048	Pral.g_00987	Prbk.g_00499
OG0000049	Pral.g_01202	Prbk.g_00479
OG0000050	Pral.g_00878	Prbk.g_01836, Prbk.g_00773
OG0000051	Pral.g_01687	Prbk.g_02448
OG0000053	Pral.g_01729	Prbk.g_01835, Prbk.g_00619
OG0000054	Pral.g_00099	Prbk.g_00919
OG0000055	Pral.g_00305	Prbk.g_00237
OG0000056	Pral.g_01012	Prbk.g_01617
OG0000057	Pral.g_00887	Prbk.g_00764
OG0000058	Pral.g_01859	Prbk.g_00925
OG0000059	Pral.g_00551	Prbk.g_01094
OG0000060	Pral.g_01716	Prbk.g_00605
OG0000061	Pral.g_00043	Prbk.g_01468
OG0000062	Pral.g_01511	Prbk.g_02493
OG0000063	Pral.g_00019	Prbk.g_00694
OG0000066	Pral.g_00617	Prbk.g_02113
OG0000067	Pral.g_01740	Prbk.g_01765
OG0000070	Pral.g_01561	Prbk.g_00056
OG0000071	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbk.g_01496
OG0000072	Pral.g_01281	Prbk.g_01183
OG0000074	Pral.g_00702	Prbk.g_00477
OG0000075	Pral.g_00243	Prbk.g_00796, Prbk.g_00944
OG0000076	Pral.g_01121	Prbk.g_01209
OG0000077	Pral.g_00421	Prbk.g_02290
OG0000078	Pral.g_00717	Prbk.g_00472
OG0000079	Pral.g_01034	Prbk.g_02209
OG0000080	Pral.g_01471	Prbk.g_00709
OG0000081	Pral.g_01750	Prbk.g_01815
OG0000082	Pral.g_01495	Prbk.g_02475
OG0000084	Pral.g_01627	Prbk.g_02324
OG0000085	Pral.g_01316	Prbk.g_02271
OG0000086	Pral.g_00078, Pral.g_00056	Prbk.g_02195
OG0000090	Pral.g_01201	Prbk.g_00476
OG0000091	Pral.g_01153	Prbk.g_00275
OG0000092	Pral.g_00065	Prbk.g_02012
OG0000093	Pral.g_00195	Prbk.g_00992
OG0000094	Pral.g_00239	Prbk.g_00948
OG0000095	Pral.g_00277	Prbk.g_00512
OG0000096	Pral.g_00350	Prbk.g_01603
OG0000097	Pral.g_00370	Prbk.g_02204
OG0000098	Pral.g_00413	Prbk.g_02281
OG0000099	Pral.g_01021	Prbk.g_01626
OG0000101	Pral.g_00993	Prbk.g_02126
OG0000102	Pral.g_00932	Prbk.g_00191
OG0000103	Pral.g_00923	Prbk.g_00206
OG0000104	Pral.g_00906	Prbk.g_00559
OG0000105	Pral.g_00873	Prbk.g_00777
OG0000106	Pral.g_00860	Prbk.g_01280
OG0000107	Pral.g_00851	Prbk.g_01261
OG0000108	Pral.g_00842	Prbk.g_01251
OG0000109	Pral.g_00800	Prbk.g_01515
OG0000110	Pral.g_00788	Prbk.g_01001
OG0000111	Pral.g_00765	Prbk.g_00409
OG0000112	Pral.g_00754	Prbk.g_00422
OG0000113	Pral.g_00741	Prbk.g_00438
OG0000114	Pral.g_00714	Prbk.g_00492
OG0000115	Pral.g_01832, Pral.g_00618	Prbk.g_02112
OG0000116	Pral.g_00616	Prbk.g_02114
OG0000117	Pral.g_00611	Prbk.g_02061
OG0000118	Pral.g_00591	Prbk.g_01862
OG0000119	Pral.g_00558	Prbk.g_01078
OG0000120	Pral.g_00557	Prbk.g_01080
OG0000121	Pral.g_00547	Prbk.g_02684
OG0000122	Pral.g_00538	Prbk.g_01890
OG0000123	Pral.g_00504	Prbk.g_01121
OG0000124	Pral.g_01452	Prbk.g_00740
OG0000125	Pral.g_01453	Prbk.g_00739
OG0000126	Pral.g_01454	Prbk.g_00738
OG0000127	Pral.g_01755	Prbk.g_01385
OG0000128	Pral.g_01727	Prbk.g_00616
OG0000129	Pral.g_01705	Prbk.g_02370
OG0000130	Pral.g_01665	Prbk.g_01642
OG0000131	Pral.g_01486	Prbk.g_02466
OG0000132	Pral.g_01522	Prbk.g_02530
OG0000133	Pral.g_01782	Prbk.g_02438
OG0000134	Pral.g_01472	Prbk.g_02444
OG0000135	Pral.g_01623	Prbk.g_02316
OG0000136	Pral.g_01564	Prbk.g_00059
OG0000137	Pral.g_00075	Prbk.g_02197
OG0000138	Pral.g_01361	Prbk.g_01025
OG0000139	Pral.g_01373, Pral.g_01187	Prbk.g_00144
OG0000140	Pral.g_00455	Prbk.g_00121
OG0000141	Pral.g_01064	Prbk.g_00066
OG0000142	Pral.g_01269	Prbk.g_01169
OG0000143	Pral.g_01222	Prbk.g_02052
OG0000144	Pral.g_01179	Prbk.g_00243
OG0000145	Pral.g_01160	Prbk.g_00260
OG0000146	Pral.g_01123	Prbk.g_01212
OG0000147	Pral.g_01074	Prbk.g_00932
OG0000148	Pral.g_01073	Prbk.g_00931
OG0000149	Pral.g_00104	Prbk.g_00913
