Orthogroup	Pral	Praj
OG0000000	Pral.g_00037	Praj.g_01077, Praj.g_01357, Praj.g_00418, Praj.g_01730, Praj.g_01078, Praj.g_01309, Praj.g_01272, Praj.g_01202, Praj.g_00417
OG0000000	Pral.g_01333	Praj.g_01307, Praj.g_01732
OG0000001	Pral.g_01549	Praj.g_00832
OG0000001	Pral.g_01764	Praj.g_00670
OG0000001	Pral.g_01052	Praj.g_01492
OG0000001	Pral.g_01340	Praj.g_01489
OG0000001	Pral.g_00430, Pral.g_01342	Praj.g_01488
OG0000001	Pral.g_01337	Praj.g_01493, Praj.g_01487
OG0000002	Pral.g_01296, Pral.g_01671	Praj.g_01861, Praj.g_00463, Praj.g_01112
OG0000002	Pral.g_01236	Praj.g_01549
OG0000004	Pral.g_00040, Pral.g_01332	Praj.g_01099, Praj.g_00415, Praj.g_01274, Praj.g_01204, Praj.g_01311, Praj.g_01737
OG0000005	Pral.g_01898	Praj.g_00411, Praj.g_01121, Praj.g_00734
OG0000006	Pral.g_00444	Praj.g_01249
OG0000008	Pral.g_00593	Praj.g_00489
OG0000008	Pral.g_00107	Praj.g_01768
OG0000010	Pral.g_01344	Praj.g_00743, Praj.g_00747
OG0000011	Pral.g_01890	Praj.g_01745
OG0000012	Pral.g_00768	Praj.g_00308
OG0000014	Pral.g_00732	Praj.g_00341
OG0000014	Pral.g_01261	Praj.g_01609
OG0000015	Pral.g_00672	Praj.g_00408
OG0000016	Pral.g_01813	Praj.g_01113
OG0000017	Pral.g_00039, Pral.g_01036	Praj.g_01331
OG0000018	Pral.g_00491	Praj.g_00585
OG0000019	Pral.g_01887	Praj.g_01148
OG0000020	Pral.g_01861, Pral.g_01063	Praj.g_01568
OG0000021	Pral.g_00066, Pral.g_01139	Praj.g_01651
OG0000022	Pral.g_00797	Praj.g_01281, Praj.g_00282, Praj.g_01505
OG0000023	Pral.g_01738	Praj.g_00084
OG0000024	Pral.g_00046	Praj.g_01165
OG0000025	Pral.g_01895	Praj.g_01134, Praj.g_00666
OG0000026	Pral.g_01331	Praj.g_01076, Praj.g_01356, Praj.g_00419, Praj.g_01201, Praj.g_01308, Praj.g_01271
OG0000027	Pral.g_00021	Praj.g_01830
OG0000028	Pral.g_00020	Praj.g_01829
OG0000029	Pral.g_00082	Praj.g_01842
OG0000030	Pral.g_00090	Praj.g_01051, Praj.g_01316
OG0000031	Pral.g_00313	Praj.g_02020
OG0000032	Pral.g_00435	Praj.g_01867
OG0000034	Pral.g_01165, Pral.g_01161	Praj.g_01632
OG0000035	Pral.g_01164	Praj.g_01276
OG0000035	Pral.g_01114	Praj.g_01675
OG0000036	Pral.g_01038	Praj.g_01025
OG0000037	Pral.g_00095	Praj.g_01347
OG0000038	Pral.g_01193	Praj.g_00371
OG0000041	Pral.g_00015	Praj.g_01066
OG0000042	Pral.g_00358	Praj.g_02091
OG0000043	Pral.g_01853	Praj.g_01395
OG0000045	Pral.g_00057	Praj.g_01827
OG0000046	Pral.g_00044	Praj.g_01189
OG0000047	Pral.g_01367	Praj.g_01461
OG0000048	Pral.g_00987	Praj.g_00095
OG0000049	Pral.g_01202	Praj.g_00839
OG0000050	Pral.g_00878	Praj.g_00206
OG0000051	Pral.g_01687	Praj.g_01329, Praj.g_01365
OG0000053	Pral.g_01729	Praj.g_00698
OG0000054	Pral.g_00099	Praj.g_01762
OG0000055	Pral.g_00305	Praj.g_02012
OG0000056	Pral.g_01012	Praj.g_00031
OG0000057	Pral.g_00887	Praj.g_00197
OG0000058	Pral.g_01859	Praj.g_01156, Praj.g_01282
OG0000059	Pral.g_00551	Praj.g_00530
OG0000060	Pral.g_01716	Praj.g_00711
OG0000061	Pral.g_00043	Praj.g_00042
OG0000062	Pral.g_01511	Praj.g_00793, Praj.g_01176
OG0000063	Pral.g_00019	Praj.g_00043
OG0000065	Pral.g_00803	Praj.g_00277
OG0000066	Pral.g_00617	Praj.g_00467
OG0000067	Pral.g_01740	Praj.g_01313, Praj.g_00691
OG0000068	Pral.g_00445	Praj.g_01170
OG0000070	Pral.g_01561	Praj.g_01024
OG0000071	Pral.g_01396, Pral.g_01398, Pral.g_01397	Praj.g_01355
OG0000072	Pral.g_01281	Praj.g_01528
OG0000073	Pral.g_00060	Praj.g_01146
OG0000073	Pral.g_00441	Praj.g_01228, Praj.g_01377
OG0000074	Pral.g_00702	Praj.g_00664
OG0000075	Pral.g_00243	Praj.g_01952
OG0000076	Pral.g_01121	Praj.g_01669
OG0000077	Pral.g_00421	Praj.g_00011
OG0000078	Pral.g_00717	Praj.g_00357
OG0000079	Pral.g_01034	Praj.g_01279
OG0000080	Pral.g_01471	Praj.g_00659
OG0000081	Pral.g_01750	Praj.g_00684
OG0000082	Pral.g_01495	Praj.g_00776
OG0000083	Pral.g_01347	Praj.g_00864, Praj.g_01157
OG0000084	Pral.g_01627	Praj.g_00946
OG0000085	Pral.g_01316	Praj.g_01196
OG0000086	Pral.g_00078, Pral.g_00056	Praj.g_01832
OG0000090	Pral.g_01201	Praj.g_00372
OG0000091	Pral.g_01153	Praj.g_01640
OG0000092	Pral.g_00065	Praj.g_01166
OG0000093	Pral.g_00195	Praj.g_01892
OG0000094	Pral.g_00239	Praj.g_01948
OG0000095	Pral.g_00277	Praj.g_01985
OG0000096	Pral.g_00350	Praj.g_02083
OG0000097	Pral.g_00370	Praj.g_02103
OG0000098	Pral.g_00413	Praj.g_00003
OG0000099	Pral.g_01021	Praj.g_00023
OG0000100	Pral.g_01886	Praj.g_01154
OG0000101	Pral.g_00993	Praj.g_00053
OG0000102	Pral.g_00932	Praj.g_00153
OG0000103	Pral.g_00923	Praj.g_00162
OG0000104	Pral.g_00906	Praj.g_00179
OG0000105	Pral.g_00873	Praj.g_00210
OG0000106	Pral.g_00860	Praj.g_00223
OG0000107	Pral.g_00851	Praj.g_00232
OG0000108	Pral.g_00842	Praj.g_00242
OG0000109	Pral.g_00800	Praj.g_00280
OG0000110	Pral.g_00788	Praj.g_00290
OG0000111	Pral.g_00765	Praj.g_00310
OG0000112	Pral.g_00754	Praj.g_00320
OG0000113	Pral.g_00741	Praj.g_00332
OG0000114	Pral.g_00714	Praj.g_00360
OG0000115	Pral.g_01832, Pral.g_00618	Praj.g_00466
OG0000116	Pral.g_00616	Praj.g_00468
OG0000117	Pral.g_00611	Praj.g_00473
OG0000118	Pral.g_00591	Praj.g_00491
