Orthogroup	Pral	Prbh
OG0000000	Pral.g_00037	Prbh.g_01903
OG0000000	Pral.g_01333	Prbh.g_01902
OG0000001	Pral.g_01549	Prbh.g_01016
OG0000001	Pral.g_01554	Prbh.g_01022
OG0000001	Pral.g_01764	Prbh.g_00912
OG0000001	Pral.g_01052	Prbh.g_00199
OG0000001	Pral.g_01340	Prbh.g_01313
OG0000001	Pral.g_00430	Prbh.g_00006
OG0000001	Pral.g_01342	Prbh.g_01311
OG0000001	Pral.g_01337	Prbh.g_01317
OG0000002	Pral.g_01296, Pral.g_01671	Prbh.g_00863
OG0000002	Pral.g_01236	Prbh.g_00001
OG0000004	Pral.g_00040	Prbh.g_01901
OG0000004	Pral.g_01332	Prbh.g_01319
OG0000005	Pral.g_01898	Prbh.g_01350
OG0000006	Pral.g_00444	Prbh.g_01909, Prbh.g_01948
OG0000008	Pral.g_00593	Prbh.g_00334
OG0000008	Pral.g_00107	Prbh.g_01782
OG0000009	Pral.g_01041	Prbh.g_01418
OG0000010	Pral.g_01344	Prbh.g_01307
OG0000010	Pral.g_00790	Prbh.g_00530
OG0000011	Pral.g_01890	Prbh.g_01885
OG0000013	Pral.g_01065	Prbh.g_00377
OG0000013	Pral.g_01163	Prbh.g_00193
OG0000014	Pral.g_00732	Prbh.g_00472
OG0000015	Pral.g_00672	Prbh.g_00408
OG0000016	Pral.g_01813	Prbh.g_01869
OG0000018	Pral.g_00491	Prbh.g_00232
OG0000018	Pral.g_00484	Prbh.g_00225
OG0000019	Pral.g_00062	Prbh.g_00806
OG0000019	Pral.g_01887	Prbh.g_01945
OG0000020	Pral.g_01861	Prbh.g_01333
OG0000020	Pral.g_01063	Prbh.g_00194
OG0000021	Pral.g_00066	Prbh.g_00120, Prbh.g_01834
OG0000022	Pral.g_00797	Prbh.g_00538
OG0000023	Pral.g_01738	Prbh.g_00938
OG0000024	Pral.g_00046	Prbh.g_00773
OG0000025	Pral.g_01895	Prbh.g_01147, Prbh.g_00909
OG0000026	Pral.g_01331	Prbh.g_01853
OG0000027	Pral.g_00021	Prbh.g_01405
OG0000028	Pral.g_00020	Prbh.g_01406
OG0000029	Pral.g_00082	Prbh.g_01797
OG0000030	Pral.g_00090	Prbh.g_00788
OG0000031	Pral.g_00313	Prbh.g_01573
OG0000032	Pral.g_00435	Prbh.g_01401
OG0000034	Pral.g_01165	Prbh.g_00096
OG0000034	Pral.g_01161	Prbh.g_00099
OG0000035	Pral.g_01164, Pral.g_01114	Prbh.g_00376
OG0000036	Pral.g_01883	Prbh.g_01819
OG0000036	Pral.g_01038	Prbh.g_00202
OG0000038	Pral.g_01193	Prbh.g_00064
OG0000041	Pral.g_00015	Prbh.g_01460
OG0000042	Pral.g_00358	Prbh.g_01528
OG0000043	Pral.g_01853	Prbh.g_00825
OG0000045	Pral.g_00057	Prbh.g_01855
OG0000046	Pral.g_00044	Prbh.g_00190
OG0000047	Pral.g_01367	Prbh.g_01283
OG0000048	Pral.g_00987	Prbh.g_00727
OG0000049	Pral.g_01202	Prbh.g_00030
OG0000050	Pral.g_00878	Prbh.g_00616
OG0000051	Pral.g_01687	Prbh.g_00833
OG0000053	Pral.g_01729	Prbh.g_00945
OG0000054	Pral.g_00099	Prbh.g_01408
OG0000055	Pral.g_00305	Prbh.g_01581
OG0000056	Pral.g_01012	Prbh.g_00749
OG0000057	Pral.g_00887	Prbh.g_00625
OG0000058	Pral.g_01859	Prbh.g_00821
OG0000060	Pral.g_01716	Prbh.g_01160
OG0000061	Pral.g_00043	Prbh.g_01897
OG0000062	Pral.g_01511	Prbh.g_00976
OG0000063	Pral.g_00019	Prbh.g_01334
OG0000065	Pral.g_00803	Prbh.g_00543
OG0000066	Pral.g_00617	Prbh.g_00356
OG0000067	Pral.g_01740	Prbh.g_00936
OG0000068	Pral.g_00445	Prbh.g_00775
OG0000070	Pral.g_01561	Prbh.g_01031
OG0000071	Pral.g_01396, Pral.g_01398, Pral.g_01397	Prbh.g_01255
OG0000072	Pral.g_01281	Prbh.g_01373
OG0000074	Pral.g_00702	Prbh.g_00031
OG0000075	Pral.g_00243	Prbh.g_01644
OG0000076	Pral.g_01121	Prbh.g_00138
OG0000077	Pral.g_00421	Prbh.g_01953
OG0000078	Pral.g_00717	Prbh.g_00457
OG0000079	Pral.g_01034	Prbh.g_01825
OG0000080	Pral.g_01471	Prbh.g_01182
OG0000081	Pral.g_01750	Prbh.g_00926
OG0000082	Pral.g_01495	Prbh.g_00960
OG0000083	Pral.g_01347	Prbh.g_01304
OG0000084	Pral.g_01627	Prbh.g_01086
OG0000085	Pral.g_01316	Prbh.g_01328
OG0000086	Pral.g_00078, Pral.g_00056	Prbh.g_01868
OG0000090	Pral.g_01201	Prbh.g_00032
OG0000091	Pral.g_01153	Prbh.g_00107
OG0000092	Pral.g_00065	Prbh.g_01860
OG0000093	Pral.g_00195	Prbh.g_01695
OG0000094	Pral.g_00239	Prbh.g_01648
OG0000095	Pral.g_00277	Prbh.g_01609
OG0000096	Pral.g_00350	Prbh.g_01536
OG0000097	Pral.g_00370	Prbh.g_01516
OG0000098	Pral.g_00413	Prbh.g_01473
OG0000099	Pral.g_01021	Prbh.g_00757
OG0000100	Pral.g_01886	Prbh.g_01826
OG0000101	Pral.g_00993	Prbh.g_00731
OG0000102	Pral.g_00932	Prbh.g_00668
OG0000103	Pral.g_00923	Prbh.g_00659
OG0000104	Pral.g_00906	Prbh.g_00642
OG0000105	Pral.g_00873	Prbh.g_00612
OG0000106	Pral.g_00860	Prbh.g_00599
OG0000107	Pral.g_00851	Prbh.g_00590
OG0000108	Pral.g_00842	Prbh.g_00580
OG0000109	Pral.g_00800	Prbh.g_00540
OG0000110	Pral.g_00788	Prbh.g_00528
OG0000111	Pral.g_00765	Prbh.g_00505
OG0000112	Pral.g_00754	Prbh.g_00494
OG0000113	Pral.g_00741	Prbh.g_00481
OG0000114	Pral.g_00714	Prbh.g_00454
OG0000115	Pral.g_00618	Prbh.g_00357
OG0000116	Pral.g_00616	Prbh.g_00355
OG0000117	Pral.g_00611	Prbh.g_00351
OG0000118	Pral.g_00591	Prbh.g_00330
OG0000119	Pral.g_00558	Prbh.g_00297
OG0000120	Pral.g_00557	Prbh.g_00296
OG0000121	Pral.g_00547	Prbh.g_00287
OG0000122	Pral.g_00538	Prbh.g_00278
OG0000123	Pral.g_00504	Prbh.g_00245
OG0000124	Pral.g_01452	Prbh.g_01202
OG0000125	Pral.g_01453	Prbh.g_01201
OG0000126	Pral.g_01454	Prbh.g_01200
OG0000127	Pral.g_01755	Prbh.g_00921
OG0000128	Pral.g_01727	Prbh.g_00947
OG0000129	Pral.g_01705	Prbh.g_01149
OG0000130	Pral.g_01665	Prbh.g_01048
OG0000131	Pral.g_01486	Prbh.g_00951
OG0000132	Pral.g_01522	Prbh.g_00987
OG0000133	Pral.g_01782	Prbh.g_00895
OG0000134	Pral.g_01472	Prbh.g_01181
OG0000135	Pral.g_01623	Prbh.g_01090
OG0000136	Pral.g_01564	Prbh.g_01034
OG0000137	Pral.g_00075	Prbh.g_01865
OG0000138	Pral.g_01361	Prbh.g_01289
OG0000139	Pral.g_01373	Prbh.g_01276
OG0000140	Pral.g_00455	Prbh.g_01450
OG0000141	Pral.g_01064	Prbh.g_01397
OG0000142	Pral.g_01269	Prbh.g_01385
OG0000143	Pral.g_01222	Prbh.g_00009
OG0000144	Pral.g_01179	Prbh.g_00084
OG0000145	Pral.g_01160	Prbh.g_00100
OG0000146	Pral.g_01123	Prbh.g_00136
OG0000147	Pral.g_01074	Prbh.g_00183
OG0000148	Pral.g_01073	Prbh.g_00184
OG0000149	Pral.g_00104	Prbh.g_01785
OG0000150	Pral.g_00143	Prbh.g_01745
OG0000151	Pral.g_00146	Prbh.g_01742
OG0000152	Pral.g_00167	Prbh.g_01723
OG0000153	Pral.g_00201	Prbh.g_01686
OG0000154	Pral.g_00237	Prbh.g_01650
OG0000155	Pral.g_00256	Prbh.g_01631
OG0000156	Pral.g_00289	Prbh.g_01597
OG0000157	Pral.g_00323	Prbh.g_01563
OG0000158	Pral.g_00390	Prbh.g_01497
OG0000160	Pral.g_00411	Prbh.g_01475
OG0000161	Pral.g_00412	Prbh.g_01474
OG0000162	Pral.g_00414	Prbh.g_01472
OG0000163	Pral.g_00415	Prbh.g_01471
OG0000164	Pral.g_00416	Prbh.g_01470
OG0000165	Pral.g_00417	Prbh.g_01469
OG0000166	Pral.g_00418	Prbh.g_01468
OG0000167	Pral.g_00419	Prbh.g_01467
OG0000168	Pral.g_00420	Prbh.g_01466
OG0000169	Pral.g_00422	Prbh.g_01952
OG0000170	Pral.g_01030	Prbh.g_00766
OG0000171	Pral.g_01029	Prbh.g_00765
OG0000172	Pral.g_01028	Prbh.g_00764
OG0000173	Pral.g_01027	Prbh.g_00763
OG0000174	Pral.g_01026	Prbh.g_00762
OG0000175	Pral.g_01025	Prbh.g_00761
OG0000176	Pral.g_01024	Prbh.g_00760
